,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120
PK-45H,-4.6590543,-8.158045,-8.151149,-9.099378,-9.732199,13.25261,0.10355919,13.007486,-4.868508,-3.9483304,-3.1047833,7.0727715,-5.492105,-3.8876092,4.394508,-10.514577,10.086311,6.6414165,4.0494,3.8451483,5.256213,-7.313056,-4.111605,-4.585474,-6.5612044,-4.526998,-4.386659,-6.4590483,-6.124354,-8.076433,3.8630092,-11.003389,-9.268024,5.153562,3.6641135,-3.2083383,9.858635,7.402353,10.074383,6.9900193,-3.9668293,-1.8696042,2.7836854,-7.6314206,-6.642089,6.039885,5.695433,5.8325953,7.211717,4.1166296,7.2515736,9.110691,8.435834,-9.278998,-6.132643,6.9527,-7.911439,-1.7907865,-10.804953,-15.328136,5.139206,11.630495,-10.784934,-6.156503,6.421727,-8.854171,8.578893,-2.8652809,-11.037767,-2.5688567,4.708721,5.8019714,-2.587541,2.1223285,-7.0331163,5.095239,-4.3925514,-10.095279,-3.6933184,-4.7739754,-9.156873,0.98189986,-4.68639,4.680385,-6.024787,-4.5754657,1.5945185,-5.7119985,8.668571,-0.9243871,-1.0148363,-7.9645743,3.5292003,10.2620945,-7.135409,-5.6425242,-6.873951,2.3319206,4.329679,11.284531,-5.9208717,2.5473146,6.399763,7.518233,8.915278,8.602211,6.8756194,5.7899776,-10.967294,-3.2273982,5.6449127,-6.5898867,8.444437,-10.550493,-3.770341,-3.3705738,-3.8229465,4.9190207,9.522996,-3.5175412,8.23871
SNU-668,-4.614211,-8.042296,-8.025751,-8.972368,-9.616662,13.099945,0.10851096,12.826832,-4.798991,-3.8789911,-3.071299,6.984119,-5.4197054,-3.8276484,4.340471,-10.359996,9.949683,6.542775,3.9972267,3.7925649,5.203512,-7.2066684,-4.0503573,-4.501395,-6.4713874,-4.463603,-4.340812,-6.363614,-6.034888,-7.959909,3.80953,-10.849701,-9.112116,5.0752487,3.610958,-3.1788332,9.720112,7.3151717,9.922125,6.9046855,-3.9166853,-1.8488283,2.7399848,-7.542843,-6.5613055,5.9437428,5.619704,5.7362432,7.1239815,4.0858207,7.139598,8.979595,8.325405,-9.167207,-6.061592,6.852083,-7.8111115,-1.758967,-10.6404915,-15.118925,5.0630236,11.472153,-10.636656,-6.0487976,6.341817,-8.732953,8.461656,-2.8088,-10.896471,-2.5465577,4.638762,5.7379813,-2.5780401,2.0889268,-6.926646,5.0264277,-4.343347,-9.953738,-3.6448796,-4.716963,-9.00274,0.9483383,-4.6358323,4.6343713,-5.9436064,-4.5202928,1.5593741,-5.65437,8.545816,-0.90383804,-1.0003682,-7.8698707,3.4863067,10.13005,-7.0356603,-5.5540824,-6.778252,2.3063924,4.2661,11.135188,-5.8362174,2.482948,6.323199,7.4131255,8.805667,8.467167,6.7958093,5.71024,-10.808295,-3.1779275,5.5821815,-6.5145597,8.312233,-10.416796,-3.720107,-3.3235972,-3.7821536,4.868416,9.371579,-3.4857461,8.130077
HCC70,-4.8750467,17.387506,13.091043,2.7432098,-13.859035,13.457554,4.2383456,0.4107131,1.2914802,4.4303374,-0.79836416,-11.812911,11.500573,10.629546,2.6152759,11.798091,-20.993412,-8.504544,-9.273311,16.773851,-15.264503,19.276083,21.634169,4.2235355,12.287126,0.6669332,-12.863615,8.240926,1.2525045,11.285686,-8.911196,17.200106,7.622796,-6.656291,5.312427,11.306061,-14.679352,-16.418385,-2.7353272,-18.719315,10.714824,12.988206,-14.650714,14.493731,1.522803,-11.72132,-4.5137963,-1.9988319,-6.992833,5.696859,-13.147634,-10.812136,-17.26245,12.908465,14.581804,-2.707663,4.2420073,5.0659637,-10.664759,-6.0413733,-11.144662,-13.922894,14.997129,8.173333,-8.098765,15.353444,-9.649087,-4.4930444,-3.6142793,-6.4614797,-13.699137,-13.7801075,2.3855166,-6.844626,6.0403805,-17.994673,14.210844,12.763099,8.772648,9.528607,9.522914,-11.108058,-2.0434394,7.0889087,9.919028,17.657516,-11.099862,-1.615481,-4.859099,2.3360937,7.1109877,9.059361,3.5006135,-16.508379,6.678023,2.0061455,11.917191,-5.3449116,-15.017888,-21.091188,9.070804,-7.0738535,-9.657745,-13.759582,-10.47262,-13.915594,-10.791605,-2.2301137,4.2229533,5.765012,-16.88121,9.355723,-12.052483,16.48572,-13.88574,15.737046,-1.7351052,-13.511834,-1.1146686,-16.322,13.8263035
KNS-81-FD,-3.2883246,-4.6851397,-5.7838917,-6.9263973,-9.905838,10.954912,-0.09580318,10.169819,-4.4708858,-3.5538955,-1.8652431,5.36052,-2.292452,-2.2487035,4.2556386,-7.755257,6.7236876,5.143334,2.5741568,4.417395,2.3360546,-5.0154757,-2.1630795,-3.4071317,-4.816623,-3.4502943,-4.0981174,-5.058729,-4.38899,-5.194033,2.8044937,-7.6788116,-6.60278,4.179312,2.4847722,-1.4600794,7.261062,4.5334215,7.8438525,3.290215,-1.4067464,-1.3591979,0.8297949,-4.751488,-4.6315675,5.0657725,4.595342,4.523848,5.0900173,3.3868928,5.342255,6.8759294,6.452547,-6.2076263,-4.2296457,4.901292,-5.1159034,0.28496101,-12.462425,-13.158236,3.4749455,8.373461,-8.232024,-4.2494855,4.2131724,-6.970642,6.39251,-2.6417906,-9.04384,-3.905789,2.7621455,3.917537,-1.532017,1.2633193,-5.2241755,2.3888164,-3.3179636,-7.3547626,-3.38787,-3.0367944,-6.8887405,0.8011276,-2.5302055,4.653852,-3.7225583,-1.5747935,0.82937896,-4.469066,6.368326,-0.6905303,-0.112044856,-5.3721433,3.604582,7.1564503,-4.8738008,-4.835921,-5.100632,1.7615886,2.2592244,7.6338987,-2.9065628,1.9338894,4.050635,4.773535,5.948119,6.897699,4.518932,4.406121,-8.907978,-2.8654122,2.9416738,-4.7666698,6.071454,-7.540662,-3.2034388,-1.8179,-2.522892,2.4355385,7.0725627,-3.832661,7.0193014
KHM-1B,-0.5532268,0.101832196,-0.23720072,-1.000902,-1.7529811,2.452659,0.16815779,2.0814955,-0.07001652,-0.25332296,-0.44859684,0.5297633,-0.058961157,0.31094903,0.5535347,-0.5924523,-0.40757224,0.35160214,-0.23026353,1.5999484,0.06817941,0.27495784,1.0265026,-0.7386906,0.044317596,-0.96026516,-1.9744401,-0.56880355,-0.7407765,-0.26120123,-0.15073505,-0.10306898,-0.92140806,0.20485924,1.1059532,0.51079017,0.30526772,-0.30261558,0.70569474,-0.026314419,-0.16149132,0.50848484,-0.41141385,-0.1527755,-0.7176314,0.54718715,0.09911163,0.84886396,0.643193,0.9153774,0.13631359,0.51506394,0.023896545,-0.5072885,0.1190017,0.60142684,-1.3038642,-0.7377404,-2.723746,-2.8086264,0.4894237,0.5061262,-0.35657483,0.35874283,0.6714975,-0.1144156,0.56921166,-0.4647681,-0.8618756,-0.99995375,-0.43752134,-0.7434205,-0.16958079,0.14181271,-0.5023267,-0.253003,0.45124853,-0.5095434,0.36924672,-0.21431477,-0.7635739,-0.18400967,-0.7451174,0.6608358,-0.039911583,1.027408,-0.43369624,-0.65751094,1.044533,-0.18841353,0.68578726,-0.24173786,0.7119802,-0.10964414,-0.679659,-1.1919056,-0.040686924,-0.64495814,-0.90090203,-0.049827382,0.11271485,0.09818555,0.20895171,0.06413573,0.28831407,0.13047603,-0.09715344,0.8158976,-2.002565,-0.11707543,-1.0351634,0.11921119,0.49244747,0.26451588,-1.9837104,0.82139176,-0.44992235,-0.43258733,1.560595,-1.485494,2.9196281
HCC202,-9.064277,24.219324,16.747978,1.2644919,-24.658707,20.03891,2.7801268,1.4671589,-0.21544904,2.7765837,-0.5557643,-13.831735,17.560377,12.172106,6.056163,14.897906,-28.782316,-8.405695,-10.508741,25.477825,-23.432838,26.047867,30.245174,2.897041,15.247446,-0.75835335,-16.748775,8.179242,2.2836452,14.036324,-10.362746,23.644182,8.862574,-5.843216,5.3666277,15.202521,-19.573378,-22.300043,-4.3182483,-26.693169,15.0805,17.25841,-19.303183,19.796003,1.9613628,-13.422622,-3.4427624,-0.86204475,-7.975363,7.8058515,-17.25278,-13.528429,-23.073204,18.37919,19.664227,-4.428889,7.8933992,3.423132,-17.140934,-9.591459,-11.817985,-17.475311,20.012362,13.055567,-8.427733,19.486141,-11.6709385,-6.0253034,-5.4677687,-11.2845745,-17.458017,-20.149843,6.671007,-7.7004895,6.0814047,-24.155832,19.58809,15.566007,10.614231,13.49034,9.762699,-13.126367,-1.7084959,10.373419,12.527648,25.370226,-12.833432,-3.8940332,-4.5426226,1.8879117,9.531663,10.6638565,7.02272,-23.965498,6.619182,-2.603153,15.585119,-7.057348,-18.936378,-29.523434,11.775904,-10.662883,-12.691193,-18.41721,-14.064897,-17.087147,-16.166412,-0.3379183,2.5896363,5.6969576,-24.823923,11.2499,-14.689584,23.355947,-19.342701,22.16312,-4.9634075,-21.252125,0.26773667,-23.120934,22.183916
BICR 6,-2.5976982,-5.646639,-6.58159,-5.8305273,-8.364177,9.995195,0.24737433,9.014659,-4.7339087,-3.2941086,-1.3540208,5.0869465,-3.4257967,-2.3638153,2.2861772,-8.279556,7.630097,5.213684,2.618769,2.2366712,2.8486755,-4.266045,-3.3981078,-2.7543535,-5.2870274,-2.3552544,-2.7575617,-3.121551,-3.805517,-5.659039,3.440866,-7.8195467,-6.981654,4.2146807,1.9802649,-1.8037709,7.494119,5.154127,6.735304,4.6381116,-2.5955803,-2.0479193,2.0215182,-5.024368,-4.348077,4.579255,4.25017,3.52992,4.3558626,2.556303,5.811914,6.616601,6.4771605,-6.380487,-5.0078754,4.163181,-5.2109656,-1.5426801,-7.0988336,-12.15068,2.7935705,8.268799,-8.014984,-5.505115,3.454372,-6.671975,6.1388607,-3.1681225,-8.478057,-2.1049798,3.5893002,4.592103,-1.530731,2.1008239,-4.837837,3.0110273,-3.6742015,-7.4339824,-3.031858,-2.5626101,-6.734115,1.3106887,-3.4405334,2.3499131,-3.787635,-3.4952133,1.6559232,-3.2037835,6.135921,-0.36587518,-0.5942148,-5.4947395,2.6954832,7.4362745,-4.8858933,-4.274016,-5.879791,2.8794878,3.469987,7.570265,-4.178755,2.1886108,3.8335195,5.2098355,6.375697,7.054933,5.0376854,3.1845734,-7.9045873,-3.182741,3.8760593,-4.4866533,6.8179536,-7.8367896,-2.0567005,-2.8404841,-2.422166,4.3811245,6.51483,-2.289048,5.58886
KG-1-C,-0.57538545,2.478886,-2.306278,-2.6892583,-13.11542,10.169115,1.6559014,6.4501767,-6.233693,-2.4250574,0.67254347,2.3927307,2.6944866,2.070816,3.2010329,-4.21417,0.7681817,3.0178027,-0.51594925,6.9000907,-4.2703347,2.2358434,1.0763772,0.15236779,-1.8857558,-0.14384848,-3.7605758,-0.30238652,-1.7370086,-0.16667864,1.2148782,-0.91245586,-1.81367,2.8883083,0.1399138,2.8392708,2.2133734,-1.624797,4.2179775,-3.1054082,3.1035235,-0.74364245,-3.1574628,0.9538562,-0.9993704,2.6416855,2.0768483,0.8588354,0.23627144,3.3591397,2.3513713,3.1207101,2.568524,-1.9657365,-1.0350966,0.26922596,-0.76375747,4.3085384,-12.942484,-12.517271,-0.9923584,3.14061,-3.5649564,-2.7033641,-1.9374111,-3.8427355,2.0452878,-3.947029,-8.793328,-6.1109548,-1.2110957,0.9088552,-0.96492237,0.022651277,-1.9019604,-4.0681787,-0.79594594,-2.7372394,-3.5606742,1.2152804,-1.834248,-0.5241491,1.0161548,4.4058642,1.2560472,3.2837977,-0.50082964,-1.9814074,2.7080896,-0.52538395,1.0788114,-1.0316118,3.7421238,1.3839482,-1.1139941,-4.0522666,-2.4335349,2.3565443,-1.2072532,-0.31742918,1.3014861,0.5958028,-0.65238696,-1.3526028,0.8657509,4.9387918,0.20026377,0.70299053,-6.3433585,-2.2392957,-1.3354511,-1.088996,3.0760722,-2.1913567,-2.2559543,1.3665558,-1.1775491,1.2790524,3.9981942,-4.8420367,6.2814083
SNU-1040,-2.646893,-5.304854,-6.5388017,-5.8070855,-8.777184,10.3586,0.3016836,8.9687395,-4.881171,-3.3735654,-1.2902627,5.226816,-3.0552127,-2.2656748,2.6069477,-8.267258,7.624744,5.2361393,2.8197536,2.5092938,2.5379903,-4.305382,-3.4268389,-2.6772645,-5.410923,-2.3876665,-2.762339,-3.2048254,-3.7110927,-5.5882154,3.4821997,-7.727657,-6.7594905,4.3433228,1.7887667,-1.8493814,7.4713635,5.027491,6.7357583,4.308631,-2.2297304,-2.1730058,1.868455,-4.8810816,-4.329994,4.679794,4.289965,3.4654598,4.499208,2.7163908,5.8049707,6.7518964,6.619599,-6.437317,-5.0634184,4.0610743,-4.982752,-0.97672516,-7.818605,-12.315905,2.8721457,8.170662,-8.163115,-5.4896193,3.4445012,-6.864861,6.2391176,-3.15599,-8.769678,-2.731307,3.5243206,4.5445867,-1.5941377,2.0880294,-4.740056,2.881266,-3.8463404,-7.5621657,-3.4419856,-2.5415492,-6.7126136,1.261984,-3.0693667,2.7620316,-3.709691,-3.3661065,1.7417133,-3.3383074,6.239614,-0.5251564,-0.6913666,-5.5269,2.845872,7.399534,-4.8752356,-4.3223624,-5.949405,3.0059404,3.529924,7.431912,-3.976952,2.120764,3.8249412,4.9498715,6.254501,7.226386,4.9665227,3.1870372,-7.993468,-3.2779336,4.018548,-4.715861,6.841964,-7.8774424,-1.8731455,-2.8908598,-2.4906788,4.4517126,6.4331098,-2.3164935,5.673087
ALL-SIL,-4.4733706,-7.7337847,-7.727964,-8.630096,-9.243716,12.624662,0.09645858,12.309322,-4.649752,-3.715243,-2.9794514,6.6710095,-5.2094393,-3.6766562,4.1503296,-9.934802,9.550903,6.2813926,3.8371625,3.6861675,4.9729805,-6.880928,-3.8945787,-4.3234487,-6.222991,-4.302315,-4.17106,-6.083946,-5.815229,-7.6606007,3.6621976,-10.39838,-8.738778,4.8882422,3.4996982,-3.0698009,9.331241,7.0317197,9.507223,6.63042,-3.7843158,-1.7805715,2.644492,-7.245641,-6.311537,5.690482,5.3976016,5.5137696,6.832115,3.9402082,6.8495216,8.602748,7.97411,-8.807823,-5.809868,6.5847564,-7.511202,-1.7466282,-10.139395,-14.500596,4.8881097,10.997936,-10.196079,-5.8172774,6.094377,-8.358066,8.137399,-2.6859915,-10.445792,-2.4000251,4.4817753,5.4874315,-2.451787,2.0420585,-6.6553907,4.851613,-4.167525,-9.553323,-3.4783072,-4.5215425,-8.6410475,0.9025993,-4.4590006,4.4353256,-5.7178793,-4.366691,1.5126523,-5.445955,8.21032,-0.8825145,-1.0001668,-7.5649934,3.3517652,9.699655,-6.7833285,-5.369283,-6.4866414,2.226706,4.1240926,10.656734,-5.6379375,2.3539908,6.086098,7.14449,8.450339,8.102045,6.510202,5.5033627,-10.391963,-3.0459967,5.368473,-6.2660637,7.9876394,-9.987496,-3.5686193,-3.2045412,-3.6902673,4.7142386,9.045045,-3.3338919,7.8443837
