target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,ACTR3BP2,0.00014268252814231958,IntegratedGradients
Erlotinib,0,,all,SLC22A11,9.152292776472912e-05,IntegratedGradients
Erlotinib,0,,all,ACVR1B,7.51514887742668e-05,IntegratedGradients
Erlotinib,0,,all,ATF5,3.4819234133655063e-05,IntegratedGradients
Erlotinib,0,,all,KDM3B,0.00018566120950704333,IntegratedGradients
Erlotinib,0,,all,HCK,0.00014449878049080687,IntegratedGradients
Erlotinib,0,,all,LGR6,3.154145276724968e-05,IntegratedGradients
Erlotinib,0,,all,GIP,3.380682389033448e-05,IntegratedGradients
Erlotinib,0,,all,LGALS9,7.19824193013986e-05,IntegratedGradients
Erlotinib,0,,all,PLXNA4,0.0001438882180512623,IntegratedGradients
Erlotinib,0,,all,NR4A2,0.00015125458314921305,IntegratedGradients
Erlotinib,0,,all,KIAA0586,0.0001019920318406873,IntegratedGradients
Erlotinib,0,,all,NPY,8.989058002758053e-05,IntegratedGradients
Erlotinib,0,,all,GUSBP4,3.644607842145728e-05,IntegratedGradients
Erlotinib,0,,all,ZNF385D,7.378278882217292e-05,IntegratedGradients
Erlotinib,0,,all,CYP4A11,4.711087697249475e-05,IntegratedGradients
Erlotinib,0,,all,TRIM65,7.286777896708306e-05,IntegratedGradients
Erlotinib,0,,all,TIA1,5.8156370273054144e-05,IntegratedGradients
Erlotinib,0,,all,SNRPG,6.645078257970163e-05,IntegratedGradients
Erlotinib,0,,all,PCYOX1,6.171679603577728e-05,IntegratedGradients
Erlotinib,0,,all,FAM136A,4.913594698824899e-05,IntegratedGradients
Erlotinib,0,,all,CYP26B1,7.311804186063475e-05,IntegratedGradients
Erlotinib,0,,all,GGT8P,0.000188115519203173,IntegratedGradients
Erlotinib,0,,all,ADD2,5.152999683047098e-05,IntegratedGradients
Erlotinib,0,,all,MXD1,7.028713217955563e-05,IntegratedGradients
Erlotinib,0,,all,SNRNP27,8.226919947551908e-05,IntegratedGradients
Erlotinib,0,,all,C2orf42,6.280404671563962e-05,IntegratedGradients
Erlotinib,0,,all,AAK1,6.65464507734245e-05,IntegratedGradients
Erlotinib,0,,all,NFU1,6.306400039744405e-05,IntegratedGradients
Erlotinib,0,,all,HK2,3.858774575125854e-05,IntegratedGradients
Erlotinib,0,,all,GMCL1,4.517436360322657e-05,IntegratedGradients
Erlotinib,0,,all,LINC01816,7.273985584401666e-05,IntegratedGradients
Erlotinib,0,,all,PCBP1,6.482853594808627e-05,IntegratedGradients
Erlotinib,0,,all,ASPRV1,5.940854337540372e-05,IntegratedGradients
Erlotinib,0,,all,PCBP1-AS1,6.629171719844186e-05,IntegratedGradients
Erlotinib,0,,all,MIR5000,4.001801566166482e-05,IntegratedGradients
Erlotinib,0,,all,TACR1,4.282280554403494e-05,IntegratedGradients
Erlotinib,0,,all,EVA1A,4.173723574685184e-05,IntegratedGradients
Erlotinib,0,,all,DHFRP3,7.71982401966902e-05,IntegratedGradients
Erlotinib,0,,all,ANAPC1P1,0.00016695304933050825,IntegratedGradients
Erlotinib,0,,all,MEIS1,5.7156327390130766e-05,IntegratedGradients
Erlotinib,0,,all,MEIS1-AS3,6.732715376562126e-05,IntegratedGradients
Erlotinib,0,,all,SEMA4F,3.852763024380644e-05,IntegratedGradients
Erlotinib,0,,all,PROKR1,5.5627416124723846e-05,IntegratedGradients
Erlotinib,0,,all,NAT8,4.274633720601608e-05,IntegratedGradients
Erlotinib,0,,all,ALMS1P1,4.0876746793394315e-05,IntegratedGradients
Erlotinib,0,,all,AUP1,3.475613247658513e-05,IntegratedGradients
Erlotinib,0,,all,LOXL3,3.6020923173509585e-05,IntegratedGradients
Erlotinib,0,,all,HTRA2,3.955383599217626e-05,IntegratedGradients
Erlotinib,0,,all,M1AP,3.688455227957793e-05,IntegratedGradients
Erlotinib,0,,all,DOK1,3.270290088518159e-05,IntegratedGradients
Erlotinib,0,,all,ARHGAP25,6.0389662149011566e-05,IntegratedGradients
Erlotinib,0,,all,CNRIP1,3.6775302989408797e-05,IntegratedGradients
Erlotinib,0,,all,APLF,3.4349029643863135e-05,IntegratedGradients
Erlotinib,0,,all,PPP3R1,4.280488846017222e-05,IntegratedGradients
Erlotinib,0,,all,PNO1,3.608251317732692e-05,IntegratedGradients
Erlotinib,0,,all,FBXO48,3.857910700659306e-05,IntegratedGradients
Erlotinib,0,,all,PLEK,4.1336294756403535e-05,IntegratedGradients
Erlotinib,0,,all,C1D,3.7269377008662535e-05,IntegratedGradients
Erlotinib,0,,all,WDR92,4.266081888540516e-05,IntegratedGradients
Erlotinib,0,,all,BMP10,5.801302180565202e-05,IntegratedGradients
Erlotinib,0,,all,LOC285074,0.00018870572585825756,IntegratedGradients
Erlotinib,0,,all,LSP1P4,0.00014886471814945447,IntegratedGradients
Erlotinib,0,,all,GCFC2,4.687082836714975e-05,IntegratedGradients
Erlotinib,0,,all,MRPL19,4.303552020836805e-05,IntegratedGradients
Erlotinib,0,,all,GFPT1,5.896019574893003e-05,IntegratedGradients
Erlotinib,0,,all,MIR4267,0.00016056295384924742,IntegratedGradients
Erlotinib,0,,all,CCDC138,0.00016777866125822148,IntegratedGradients
Erlotinib,0,,all,LRRTM4,5.412406665549583e-05,IntegratedGradients
Erlotinib,0,,all,NR4A1,7.598102396811157e-05,IntegratedGradients
Erlotinib,0,,all,GRASP,7.40425288931306e-05,IntegratedGradients
Erlotinib,0,,all,EDAR,0.00017028832354070962,IntegratedGradients
Erlotinib,0,,all,SCGB1D2,3.2668009888050156e-05,IntegratedGradients
Erlotinib,0,,all,SCGB2A2,3.852690450939172e-05,IntegratedGradients
Erlotinib,0,,all,CHRM1,5.038158737347779e-05,IntegratedGradients
Erlotinib,0,,all,MIR4265,0.00015320328569968847,IntegratedGradients
Erlotinib,0,,all,SH3RF3-AS1,0.00015535629329015683,IntegratedGradients
Erlotinib,0,,all,SH3RF3,0.00016037421086804201,IntegratedGradients
