sample_id,variable,class_label,probability,known_label,predicted_label,split
PK-45H,Erlotinib,,,0.0409515063862812,0.06401574611663818,train
SNU-668,Erlotinib,,,,0.06358767300844193,train
HCC70,Erlotinib,,,0.0882811990466099,0.04721007123589516,train
KNS-81-FD,Erlotinib,,,0.0065135250637065,0.03408023342490196,train
KHM-1B,Erlotinib,,,0.049218625041717,0.07763904333114624,train
HCC202,Erlotinib,,,,0.02542828768491745,train
BICR 6,Erlotinib,,,,0.06356040388345718,train
KG-1-C,Erlotinib,,,,-0.00019897634047083557,train
SNU-1040,Erlotinib,,,,0.059144772589206696,train
ALL-SIL,Erlotinib,,,0.0796000295460968,0.062482573091983795,train
DK-MG,Erlotinib,,,0.0273288019534314,0.04301788657903671,train
COR-L23,Erlotinib,,,0.0096508432450326,0.08068591356277466,train
WM983B,Erlotinib,,,0.0124614675203545,0.00959726981818676,train
A-498,Erlotinib,,,,0.02324558049440384,train
TE 159.T,Erlotinib,,,,0.06229153648018837,train
HT-1197,Erlotinib,,,0.0581736015518673,0.05838165432214737,train
SNG-M,Erlotinib,,,0.0745293031988896,0.0767989307641983,train
SNU-46,Erlotinib,,,,0.06429269164800644,train
NCI-H1963,Erlotinib,,,,0.06572389602661133,train
KMRC-2,Erlotinib,,,0.0557129797932296,0.05644389986991882,train
SK-HEP-1,Erlotinib,,,0.0225654593824648,0.04951107129454613,train
REC-1,Erlotinib,,,,0.05669976398348808,train
Hs 746.T,Erlotinib,,,0.0282985266311347,0.04345611110329628,train
KALS-1,Erlotinib,,,0.0361256866594273,0.05681941285729408,train
Panc 02.03,Erlotinib,,,0.126721659151957,0.05159499868750572,train
CMK-11-5,Erlotinib,,,,0.05304428189992905,train
Hs 274.T,Erlotinib,,,,0.05435140058398247,train
KYSE-180,Erlotinib,,,0.202348591328392,0.15307901799678802,train
Karpas-620,Erlotinib,,,0.0213122057174258,0.056369345635175705,train
DoHH2,Erlotinib,,,0.0,0.06392177939414978,train
HCC366,Erlotinib,,,,0.1042691096663475,train
Hs 172.T,Erlotinib,,,,0.06395188719034195,train
Panc 03.27,Erlotinib,,,0.0627539316471438,0.0556987039744854,train
SNU-1,Erlotinib,,,0.0857185734417132,0.05588825047016144,train
EJM,Erlotinib,,,,0.040015675127506256,train
OVSAHO,Erlotinib,,,0.028593683053534,0.015197942033410072,train
RERF-LC-KJ,Erlotinib,,,,0.051840782165527344,train
TE-10,Erlotinib,,,,0.08263525366783142,train
NALM-19,Erlotinib,,,,0.07249252498149872,train
DMS 153,Erlotinib,,,,0.02521989867091179,train
NCI-H508,Erlotinib,,,,0.045826803892850876,train
NCI-H647,Erlotinib,,,0.0064603721947235,0.04243125021457672,train
U2OS,Erlotinib,,,0.0449365561233068,0.06614144146442413,train
HCC33,Erlotinib,,,,0.06561268866062164,train
WSU-DLCL2,Erlotinib,,,,0.09212755411863327,train
NCI-H2227,Erlotinib,,,,0.06345406174659729,train
TE-11,Erlotinib,,,0.256996908787732,0.21845035254955292,train
Sq-1,Erlotinib,,,0.0680186397544565,0.05107681080698967,train
Hs 616.T,Erlotinib,,,,0.03915112465620041,train
143B,Erlotinib,,,,0.06200648844242096,train
MOG-G-CCM,Erlotinib,,,0.0,0.061699140816926956,train
SW1116,Erlotinib,,,,0.022768892347812653,train
MDA-MB-415,Erlotinib,,,0.0159285291185951,0.05256996303796768,train
SK-CO-1,Erlotinib,,,0.135089516259724,0.04100422561168671,train
MKN74,Erlotinib,,,0.034472324213695,0.05370160937309265,train
NCI-H1385,Erlotinib,,,,0.014494430273771286,train
T.T,Erlotinib,,,,0.06864006817340851,train
OV-90,Erlotinib,,,0.0,0.0234968438744545,train
OE21,Erlotinib,,,0.343713423223186,0.06674907356500626,train
HH [Human lymphoma],Erlotinib,,,0.0,0.05381433293223381,train
SF126,Erlotinib,,,0.0028855475138971,0.06854431331157684,train
TIG-3 TD,Erlotinib,,,,0.06028304994106293,train
Detroit 562,Erlotinib,,,0.115415781570674,0.06512180715799332,train
KMRC-20,Erlotinib,,,,0.018860338255763054,train
