,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
MOLP-8,1.6008023,-9.101024,-7.126183,-5.185833,0.16285259,-14.437839,16.954647,-11.324005,-15.75532,15.085426,-6.776045,5.904663,15.678134,-21.563065,11.5857525,-4.4851847
COV504,19.621855,0.06495526,-6.5922213,5.5265326,2.5592103,5.043553,-26.141598,15.464275,21.351599,-29.054401,18.025063,-6.0573683,-21.002472,26.48167,-18.161608,6.268435
UACC-257,-0.058889903,-1.4197341,-0.78631186,-1.3036587,-0.6364546,-2.9935064,2.866588,-1.4845738,-2.2096086,2.8652048,-1.2117534,0.47682112,3.3931556,-3.2320688,2.1011376,-0.4762718
UM-RC-2,-1.2163129,-13.548023,-10.59252,-11.607762,-5.132022,-26.443287,30.31734,-16.284845,-24.543749,28.579485,-11.65141,5.2790036,30.288406,-34.050365,17.884855,-5.7156377
HEC-1-B,71.50803,10.905807,-9.76794,28.58526,12.698054,22.170952,-109.39191,61.921955,85.88497,-108.76232,73.97814,-16.48714,-78.66705,99.40773,-67.25057,16.21591
HCC78,16.003424,1.9520214,-2.7634892,6.7755404,5.6883826,7.256939,-20.686825,8.138316,12.956087,-21.506708,13.656655,0.22159062,-17.275229,16.626984,-12.530631,0.21498516
BDCM,-1.1749572,-13.169822,-10.294617,-11.3499,-5.0882807,-25.787663,29.489822,-15.767634,-23.810362,27.78877,-11.323208,5.0600915,29.515242,-33.00906,17.370323,-5.4983015
KYM-1,-1.230583,-13.514055,-10.635674,-11.619924,-5.039689,-26.237415,30.161467,-16.331467,-24.510073,28.455276,-11.531176,5.311037,30.087467,-34.003307,17.758461,-5.765705
1321N1,49.942852,7.527106,-5.4731917,20.51745,13.752168,19.09766,-68.54466,32.247627,46.90179,-68.73152,46.281124,-3.1251419,-52.58337,57.108837,-40.549328,4.8108954
MOG-G-CCM,5.713894,-8.703182,-7.734308,-3.5917575,1.960811,-11.12307,9.852098,-7.3884907,-9.518701,6.4537873,-4.5197835,5.3007774,9.178083,-12.155048,8.746837,-1.5396948
RPMI-8402,53.194046,3.5779173,-13.825758,16.14505,8.152574,14.864336,-76.09764,44.169243,60.40335,-80.504715,53.42688,-15.059375,-57.77875,72.77404,-50.8942,14.256449
SNU-1214,39.31441,4.975082,-6.9087954,14.480872,7.6542673,13.350261,-58.859642,32.818142,45.86399,-59.632618,39.623276,-9.056305,-43.591652,53.59721,-36.62642,9.039316
RERF-LC-MS,22.184465,2.3925235,-4.2941794,8.337393,6.1071215,8.422921,-31.564793,15.208555,21.905632,-32.547066,20.761023,-2.411493,-24.442242,27.076866,-18.866117,2.9172795
VM-CUB-1,-0.3061925,-6.173833,-5.5342164,-5.695603,-2.7203774,-11.959733,13.350281,-7.0196233,-10.558585,12.516735,-5.108925,2.1384304,13.373693,-14.555106,7.529823,-1.7523172
SNU-685,3.3399081,-9.100176,-8.069393,-5.1230536,1.4502031,-13.74542,15.330341,-11.365725,-15.261837,12.850717,-6.382685,6.932211,13.778734,-20.302086,11.437843,-4.186272
NCI-H1341,29.09012,0.81905574,-8.566982,7.6029563,6.73999,9.833963,-41.391373,21.512053,30.53779,-44.130848,27.588339,-6.7485824,-32.94174,38.43704,-25.85212,6.351048
NCI-H1385,21.443111,-2.0599725,-8.098721,5.7158217,-0.34746274,1.1182659,-28.296589,21.306759,27.895088,-31.375553,16.290386,-9.989706,-20.688278,31.169762,-17.738804,11.43472
Daoy,38.250275,3.8370478,-8.218325,10.4551525,3.9814682,6.9893527,-60.41861,36.265217,49.64402,-62.324493,42.404507,-13.105828,-42.17921,58.193584,-37.92916,11.661049
YD-10B,25.104258,0.8901307,-7.7218294,7.598108,7.3691177,10.972847,-31.518244,14.370077,21.260788,-34.584564,21.323542,-2.852635,-27.43649,28.179276,-21.156824,3.7101655
LMSU,-1.201984,-12.702444,-9.953152,-10.89354,-4.924333,-24.798737,28.376423,-15.173343,-22.872583,26.75351,-10.883442,4.83556,28.392105,-31.738712,16.64532,-5.2495236
RKO,0.8472607,-10.271253,-7.885364,-8.124566,-3.8298774,-19.177837,22.227982,-12.481236,-18.565126,21.036812,-8.465317,4.3116913,21.880651,-25.69305,13.700952,-4.9134927
Hs 695T,-1.162427,-13.862454,-10.815029,-11.88981,-5.2326684,-27.01988,31.008757,-16.708754,-25.163723,29.23246,-11.88614,5.4212894,30.956657,-34.891777,18.33436,-5.9295826
DAN-G,21.950533,3.5045664,-1.8324224,9.643575,4.7227573,8.280219,-34.151085,18.202631,25.992756,-33.302204,22.926489,-4.2577715,-24.616629,29.96526,-20.50609,4.149154
Caov-4,11.862327,-0.7485953,-4.5178876,-0.28912303,-0.7551273,-3.4800065,-15.559781,10.118281,13.087164,-18.239471,12.170196,-4.624963,-8.983542,16.264668,-10.401537,4.223501
NCI-H1792,0.7243012,-2.0756388,-2.6697874,-3.9176803,-0.42936417,-5.9041004,1.8319842,-1.9248979,-2.4258313,1.4073063,-0.10761325,0.50772786,4.2820196,-3.2826781,1.4263978,-1.4410994
CL-34,38.9821,6.2019296,-3.8217242,16.860638,11.076165,15.230807,-56.766483,26.3672,39.194927,-56.002636,38.209118,-3.0495296,-41.930683,47.295227,-32.069855,3.0575457
COR-L51,-1.1591933,-13.903638,-10.934631,-11.902086,-5.152801,-26.87503,30.981005,-16.88232,-25.268473,29.25094,-11.783855,5.4939723,30.84065,-35.03881,18.266737,-6.0327473
HCC-56,18.779694,3.0339444,-2.0514061,7.5289497,1.9694763,3.7126155,-31.599453,18.994343,26.238722,-31.016146,20.926434,-5.7194104,-20.882954,29.385921,-18.403452,5.561347
NCI-H747,35.196377,3.5149794,-8.019108,13.265636,9.46297,14.314519,-49.82221,25.002035,35.910137,-51.43753,32.68514,-4.968038,-39.31351,43.72429,-30.677462,6.4106574
WM793,18.51229,2.9882987,-2.191812,8.567771,2.2252789,3.6286464,-28.845398,16.886656,23.480396,-27.891912,19.329056,-4.1062984,-19.516071,26.343151,-16.572618,4.293663
NCI-H522,6.4704404,-2.363655,-5.272875,-0.7425634,1.0990952,0.47179216,-6.3539877,2.7273266,4.1688786,-8.064002,4.9701414,-1.8475735,-5.6853886,6.725855,-6.153103,1.6472158
HK-2 [Human kidney],-1.1801951,-13.6502905,-10.75286,-11.671188,-5.059369,-26.413013,30.439262,-16.53483,-24.771173,28.741299,-11.632053,5.389358,30.30935,-34.400127,17.92077,-5.8530827
PL45,20.272911,2.6966043,-3.387901,7.601605,3.4816616,6.013987,-31.376486,17.82959,24.878782,-31.635008,20.88773,-5.0705085,-22.492817,28.6862,-19.120522,4.9805803
TT2609-C02,11.975957,1.8571792,-2.3496165,3.899407,0.9957024,2.5488033,-19.311573,11.02176,15.655395,-19.174194,12.778656,-3.22011,-13.089083,18.149475,-11.82695,3.3117156
SNU-1076,24.784279,1.3907433,-6.9226413,5.1523566,3.033896,4.2602654,-36.77649,21.493765,28.713066,-39.650524,26.235775,-7.572586,-26.959703,35.95426,-24.516354,7.048806
CW-2,-1.1817465,-14.1744995,-11.0619135,-12.158106,-5.2853947,-27.569845,31.692402,-17.165491,-25.798418,29.894331,-12.121033,5.593303,31.605028,-35.7687,18.758995,-6.1496167
LAMA-84,-1.2770456,-14.572593,-11.440581,-12.609024,-5.410731,-28.350203,32.620667,-17.775778,-26.638786,30.804415,-12.415602,5.798273,32.534233,-36.92491,19.277372,-6.415693
SNU-1040,0.9401787,-9.527922,-6.4480243,-7.3626037,-2.298143,-18.050146,21.399008,-13.2916765,-19.157097,20.457314,-8.141873,5.3776264,20.881931,-26.42326,13.948609,-6.2773433
HCC1143,35.85794,2.5993168,-8.708203,12.49701,5.2175865,9.983378,-51.65714,31.158073,42.446224,-54.155476,34.519352,-10.694543,-38.880726,49.354965,-33.471794,11.10165
