target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,cnv,ACTR3BP2,4.243840378273584e-05,IntegratedGradients
Erlotinib,0,,cnv,SLC22A11,7.132965237718238e-05,IntegratedGradients
Erlotinib,0,,cnv,ACVR1B,1.7332124732452244e-05,IntegratedGradients
Erlotinib,0,,cnv,ATF5,2.1149157754873438e-05,IntegratedGradients
Erlotinib,0,,cnv,KDM3B,0.00010712103237721862,IntegratedGradients
Erlotinib,0,,cnv,HCK,4.98493022233648e-05,IntegratedGradients
Erlotinib,0,,cnv,LGR6,2.394965534025077e-05,IntegratedGradients
Erlotinib,0,,cnv,GIP,3.680296129175182e-05,IntegratedGradients
Erlotinib,0,,cnv,LGALS9,7.513660070347045e-05,IntegratedGradients
Erlotinib,0,,cnv,PLXNA4,5.074672919701654e-05,IntegratedGradients
Erlotinib,0,,cnv,NR4A2,3.399620248582102e-05,IntegratedGradients
Erlotinib,0,,cnv,KIAA0586,5.6969717835833895e-05,IntegratedGradients
Erlotinib,0,,cnv,NPY,2.708419211454296e-05,IntegratedGradients
Erlotinib,0,,cnv,GUSBP4,3.0369206646541238e-05,IntegratedGradients
Erlotinib,0,,cnv,ZNF385D,4.993140145076192e-05,IntegratedGradients
Erlotinib,0,,cnv,CYP4A11,4.2147985884003614e-05,IntegratedGradients
Erlotinib,0,,cnv,TRIM65,2.6909760262836206e-05,IntegratedGradients
Erlotinib,0,,cnv,TIA1,3.7866734189020865e-05,IntegratedGradients
Erlotinib,0,,cnv,SNRPG,3.6375384083079967e-05,IntegratedGradients
Erlotinib,0,,cnv,PCYOX1,3.631282188857525e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM136A,3.52730428917177e-05,IntegratedGradients
Erlotinib,0,,cnv,CYP26B1,4.069430828038859e-05,IntegratedGradients
Erlotinib,0,,cnv,GGT8P,4.8127572681241935e-05,IntegratedGradients
Erlotinib,0,,cnv,ADD2,3.671540506538185e-05,IntegratedGradients
Erlotinib,0,,cnv,MXD1,3.832647065782907e-05,IntegratedGradients
Erlotinib,0,,cnv,SNRNP27,3.784517176789245e-05,IntegratedGradients
Erlotinib,0,,cnv,C2orf42,3.730931087439923e-05,IntegratedGradients
Erlotinib,0,,cnv,AAK1,3.936349857155606e-05,IntegratedGradients
Erlotinib,0,,cnv,NFU1,3.724957324590212e-05,IntegratedGradients
Erlotinib,0,,cnv,HK2,4.450811903789842e-05,IntegratedGradients
Erlotinib,0,,cnv,GMCL1,3.4041579833601436e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC01816,3.638053727707266e-05,IntegratedGradients
Erlotinib,0,,cnv,PCBP1,3.5787599245212914e-05,IntegratedGradients
Erlotinib,0,,cnv,ASPRV1,3.5191981374901356e-05,IntegratedGradients
Erlotinib,0,,cnv,PCBP1-AS1,3.574750503423112e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR5000,4.1462776733714935e-05,IntegratedGradients
Erlotinib,0,,cnv,TACR1,4.196670599664053e-05,IntegratedGradients
Erlotinib,0,,cnv,EVA1A,4.263844300593876e-05,IntegratedGradients
Erlotinib,0,,cnv,DHFRP3,3.357574457866059e-05,IntegratedGradients
Erlotinib,0,,cnv,ANAPC1P1,3.088585151431646e-05,IntegratedGradients
Erlotinib,0,,cnv,MEIS1,2.6159739445370096e-05,IntegratedGradients
