sample_id,variable,class_label,probability,known_label,predicted_label,split
MOLP-8,Erlotinib,,,0.0087589415680787,0.05795873701572418,train
COV504,Erlotinib,,,0.0711984611306931,0.053833745419979095,train
UACC-257,Erlotinib,,,0.0049737474990444,0.10019732266664505,train
UM-RC-2,Erlotinib,,,,0.07034537941217422,train
HEC-1-B,Erlotinib,,,0.067324354538357,0.12620756030082703,train
HCC78,Erlotinib,,,0.0077521003033489,0.0984240472316742,train
BDCM,Erlotinib,,,0.0132267808987782,0.06864651292562485,train
KYM-1,Erlotinib,,,0.0,0.07002086937427521,train
1321N1,Erlotinib,,,0.0588349285319097,0.1129189059138298,train
MOG-G-CCM,Erlotinib,,,0.0,0.033642519265413284,train
RPMI-8402,Erlotinib,,,0.0186080498394879,0.06769397109746933,train
SNU-1214,Erlotinib,,,,0.08853906393051147,train
RERF-LC-MS,Erlotinib,,,0.0,0.09212808310985565,train
VM-CUB-1,Erlotinib,,,,0.05763484165072441,train
SNU-685,Erlotinib,,,,0.05204353481531143,train
NCI-H1341,Erlotinib,,,0.103012744278107,0.06065845489501953,train
NCI-H1385,Erlotinib,,,,0.046791911125183105,train
Daoy,Erlotinib,,,0.033018722300065,0.07646734267473221,train
YD-10B,Erlotinib,,,,0.06685278564691544,train
LMSU,Erlotinib,,,,0.06650395691394806,train
RKO,Erlotinib,,,0.0046315843924956,0.05582239478826523,train
Hs 695T,Erlotinib,,,0.0027959688318722,0.07167854905128479,train
DAN-G,Erlotinib,,,,0.10953253507614136,train
Caov-4,Erlotinib,,,,0.040930841118097305,train
NCI-H1792,Erlotinib,,,0.0354342546126242,0.07542348653078079,train
CL-34,Erlotinib,,,,0.12154164910316467,train
COR-L51,Erlotinib,,,,0.07167837023735046,train
HCC-56,Erlotinib,,,0.0570985978077439,0.09643233567476273,train
NCI-H747,Erlotinib,,,0.0854438275693443,0.08509533852338791,train
WM793,Erlotinib,,,0.0280512493673766,0.09542535245418549,train
NCI-H522,Erlotinib,,,0.0403443205178365,0.05730259418487549,train
HK-2 [Human kidney],Erlotinib,,,,0.07067570090293884,train
PL45,Erlotinib,,,0.0629719252063515,0.0917993038892746,train
TT2609-C02,Erlotinib,,,0.0764294419818976,0.0883810967206955,train
SNU-1076,Erlotinib,,,,0.05167480558156967,train
CW-2,Erlotinib,,,,0.07301631569862366,train
LAMA-84,Erlotinib,,,,0.0747363418340683,train
SNU-1040,Erlotinib,,,,0.06219007074832916,train
HCC1143,Erlotinib,,,,0.06601350009441376,train
NCI-H1755,Erlotinib,,,,0.07441593706607819,train
RMUG-S,Erlotinib,,,,0.06776560097932816,train
JHOS-4,Erlotinib,,,0.12377795580422,0.09497107565402985,train
K-562,Erlotinib,,,,0.07327795773744583,train
HGC-27,Erlotinib,,,0.019985540124347,0.07072494924068451,train
JHOM-2B,Erlotinib,,,,0.07882878929376602,train
SLR20,Erlotinib,,,,0.08757025003433228,train
JHH-2,Erlotinib,,,0.0764561426940383,0.09432472288608551,train
SNU-61,Erlotinib,,,,0.06332923471927643,train
BCP-1,Erlotinib,,,,0.04592399299144745,train
NCI-H1355,Erlotinib,,,0.170404319767082,0.10171613097190857,train
TT,Erlotinib,,,,0.06246394291520119,train
CAL-62,Erlotinib,,,,0.07252040505409241,train
Sq-1,Erlotinib,,,0.0680186397544565,0.07265109568834305,train
NB1,Erlotinib,,,,0.07331933826208115,train
SW48,Erlotinib,,,0.34323533661392,0.10466141253709793,train
Mel JuSo,Erlotinib,,,,0.041024889796972275,train
Hs 852.T,Erlotinib,,,0.0606494731196107,0.054777733981609344,train
HT-1197,Erlotinib,,,0.0581736015518673,0.08586111664772034,train
COV644,Erlotinib,,,,0.07402612268924713,train
DLD-1,Erlotinib,,,,0.06400758028030396,train
NCI-H2227,Erlotinib,,,,0.07219034433364868,train
NCI-H838,Erlotinib,,,,0.1080140620470047,train
PaTu 8902,Erlotinib,,,0.0142065488811397,0.07194139808416367,train
HCC1419,Erlotinib,,,,0.08354733884334564,train
QGP-1,Erlotinib,,,0.0604716766752486,0.05482153594493866,train
IPC-298,Erlotinib,,,0.0528985627972757,0.0800967663526535,train
LP-1,Erlotinib,,,0.0,0.07252617925405502,train
YH-13,Erlotinib,,,,0.04513588547706604,train
ONS-76,Erlotinib,,,0.0214716122271844,0.07110409438610077,train
8505C,Erlotinib,,,0.0308762725344076,0.04749191552400589,train
Caov-3,Erlotinib,,,,0.05303268879652023,train
TALL-1 [Human adult T-ALL],Erlotinib,,,,0.1498844474554062,train
KP-N-RT-BM-1,Erlotinib,,,,0.06900046765804291,train
CCK-81,Erlotinib,,,0.207388862765003,0.06445407122373581,train
SK-MEL-28,Erlotinib,,,,0.07139353454113007,train
TOV-112D,Erlotinib,,,0.0845724147706257,0.03450913727283478,train
RPMI-8226,Erlotinib,,,,0.09768190234899521,train
COLO 684,Erlotinib,,,,0.07406266778707504,train
HCT 15,Erlotinib,,,0.0513580719604864,0.07023709267377853,train
OVCAR-8,Erlotinib,,,,0.06275209784507751,train
SNU-407,Erlotinib,,,,0.07225437462329865,train
SW948,Erlotinib,,,,0.06007847934961319,train
HH [Human lymphoma],Erlotinib,,,0.0,0.0654686838388443,train
Hs 822.T,Erlotinib,,,,0.07008000463247299,train
NCI-H1793,Erlotinib,,,0.142220559643126,0.06409411132335663,train
NCI-H28,Erlotinib,,,0.269475623753143,0.07329627871513367,train
YKG-1,Erlotinib,,,0.0378246556038961,0.0537138357758522,train
MDA-MB-415,Erlotinib,,,0.0159285291185951,0.07657645642757416,train
SR,Erlotinib,,,,0.06937629729509354,train
NCI-H1048,Erlotinib,,,0.031623024411141,0.07545065879821777,train
SK-MEL-24,Erlotinib,,,0.0174420687459357,0.06640175729990005,train
Calu-1,Erlotinib,,,0.0088052462003865,0.07745088636875153,train
IGR-1,Erlotinib,,,,0.0714477151632309,train
OCUM-1,Erlotinib,,,0.0,0.05294499173760414,train
RL,Erlotinib,,,,0.08948379755020142,train
HPAF-II,Erlotinib,,,0.0623307309772142,0.1132226437330246,train
