,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120
SU-DHL-5,-5.1328936,-5.5959024,-17.44257,-14.936288,15.883941,-10.669225,3.0526803,3.1844044,-14.273038,-8.908504,-0.8335042,7.617929,-23.38989,1.9558482,10.342898,8.559846,4.548761,13.813413,13.23284,18.84919,3.761187,-11.138854,26.065899,-20.13541,9.707146,-8.714709,-5.328027,-10.40047,-17.231094,-28.240446,-14.576429,11.556002,19.094389,-14.422995,1.5466712,-15.954691,-6.666854,5.6932654,4.6809554,24.334963,3.0252302,-3.6474428,-10.711026,8.524667,5.3351135,21.364847,5.088191,-16.453022,-16.183037,1.7429764,21.274202,-11.002478,13.417465,-6.000655,31.34763,12.231107,0.3382465,1.185105,-16.575607,-10.194332,19.829996,8.399427,4.3201594,1.2805805,-13.433414,4.0724382,-15.381462,-16.656633,7.803717,6.494893,15.819871,17.45465,1.999341,19.98211,6.286104,4.6492186,5.0308957,-19.448105,-4.8714786,-17.067953,16.764444,14.395259,0.09300159,-8.1955385,5.075538,12.562981,-20.261389,0.39027148,-1.6760114,-12.085571,-3.09884,-16.608948,-3.1799452,-2.500583,10.233089,25.924734,-10.043541,-10.3073845,-7.9604745,18.676521,5.839551,-6.3729033,7.987348,19.95197,20.578455,1.2861605,21.178312,-10.675693,-12.075068,-9.365808,1.1778746,10.082951,-22.378479,-27.969885,-1.0307872,8.7824,-24.21528,18.62012,13.288583,7.477022,14.022313
FTC-238,8.462193,-10.222897,13.992051,-11.232763,-38.58105,49.762245,-25.91711,11.149826,31.200853,21.298294,-33.28958,-4.3059216,35.801605,11.454273,13.971169,-11.580134,4.7828846,-30.790901,-25.318321,-30.55137,-26.762653,23.110085,-44.181805,42.145466,17.219225,-4.0726795,11.796598,9.2355,18.249813,20.608358,18.479689,-10.851597,-43.751472,36.00679,-12.865815,45.369904,-31.05479,18.388407,-34.190243,-37.38386,15.456457,34.310314,29.75061,-33.24789,-25.17175,-44.76376,7.898963,19.448643,20.784098,-32.807697,-29.536823,36.933205,7.126922,35.44022,-37.31283,-40.48487,28.902514,-33.702454,7.6420183,23.64266,-55.45692,-28.905737,-17.482738,20.277752,26.681532,20.569355,47.16464,43.310013,-36.437355,-25.933575,-50.32123,-30.472242,27.447187,-38.550266,-37.03147,10.790951,1.0238639,35.325607,-20.577246,1.2291025,-38.45794,-50.311996,12.432564,2.933534,12.186857,-41.684963,33.47649,12.373961,-16.025738,36.48064,-11.889078,35.80293,0.6278552,-0.6661226,-7.0834603,-38.493404,33.70653,14.444731,-17.792564,-27.501543,12.835994,28.718243,-24.175488,-33.177303,-15.404306,19.51626,-27.452353,24.354124,48.146885,-33.679256,23.95341,-21.918549,36.19294,37.269596,19.252775,-48.771175,60.934547,-37.685837,-8.752441,-35.58448,-40.706375
A2780,-4.5422335,-2.8921497,-14.24354,-12.612257,11.914273,-7.3239675,2.5259786,2.792163,-9.906913,-8.216939,-1.6702228,7.802633,-19.092564,0.23456347,9.97525,7.9850645,2.287624,11.908453,11.441442,15.59876,4.30073,-7.5848775,20.943413,-17.047699,6.083018,-5.944747,-3.6774664,-9.347598,-15.075712,-23.148897,-11.874847,10.377048,15.23302,-10.360913,0.3993982,-12.306924,-6.7101583,5.6198096,3.0792408,20.014946,1.0257862,-1.4224228,-8.898834,5.504003,5.0244274,16.248672,3.288933,-12.654629,-13.499599,1.1420981,18.235155,-7.413438,12.176552,-4.396603,25.441065,8.323497,1.5378469,-0.38624203,-13.883598,-8.170858,14.893663,6.954363,2.3963354,-0.14045885,-12.063435,4.4632106,-11.527008,-11.945788,4.8297005,4.0640335,11.442351,14.8839855,1.794658,15.518876,3.5291202,2.6822512,2.087527,-16.891327,-4.2020288,-12.433695,11.656017,11.39839,-0.7928138,-6.875707,2.7848337,11.245326,-16.644733,0.8536041,-0.13261989,-9.877882,-1.9200045,-13.104031,-1.6905209,-2.1165316,7.2140126,21.438578,-6.9212146,-7.0099034,-5.022507,16.001438,3.3846266,-6.125284,5.062674,16.828142,17.064692,-0.012859046,18.573387,-7.5420647,-8.479462,-8.772092,1.4327077,8.420764,-18.148758,-22.954174,-1.8830354,6.638175,-19.314053,15.066921,10.697329,4.847357,10.293099
KMRC-20,-6.1218586,-6.5844755,-21.44297,-19.075298,18.517693,-12.077742,3.948303,3.6973886,-16.816072,-10.887112,-1.370437,10.265548,-28.641216,1.9966239,14.261503,10.416562,4.774639,16.895245,16.096422,23.120766,5.7439566,-12.664041,31.164215,-25.02431,12.1291485,-9.83972,-6.242976,-13.337367,-21.113092,-34.99148,-18.030176,14.725303,22.958378,-16.928875,1.0920706,-19.33032,-9.493374,7.9405203,5.9896593,29.374855,3.8672554,-3.5863178,-13.494131,9.8082905,6.5177364,25.09013,6.095452,-19.302193,-19.993103,1.8150523,26.082617,-12.3570175,17.163668,-6.7756443,37.884827,14.074437,1.800982,0.75069106,-20.401005,-12.1785755,23.490469,10.452275,4.6088333,0.8988605,-17.25952,5.3559856,-18.067879,-19.342283,8.607156,7.16539,18.538414,21.124247,2.4976816,23.543123,6.1814485,5.406269,5.3519216,-24.416006,-6.818519,-20.489721,19.261192,17.340977,-0.26139778,-9.931926,6.2169237,14.904209,-24.853313,0.2849655,-2.0933073,-14.446344,-3.4436057,-20.232882,-3.0804737,-3.273877,11.911694,31.531178,-11.845199,-12.137081,-9.841305,22.903399,6.115228,-8.066998,9.204154,24.08717,25.642641,0.9005222,26.784624,-12.703099,-13.926846,-12.207668,1.8190056,12.077764,-27.063997,-34.088425,-1.8957865,10.209651,-28.492422,22.932613,16.147995,8.426244,16.074394
DMS 153,1.8377475,-1.9464258,3.5790174,-3.4790478,-10.360903,13.148754,-6.6416726,2.9499469,8.340521,5.063477,-9.032179,-0.5355661,8.985017,2.3833797,4.5971494,-2.0553145,0.8113225,-7.3225927,-6.098465,-7.5338545,-6.344958,6.6830106,-11.451368,10.374499,4.03199,-1.0713826,3.2850606,2.4533675,4.2316675,4.6120296,4.711049,-2.0836332,-11.089472,9.611189,-3.9504364,11.475301,-8.73959,5.3402705,-9.176867,-9.493024,3.245968,9.386282,7.5527034,-9.120954,-6.0680413,-11.624294,1.5207913,4.951622,4.925333,-8.705042,-7.1852555,10.105301,2.698176,9.657178,-9.071435,-10.836424,7.95695,-9.389364,1.8278793,6.035349,-14.391047,-7.2732215,-4.7483563,5.0453115,6.6929917,6.0271416,12.249496,11.58398,-9.72218,-7.445999,-13.177259,-7.0158935,7.3814692,-9.837921,-9.887463,2.292095,-0.26911184,8.701204,-5.670648,0.7749365,-10.441019,-13.045373,2.7042997,0.36020797,2.5228064,-10.274994,8.202394,3.7327626,-3.4575624,9.588455,-2.5806508,9.29045,0.7129215,-0.345289,-2.1274862,-9.36802,9.20262,4.5767245,-3.884917,-6.665273,3.1411674,6.8863716,-6.5965505,-8.1753645,-3.7481234,4.870531,-5.745326,6.6905775,12.473594,-9.257816,6.2249217,-5.570263,8.918166,9.117405,4.6054606,-12.690601,15.752003,-9.54029,-1.9958992,-9.59781,-10.915175
MIA PaCa-2,-1.5104718,-1.1553651,-2.8532727,-3.5030642,1.3322264,-0.013085142,-0.1897475,1.484335,-1.5324608,-2.1884642,-2.2566001,2.1647487,-3.742569,-0.3895302,2.7107496,3.013334,0.2921127,3.6971278,2.0229874,4.1927876,-0.35942128,-0.69631326,4.639272,-2.9850345,0.82548434,-2.2936788,-0.8130363,-2.6605844,-3.689412,-6.4902935,-1.6062748,2.5120192,3.0409124,-1.045213,0.17817637,-1.365478,-3.0138516,2.6603847,-1.3566726,4.272514,-0.4387441,1.9910313,-0.69929236,0.3836403,0.69962925,2.784261,0.8793521,-3.4158711,-4.2377915,-1.2878687,4.5253053,-0.32879725,3.4051023,0.41597003,5.6893344,0.04767925,1.3841542,-2.022868,-3.4571373,-0.8379186,1.1254989,-0.16680476,0.039470933,1.197814,-1.6879725,2.8449085,-1.3142947,-1.601984,-0.29432553,-0.07477665,0.9969349,3.1245914,1.9751673,2.3674095,0.30554318,0.94583064,0.16989924,-3.1822295,-1.5189549,-2.7283528,2.5104215,1.0190761,0.3455525,-3.156845,0.8558177,3.5235372,-4.065736,1.3243017,0.27758437,-1.5038576,-0.91558653,-1.679073,-1.0120848,-0.5569416,2.0919886,5.535433,0.2651587,-0.75697744,-1.7537246,3.7038515,1.2663312,-0.6950672,0.24064879,3.6834457,4.3581448,1.0427853,4.5202975,-0.6945358,-0.55248344,-3.4709046,1.9987832,1.6046073,-3.6348836,-5.308518,0.009371349,0.35820028,-3.4812355,2.8559864,3.8924994,-0.7029763,1.0978854
CFPAC-1,-2.596352,-2.8667347,-9.061918,-7.702383,8.241044,-5.609971,1.5765284,1.483528,-7.3047476,-4.539013,-0.4194112,3.8847053,-12.128744,1.106792,5.2596745,4.2521887,2.3787189,7.1004558,6.7984962,9.679529,2.0306778,-5.8803253,13.4426155,-10.370923,4.958866,-4.3789425,-2.7441742,-5.394089,-8.758082,-14.5628,-7.547588,5.8509912,10.031822,-7.406283,0.7079941,-8.143125,-3.2736642,2.857264,2.4717696,12.624532,1.6398973,-1.9371,-5.6402555,4.475988,2.6819632,10.944114,2.6500757,-8.510643,-8.252837,1.02026,10.830667,-5.7396374,6.8334966,-3.0794628,16.183208,6.414529,0.18640728,0.70096415,-8.6021,-5.2346725,10.233437,4.4298716,2.333515,0.50650096,-7.063061,1.9948975,-8.001536,-8.649797,4.1428304,3.4449306,8.167711,8.984634,0.88824856,10.144708,3.172782,2.462482,2.6178024,-10.111341,-2.5748465,-8.846314,8.603098,7.559598,0.044310875,-4.279331,2.6326208,6.3571815,-10.302547,0.1628513,-0.9604671,-6.2027016,-1.5778276,-8.721964,-1.683841,-1.166446,5.172171,13.336693,-5.2848935,-5.34508,-4.159562,9.656554,2.9950378,-3.321751,4.139124,10.307619,10.594367,0.6412284,10.891856,-5.5452175,-6.242623,-4.8431816,0.48701188,5.2189593,-11.436278,-14.33673,-0.49811316,4.474775,-12.434972,9.5193815,6.681812,3.948878,7.2603116
Namalwa,-5.1183805,-4.6090417,-16.710554,-14.509884,14.627654,-9.518439,3.0192542,3.1285794,-12.798081,-8.835105,-1.2037635,7.852354,-22.125679,1.2874278,10.367774,8.621558,3.685994,13.166565,13.032636,17.839226,4.1610293,-9.839455,24.587372,-19.54087,8.432238,-7.8209577,-4.56308,-9.994756,-16.856642,-26.86079,-13.872825,11.401213,17.99639,-13.048903,0.9454778,-15.155039,-6.864305,6.0098176,4.1971126,23.089823,2.466964,-2.9539247,-10.197934,7.351239,5.405964,19.785923,4.4117117,-15.237254,-15.316641,1.5061092,20.574705,-9.781083,13.371455,-5.2892685,29.80885,10.924138,0.61683714,0.41282672,-15.720331,-9.640709,18.397161,8.003687,3.5035641,0.81807953,-13.229262,4.4858227,-14.188026,-14.989857,6.736952,5.574049,14.431495,17.008411,1.9751482,18.676895,5.1814594,3.8719926,3.9614275,-18.913818,-4.5921206,-15.618057,15.054604,13.495672,-0.34288663,-7.671271,4.1944323,12.073302,-19.411531,0.6477462,-1.069002,-11.355543,-2.5226989,-15.57067,-2.635858,-2.4673116,9.048529,24.6916,-8.999654,-9.196659,-6.8868923,18.081614,5.0298724,-6.4777246,7.0088344,19.234608,19.459988,0.8192221,20.676012,-9.708488,-10.977365,-9.591265,1.1594206,9.671267,-21.341751,-26.658339,-1.5183752,7.9540877,-22.901005,17.648321,12.44219,6.466629,12.940206
KE-39,2.5977664,-3.8162024,4.5386376,-5.597901,-16.15879,21.227081,-11.016641,4.329889,13.575501,8.854978,-14.627975,-1.2512882,15.116993,4.3803535,6.7017603,-4.275551,1.066279,-12.890581,-9.925946,-12.691024,-11.718702,10.057221,-18.38281,17.136517,6.7170005,-1.2800865,5.8123083,4.074139,7.1483526,8.646119,7.867146,-3.3874927,-18.007748,15.654497,-6.078711,19.088745,-13.546061,8.019919,-14.586778,-15.094095,5.9617662,14.656482,12.972954,-14.501999,-9.913068,-19.445963,2.782577,8.6950655,8.322774,-13.943842,-12.162418,16.06382,3.9159331,15.696226,-14.890335,-17.34162,11.985117,-15.053009,3.1663299,11.170866,-23.447477,-12.331103,-7.6131377,7.8041096,10.734008,9.465506,19.834227,18.888445,-15.674772,-11.107161,-21.588732,-12.501048,12.034503,-17.096336,-16.667002,4.292476,-0.15711637,14.201428,-8.847407,0.7103545,-16.87293,-21.670837,4.875504,1.1969038,4.7747836,-18.012274,13.9047985,5.482151,-5.8671503,15.5642805,-4.538366,15.132741,0.35492226,0.34076384,-3.8557096,-16.155489,14.964977,6.448201,-7.1561604,-11.336462,5.4722366,11.692208,-10.5361595,-13.623008,-7.257472,8.27246,-11.254978,10.815857,20.487186,-15.132048,10.062156,-8.924604,15.001037,15.407727,7.3708878,-21.360708,25.573313,-16.170069,-3.2671695,-15.582135,-17.587118
SK-OV-3,-5.0453973,-4.61699,-16.555597,-14.361691,14.525162,-9.4776325,3.0068617,3.0887463,-12.723548,-8.731569,-1.1489539,7.746233,-21.929407,1.3110294,10.234025,8.490285,3.6936915,13.045743,12.895144,17.668753,4.1104875,-9.807358,24.375633,-19.338362,8.401643,-7.756679,-4.552915,-9.9038,-16.675922,-26.614405,-13.754297,11.270823,17.841864,-12.977101,0.9587771,-15.022516,-6.76053,5.9310427,4.1934075,22.88585,2.493354,-2.9674025,-10.117982,7.3306346,5.326616,19.642015,4.413379,-15.107604,-15.165452,1.4968843,20.363895,-9.742311,13.211189,-5.2777467,29.53605,10.874831,0.5915935,0.46505558,-15.57596,-9.574725,18.265196,7.9439783,3.5019183,0.84061974,-13.091069,4.3926845,-14.086479,-14.915189,6.708291,5.562168,14.348294,16.824045,1.9318216,18.523426,5.166644,3.8659961,3.962448,-18.721655,-4.5376883,-15.524923,14.984852,13.410954,-0.30910528,-7.587416,4.182016,11.9378605,-19.226347,0.6204383,-1.1143541,-11.26866,-2.5343726,-15.456689,-2.6329613,-2.4445264,8.995388,24.460403,-8.969752,-9.162444,-6.8812184,17.889267,5.0061774,-6.399646,6.978654,19.030054,19.298689,0.8207675,20.453194,-9.659621,-10.911121,-9.473298,1.1312138,9.57672,-21.134966,-26.401423,-1.487872,7.9142985,-22.693958,17.491468,12.335565,6.45931,12.852382
