target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,MSH6,5.3315317674825964e-06,IntegratedGradients
Erlotinib,0,,all,BRAF,2.6405607474636724e-06,IntegratedGradients
Erlotinib,0,,all,KRAS,1.625664260580683e-05,IntegratedGradients
Erlotinib,0,,all,APC,9.571980682738201e-06,IntegratedGradients
Erlotinib,0,,all,SMARCA4,1.0384395330730799e-05,IntegratedGradients
Erlotinib,0,,all,BRCA2,7.96286862554359e-06,IntegratedGradients
Erlotinib,0,,all,TP53,2.1839794865979096e-05,IntegratedGradients
Erlotinib,0,,all,NF1,8.615127792022381e-06,IntegratedGradients
Erlotinib,0,,all,PTEN,1.186905255629588e-05,IntegratedGradients
Erlotinib,0,,all,FBXW7,2.2993528225206967e-06,IntegratedGradients
Erlotinib,0,,all,GNAS,3.92657316251866e-06,IntegratedGradients
Erlotinib,0,,all,CDKN2A,7.264942839296127e-06,IntegratedGradients
Erlotinib,0,,all,PIK3R1,3.4680324260129395e-06,IntegratedGradients
Erlotinib,0,,all,TET2,1.8651423112410798e-06,IntegratedGradients
Erlotinib,0,,all,JAK2,3.183848918494129e-06,IntegratedGradients
Erlotinib,0,,all,ACTR3BP2,2.8888796415364655e-05,IntegratedGradients
Erlotinib,0,,all,SLC22A11,2.7173655563081158e-05,IntegratedGradients
Erlotinib,0,,all,ACVR1B,1.8720179773183424e-05,IntegratedGradients
Erlotinib,0,,all,ATF5,2.651987194267042e-05,IntegratedGradients
Erlotinib,0,,all,KDM3B,2.622843429806889e-05,IntegratedGradients
Erlotinib,0,,all,HCK,2.9943004072418527e-05,IntegratedGradients
Erlotinib,0,,all,LGR6,2.8121538573525865e-05,IntegratedGradients
Erlotinib,0,,all,GIP,2.4934179463327044e-05,IntegratedGradients
Erlotinib,0,,all,LGALS9,2.0335617968251984e-05,IntegratedGradients
Erlotinib,0,,all,PLXNA4,1.267966301802637e-05,IntegratedGradients
Erlotinib,0,,all,NR4A2,2.1521047710841103e-05,IntegratedGradients
Erlotinib,0,,all,KIAA0586,1.8330918899610495e-05,IntegratedGradients
