sample_id,variable,class_label,probability,known_label,predicted_label,split
SU-DHL-5,Erlotinib,,,,0.014645077288150787,train
FTC-238,Erlotinib,,,,0.06609640270471573,train
A2780,Erlotinib,,,0.0182631271735792,0.026434767991304398,train
KMRC-20,Erlotinib,,,,0.0056903548538684845,train
DMS 153,Erlotinib,,,,0.05725570023059845,train
MIA PaCa-2,Erlotinib,,,0.0151349256793501,0.06679411232471466,train
CFPAC-1,Erlotinib,,,,0.034851592034101486,train
Namalwa,Erlotinib,,,,0.017943575978279114,train
KE-39,Erlotinib,,,0.175092672742207,0.059836581349372864,train
SK-OV-3,Erlotinib,,,0.0792475338990637,0.01813841611146927,train
NCI-H1975,Erlotinib,,,0.0464013068654505,0.06305839121341705,train
A-498,Erlotinib,,,,0.058169886469841,train
SiMa,Erlotinib,,,0.0,0.00872020423412323,train
MDA-MB-453,Erlotinib,,,0.0290113401400771,0.05365409702062607,train
NCI-H2081,Erlotinib,,,,0.05837305635213852,train
EFM-19,Erlotinib,,,0.0049819041613393,0.06157940626144409,train
LOX-IMVI,Erlotinib,,,0.0215505910373239,0.059068843722343445,train
KO52,Erlotinib,,,0.0654167281139243,0.01957143098115921,train
Hs 606.T,Erlotinib,,,,0.01872977614402771,train
WM1799,Erlotinib,,,0.0431675041314747,0.03772304952144623,train
HuP-T4,Erlotinib,,,0.167535443444042,0.05843808129429817,train
SU-DHL-8,Erlotinib,,,0.0060804652612669,0.07018689066171646,train
COLO 205,Erlotinib,,,0.0524329965851902,0.0612325482070446,train
Hs 600.T,Erlotinib,,,,0.01943834125995636,train
EB1,Erlotinib,,,0.0057546626057488,0.023482121527194977,train
LXF 289,Erlotinib,,,,0.01560509204864502,train
OCI-Ly19,Erlotinib,,,,0.022277843207120895,train
NALM-1,Erlotinib,,,,0.018621176481246948,train
P31/FUJ,Erlotinib,,,0.010075471775247,0.01939937099814415,train
CAL-54,Erlotinib,,,,0.017961159348487854,train
LS123,Erlotinib,,,0.0687453300998243,0.0599198155105114,train
NCI-H2228,Erlotinib,,,0.111220297000768,0.06170468404889107,train
Jurkat E6.1,Erlotinib,,,0.0802025941135735,0.03382578492164612,train
