target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,mutation,KRAS,0.0019303298536625661,IntegratedGradients
Erlotinib,0,,mutation,MSH6,0.001000567278674361,IntegratedGradients
Erlotinib,0,,mutation,APC,0.0018026045148711843,IntegratedGradients
Erlotinib,0,,mutation,BRAF,0.0009732360306585424,IntegratedGradients
Erlotinib,0,,mutation,SMARCA4,0.00046369620575411143,IntegratedGradients
Erlotinib,0,,mutation,PTEN,0.0006972857144505522,IntegratedGradients
Erlotinib,0,,mutation,TP53,0.0023119264347058383,IntegratedGradients
Erlotinib,0,,mutation,NF1,0.001366172131859592,IntegratedGradients
Erlotinib,0,,mutation,BRCA2,0.002620174101191218,IntegratedGradients
Erlotinib,0,,mutation,TSC1,0.0005296815225024864,IntegratedGradients
Erlotinib,0,,mutation,FBXW7,0.0011145300831900157,IntegratedGradients
Erlotinib,0,,mutation,GNAS,0.0004922931188506576,IntegratedGradients
Erlotinib,0,,mutation,CDKN2A,0.000479620801303575,IntegratedGradients
Erlotinib,0,,mutation,PIK3R1,0.00014849971951379307,IntegratedGradients
Erlotinib,0,,mutation,JAK2,0.0009835400804280427,IntegratedGradients
Erlotinib,0,,cnv,ACTR3BP2,9.943905769163198e-05,IntegratedGradients
Erlotinib,0,,cnv,SLC22A11,0.00024335083298644518,IntegratedGradients
Erlotinib,0,,cnv,ACVR1B,2.39461505157203e-05,IntegratedGradients
Erlotinib,0,,cnv,ATF5,8.936300983233352e-05,IntegratedGradients
Erlotinib,0,,cnv,KDM3B,0.0003387658974706935,IntegratedGradients
Erlotinib,0,,cnv,HCK,0.00028579045185784353,IntegratedGradients
Erlotinib,0,,cnv,LGR6,6.72407212748e-05,IntegratedGradients
Erlotinib,0,,cnv,GIP,2.196058459442334e-05,IntegratedGradients
Erlotinib,0,,cnv,LGALS9,0.0003912992415112116,IntegratedGradients
Erlotinib,0,,cnv,PLXNA4,0.00010115338252649691,IntegratedGradients
Erlotinib,0,,cnv,NR4A2,0.00012373160744825465,IntegratedGradients
Erlotinib,0,,cnv,KIAA0586,5.3304710541842435e-05,IntegratedGradients
Erlotinib,0,,cnv,NPY,9.82219588060492e-05,IntegratedGradients
Erlotinib,0,,cnv,GUSBP4,0.00012275272567092448,IntegratedGradients
Erlotinib,0,,cnv,ZNF385D,0.0003322578299261146,IntegratedGradients
Erlotinib,0,,cnv,CYP4A11,6.30778049556943e-05,IntegratedGradients
Erlotinib,0,,cnv,TRIM65,0.00019678140810342588,IntegratedGradients
Erlotinib,0,,cnv,TIA1,8.471585996734766e-05,IntegratedGradients
Erlotinib,0,,cnv,SNRPG,8.17462074212826e-05,IntegratedGradients
Erlotinib,0,,cnv,PCYOX1,9.421456384967642e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM136A,8.27584433495385e-05,IntegratedGradients
Erlotinib,0,,cnv,CYP26B1,0.00015488431219305788,IntegratedGradients
Erlotinib,0,,cnv,GGT8P,9.635084616114259e-05,IntegratedGradients
Erlotinib,0,,cnv,ADD2,7.409148805984596e-05,IntegratedGradients
Erlotinib,0,,cnv,MXD1,0.0001000928938064343,IntegratedGradients
Erlotinib,0,,cnv,SNRNP27,9.060105322946776e-05,IntegratedGradients
Erlotinib,0,,cnv,C2orf42,9.79644005477844e-05,IntegratedGradients
Erlotinib,0,,cnv,AAK1,8.403594101119547e-05,IntegratedGradients
Erlotinib,0,,cnv,NFU1,0.00010636793750331582,IntegratedGradients
Erlotinib,0,,cnv,HK2,0.0001022295393375141,IntegratedGradients
Erlotinib,0,,cnv,GMCL1,6.007444070396673e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC01816,6.705382208458776e-05,IntegratedGradients
Erlotinib,0,,cnv,PCBP1,6.287183699685936e-05,IntegratedGradients
Erlotinib,0,,cnv,ASPRV1,6.865032647533279e-05,IntegratedGradients
Erlotinib,0,,cnv,PCBP1-AS1,5.3699922921217486e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR5000,8.489934062215092e-05,IntegratedGradients
Erlotinib,0,,cnv,TACR1,8.406131431016642e-05,IntegratedGradients
Erlotinib,0,,cnv,EVA1A,0.0002010283816411852,IntegratedGradients
Erlotinib,0,,cnv,DHFRP3,0.00013268508075124958,IntegratedGradients
Erlotinib,0,,cnv,ANAPC1P1,0.0003126090183036202,IntegratedGradients
