feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.003120461463561268,True
AATK,,,,0.018668454477684424,False
ABCA3,,,,0.0036142968433245555,True
ABCC3,,,,0.014489407561313233,False
ABCC4,,,,0.0026390028818688385,True
ABI1,,,,0.03020255043080842,False
ABL1,,,,0.01715111566124814,False
ABL2,,,,0.01594601285298577,False
ACACA,,,,0.0012155332361873748,True
ACACB,,,,0.0018316035205715431,True
ACOXL,,,,0.010423603146942148,True
ACSL6,,,,0.003834386316305658,True
ACVR1,,,,0.031619751119707905,False
ACVR1B,,,,0.01272704416460911,False
ACVR1C,,,,0.043741757652983625,False
ACVR2A,,,,0.01259528919265949,False
ACVR2B,,,,0.051859884334205665,False
ACVRL1,,,,0.011381629645148054,True
ADAM10,,,,0.0206735735913646,False
ADAM12,,,,0.0035634086452147207,True
ADAM17,,,,0.021027529232802718,False
ADAM18,,,,0.021896189134012988,False
ADAM22,,,,0.02237219801049987,False
ADAM28,,,,0.012399852349171537,False
ADAM29,,,,0.01129387525330664,True
ADAM32,,,,0.0230016719786731,False
ADAMTS18,,,,-0.002705346094247091,True
ADAMTS19,,,,0.00955121170291667,True
ADAMTS2,,,,0.019385160894366312,False
ADAMTS20,,,,0.008707733256217157,True
ADAMTSL3,,,,0.0012181203258594502,True
ADARB2,,,,0.042108997825598765,False
ADCK1,,,,0.0322300580680849,False
ADCK2,,,,0.04039958867965192,False
ADCK4,,,,0.005192385264706796,True
ADCK5,,,,0.015838987546416376,False
ADHFE1,,,,0.024662824424544275,False
ADK,,,,0.03257569074786037,False
ADRBK1,,,,0.012317148590535258,False
ADRBK2,,,,0.025133942120006223,False
AFF1,,,,0.03513743050025155,False
AFF3,,,,0.0022728608260347348,True
AFF4,,,,0.009288686313672547,True
AGAP2,,,,0.01586640120340566,False
AIFM1,,,,0.043675819077742296,False
AIFM3,,,,0.05363489879758346,False
AIM1,,,,0.024955341581649,False
AKAP12,,,,-0.011206045339723294,True
AKAP4,,,,0.019653892490769622,False
AKAP6,,,,0.0013519720010290591,True
AKAP9,,,,0.00843921211350729,True
AKT1,,,,0.016054112711582597,False
AKT2,1.0,,False,0.01594537483963827,False
AKT3,,,,0.03337546434745965,False
ALDH7A1,,,,0.04417621537136747,False
ALK,0.0,0.0042312608436076305,True,0.014735426090287098,False
ALPK1,,,,0.02793132954017796,False
ALPK2,,,,0.01280969334578651,False
ALPK3,,,,0.03605424474542132,False
ALS2,,,,0.00210902702743589,True
AMHR2,,,,0.010566106357160354,True
AMZ2,,,,0.04777003732603444,False
ANAPC5,,,,0.03220146957787494,False
ANGPTL4,,,,0.020422918119282388,False
ANKK1,,,,0.036276804687669285,False
APAF1,,,,0.034349783243317604,False
APBB1IP,,,,0.04148352272861124,False
APC,0.0,0.04584266601488154,True,0.0037568728069272018,True
AR,,,,0.017651171822855753,False
ARAF,,,,0.01859292235114003,False
ARFGEF1,,,,0.020302686212494613,False
ARHGAP26,,,,0.009299703192200947,True
ARHGAP29,,,,0.02233713581091256,False
ARHGDIB,,,,0.03345089957434441,False
ARHGEF10,,,,0.00537296898301804,True
ARHGEF12,,,,0.01314759765691173,False
ARHGEF7,,,,0.03153832709985119,False
ARID1A,,,,0.008267855529637394,True
ARNT,,,,0.014027739912873283,False
ASH2L,,,,0.03175457921089798,False
ASPH,,,,0.012337105313362037,False
ASPSCR1,,,,0.014794635922732344,False
ASTN1,,,,0.013572583430442547,False
ATF1,,,,0.033857642464608866,False
ATF2,,,,0.010020187527629242,True
ATIC,,,,0.012026971305964279,True
ATM,,,,0.0068157210192540734,True
ATP10A,,,,0.01131635106097829,True
ATP11A,,,,0.015044565498584869,False
ATP13A5,,,,0.013852884305920033,False
ATP5S,,,,5.112334568681486e-06,True
ATP8B1,,,,0.018377938177992412,False
ATR,,,,0.008951864815847267,True
ATRX,,,,0.01215481990045065,True
AURKA,,,,0.012920254127706435,False
AURKB,,,,0.03724707935947245,False
AURKC,,,,0.0634003018143843,False
AXIN1,,,,0.03138974941583866,False
AXIN2,,,,0.023122266748427038,False
AXL,,,,0.01800035292906702,False
B3GALT6,,,,0.029136748216098192,False
BAD,,,,0.06701836620516279,False
BAG4,,,,0.017657843314755325,False
BAI1,,,,0.01976204161630139,False
BAI3,,,,0.013025905523768347,False
BAK1,,,,0.00014608855828643604,True
BAP1,,,,0.011188446459209519,True
BAT3,,,,0.008468926013203619,True
BAX,,,,0.01791952836973973,False
BCAR1,,,,0.04403826817128125,False
BCKDK,,,,0.0258992751430752,False
BCL10,,,,0.034295293642758636,False
BCL11A,,,,0.007589913097870563,True
BCL11B,,,,0.016431032278369468,False
BCL2,,,,2.492101702405593e-05,True
BCL2A1,,,,0.10044598332637182,False
BCL2L1,,,,0.02874873228350604,False
BCL2L11,,,,0.04518035500415739,False
BCL2L2,,,,5.000855044712106e-06,True
BCL3,,,,0.036925865953964104,False
BCL6,,,,0.01058349486237488,True
BCL7A,,,,9.83984012026108e-06,True
BCL9,,,,0.013395167100563132,False
BCR,,,,0.034818292078968534,False
BGLAP,,,,4.91804111247116e-06,True
BID,,,,0.0002970111380539676,True
BIK,,,,0.033404648184775676,False
BIRC2,,,,0.013345533338717753,False
BIRC3,,,,0.03443290380940425,False
BIRC5,,,,0.04067646888427514,False
BIRC6,,,,0.017975935412194062,False
BLK,,,,0.03652843582092768,False
BLM,,,,0.009179250938955871,True
BLNK,,,,0.041428578352257654,False
BMF,,,,0.025412574436945223,False
BMI1,,,,0.017322684575228384,False
BMP2K,,,,0.023831364859925985,False
BMP4,,,,0.06196878790081098,False
BMPR1A,,,,0.010222280591528684,True
BMPR1B,,,,0.03366789228424253,False
BMPR2,,,,0.008924501386865177,True
BMX,,,,0.0011493021632614437,True
BNIP3,,,,0.08656192140972398,False
BOK,,,,4.91804111247116e-06,True
BRAF,0.0,0.0801174815984229,True,0.004061596239483795,True
BRCA1,0.0,0.0028248474382039576,True,0.02392653884422659,False
BRCA2,0.0,0.008426459805025422,True,0.008404732446259819,True
BRCC3,,,,0.04494005590863218,False
BRD2,,,,0.012133949768042905,True
BRD3,,,,0.028440683360526443,False
BRD4,,,,0.03806445307328946,False
BRDT,,,,0.01872808344866609,False
BRF2,,,,0.1505085130402718,False
BRIP1,,,,0.008334849908257483,True
BRSK1,,,,0.037869708958132985,False
BRSK2,,,,0.03551645032316368,False
BTG1,,,,0.03361409120874368,False
BTK,,,,0.0265307956982133,False
BTRC,,,,0.03989605479581203,False
BUB1,,,,0.028461288636924754,False
BUB1B,,,,0.014997100580761855,False
C15orf2,,,,0.009946718223459198,True
C15orf55,,,,0.01777597869895348,False
C17orf37,,,,0.100246525441495,False
C6orf97,,,,0.03744910925939276,False
C9orf96,,,,0.019046501609283544,False
CABC1,,,,0.019693461885862344,False
CACNA1F,,,,0.012462403343713433,False
CACNB2,,,,0.01971037267876421,False
CAD,,,,0.016818616636063096,False
CAMK1,,,,0.01631050247922874,False
CAMK1D,,,,0.04379624323538305,False
CAMK1G,,,,0.0006377836206670404,True
CAMK2A,,,,0.00022209314643747042,True
CAMK2B,,,,0.04516879503884566,False
CAMK2D,,,,0.04478858073108787,False
CAMK2G,,,,0.014172947298320382,False
CAMK4,,,,0.026365294360033906,False
CAMKK1,,,,0.057958842070881804,False
CAMKK2,,,,0.0512099486962428,False
CAMKV,,,,0.01574023598408754,False
CARD10,,,,0.006161510715816906,True
CARD11,,,,0.02181565175805524,False
CARD14,,,,0.011331136922908937,True
CARD9,,,,0.029901682152482945,False
CARS,,,,0.008001913581614065,True
CASC5,,,,0.0009210943486964312,True
CASK,,,,0.025835056432584026,False
CASP1,,,,0.02919424432470971,False
CASP10,,,,0.04203220044952845,False
CASP2,,,,0.011551459433933388,True
CASP3,,,,0.00044014676168301184,True
CASP4,,,,0.007632656253015593,True
CASP6,,,,0.02879158017387564,False
CASP7,,,,0.015227401293931542,False
CASP8,,,,0.028364263474008167,False
CASP9,,,,0.0011822341981672215,True
CATSPERB,,,,0.011933267002444195,True
CBFA2T3,,,,0.021724376076670965,False
CBFB,,,,0.05016979041770466,False
CBL,,,,0.03362521603505914,False
CCDC50,,,,0.05084153957705832,False
CCDC56,,,,0.00015583655142372305,True
CCDC6,,,,0.0022911981380415226,True
CCL3,,,,5.000855044712103e-06,True
CCL4,,,,0.00016089885472832474,True
CCNA1,,,,0.03478326841171629,False
CCNA2,,,,0.033978055110101935,False
CCNB1,,,,0.02903351638968821,False
CCNB1IP1,,,,0.005852819595271048,True
CCND1,1.0,,False,0.05745984973902985,False
CCND2,1.0,,False,0.031662601297625194,False
CCND3,1.0,,False,4.509057975988615e-05,True
CCNE1,,,,0.00019587840350712468,True
CCNG1,,,,0.040628166667115155,False
CCNT1,,,,0.031787217597296934,False
CCR1,,,,0.00012199501488254276,True
CCR4,,,,0.0003063854325986448,True
CCR5,,,,0.02662870042167391,False
CD160,,,,0.00022638358629065148,True
CD40,,,,0.050366774331620214,False
CD40LG,,,,0.022615799211139553,False
CD44,,,,0.010175793413051278,True
CD79A,,,,0.10081766721706063,False
CD79B,,,,0.029169953856444813,False
CDC25A,,,,0.03592831613747621,False
CDC25C,,,,0.02546632291377513,False
CDC34,,,,0.10045410285036326,False
CDC42,,,,0.02874498997842294,False
CDC42BPA,,,,0.016779420616962998,False
CDC42BPB,,,,0.020742633225089787,False
CDC42BPG,,,,0.023656516594146793,False
CDC5L,,,,0.027314342119085615,False
CDC7,,,,0.012205061125016929,True
CDC73,,,,0.024207061758262424,False
CDH1,0.0,0.016708672081291495,True,0.014626077443964564,False
CDH11,,,,0.012703284905508587,False
CDH2,,,,0.022106780737900174,False
CDH3,,,,0.010468527044126904,True
CDK1,,,,0.03419819137489023,False
CDK10,,,,0.010636901716361639,True
CDK11A,,,,0.029206099803903353,False
CDK11B,,,,0.04088598189794269,False
CDK12,,,,0.015811545576958217,False
CDK13,,,,0.031924102640960274,False
CDK14,,,,0.01984273574430817,False
CDK15,,,,0.05090159118987821,False
