sample_id,variable,class_label,probability,known_label,predicted_label,split
CGTH-W-1,Erlotinib,,,,0.08033690601587296,train
COV644,Erlotinib,,,,0.02408410608768463,train
NCI-H1339,Erlotinib,,,0.0038380460953742,0.06771959364414215,train
EFM-192A,Erlotinib,,,,0.041169423609972,train
Hs 751.T,Erlotinib,,,,0.025972235947847366,train
VMRC-LCP,Erlotinib,,,,0.11313660442829132,train
HCC78,Erlotinib,,,0.0077521003033489,0.04480953514575958,train
NCI-H1435,Erlotinib,,,,0.0318799652159214,train
REC-1,Erlotinib,,,,0.04828807711601257,train
Hs 688(A).T,Erlotinib,,,,0.061303190886974335,train
TT2609-C02,Erlotinib,,,0.0764294419818976,0.10852286964654922,train
SW1116,Erlotinib,,,,0.005710810888558626,train
LAMA-84,Erlotinib,,,,0.02626749314367771,train
PC-14,Erlotinib,,,0.540454830321444,0.19864718616008759,train
SNU-C4,Erlotinib,,,,0.027074456214904785,train
B-CPAP,Erlotinib,,,0.0266103192388467,0.052578479051589966,train
RL95-2,Erlotinib,,,0.217167068821168,0.050854094326496124,train
S-117,Erlotinib,,,,0.033702552318573,train
Hs 939.T,Erlotinib,,,0.0189969794046147,0.015937507152557373,train
LCLC-97TM1,Erlotinib,,,,0.01581389829516411,train
OE33,Erlotinib,,,0.0994217425891791,0.07885764539241791,train
A-375,Erlotinib,,,0.0345979103829177,0.09885873645544052,train
MCAS,Erlotinib,,,0.028530477754127,0.07582810521125793,train
OUMS-23,Erlotinib,,,,0.10421982407569885,train
JVM-3,Erlotinib,,,0.112902060411961,0.03063254803419113,train
Ri-1,Erlotinib,,,,0.03098653256893158,train
HuH-28,Erlotinib,,,,0.06794712692499161,train
YD-38,Erlotinib,,,,0.0247829370200634,train
TE 125.T,Erlotinib,,,,0.05987124890089035,train
Hs 766T,Erlotinib,,,0.0991126936068783,0.017851941287517548,train
HLF-a,Erlotinib,,,,0.01722094789147377,train
Caov-3,Erlotinib,,,,0.027470750734210014,train
CMK-11-5,Erlotinib,,,,0.07970964163541794,train
OVMANA,Erlotinib,,,0.0221955939297399,0.08347848057746887,train
NCI-H1836,Erlotinib,,,,0.09223354607820511,train
CL-34,Erlotinib,,,,0.08563555777072906,train
