target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,KRAS,0.0015595698578978743,IntegratedGradients
Erlotinib,0,,all,MSH6,2.223311242434441e-05,IntegratedGradients
Erlotinib,0,,all,JAK2,0.00011686045991560949,IntegratedGradients
Erlotinib,0,,all,BRAF,2.5706997710801103e-05,IntegratedGradients
Erlotinib,0,,all,TP53,0.00029764278386297196,IntegratedGradients
Erlotinib,0,,all,APC,0.0004159827271350089,IntegratedGradients
Erlotinib,0,,all,SMARCA4,0.00029306974706650905,IntegratedGradients
Erlotinib,0,,all,BRCA2,8.390330490755882e-05,IntegratedGradients
Erlotinib,0,,all,PTEN,0.0001332906382301318,IntegratedGradients
Erlotinib,0,,all,NF1,0.0004887841127246251,IntegratedGradients
Erlotinib,0,,all,TSC1,6.677346787787569e-05,IntegratedGradients
Erlotinib,0,,all,PIK3R1,0.00027000197820679624,IntegratedGradients
Erlotinib,0,,all,FBXW7,4.753106198073741e-05,IntegratedGradients
Erlotinib,0,,all,CDH1,0.00015492455099236856,IntegratedGradients
Erlotinib,0,,all,KDM6A,6.97327890267692e-05,IntegratedGradients
Erlotinib,0,,all,ACTR3BP2,0.00014399043845275688,IntegratedGradients
Erlotinib,0,,all,SCGB1D2,3.3577330136821445e-05,IntegratedGradients
Erlotinib,0,,all,ACVR1B,7.001392974619698e-05,IntegratedGradients
Erlotinib,0,,all,ATF5,0.00011935821529433496,IntegratedGradients
Erlotinib,0,,all,KDM3B,0.00019424063742188728,IntegratedGradients
Erlotinib,0,,all,HCK,6.449387570317372e-05,IntegratedGradients
Erlotinib,0,,all,LGR6,6.085495562478488e-05,IntegratedGradients
Erlotinib,0,,all,GIP,2.228659900919319e-05,IntegratedGradients
Erlotinib,0,,all,LGALS9,0.0002172653341210049,IntegratedGradients
Erlotinib,0,,all,KIAA0586,0.00017559780478280883,IntegratedGradients
Erlotinib,0,,all,GGCT,5.550507642980928e-05,IntegratedGradients
Erlotinib,0,,all,NR4A2,8.640699320429997e-05,IntegratedGradients
Erlotinib,0,,all,OR2F1,0.00017979277670275484,IntegratedGradients
