feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.00223108311596922,True
AATK,,,,0.018619519567413857,False
ABCA3,,,,0.0034124154244587757,True
ABCC3,,,,0.014701000784309264,False
ABCC4,,,,0.002648035148729045,True
ABI1,,,,0.02876157756724248,False
ABL1,,,,0.010868747913804294,False
ABL2,,,,0.010922225622856843,False
ACACA,,,,0.006846093657235197,True
ACACB,,,,0.0013761072694271708,True
ACOXL,,,,0.010421748320417947,True
ACSL6,,,,0.0039022799609908154,True
ACVR1,,,,0.0316431211435935,False
ACVR1B,,,,0.013203741723879553,False
ACVR1C,,,,0.0293366793911966,False
ACVR2A,,,,0.012659696764087982,False
ACVR2B,,,,0.031074386198737702,False
ACVRL1,,,,0.011388039489241048,False
ADAM10,,,,0.01040521920025595,True
ADAM12,,,,0.0035454681422354864,True
ADAM17,,,,0.021049063567351832,False
ADAM18,,,,0.021955796527007448,False
ADAM22,,,,0.022395518738822874,False
ADAM28,,,,0.011389076808507429,False
ADAM29,,,,0.009068576409163554,True
ADAM32,,,,0.022972255905425013,False
ADAMTS18,,,,-0.002589997125759019,True
ADAMTS19,,,,0.01037621389440824,True
ADAMTS2,,,,0.015050277750269596,False
ADAMTS20,,,,0.007827100024249094,True
ADAMTSL3,,,,0.0024946215773913832,True
ADARB2,,,,0.04214461074268494,False
ADCK1,,,,0.03227840759797796,False
ADCK2,,,,0.04040179552447945,False
ADCK4,,,,0.005208737149630774,True
ADCK5,,,,0.015841366807112293,False
ADHFE1,,,,0.024679849189160177,False
ADK,,,,6.427165041780973e-05,True
ADRBK1,,,,0.012222809014463584,False
ADRBK2,,,,0.025166622932779457,False
AFF1,,,,0.028403484972050592,False
AFF3,,,,0.00411112332327077,True
AFF4,,,,0.009375807633742286,True
AGAP2,,,,0.01583771406785691,False
AIFM1,,,,0.03655979299604046,False
AIFM3,,,,0.046236362948636825,False
AIM1,,,,0.015105140339368689,False
AKAP12,,,,-0.0139247513621829,True
AKAP4,,,,0.015866204428359978,False
AKAP6,,,,0.004419548113472604,True
AKAP9,,,,0.0076893295417816915,True
AKT1,,,,0.016057915013589417,False
AKT2,1.0,,False,0.015973354498570843,False
AKT3,,,,0.03933524122508539,False
ALDH7A1,,,,0.03921217171698798,False
ALK,0.0,0.0042312608436076305,True,0.014785895715941579,False
ALPK1,,,,0.02386836705092639,False
ALPK2,,,,0.012913295305494031,False
ALPK3,,,,0.03110757864364939,False
ALS2,,,,0.0032754032526114613,True
AMHR2,,,,0.0016002221945927266,True
AMZ2,,,,0.035940293278740904,False
ANAPC5,,,,0.010527839871891983,False
ANGPTL4,,,,0.02042537747507976,False
ANKK1,,,,0.01932199433523681,False
APAF1,,,,0.028535893916936467,False
APBB1IP,,,,0.02317881568666212,False
APC,0.0,0.04584266601488154,True,0.003510008295932345,True
AR,,,,0.00958350562602931,True
ARAF,,,,0.01862417771091958,False
ARFGEF1,,,,0.021658877752845317,False
ARHGAP26,,,,0.00422959700276501,True
ARHGAP29,,,,0.019709930028760262,False
ARHGDIB,,,,0.023296526110977867,False
ARHGEF10,,,,0.0053315406480121804,True
ARHGEF12,,,,0.024086570261427243,False
