sample_id,variable,class_label,probability,known_label,predicted_label,split
59M,Erlotinib,,,,0.07291968166828156,train
KM12,Erlotinib,,,,0.03638870269060135,train
NCI-H1793,Erlotinib,,,0.142220559643126,0.07556678354740143,train
SiMa,Erlotinib,,,0.0,-0.012254925444722176,train
BC-3C,Erlotinib,,,,0.1443345546722412,train
Panc 08.13,Erlotinib,,,,0.1421414613723755,train
Daoy,Erlotinib,,,0.033018722300065,0.0525054857134819,train
SK-MEL-28,Erlotinib,,,,0.044192492961883545,train
Hs 852.T,Erlotinib,,,0.0606494731196107,0.025548649951815605,train
MPP 89,Erlotinib,,,0.0190493875298152,0.026739638298749924,train
LCLC-103H,Erlotinib,,,0.0185216437044789,0.02445836551487446,train
EM-2,Erlotinib,,,0.0606996145153811,0.10624876618385315,train
NUGC-3,Erlotinib,,,0.236166481231863,0.19814658164978027,train
RKN,Erlotinib,,,0.0210373946360292,0.024068757891654968,train
AGS,Erlotinib,,,,0.10133413970470428,train
U2OS,Erlotinib,,,0.0449365561233068,0.0765954777598381,train
IPC-298,Erlotinib,,,0.0528985627972757,0.03636803478002548,train
SNU-398,Erlotinib,,,0.0,0.0043641370721161366,train
A-704,Erlotinib,,,,0.1013948991894722,train
IGR-1,Erlotinib,,,,0.022135697305202484,train
Caov-4,Erlotinib,,,,0.09624772518873215,train
SK-N-MC,Erlotinib,,,,0.04262704402208328,train
BDCM,Erlotinib,,,0.0132267808987782,0.035625677555799484,train
RD-ES,Erlotinib,,,,0.03333956003189087,train
HCC1143,Erlotinib,,,,0.11860770732164383,train
BT-474,Erlotinib,,,0.0537926082643491,0.12764142453670502,train
HH [Human lymphoma],Erlotinib,,,0.0,0.028615035116672516,train
PE/CA-PJ41 (clone D2),Erlotinib,,,,0.2026245892047882,train
TE-4,Erlotinib,,,,0.22924353182315826,train
KMRC-3,Erlotinib,,,,0.14811831712722778,train
Mono-Mac-1,Erlotinib,,,0.127921804524056,0.11213735491037369,train
Karpas-620,Erlotinib,,,0.0213122057174258,0.011351032182574272,train
KYSE-70,Erlotinib,,,0.171711681503882,0.17157046496868134,train
CAL-33,Erlotinib,,,,0.2812255620956421,train
NCI-H358,Erlotinib,,,0.188750461482114,0.11392653733491898,train
TE-14,Erlotinib,,,,0.21052083373069763,train
SK-MEL-24,Erlotinib,,,0.0174420687459357,0.02483084425330162,train
HEL,Erlotinib,,,,0.03567080572247505,train
BT-20,Erlotinib,,,0.135831213554948,0.11365346610546112,train
YAPC,Erlotinib,,,,0.08285026252269745,train
HMEL,Erlotinib,,,,0.25326621532440186,train
T24,Erlotinib,,,0.0768022402098758,0.04010697826743126,train
