target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,mutation,MSH6,0.0015733551524830154,IntegratedGradients
Erlotinib,0,,mutation,BRAF,0.0016709171690315841,IntegratedGradients
Erlotinib,0,,mutation,JAK2,0.0010305755530748647,IntegratedGradients
Erlotinib,0,,mutation,KRAS,0.0026201156785179086,IntegratedGradients
Erlotinib,0,,mutation,TSC1,0.0011720556951211347,IntegratedGradients
Erlotinib,0,,mutation,APC,0.003945322328918148,IntegratedGradients
Erlotinib,0,,mutation,TP53,0.004477143429804644,IntegratedGradients
Erlotinib,0,,mutation,PTEN,0.0012609181743493084,IntegratedGradients
Erlotinib,0,,mutation,SMARCA4,0.0012880830801204428,IntegratedGradients
Erlotinib,0,,mutation,BRCA2,0.002423519028268768,IntegratedGradients
Erlotinib,0,,mutation,NF1,0.001430290220657383,IntegratedGradients
Erlotinib,0,,mutation,PIK3R1,0.0009619332230477913,IntegratedGradients
Erlotinib,0,,mutation,FBXW7,0.001891374754854197,IntegratedGradients
Erlotinib,0,,mutation,CDH1,0.0009446372999636982,IntegratedGradients
Erlotinib,0,,rna,TNFRSF17,0.0003971382116642378,IntegratedGradients
Erlotinib,0,,rna,SPIB,0.00035725014819505224,IntegratedGradients
Erlotinib,0,,rna,CD53,0.0003839421075342682,IntegratedGradients
Erlotinib,0,,rna,LGALS4,0.0009706236358275538,IntegratedGradients
Erlotinib,0,,rna,SOX10,0.0006035171866673027,IntegratedGradients
Erlotinib,0,,rna,CD19,0.0002720356350171942,IntegratedGradients
Erlotinib,0,,rna,YAP1,0.000608951923584955,IntegratedGradients
Erlotinib,0,,rna,MZB1,0.0005241185242870574,IntegratedGradients
Erlotinib,0,,rna,MLANA,0.00022049783665959818,IntegratedGradients
Erlotinib,0,,rna,FXYD3,0.0009332992061976626,IntegratedGradients
Erlotinib,0,,rna,GRHL2,0.0004785691598845962,IntegratedGradients
Erlotinib,0,,rna,CCN1,0.000862888717268392,IntegratedGradients
Erlotinib,0,,rna,SPI1,0.00034567427519739246,IntegratedGradients
Erlotinib,0,,rna,GATA1,0.0004378784685986421,IntegratedGradients
Erlotinib,0,,rna,GNG12,0.0005659144268492393,IntegratedGradients
Erlotinib,0,,rna,PHOX2A,0.00033701206537736035,IntegratedGradients
Erlotinib,0,,rna,MYB,0.0005268751974605421,IntegratedGradients
Erlotinib,0,,rna,CD52,0.00043844924955160235,IntegratedGradients
Erlotinib,0,,rna,GJB3,0.0014664385305654243,IntegratedGradients
Erlotinib,0,,rna,LYZ,0.00043826983359922185,IntegratedGradients
Erlotinib,0,,rna,LLGL2,0.0009372852658745706,IntegratedGradients
Erlotinib,0,,rna,INSM1,0.00044101968051988086,IntegratedGradients
Erlotinib,0,,rna,POU2F2,0.00034684598388717397,IntegratedGradients
Erlotinib,0,,rna,ITGA3,0.0005693621176085534,IntegratedGradients
Erlotinib,0,,rna,AXL,0.0005959457291980068,IntegratedGradients
Erlotinib,0,,rna,PRR15L,0.00051087215830985,IntegratedGradients
Erlotinib,0,,rna,AGR2,0.0006465324107912995,IntegratedGradients
Erlotinib,0,,rna,SDC4,0.000808189420155985,IntegratedGradients
Erlotinib,0,,rna,CHGA,0.00047370502239702823,IntegratedGradients
Erlotinib,0,,rna,LAD1,0.0007998497156495502,IntegratedGradients
Erlotinib,0,,rna,MST1R,0.000707102840654899,IntegratedGradients
Erlotinib,0,,rna,WIPF1,0.0005225861736619232,IntegratedGradients
Erlotinib,0,,rna,MPZL2,0.0005144873829932418,IntegratedGradients
Erlotinib,0,,rna,KLF5,0.0013245781650742345,IntegratedGradients
Erlotinib,0,,rna,HOOK1,0.0010155523394874582,IntegratedGradients
Erlotinib,0,,rna,TPM1,0.00040411558367066765,IntegratedGradients
Erlotinib,0,,rna,WWTR1,0.0007170752712890369,IntegratedGradients
Erlotinib,0,,rna,MAP7,0.00043028664075070433,IntegratedGradients
Erlotinib,0,,rna,CAV1,0.0007865863536789897,IntegratedGradients
Erlotinib,0,,rna,ELF3,0.0005728868862924013,IntegratedGradients
Erlotinib,0,,rna,PIM2,0.00037876437364960206,IntegratedGradients
Erlotinib,0,,rna,DDR1,0.0007369619598193151,IntegratedGradients
Erlotinib,0,,rna,SYDE1,0.00047682509252515686,IntegratedGradients
Erlotinib,0,,rna,CYTIP,0.0004474842217708748,IntegratedGradients
Erlotinib,0,,rna,RND3,0.0004690583258500769,IntegratedGradients
Erlotinib,0,,rna,IFFO1,0.0007407835833183169,IntegratedGradients
Erlotinib,0,,rna,GFI1B,0.0002535435517652264,IntegratedGradients
Erlotinib,0,,rna,GPX2,0.0007584472028054009,IntegratedGradients
Erlotinib,0,,rna,DSP,0.0005670951741560566,IntegratedGradients
Erlotinib,0,,rna,RASGRP2,0.0003801802893989424,IntegratedGradients
Erlotinib,0,,rna,PLEK,0.0004518253146846514,IntegratedGradients
Erlotinib,0,,rna,FOSL1,0.0005512045746197854,IntegratedGradients
Erlotinib,0,,rna,ZEB1,0.0010933816255929547,IntegratedGradients
Erlotinib,0,,rna,LCP2,0.0003383347864622737,IntegratedGradients
Erlotinib,0,,rna,F11R,0.0005323946983371237,IntegratedGradients
Erlotinib,0,,rna,MISP,0.000626692587988541,IntegratedGradients
Erlotinib,0,,rna,TEAD1,0.0005278661653838608,IntegratedGradients
Erlotinib,0,,rna,TSPAN6,0.00043515053335572415,IntegratedGradients
Erlotinib,0,,rna,BLNK,0.0010582827482264008,IntegratedGradients
Erlotinib,0,,rna,CALD1,0.000676787968870705,IntegratedGradients
Erlotinib,0,,rna,S100A2,0.0016309170955306615,IntegratedGradients
Erlotinib,0,,rna,ARHGAP25,0.0003319787322778559,IntegratedGradients
Erlotinib,0,,rna,APBB1IP,0.0003518208207855706,IntegratedGradients
Erlotinib,0,,rna,TFF3,0.0006502967353146996,IntegratedGradients
Erlotinib,0,,rna,LAIR1,0.0006843883955658701,IntegratedGradients
Erlotinib,0,,rna,LOXL2,0.0005292573346799833,IntegratedGradients
Erlotinib,0,,rna,ELAVL3,0.00033906670796276215,IntegratedGradients
Erlotinib,0,,rna,B3GNT3,0.001036322883854041,IntegratedGradients
Erlotinib,0,,rna,OSMR,0.0010533713922248405,IntegratedGradients
Erlotinib,0,,rna,LMNA,0.0005638390568660401,IntegratedGradients
Erlotinib,0,,rna,CD3G,0.0002736653917965988,IntegratedGradients
Erlotinib,0,,rna,PARVA,0.00047079982515438584,IntegratedGradients
Erlotinib,0,,rna,ASCL1,0.0003643207865447564,IntegratedGradients
Erlotinib,0,,rna,TJP3,0.0007382402592203192,IntegratedGradients
Erlotinib,0,,rna,SFN,0.0006229258138268917,IntegratedGradients
Erlotinib,0,,rna,CTSL,0.0005863226059468985,IntegratedGradients
Erlotinib,0,,rna,TSPAN1,0.0005690229058779841,IntegratedGradients
Erlotinib,0,,rna,S100P,0.0007000711713439547,IntegratedGradients
Erlotinib,0,,rna,VPREB1,0.0005791212704364985,IntegratedGradients
Erlotinib,0,,rna,DNTT,0.00023196521489250564,IntegratedGradients
Erlotinib,0,,rna,SH3BP4,0.00047609300165917396,IntegratedGradients
Erlotinib,0,,rna,CTBP2,0.000345110694467548,IntegratedGradients
Erlotinib,0,,rna,SPDEF,0.0006771007411423361,IntegratedGradients
Erlotinib,0,,rna,GPRC5A,0.0005909079282506145,IntegratedGradients
Erlotinib,0,,rna,SH2D3A,0.0006327604957666379,IntegratedGradients
Erlotinib,0,,rna,CAP2,0.0004325485432892756,IntegratedGradients
Erlotinib,0,,rna,LSR,0.0007633384474775102,IntegratedGradients
Erlotinib,0,,rna,CD3D,0.00031215872021159917,IntegratedGradients
Erlotinib,0,,rna,EMP3,0.0004921000117335347,IntegratedGradients
Erlotinib,0,,rna,CCDC69,0.0005003234427386483,IntegratedGradients
Erlotinib,0,,rna,PPL,0.0006480236726900312,IntegratedGradients
Erlotinib,0,,rna,ATP2A3,0.0010650929641777846,IntegratedGradients
Erlotinib,0,,rna,KRT19,0.0010836505247000532,IntegratedGradients
Erlotinib,0,,rna,PDGFRB,0.0004065018701306672,IntegratedGradients
Erlotinib,0,,rna,RNASE2,0.00016059958920457284,IntegratedGradients
Erlotinib,0,,rna,FLI1,0.0004173636909319982,IntegratedGradients
Erlotinib,0,,rna,GPR87,0.0005782194038045025,IntegratedGradients
Erlotinib,0,,rna,STAP1,0.00027335531138581327,IntegratedGradients
Erlotinib,0,,rna,LAMB1,0.0006360218231390856,IntegratedGradients
Erlotinib,0,,rna,HEPH,0.00047574696020901943,IntegratedGradients
Erlotinib,0,,rna,PLCG2,0.0007191858377477116,IntegratedGradients
Erlotinib,0,,rna,LY86,0.0005263442452169432,IntegratedGradients
Erlotinib,0,,rna,TM4SF5,0.0004391156590188746,IntegratedGradients
Erlotinib,0,,rna,HNF4A,0.0004508109683058421,IntegratedGradients
Erlotinib,0,,rna,CLDN3,0.0006675476580824432,IntegratedGradients
Erlotinib,0,,rna,LAPTM4B,0.00046539722251309155,IntegratedGradients
Erlotinib,0,,rna,PRSS23,0.0006804181354622867,IntegratedGradients
Erlotinib,0,,rna,FERMT2,0.00043322914483250003,IntegratedGradients
Erlotinib,0,,rna,SEPTIN10,0.0004409874106734064,IntegratedGradients
Erlotinib,0,,rna,IGLL3P,0.00041451241894817863,IntegratedGradients
Erlotinib,0,,rna,GPR35,0.00046632201393241737,IntegratedGradients
Erlotinib,0,,rna,FAM114A1,0.0007063727824729619,IntegratedGradients
Erlotinib,0,,rna,ATP1B1,0.0009425428940675449,IntegratedGradients
Erlotinib,0,,rna,IRF8,0.0004997235071983124,IntegratedGradients
Erlotinib,0,,rna,CDH3,0.00085053001791717,IntegratedGradients
Erlotinib,0,,rna,TGFBI,0.0005348795481898497,IntegratedGradients
Erlotinib,0,,rna,ITGB4,0.000673783024671866,IntegratedGradients
Erlotinib,0,,rna,CTNND1,0.0005669033626112939,IntegratedGradients
Erlotinib,0,,rna,ZEB2,0.0007178686680204855,IntegratedGradients
Erlotinib,0,,rna,EHD2,0.0006645777127103888,IntegratedGradients
