feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
A1BG,0.0,0.22578442872648646,True,-0.046847162620313486,False
A1BG-AS1,0.0,0.22578442872648646,True,-0.046847162620313486,False
A1CF,0.0,0.24092861164609808,True,-0.04836104955930976,False
A2M,0.0,0.2714521798086867,True,-0.03358885501707906,False
A2M-AS1,0.0,0.2714521798086867,True,-0.03358885501707906,False
A2ML1,0.0,0.26965334205645813,True,-0.03599958065056705,False
A2MP1,0.0,0.2685604033765074,True,-0.03504136911045502,False
A3GALT2,0.0,0.20051506223452442,True,-0.04277206965348818,False
A4GALT,0.0,0.20799809542057313,True,-0.03236564172185053,False
A4GNT,0.0,0.2088181286493543,True,-0.048081781800607744,False
AA06,0.0,0.23716787578414109,True,-0.0416043043683435,False
AAAS,0.0,0.18817738456566702,True,-0.050166653386061855,False
AACS,0.0,0.1853401806633364,True,-0.03756464992326555,False
AACSP1,0.0,0.24684444766125102,True,-0.046130886869404863,False
AADAC,0.0,0.24910641145294724,True,-0.038441954985509307,False
AADACL2,0.0,0.22357668980488346,True,-0.043653091857683415,False
AADACL3,0.0,0.2222976369234319,True,-0.03445889301779549,False
AADACL4,0.0,0.22401865465741366,True,-0.03584776411430186,False
AADACP1,0.0,0.22519437739622417,True,-0.04296405648007153,False
AADAT,0.0,0.1962781013518422,True,-0.023758530337750834,False
AAGAB,0.0,0.17484899869131762,True,-0.0454581747434579,False
AAK1,0.0,0.16273680445507535,True,-0.05996069879061497,True
AAMDC,0.0,0.2845366616516533,True,-0.0271726517682469,False
AAMP,0.0,0.1577101193902929,False,-0.04864618149004989,False
AANAT,0.0,0.2200119459519516,True,-0.050968902709246165,False
AAR2,0.0,0.2944992880767817,True,-0.053040810061723634,True
AARD,0.0,0.3375790372702061,True,-0.04316746276415796,False
AARS,0.0,0.21394632281401968,True,-0.035731227702134404,False
AARS2,0.0,0.20610757056308596,True,-0.04679535619423961,False
AARSD1,0.0,0.19702477253497655,True,-0.043211880204492875,False
AASDH,0.0,0.21537326311673657,True,-0.02302155751346389,False
AASDHPPT,0.0,0.30090393131928006,True,-0.03031204133147342,False
AASS,0.0,0.29239022948092847,True,-0.047980966255047316,False
AATBC,0.0,0.187826387053766,True,-0.0357064219257085,False
AATF,0.0,0.22348512549569685,True,-0.039125036049628366,False
AATK,0.0,0.21421514816955395,True,-0.04837863042138737,False
ABAT,0.0,0.19227105198727426,True,-0.022083831389762477,False
ABCA1,0.0,0.20574887608006356,True,-0.04151703607276427,False
ABCA10,0.0,0.22423064891416752,True,-0.04968844847184879,False
ABCA11P,0.0,0.23269029414906803,True,-0.028271308850372448,False
ABCA12,0.0,0.16744294660896358,True,-0.043763115000242964,False
ABCA13,0.0,0.2838640153313477,True,-0.04936864172795754,False
ABCA17P,0.0,0.17931430058030715,True,-0.038430421436986946,False
ABCA2,0.06198347107438017,0.20459821896628763,True,,
ABCA3,0.0,0.1798823765928534,True,-0.03881745195937746,False
ABCA4,0.0,0.24273194112745392,True,-0.034205144433933,False
ABCA5,0.0,0.22825591566209713,True,-0.049436008167126545,False
ABCA6,0.0,0.22505876502687874,True,-0.049738969698711596,False
ABCA7,0.0,0.18394659392600443,True,-0.034663695801642094,False
ABCA8,0.0,0.22726221517943368,True,-0.050084744121336566,False
ABCA9,0.0,0.22425596070320575,True,-0.04980305542537933,False
ABCB1,0.0,0.28110963482419854,True,-0.04502220312901847,False
ABCB10,0.0,0.21782859278504704,True,-0.05191580206039005,True
ABCB11,0.0,0.1509659918081824,False,-0.04192203144333651,False
ABCB4,0.0,0.2810551725185245,True,-0.04502802222789092,False
ABCB5,0.0,0.3076231833650978,True,-0.05152017588564815,False
ABCB6,0.0,0.1572058717416479,False,-0.050121511844583654,False
ABCB7,0.0,0.43729802392057743,True,-0.043247811577735114,False
ABCB8,0.0,0.297430402591298,True,-0.049713837519706865,False
