feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.002634299202862571,True
AATK,,,,0.018656631393448083,False
ABCA3,,,,0.0024843491996137126,True
ABCC3,,,,0.01602153192210987,False
ABCC4,,,,0.002709268925126815,True
ABI1,,,,0.02875227988738916,False
ABL1,,,,0.010896977696867002,False
ABL2,,,,0.010918320885854697,False
ACACA,,,,0.0067380135081205475,True
ACACB,,,,0.000540960584871086,True
ACOXL,,,,0.01042112068491763,True
ACSL6,,,,0.0038811403725286906,True
ACVR1,,,,0.03163604087656654,False
ACVR1B,,,,0.013185149120277852,False
ACVR1C,,,,0.029370512863360267,False
ACVR2A,,,,0.0125613415742071,False
ACVR2B,,,,0.031072203590917384,False
ACVRL1,,,,0.011370681763838809,False
ADAM10,,,,0.010404511202282963,True
ADAM12,,,,0.00354364456168938,True
ADAM17,,,,0.02109699152283786,False
ADAM18,,,,0.02338650211743874,False
ADAM22,,,,0.022347888720057277,False
ADAM28,,,,0.011332350641151855,False
ADAM29,,,,0.011596202290121923,False
ADAM32,,,,0.02295687208738669,False
ADAMTS18,,,,-0.002609888592734692,True
ADAMTS19,,,,0.010353052330382313,True
ADAMTS2,,,,0.010768190154651741,True
ADAMTS20,,,,0.00787483578549743,True
ADAMTSL3,,,,0.001600032525161454,True
ADARB2,,,,0.04216697039547239,False
ADCK1,,,,0.03230485222061502,False
ADCK2,,,,0.04040140613043816,False
ADCK4,,,,0.005207818173333873,True
ADCK5,,,,0.01582724086855267,False
ADHFE1,,,,0.024616777749323464,False
ADK,,,,6.387130392746226e-05,True
ADRBK1,,,,0.012307311683880294,False
ADRBK2,,,,0.025149887221697812,False
AFF1,,,,0.035138687976681425,False
AFF3,,,,0.004123658850018881,True
AFF4,,,,0.00935459988100958,True
AGAP2,,,,0.01583250992426116,False
AIFM1,,,,0.03658211080941345,False
AIFM3,,,,0.04614044460016865,False
AIM1,,,,0.01965450444724396,False
AKAP12,,,,-0.013097590509543573,True
AKAP4,,,,0.015807853587021442,False
AKAP6,,,,0.0007515712632141735,True
AKAP9,,,,0.007709695373049458,True
AKT1,,,,0.016057822826314398,False
AKT2,1.0,,False,0.01594840543029673,False
AKT3,,,,0.03931806137230152,False
ALDH7A1,,,,0.03917467656169322,False
ALK,0.0,0.0042312608436076305,True,0.011445275388084103,False
ALPK1,,,,0.02382107255253804,False
ALPK2,,,,0.01156897884124028,False
ALPK3,,,,0.02621022851400392,False
ALS2,,,,0.0032826922547004077,True
AMHR2,,,,0.001665078789448202,True
AMZ2,,,,0.047780526418901195,False
ANAPC5,,,,0.005511521513596913,True
ANGPTL4,,,,0.020425197164082275,False
ANKK1,,,,0.01936590713945025,False
APAF1,,,,0.028508382932322624,False
APBB1IP,,,,0.023164491187138085,False
APC,0.0,0.04584266601488154,True,0.0030385871432331638,True
AR,,,,0.009542142747645558,True
ARAF,,,,0.018649918613681794,False
ARFGEF1,,,,0.020407413960116434,False
ARHGAP26,,,,0.0042446984320207975,True
ARHGAP29,,,,0.01971783599823049,False
ARHGDIB,,,,0.01912008360561453,False
ARHGEF10,,,,0.005375755973318464,True
ARHGEF12,,,,0.02400416485536649,False
ARHGEF7,,,,0.025628267314434544,False
ARID1A,,,,0.00992849203315249,True
ARNT,,,,0.014050259816808356,False
ASH2L,,,,0.031762245134643874,False
ASPH,,,,0.01189496711625359,False
ASPSCR1,,,,0.014810187398308508,False
ASTN1,,,,0.01121458316084334,False
ATF1,,,,0.01847458013171644,False
ATF2,,,,0.010032076549231538,True
ATIC,,,,0.023182087547639726,False
ATM,,,,0.00403478301586641,True
ATP10A,,,,0.008918064536998442,True
ATP11A,,,,0.015209756227288013,False
ATP13A5,,,,0.012184291098828626,False
ATP5S,,,,5.0712041345890324e-06,True
ATP8B1,,,,0.0138657407378956,False
ATR,,,,0.01046331648162455,True
ATRX,,,,0.013494588860384836,False
AURKA,,,,0.012923425089373206,False
AURKB,,,,0.037210674558490024,False
AURKC,,,,0.04267216601587087,False
AXIN1,,,,0.02919559763542892,False
AXIN2,,,,0.023132719698463755,False
AXL,,,,0.014113464947510973,False
B3GALT6,,,,0.02913563859163083,False
BAD,,,,0.0670281337259028,False
BAG4,,,,0.017658860354825664,False
BAI1,,,,0.014888184514270745,False
BAI3,,,,0.011166052115444225,False
BAK1,,,,0.0001593215520872484,True
BAP1,,,,0.014786294122177142,False
BAT3,,,,0.0014855519468202343,True
BAX,,,,0.024256912086610197,False
BCAR1,,,,0.04403494313511384,False
BCKDK,,,,0.027359368180324726,False
