sample_id,variable,class_label,probability,known_label,predicted_label,split
KO52,Erlotinib,,,0.0654167281139243,0.09153249859809875,train
SJSA-1,Erlotinib,,,0.0369315976788424,0.04582865536212921,train
MFE-319,Erlotinib,,,0.262087844354188,0.2316821664571762,train
DoHH2,Erlotinib,,,0.0,0.011050090193748474,train
EHEB,Erlotinib,,,,-0.00031250715255737305,train
DMS 273,Erlotinib,,,,-0.009864427149295807,train
T-47D,Erlotinib,,,0.0661278856063201,0.01571500301361084,train
SK-MM-2,Erlotinib,,,0.174156172063407,0.1300482302904129,train
TT,Erlotinib,,,,0.27258437871932983,train
CFPAC-1,Erlotinib,,,,0.16407808661460876,train
KYSE-270,Erlotinib,,,,0.24566175043582916,train
NCI-H2444,Erlotinib,,,0.0568650212005285,0.08499076962471008,train
DEL,Erlotinib,,,0.0377691989042137,0.07088284194469452,train
Hs 274.T,Erlotinib,,,,-0.03955210745334625,train
Panc 03.27,Erlotinib,,,0.0627539316471438,0.06324312090873718,train
HTK-,Erlotinib,,,,0.06888744235038757,train
NCI-H2009,Erlotinib,,,0.0812374464357929,0.13442707061767578,train
Hs 675.T,Erlotinib,,,,-0.011320769786834717,train
LUDLU-1,Erlotinib,,,0.214790275430073,0.19766660034656525,train
SCaBER,Erlotinib,,,0.25850831113567,0.24040326476097107,train
DND-41,Erlotinib,,,,0.0627143383026123,train
OCI-AML-2,Erlotinib,,,0.0296574900079058,0.06677144765853882,train
T98G,Erlotinib,,,0.0234528653048481,0.045372843742370605,train
786-O,Erlotinib,,,0.0173998808952982,0.005873128771781921,train
YKG-1,Erlotinib,,,0.0378246556038961,0.014497675001621246,train
NCI-H1693,Erlotinib,,,0.196446584599643,0.08069639652967453,train
EC-GI-10,Erlotinib,,,,0.19947242736816406,train
KYO-1,Erlotinib,,,,0.06296601891517639,train
AM-38,Erlotinib,,,,0.027099454775452614,train
Calu-6,Erlotinib,,,0.0232435160923001,0.016958683729171753,train
Ki-JK,Erlotinib,,,,0.019105926156044006,train
MDA-MB-435,Erlotinib,,,0.0032447247819237,-0.02891293168067932,train
NCI-H838,Erlotinib,,,,-0.0006308741867542267,train
RT-112,Erlotinib,,,0.0563652566288176,0.054001808166503906,train
Hs 706.T,Erlotinib,,,,-0.015476152300834656,train
JHH-7,Erlotinib,,,0.064003193556415,0.0691877156496048,train
NCI-H660,Erlotinib,,,,-0.04705077409744263,train
SNU-1196,Erlotinib,,,,0.06708349287509918,train
KYSE-520,Erlotinib,,,0.185508738558247,0.16048797965049744,train
SH-SY5Y,Erlotinib,,,,0.019380897283554077,train
SUIT-2,Erlotinib,,,0.12975502270627,0.09857293963432312,train
BL-70,Erlotinib,,,0.0071939968305693,-0.006433755159378052,train
SH-4,Erlotinib,,,,0.07331669330596924,train
Ri-1,Erlotinib,,,,0.06435349583625793,train
BxPC-3,Erlotinib,,,0.11221767317599,0.15179091691970825,train
YD-10B,Erlotinib,,,,0.15684539079666138,train
Caov-4,Erlotinib,,,,0.03313669562339783,train
Huh-7,Erlotinib,,,,0.11608660221099854,train
MOTN-1,Erlotinib,,,,-0.03126150369644165,train
NCI-H1339,Erlotinib,,,0.0038380460953742,-0.04258384928107262,train
RD-ES,Erlotinib,,,,0.060889832675457,train
NCI-H2171,Erlotinib,,,,0.0680437982082367,train
SW1271,Erlotinib,,,0.0170029385810013,0.011741377413272858,train
UM-UC-3,Erlotinib,,,0.0,0.010528333485126495,train
HDLM-2,Erlotinib,,,,0.006028294563293457,train
LCLC-97TM1,Erlotinib,,,,0.15038526058197021,train
U-251MG,Erlotinib,,,,0.05425940454006195,train
H4,Erlotinib,,,0.0303917922741951,0.039296671748161316,train
SNU-601,Erlotinib,,,,0.05483660101890564,train
HOS,Erlotinib,,,0.0,-0.007434278726577759,train
UM-RC-2,Erlotinib,,,,0.12875881791114807,train
KMRC-20,Erlotinib,,,,0.009739518165588379,train
NCI-H2106,Erlotinib,,,,0.19306161999702454,train
BV-173,Erlotinib,,,,-0.01172436773777008,train
G-292 clone A141B1,Erlotinib,,,,0.012418150901794434,train
KNS-60,Erlotinib,,,0.0080715130241218,0.019669540226459503,train
JHOM-2B,Erlotinib,,,,0.11195787787437439,train
PF-382,Erlotinib,,,,0.07457797229290009,train
Hs 618.T,Erlotinib,,,,0.026090681552886963,train
RMUG-S,Erlotinib,,,,0.13762083649635315,train
NCI-H1876,Erlotinib,,,,0.05556274950504303,train
HLF,Erlotinib,,,0.0197482195163892,0.036850228905677795,train
SNG-M,Erlotinib,,,0.0745293031988896,0.12025831639766693,train
Hs 604.T,Erlotinib,,,,-0.017615705728530884,train
IST-Mes1,Erlotinib,,,0.0301124999999999,-0.007395923137664795,train
NCI-H1838,Erlotinib,,,,0.1518363356590271,train
Hs 944.T,Erlotinib,,,0.0221635619877788,0.011447802186012268,train
BFTC-909,Erlotinib,,,0.0269900860312162,0.012386254966259003,train
KMM-1,Erlotinib,,,0.0068735760231036,-0.020383283495903015,train
PaTu 8988s,Erlotinib,,,,0.05569455027580261,train
SiMa,Erlotinib,,,0.0,0.0732990950345993,train
SNU-1,Erlotinib,,,0.0857185734417132,0.07703302800655365,train
FaDu,Erlotinib,,,0.202366269449161,0.17793019115924835,train
T24,Erlotinib,,,0.0768022402098758,0.06551564484834671,train
NCI-H2172,Erlotinib,,,,0.08301623910665512,train
NCI-H524,Erlotinib,,,,0.11956872045993805,train
SNU-478,Erlotinib,,,,0.1826101839542389,train
WM983B,Erlotinib,,,0.0124614675203545,-0.010950988158583641,train
HCC1419,Erlotinib,,,,0.03198477625846863,train
KG-1,Erlotinib,,,0.0368547649599705,0.054318711161613464,train
TE 441.T,Erlotinib,,,,0.05650949478149414,train
NCI-H292,Erlotinib,,,,0.21496933698654175,train
IGROV-1,Erlotinib,,,0.1451892846298,0.10922370851039886,train
NCI-H1963,Erlotinib,,,,0.13007178902626038,train
NCI-H2170,Erlotinib,,,0.198096525046799,0.15622961521148682,train
NCI-H854,Erlotinib,,,,0.23497968912124634,train
CAL-27,Erlotinib,,,0.331155066635375,0.3152512013912201,train
Mino,Erlotinib,,,0.123214185346362,0.11266721785068512,train
GA-10,Erlotinib,,,,0.00705835223197937,train
TALL-1 [Human adult T-ALL],Erlotinib,,,,0.051944978535175323,train
NCI-H510A,Erlotinib,,,,0.11859941482543945,train
NCI-H28,Erlotinib,,,0.269475623753143,0.1027803122997284,train
SW1463,Erlotinib,,,,0.045665353536605835,train
NCI-H522,Erlotinib,,,0.0403443205178365,0.017495736479759216,train
KALS-1,Erlotinib,,,0.0361256866594273,0.010656312108039856,train
SW948,Erlotinib,,,,0.038946688175201416,train
Hs 729.T,Erlotinib,,,0.0124696952980024,0.03779061138629913,train
SU-DHL-1,Erlotinib,,,,-0.005874518305063248,train
TE-10,Erlotinib,,,,0.18073561787605286,train
697,Erlotinib,,,0.109439352447289,0.0033859312534332275,train
COR-L24,Erlotinib,,,,0.09222373366355896,train
M059K,Erlotinib,,,,0.02731885015964508,train
SW1088,Erlotinib,,,0.0501817048387286,0.07071191817522049,train
LP-1,Erlotinib,,,0.0,0.044590502977371216,train
MOLM-16,Erlotinib,,,,0.080540731549263,train
CAL-29,Erlotinib,,,,0.14046770334243774,train
MEC-2,Erlotinib,,,,0.08641514182090759,train
SK-N-DZ,Erlotinib,,,0.0023759306412319,0.00704038143157959,train
HEK TE,Erlotinib,,,,0.08782759308815002,train
SNU-1272,Erlotinib,,,,0.06404109299182892,train
TC-32,Erlotinib,,,,0.06174224615097046,train
Hs 819.T,Erlotinib,,,,-0.01786293089389801,train
NCI-H2030,Erlotinib,,,0.153550545307145,0.06679493933916092,train
HCC1395,Erlotinib,,,0.042956770513969,0.066014364361763,train
BICR 31,Erlotinib,,,,0.19562993943691254,train
IPC-298,Erlotinib,,,0.0528985627972757,0.05925881490111351,train
Lu-65,Erlotinib,,,,0.030598536133766174,train
MHH-CALL-2,Erlotinib,,,,0.04222835600376129,train
NCI-H1184,Erlotinib,,,0.0,-0.025189101696014404,train
GR-M,Erlotinib,,,,0.09570890665054321,train
L-428,Erlotinib,,,0.0127463840076556,0.017442956566810608,train
MDA-MB-157,Erlotinib,,,0.0606864748104388,0.04539436101913452,train
KMS-20,Erlotinib,,,,-0.014567837119102478,train
QGP-1,Erlotinib,,,0.0604716766752486,0.028708040714263916,train
CAL-51,Erlotinib,,,,0.06635504215955734,train
RPMI-7951,Erlotinib,,,0.0109625104648995,0.02731962874531746,train
OAW28,Erlotinib,,,,0.13627931475639343,train
HT-1197,Erlotinib,,,0.0581736015518673,0.08743405342102051,train
MOLP-8,Erlotinib,,,0.0087589415680787,0.025519877672195435,train
SK-MEL-3,Erlotinib,,,,-0.010155891999602318,train
COLO 741,Erlotinib,,,0.105133052270533,0.08085637539625168,train
RKO,Erlotinib,,,0.0046315843924956,-0.003975182771682739,train
MPP 89,Erlotinib,,,0.0190493875298152,0.01482199877500534,train
BDCM,Erlotinib,,,0.0132267808987782,0.012676626443862915,train
AML-193,Erlotinib,,,,0.00020372867584228516,train
EFO-21,Erlotinib,,,0.0443850557242215,0.035296693444252014,train
SNU-1040,Erlotinib,,,,0.07704369723796844,train
JHOS-2,Erlotinib,,,0.0096661428907013,0.02130386233329773,train
CHP-212,Erlotinib,,,0.0168024579872777,0.01375742256641388,train
NCI-H1155,Erlotinib,,,0.0644206799838463,0.08236584067344666,train
HCC1428,Erlotinib,,,,-0.04003693163394928,train
NB1,Erlotinib,,,,0.001548081636428833,train
GP2d,Erlotinib,,,,0.14509698748588562,train
COR-L51,Erlotinib,,,,0.17576149106025696,train
M-07e,Erlotinib,,,,0.044783130288124084,train
OE33,Erlotinib,,,0.0994217425891791,0.10344772040843964,train
Hs 742.T,Erlotinib,,,,-0.02664254605770111,train
SF295,Erlotinib,,,0.0548661332673498,-0.00786464661359787,train
FTC-133,Erlotinib,,,,0.07544928044080734,train
Hs 870.T,Erlotinib,,,,-0.09387648850679398,train
MHH-ES-1,Erlotinib,,,0.0877176325400873,0.08430284261703491,train
MG-63,Erlotinib,,,0.0061146008053855,0.018968388438224792,train
UT-7,Erlotinib,,,,0.0889161229133606,train
COLO 678,Erlotinib,,,0.157057444982617,0.10826897621154785,train
A4/Fukuda,Erlotinib,,,,0.01180584728717804,train
DV-90,Erlotinib,,,0.145650783489382,0.07197758555412292,train
Kasumi-6,Erlotinib,,,,0.09282281994819641,train
U-118MG,Erlotinib,,,0.0070533201869107,0.03632518649101257,train
