,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112
LOU-NH91,4.083484,14.720761,26.800554,10.798805,-16.551832,-16.964128,-21.240145,0.97223294,-20.09375,3.5767968,-15.561761,-14.776689,-18.372688,-8.850577,8.385076,-1.2108359,11.508344,-2.0252857,-20.780659,10.377675,-4.5934505,-1.377933,-17.825836,11.699984,11.510415,12.628528,7.599986,17.438938,-8.613342,-15.553127,-1.8067013,16.979532,-13.060508,0.741781,3.00937,-11.050066,-7.841719,-16.147675,18.460793,27.647106,-5.6015406,15.298401,-9.462587,12.269244,17.09857,22.59303,-5.542257,-11.080432,-24.817856,-17.932817,29.132034,8.660666,2.541236,-1.9913098,11.677746,22.946592,22.330229,2.3652356,-3.5507884,14.310218,11.479194,-11.537233,-25.71478,-3.3515947,1.190611,-7.8407693,10.923817,-11.521494,8.666139,16.253855,-15.771468,14.827822,-18.052912,-7.57559,-5.456429,-21.125784,4.7902393,0.6977601,-7.9701915,2.6185503,-10.064962,23.810133,8.0205345,-9.830384,5.5583887,-16.122625,-23.115795,-17.646051,-21.729988,15.659846,16.129438,-13.52292,-3.3613281,-0.32278627,6.7257733,-3.140087,-28.700865,15.606693,-11.991623,14.413702,-12.715985,-21.061415,19.34676,11.431525,10.103321,11.8167,-10.042626,-26.104258,19.142185,30.999994,17.628702,-8.735588,-16.258162
PaTu 8988s,9.306079,-6.4860764,-14.315982,9.8639765,1.362719,3.7951255,8.713411,-9.371902,4.8640256,-6.9290752,8.6038265,1.6034743,13.973927,6.398838,4.3732142,-5.3489532,-6.5614333,-2.3142228,10.008068,-0.45212108,-15.60304,-4.283376,10.521032,1.7224272,-1.695422,-3.2783406,11.3578415,-7.1234846,0.68764204,5.1112423,3.6410153,2.9302585,6.9702277,0.9020989,-2.8116388,5.6273365,2.312946,2.0007122,-6.5931935,-11.590961,1.7333181,0.9243381,-0.4190355,-10.118329,-11.396884,-11.548948,-6.981489,15.084718,7.9848433,11.270172,-10.312413,0.3175802,-0.9083409,0.64370215,-1.0485055,-13.847384,-10.221627,-6.424024,-14.127609,-15.964506,-9.952049,-6.7232,11.026019,3.9896488,15.5347595,-3.0076294,-2.6011636,-2.9802928,-6.6329956,-3.6707363,8.553867,-9.166801,4.032398,7.247289,-12.107139,10.754217,8.774219,7.1799006,-3.8482466,4.8358965,-0.11143248,-9.241073,1.4497494,10.633493,7.9054074,3.9830012,10.991535,8.416212,8.938448,-10.697068,-3.0182495,5.837948,-12.656114,5.4979997,-7.289613,-0.2634093,10.131175,-8.98032,4.527838,-6.511798,-4.273225,5.016759,-6.6968465,3.009039,-5.0716906,1.1684198,0.5158069,6.8317657,-14.037736,-11.332136,0.072478205,2.0193577,8.536556
Hs 688(A).T,8.819209,-2.37582,-7.985101,9.521238,-3.0335615,2.6639683,8.365321,-11.605971,3.1518018,-2.4774678,3.0287263,-3.8471773,7.686226,5.154892,5.2364697,-2.3380308,-3.4919171,-2.1322315,5.4282203,2.3681073,-6.7453175,-4.4135413,8.455442,4.7174516,5.8653293,-1.7177081,9.278908,-4.8224816,-3.3768244,6.352063,1.1074128,4.666836,2.444285,4.1372023,-3.8742735,1.2679917,-2.3056421,-0.46893793,-7.2356668,-7.117285,1.7558185,4.30364,-0.7986668,-6.9312353,-3.5779302,-4.625071,-7.8661084,8.104606,6.0721774,5.1404862,-6.756557,4.612683,5.1768093,-1.2693511,4.783696,-4.528819,-4.45274,-4.3339424,-11.807565,-11.221305,-4.714478,-11.217213,8.236476,-2.7455106,16.043774,-7.054091,3.3089902,-0.5480934,-4.0005703,1.8743259,4.4715815,-6.21365,0.34894925,4.6362805,-13.228767,3.8954668,11.441854,7.1200433,-7.267826,3.5252721,-4.6622987,-11.136693,5.8384295,5.398487,9.742571,-0.7402208,2.884907,5.775826,-2.3482049,-6.9082117,0.28211507,3.4100037,-11.588253,-4.0436683,1.0311,3.9625912,2.3773046,-2.5382218,-1.7320513,-3.1874247,-4.810072,1.8677536,-2.4069037,4.9606814,-2.3340428,4.2249146,1.6659015,2.1412735,-7.84303,-6.5955157,5.4230742,-5.2048693,3.9324827
Hs 819.T,20.1343,-10.101852,-25.087774,21.790628,-2.6071506,9.776633,21.580275,-23.6915,11.191404,-16.0262,12.316072,-7.0391407,22.171118,10.926022,6.6282973,-7.2046103,-11.4343815,-2.2105517,18.77115,3.1068025,-26.006918,-10.681185,19.304737,10.229014,5.029004,-5.960511,18.118748,-11.600552,-1.9289266,11.552462,5.7531486,7.895652,10.074366,2.9891765,-8.491866,5.701671,-0.5657194,3.9290679,-17.703415,-23.037506,1.597996,4.951627,0.67597383,-18.283197,-16.707434,-19.694304,-16.450356,22.99601,17.520695,20.499754,-21.210173,7.2723126,8.746922,-3.0856073,7.885175,-20.421806,-17.00546,-12.63805,-30.296106,-27.494225,-17.488808,-21.931614,22.043882,2.2347176,33.07695,-10.908724,0.93946147,-4.138725,-11.938709,-2.0761714,14.146711,-20.45872,6.1381555,13.696986,-27.946821,14.173026,22.617744,15.804002,-13.450275,12.097654,-8.670388,-22.074244,7.0786133,17.845936,21.19014,4.9393053,16.796417,16.79712,6.512824,-19.911894,-1.4808532,11.276014,-25.937693,-1.9578686,-5.1273913,7.0665174,14.807365,-13.409312,3.4630883,-14.45191,-13.197802,6.6609263,-11.193402,8.245137,-9.251687,7.127212,2.2078464,11.515103,-25.303097,-23.57798,6.219036,-7.199009,14.911748
SCC-15,15.218367,-10.497687,-22.913946,20.279842,0.45474523,6.834401,18.19684,-17.868896,11.517996,-16.383457,11.22701,-3.3361878,19.434069,6.675974,7.6382213,-6.060476,-9.822566,0.20524856,15.35953,1.8828846,-27.948452,-8.702181,16.092136,7.5832677,1.6177577,-7.976528,17.827929,-9.699167,0.65016896,7.1633625,3.9574468,7.1368103,10.84288,-1.4734511,-9.156205,4.922563,1.1842778,2.0969594,-15.119958,-20.309233,0.4694077,-0.71221924,3.3326,-16.284271,-17.33425,-17.388945,-15.389948,23.681946,15.402782,18.601862,-19.470678,0.24183114,3.2075522,-0.28015655,3.243829,-21.120575,-14.924893,-12.556484,-29.668818,-23.141584,-18.38024,-14.570933,17.505022,4.476724,25.108416,-5.3371677,-3.6331537,-3.9236863,-10.406169,-3.7498994,12.079742,-20.116322,6.618745,13.683758,-20.684162,14.03138,15.193306,12.541989,-8.076561,9.051008,-3.5463936,-15.825954,0.66563886,16.64764,14.579702,6.2829933,17.681028,14.089632,10.820094,-18.368639,-1.7565094,9.067033,-20.830381,3.3116357,-8.902044,1.8893592,14.619747,-10.814409,6.8260937,-12.096821,-9.432992,7.902576,-10.125334,3.3207166,-10.315473,4.0352416,1.3300515,11.11917,-23.55749,-21.002363,1.1632172,-3.125869,14.302565
MOTN-1,21.22449,19.809618,27.103386,6.947138,-27.130655,-10.629333,-28.837065,2.285592,-35.166008,7.767603,-12.726119,-19.036892,-8.834647,-1.493086,1.2199676,-11.856116,10.290936,-16.813429,-15.771255,10.134049,-4.788912,0.6990369,-20.04692,11.5722685,5.590702,30.735882,6.18788,15.680763,-15.833761,-12.75216,3.4093215,8.782161,-18.54623,1.8319628,13.843349,-5.6395125,-8.612975,-11.720294,28.22641,31.279139,4.2360053,36.50933,-22.039045,12.71232,17.244879,13.908916,4.8697515,-13.115139,-34.83128,-16.52813,39.608856,28.863522,2.0306685,-11.45979,8.466165,17.640314,8.555895,2.919896,4.9054837,-3.3191411,16.581547,-23.321373,-21.50654,7.4712286,17.534788,-21.393002,20.457355,-25.685991,12.197854,18.102993,-11.3324795,27.69723,-27.727806,-15.690293,-17.634405,-18.2583,21.022413,9.023602,-19.032658,13.246115,-22.524723,22.83291,7.980425,-4.0425444,17.648134,-14.502638,-26.00293,-15.973302,-22.45966,18.163887,21.026512,-12.436339,-21.6673,14.222518,5.965422,5.309346,-29.142921,0.29987043,-17.09396,10.336435,-24.097855,-32.12781,21.795332,28.85483,19.985214,16.097567,-16.856009,-28.55432,17.867126,34.822083,30.036531,3.3998792,-18.149035
NCI-H838,3.7986073,2.6103313,3.4187655,4.3372226,-3.4270513,-2.9352846,-5.220232,-1.1554095,-4.458911,-1.1121714,-0.6921154,-3.2655416,-0.35128522,-1.4627534,1.4810803,-2.6566563,0.5225195,0.7721911,-2.3773232,2.7886887,-5.740617,-1.0498195,-2.3500931,2.1878994,2.2427802,0.795714,3.8404977,2.6794639,-0.8731428,-4.1541305,2.1018,5.2604947,-1.984632,-3.3917463,2.756406,-1.4451766,0.53654,-2.7693508,4.301588,4.388377,-2.200089,2.1258614,-2.8378851,1.0234381,2.1711879,1.9924744,-1.0566008,-0.7320806,-5.6568475,-1.4056675,5.767275,1.0645989,-2.3801825,0.22787818,-0.30076852,1.2093792,2.829834,0.702416,-2.8673706,0.41058508,1.2981656,-3.4298382,-4.206682,2.7651296,3.0092201,-2.4224112,1.8583457,-2.5684116,1.5127121,4.5006924,-1.8717859,2.2758632,-4.3134403,-1.355276,-2.1605856,-2.4343483,3.3792129,0.65377873,-1.4629172,1.6680844,-1.5469413,5.29975,0.7732037,0.14087237,2.5902145,-2.6099164,-3.1123073,-2.487912,-2.2706337,2.119861,1.7518932,-3.3035076,-3.3456044,1.641173,-1.3569801,-2.6144838,-4.4047036,1.6690301,-1.7236861,0.99487895,-4.8055067,-5.001397,2.8753436,3.403586,0.7374716,3.6425092,-2.8275263,-4.5910954,1.4890358,5.5545306,3.5367734,-0.8396462,-2.6825454
Mono-Mac-6,16.380474,16.917868,21.86476,6.172212,-22.001408,-9.3178,-23.594824,2.5367424,-27.061398,5.8123584,-10.851909,-15.9673395,-7.5720115,-2.1882715,1.1907305,-8.685564,9.027123,-13.563674,-12.72985,9.235176,-3.7436123,0.6209537,-15.657208,10.397321,4.33143,24.255377,5.241944,12.599917,-13.086543,-11.358698,1.4734883,7.5488625,-15.745436,1.4573599,10.192361,-5.6018267,-7.6575913,-8.936335,22.507439,24.029104,3.8085563,28.005833,-18.00965,10.783001,13.918359,10.931415,4.9992595,-10.132973,-28.266819,-13.342253,31.160866,22.722803,1.4529397,-8.459161,6.360182,14.194251,7.4762836,0.8273469,3.088757,-2.5042925,13.526751,-18.370466,-17.575449,5.2224197,14.447393,-16.42009,15.769516,-20.089182,9.0609665,14.697596,-10.226242,22.243195,-22.521955,-13.398969,-14.573379,-15.391216,16.60936,8.161979,-15.371353,10.685677,-17.859585,18.645025,5.7614174,-3.9960816,14.264971,-11.533045,-20.787733,-11.384449,-16.911535,15.668257,16.202442,-10.37925,-16.913782,12.558076,5.2093678,4.4196196,-23.144072,1.0109812,-13.538684,7.166564,-18.56171,-25.67113,18.37232,23.238363,16.552172,13.08294,-12.329983,-22.286097,15.095167,27.1632,23.307987,2.1645424,-15.25662
SK-HEP-1,16.045507,-9.063186,-22.320332,18.126846,-1.8737975,8.448116,18.838638,-18.553663,11.164254,-15.690527,10.389598,-5.5895705,19.728035,8.594747,6.3568063,-5.71704,-9.382862,-2.884894,17.26796,2.3002582,-24.583265,-9.33036,16.206482,9.266369,1.1959708,-4.4309196,15.412313,-10.449498,-1.6446065,8.961038,3.6316438,5.5101914,8.641209,0.98565763,-8.212619,4.9479423,-0.80657554,4.942449,-15.16588,-21.210798,2.652655,3.309159,0.3033501,-15.374017,-16.90853,-19.34444,-13.26379,21.883959,15.073879,19.370419,-19.287174,5.521662,6.497052,-1.8981155,6.0507565,-19.567335,-16.53553,-13.1585245,-27.493402,-24.693773,-16.982996,-17.262726,19.592295,2.7998598,28.201773,-7.3552933,-1.9851727,-5.129649,-11.592832,-4.0729046,11.9948,-17.828926,5.8502507,11.886202,-24.106276,13.28338,17.589956,15.123596,-11.192017,11.486744,-7.688427,-18.036833,4.406288,16.190035,18.081703,6.2795987,16.70481,16.088114,9.206073,-16.996723,-1.6069905,10.699053,-22.123386,2.1619737,-5.777399,5.7724776,14.813919,-13.452677,4.8773527,-14.079825,-9.980199,6.6047535,-9.57769,7.248257,-7.6077127,4.364751,2.4665375,10.757387,-22.508598,-22.11908,2.7340946,-3.7319274,13.955361
FTC-133,34.862953,-18.139797,-45.762638,38.94124,-3.866133,16.651625,36.99969,-37.89228,20.392591,-32.52276,22.502733,-11.893602,42.051876,18.832144,10.644749,-13.8602,-20.416426,-4.885373,35.336132,5.259049,-52.07086,-19.214035,33.450268,19.293991,2.7511327,-8.795819,33.304066,-21.65569,-2.439895,17.216759,9.40905,13.620216,17.595802,1.547858,-13.666101,10.807469,-1.0219495,9.679828,-28.40955,-43.037407,3.4245756,7.3538404,-0.20285416,-31.99498,-34.459705,-40.312023,-25.715218,44.98662,29.40464,38.891487,-38.161186,10.704904,12.594272,-3.4048927,11.554863,-41.575638,-33.294422,-27.04004,-55.30224,-51.148388,-33.93436,-36.912113,39.89487,9.060168,58.289845,-15.897769,-3.1384597,-11.384169,-23.292725,-6.671931,25.546965,-35.887142,10.658887,24.125227,-49.312984,27.89871,37.901432,29.710913,-23.470442,24.941446,-15.215026,-34.3429,7.8050375,33.385887,37.69659,13.08536,34.111065,32.75075,19.00085,-33.7559,-4.0015,20.993042,-46.298965,4.9611135,-13.937385,11.217974,30.395456,-28.206028,10.245274,-27.94057,-23.822989,12.524507,-20.084188,15.401308,-15.705344,11.486707,3.4711816,21.36679,-45.976837,-44.69199,7.361876,-7.540035,28.144644
