target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,ACTR3BP2,8.515545530735672e-05,IntegratedGradients
Erlotinib,0,,all,SCGB1D2,2.9833574760713636e-05,IntegratedGradients
Erlotinib,0,,all,ACVR1B,2.9824829417466018e-05,IntegratedGradients
Erlotinib,0,,all,ATF5,1.9685242888572196e-05,IntegratedGradients
Erlotinib,0,,all,KDM3B,0.00016330853503134578,IntegratedGradients
Erlotinib,0,,all,HCK,8.393243285103553e-05,IntegratedGradients
Erlotinib,0,,all,LGR6,2.684217325008183e-05,IntegratedGradients
Erlotinib,0,,all,GIP,3.294031483635148e-05,IntegratedGradients
Erlotinib,0,,all,LGALS9,3.8750612007579014e-05,IntegratedGradients
Erlotinib,0,,all,KIAA0586,9.071255298034337e-05,IntegratedGradients
Erlotinib,0,,all,GGCT,1.3457064884572167e-05,IntegratedGradients
Erlotinib,0,,all,NR4A2,0.00012077420974108806,IntegratedGradients
Erlotinib,0,,all,OR2F1,7.66097649432758e-05,IntegratedGradients
Erlotinib,0,,all,SATB1,0.0001380864021597719,IntegratedGradients
Erlotinib,0,,all,GUSBP4,6.163696130425623e-05,IntegratedGradients
Erlotinib,0,,all,CRCP,0.00018312058972732483,IntegratedGradients
Erlotinib,0,,all,FBF1,2.34202514978759e-05,IntegratedGradients
Erlotinib,0,,all,CYP4A11,5.390758647643813e-05,IntegratedGradients
Erlotinib,0,,all,TIA1,5.3334179957452424e-05,IntegratedGradients
Erlotinib,0,,all,SNRPG,5.751100049794464e-05,IntegratedGradients
Erlotinib,0,,all,FAM136A,4.153309120746762e-05,IntegratedGradients
Erlotinib,0,,all,PCYOX1,4.3348033520242184e-05,IntegratedGradients
Erlotinib,0,,all,CYP26B1,0.00010568909286846804,IntegratedGradients
Erlotinib,0,,all,ADD2,5.422927473571449e-05,IntegratedGradients
Erlotinib,0,,all,GGT8P,0.00014031787904491657,IntegratedGradients
Erlotinib,0,,all,MXD1,8.388716857357744e-05,IntegratedGradients
Erlotinib,0,,all,SNRNP27,7.630847273574874e-05,IntegratedGradients
Erlotinib,0,,all,HK2,0.00013303461591868265,IntegratedGradients
Erlotinib,0,,all,C2orf42,7.320934822918097e-05,IntegratedGradients
Erlotinib,0,,all,DHFRP3,5.682675634346433e-05,IntegratedGradients
Erlotinib,0,,all,MIR5000,0.00012119304968738233,IntegratedGradients
Erlotinib,0,,all,TACR1,0.00011724449427698163,IntegratedGradients
Erlotinib,0,,all,EVA1A,0.00013496877117133812,IntegratedGradients
Erlotinib,0,,all,AAK1,8.37572916816792e-05,IntegratedGradients
Erlotinib,0,,all,GMCL1,6.616862958221138e-05,IntegratedGradients
Erlotinib,0,,all,NFU1,7.652302468231473e-05,IntegratedGradients
Erlotinib,0,,all,LINC01816,3.733626092488645e-05,IntegratedGradients
Erlotinib,0,,all,ANAPC1P1,3.676746534152889e-05,IntegratedGradients
Erlotinib,0,,all,PCBP1,3.7348043223781185e-05,IntegratedGradients
Erlotinib,0,,all,PCBP1-AS1,3.452716567581111e-05,IntegratedGradients
Erlotinib,0,,all,ASPRV1,3.8621445637146754e-05,IntegratedGradients
Erlotinib,0,,all,SEMA4F,0.00014218264954756805,IntegratedGradients
Erlotinib,0,,all,NAT8,0.00011955846624294136,IntegratedGradients
Erlotinib,0,,all,ALMS1P1,0.00012387031035819432,IntegratedGradients
Erlotinib,0,,all,DOK1,0.00013485322616460665,IntegratedGradients
Erlotinib,0,,all,AUP1,0.000133508069609016,IntegratedGradients
Erlotinib,0,,all,LOXL3,0.00012249013806039233,IntegratedGradients
Erlotinib,0,,all,M1AP,0.00012861999487751732,IntegratedGradients
Erlotinib,0,,all,HTRA2,0.00014255360156103668,IntegratedGradients
Erlotinib,0,,all,SCGB2A1,3.166583815734938e-05,IntegratedGradients
Erlotinib,0,,all,SCGB1D1,3.0148367393077173e-05,IntegratedGradients
Erlotinib,0,,all,SCGB2A2,3.0857746705420165e-05,IntegratedGradients
Erlotinib,0,,all,CHRM1,2.5491512194703124e-05,IntegratedGradients
Erlotinib,0,,all,SLC22A8,2.1934864318262378e-05,IntegratedGradients
Erlotinib,0,,all,INCENP,2.9103505548699883e-05,IntegratedGradients
Erlotinib,0,,all,MEIS1-AS3,9.961891149891632e-05,IntegratedGradients
Erlotinib,0,,all,MEIS1,9.230761269870008e-05,IntegratedGradients
Erlotinib,0,,all,PROKR1,5.032403409415682e-05,IntegratedGradients
Erlotinib,0,,all,LOC285074,3.2891936531233085e-05,IntegratedGradients
Erlotinib,0,,all,GFPT1,5.1277453785792705e-05,IntegratedGradients
Erlotinib,0,,all,SLC3A2,2.113621093775317e-05,IntegratedGradients
Erlotinib,0,,all,SNHG1,1.9645424562200062e-05,IntegratedGradients
Erlotinib,0,,all,SNORD22,2.068833445296678e-05,IntegratedGradients
Erlotinib,0,,all,STX5,2.268032349390606e-05,IntegratedGradients
Erlotinib,0,,all,WDR74,2.1353859263245538e-05,IntegratedGradients
Erlotinib,0,,all,NXF1,2.1649668142026442e-05,IntegratedGradients
Erlotinib,0,,all,GANAB,3.2594871729257904e-05,IntegratedGradients
Erlotinib,0,,all,UQCC3,2.848447280617085e-05,IntegratedGradients
Erlotinib,0,,all,B3GAT3,3.0581414575114083e-05,IntegratedGradients
Erlotinib,0,,all,UBXN1,3.071138012624208e-05,IntegratedGradients
Erlotinib,0,,all,SNORA57,3.268599765562089e-05,IntegratedGradients
Erlotinib,0,,all,CSKMT,3.933973339888449e-05,IntegratedGradients
Erlotinib,0,,all,LBHD1,3.7575588593865906e-05,IntegratedGradients
Erlotinib,0,,all,ROM1,3.082688078532154e-05,IntegratedGradients
Erlotinib,0,,all,INTS5,3.359994933921675e-05,IntegratedGradients
Erlotinib,0,,all,SCGB1D4,2.9646530277021922e-05,IntegratedGradients
Erlotinib,0,,all,ARHGAP25,4.452746642806857e-05,IntegratedGradients
Erlotinib,0,,all,SLC22A6,2.5119776571359255e-05,IntegratedGradients
Erlotinib,0,,all,APLF,7.351639052968288e-05,IntegratedGradients
Erlotinib,0,,all,CNRIP1,8.028791825355734e-05,IntegratedGradients
Erlotinib,0,,all,FBXO48,6.964009443939839e-05,IntegratedGradients
Erlotinib,0,,all,PNO1,7.787838688191964e-05,IntegratedGradients
Erlotinib,0,,all,PPP3R1,8.020531582103387e-05,IntegratedGradients
Erlotinib,0,,all,GCFC2,0.0001298415947980939,IntegratedGradients
Erlotinib,0,,all,EML3,4.0107716975257736e-05,IntegratedGradients
Erlotinib,0,,all,MRPL19,0.00012787928817004998,IntegratedGradients
Erlotinib,0,,all,PLEK,6.670713836549903e-05,IntegratedGradients
Erlotinib,0,,all,SCGB1A1,4.752777326756624e-05,IntegratedGradients
Erlotinib,0,,all,TAF6L,2.3075111823504034e-05,IntegratedGradients
Erlotinib,0,,all,POLR2G,2.776451110210766e-05,IntegratedGradients
Erlotinib,0,,all,C1D,8.235325906584242e-05,IntegratedGradients
Erlotinib,0,,all,EEF1G,4.7663773789130096e-05,IntegratedGradients
Erlotinib,0,,all,WDR92,7.708704443106991e-05,IntegratedGradients
Erlotinib,0,,all,LOC100996455,7.260563749374634e-05,IntegratedGradients
Erlotinib,0,,all,TUT1,4.87214619652696e-05,IntegratedGradients
Erlotinib,0,,all,MTA2,4.32175357292539e-05,IntegratedGradients
Erlotinib,0,,all,TMEM223,2.3233608169697067e-05,IntegratedGradients
Erlotinib,0,,all,TMEM179B,2.506203594723586e-05,IntegratedGradients
Erlotinib,0,,all,HNRNPUL2-BSCL2,2.8625531075330486e-05,IntegratedGradients
Erlotinib,0,,all,LRRN4CL,3.700636775421013e-05,IntegratedGradients
Erlotinib,0,,all,BSCL2,3.0208217974641527e-05,IntegratedGradients
