sample_id,variable,class_label,probability,known_label,predicted_label,split
LOU-NH91,Erlotinib,,,0.146030125411316,0.05576825141906738,train
PaTu 8988s,Erlotinib,,,,0.06284011155366898,train
Hs 688(A).T,Erlotinib,,,,0.016878675669431686,train
Hs 819.T,Erlotinib,,,,0.016676537692546844,train
SCC-15,Erlotinib,,,,0.10617750883102417,train
MOTN-1,Erlotinib,,,,0.00933840125799179,train
NCI-H838,Erlotinib,,,,0.07519637793302536,train
Mono-Mac-6,Erlotinib,,,,0.01149461604654789,train
SK-HEP-1,Erlotinib,,,0.0225654593824648,0.03921501338481903,train
FTC-133,Erlotinib,,,,0.047186773270368576,train
KMS-34,Erlotinib,,,0.0064564022136489,0.01244035828858614,train
HCC33,Erlotinib,,,,0.013596233911812305,train
SK-MEL-28,Erlotinib,,,,0.02604433335363865,train
SW1417,Erlotinib,,,0.0119077730879152,0.028513578698039055,train
U-178MG,Erlotinib,,,,0.018857305869460106,train
OVISE,Erlotinib,,,,0.12197370827198029,train
HCC1599,Erlotinib,,,,0.02538301795721054,train
EFM-19,Erlotinib,,,0.0049819041613393,0.052932217717170715,train
ACC-MESO-1,Erlotinib,,,,0.002856404520571232,train
CHP-212,Erlotinib,,,0.0168024579872777,0.014265944249927998,train
SW948,Erlotinib,,,,0.08733395487070084,train
HEC-265,Erlotinib,,,0.0,0.047894105315208435,train
JHOC-5,Erlotinib,,,,0.10796791315078735,train
NCI-H1563,Erlotinib,,,0.0216638206811162,0.05655452609062195,train
SK-LU-1,Erlotinib,,,0.0401425137728223,0.03533805161714554,train
SK-MEL-2,Erlotinib,,,0.0,0.002543441951274872,train
Ki-JK,Erlotinib,,,,0.011683258228003979,train
NCI-H2452,Erlotinib,,,0.0782546305703664,0.03166479244828224,train
HCC15,Erlotinib,,,0.027726216792311,0.028916314244270325,train
SNU-61,Erlotinib,,,,0.06802050024271011,train
EFM-192A,Erlotinib,,,,0.03349343314766884,train
HCC2279,Erlotinib,,,,0.04991167411208153,train
ONCO-DG-1,Erlotinib,,,0.142880133312072,0.11270419508218765,train
REC-1,Erlotinib,,,,0.010716617107391357,train
697,Erlotinib,,,0.109439352447289,0.009241380728781223,train
TOV-21G,Erlotinib,,,0.0680697732550301,0.08479737490415573,train
PK-59,Erlotinib,,,0.0396791309079114,0.07861597836017609,train
CHL-1,Erlotinib,,,0.131031637107937,0.028584536164999008,train
NCI-H1623,Erlotinib,,,,0.06431718170642853,train
OUMS-27,Erlotinib,,,,0.016039621084928513,train
ST486,Erlotinib,,,,0.02132616750895977,train
MDA-MB-436,Erlotinib,,,0.0656501567842006,0.053075291216373444,train
A-704,Erlotinib,,,,0.05160646140575409,train
NCI-H441,Erlotinib,,,0.0361416593151064,0.05575721710920334,train
A-253,Erlotinib,,,0.111939413475256,0.13681532442569733,train
MeWo,Erlotinib,,,0.0,0.009319774806499481,train
NCI-H727,Erlotinib,,,0.0142250000000003,0.020514940842986107,train
SNU-478,Erlotinib,,,,0.14456124603748322,train
MKN1,Erlotinib,,,,0.045104749500751495,train
ALL-SIL,Erlotinib,,,0.0796000295460968,0.00976939033716917,train
TEN,Erlotinib,,,0.0,0.0451512485742569,train
KOPN-8,Erlotinib,,,,0.009287858381867409,train
SK-MEL-30,Erlotinib,,,0.0053500624689049,0.023304127156734467,train
YKG-1,Erlotinib,,,0.0378246556038961,0.0234953835606575,train
COLO 800,Erlotinib,,,,0.029977072030305862,train
NCI-H1703,Erlotinib,,,0.0569925607990749,0.013615178875625134,train
SLR25,Erlotinib,,,,0.05475173145532608,train
HEY A8,Erlotinib,,,0.0154558399513439,0.027844823896884918,train
MEC-1,Erlotinib,,,0.0084801269519308,0.006619500927627087,train
KMS-11,Erlotinib,,,0.0,0.029599709436297417,train
NCI-H2227,Erlotinib,,,,0.012962118722498417,train
TE-11,Erlotinib,,,0.256996908787732,0.2403458058834076,train
Loucy,Erlotinib,,,,0.015310186892747879,train
NH-6,Erlotinib,,,,0.005114368163049221,train
KMRC-3,Erlotinib,,,,0.10776790231466293,train
U2OS,Erlotinib,,,0.0449365561233068,0.0352577269077301,train
KP-2,Erlotinib,,,0.0396461943962427,0.06531475484371185,train
NCI-H716,Erlotinib,,,,0.013873371295630932,train
TOV-112D,Erlotinib,,,0.0845724147706257,0.027645356953144073,train
COR-L23,Erlotinib,,,0.0096508432450326,0.11011680215597153,train
HL-60,Erlotinib,,,,0.020125316455960274,train
NCI-H226,Erlotinib,,,0.0059545026920058,0.027289988473057747,train
DEL,Erlotinib,,,0.0377691989042137,0.01731022074818611,train
PCM6,Erlotinib,,,,0.009696741588413715,train
YH-13,Erlotinib,,,,0.0009856121614575386,train
F5,Erlotinib,,,,0.013029087334871292,train
BT-20,Erlotinib,,,0.135831213554948,0.08757691830396652,train
UACC-812,Erlotinib,,,0.0508647075977552,0.03854799270629883,train
SNU-8,Erlotinib,,,,0.0744020938873291,train
L-363,Erlotinib,,,0.0300418768691312,-0.0018399597611278296,train
NCI-H1838,Erlotinib,,,,0.06406335532665253,train
NUGC-3,Erlotinib,,,0.236166481231863,0.1820789873600006,train
LN-229,Erlotinib,,,0.0868919321501221,0.022734384983778,train
LP-1,Erlotinib,,,0.0,0.011086218059062958,train
U266B1,Erlotinib,,,,0.00852963700890541,train
