target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,cnv,ACTR3BP2,9.532439447186173e-06,IntegratedGradients
Erlotinib,0,,cnv,SCGB1D2,9.383903543281679e-06,IntegratedGradients
Erlotinib,0,,cnv,ACVR1B,9.772990652258053e-06,IntegratedGradients
Erlotinib,0,,cnv,ATF5,4.1489319193096435e-06,IntegratedGradients
Erlotinib,0,,cnv,KDM3B,7.105547275541957e-06,IntegratedGradients
Erlotinib,0,,cnv,HCK,1.0434764650579671e-05,IntegratedGradients
Erlotinib,0,,cnv,LGR6,8.105676472043835e-06,IntegratedGradients
Erlotinib,0,,cnv,GIP,3.420753866954747e-06,IntegratedGradients
Erlotinib,0,,cnv,LGALS9,3.091970983492895e-06,IntegratedGradients
Erlotinib,0,,cnv,KIAA0586,7.399904471509106e-06,IntegratedGradients
Erlotinib,0,,cnv,GGCT,4.676532675714808e-06,IntegratedGradients
Erlotinib,0,,cnv,NR4A2,8.580642714423453e-06,IntegratedGradients
Erlotinib,0,,cnv,OR2F1,5.926000536662215e-06,IntegratedGradients
Erlotinib,0,,cnv,SATB1,3.3393502710289836e-06,IntegratedGradients
Erlotinib,0,,cnv,GUSBP4,3.023756799061023e-06,IntegratedGradients
Erlotinib,0,,cnv,CRCP,4.787076697153602e-06,IntegratedGradients
Erlotinib,0,,cnv,FBF1,6.799416007110632e-06,IntegratedGradients
Erlotinib,0,,cnv,CYP4A11,4.279599560836086e-06,IntegratedGradients
Erlotinib,0,,cnv,TIA1,9.962099282285894e-06,IntegratedGradients
Erlotinib,0,,cnv,SNRPG,9.443765519276325e-06,IntegratedGradients
Erlotinib,0,,cnv,FAM136A,9.491461241757442e-06,IntegratedGradients
Erlotinib,0,,cnv,PCYOX1,9.444910436175322e-06,IntegratedGradients
Erlotinib,0,,cnv,CYP26B1,8.880155286069403e-06,IntegratedGradients
Erlotinib,0,,cnv,ADD2,9.824582993785003e-06,IntegratedGradients
Erlotinib,0,,cnv,GGT8P,9.619362307897133e-06,IntegratedGradients
Erlotinib,0,,cnv,MXD1,8.753101305428167e-06,IntegratedGradients
Erlotinib,0,,cnv,SNRNP27,9.269564395786483e-06,IntegratedGradients
Erlotinib,0,,cnv,HK2,8.908253027310196e-06,IntegratedGradients
Erlotinib,0,,cnv,C2orf42,8.95991440734586e-06,IntegratedGradients
Erlotinib,0,,cnv,DHFRP3,1.0639954511248459e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR5000,9.025420737798721e-06,IntegratedGradients
Erlotinib,0,,cnv,TACR1,9.222842954773296e-06,IntegratedGradients
