sample_id,variable,class_label,probability,known_label,predicted_label,split
HT-29,Erlotinib,,,0.0008752056595092,0.03000185638666153,train
EFE-184,Erlotinib,,,0.103552446743147,0.07490212470293045,train
SNU-738,Erlotinib,,,,0.03676791861653328,train
UM-RC-6,Erlotinib,,,,0.10225138813257217,train
JHH-2,Erlotinib,,,0.0764561426940383,0.06191366910934448,train
KNS-60,Erlotinib,,,0.0080715130241218,0.034102000296115875,train
TE-10,Erlotinib,,,,0.1190662756562233,train
JL-1,Erlotinib,,,,0.034525178372859955,train
NCI-H2444,Erlotinib,,,0.0568650212005285,0.05725991725921631,train
HuP-T3,Erlotinib,,,0.0448855558355754,0.10924932360649109,train
Ki-JK,Erlotinib,,,,0.002746212761849165,train
Rh41,Erlotinib,,,,0.008099442347884178,train
YD-15,Erlotinib,,,,0.15041324496269226,train
HT,Erlotinib,,,0.0,2.5117769837379456e-05,train
RCC10RGB,Erlotinib,,,,0.10397911071777344,train
NALM-1,Erlotinib,,,,0.00959319993853569,train
TE-5,Erlotinib,,,0.026737511299685,0.03315518796443939,train
SKM-1,Erlotinib,,,,0.011564724147319794,train
YD-38,Erlotinib,,,,0.14226768910884857,train
HMEL,Erlotinib,,,,0.1376340389251709,train
CAL-29,Erlotinib,,,,0.1348857432603836,train
NCI-H1436,Erlotinib,,,,0.02252040058374405,train
SNU-8,Erlotinib,,,,0.0967605710029602,train
DV-90,Erlotinib,,,0.145650783489382,0.04234447702765465,train
RT112/84,Erlotinib,,,,0.08304308354854584,train
HCC1569,Erlotinib,,,0.0068813097414282,0.02573321759700775,train
NCI-H838,Erlotinib,,,,0.06858617067337036,train
RL95-2,Erlotinib,,,0.217167068821168,0.22605784237384796,train
NCI-H1155,Erlotinib,,,0.0644206799838463,0.02248539961874485,train
HLC-1,Erlotinib,,,,0.07871918380260468,train
BL-70,Erlotinib,,,0.0071939968305693,0.025911608710885048,train
HCC70,Erlotinib,,,0.0882811990466099,0.09627556055784225,train
JHH-7,Erlotinib,,,0.064003193556415,0.04765387624502182,train
SW579,Erlotinib,,,0.0168461112871541,0.025532498955726624,train
OVMANA,Erlotinib,,,0.0221955939297399,0.024045977741479874,train
ABC-1,Erlotinib,,,,0.11083554476499557,train
MDA-PCa-2b,Erlotinib,,,,0.11391546577215195,train
JVM-3,Erlotinib,,,0.112902060411961,0.009377353824675083,train
SNU-46,Erlotinib,,,,0.03567005693912506,train
A3/Kawakami,Erlotinib,,,,0.005213902797549963,train
EC-GI-10,Erlotinib,,,,0.17349620163440704,train
NCI-H1623,Erlotinib,,,,0.1352171152830124,train
