,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
SK-N-BE(2),-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
SNU-719,0.32985014,-0.62553406,-0.25712672,-0.14462852,-0.5041745,0.5605736,0.10813555,-0.116536796,0.26671225,0.8591663,-1.0085506,0.53859836,-0.15010697,-0.26328188,-0.010905951,-0.26748195
A-172,-0.14589104,-0.2901371,-0.44884962,0.3745425,-0.23440687,0.73485494,0.045226395,0.0028036535,0.016321197,0.85801595,-0.47527307,0.46809632,-0.12477863,-0.11484602,0.38222575,-0.21398552
NCI-H1437,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
NCI-H522,-0.22784838,-0.2765792,-0.456685,0.51241183,-0.075865805,0.22127971,0.5898872,-0.14529397,-0.2833577,0.26076564,-0.042219087,0.4565161,-0.33415353,0.23877405,0.45000023,0.041638948
SNU-1077,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
NCI-H1341,0.1327896,0.10354328,-0.92918587,0.87281305,0.037229836,0.10816522,0.25089177,0.4439559,-0.6143546,0.8421869,-0.31971538,0.61141384,0.23498455,-0.04452055,0.54407823,-0.12610902
HEC-50B,0.24375372,0.47431883,-0.5153836,1.4676881,-0.9218198,0.52925855,-0.22823563,1.3946364,-0.96047294,1.2088019,1.0905056,-0.17654431,1.5678587,-1.2558106,0.13948752,-0.46832886
Hs 274.T,0.8716695,-0.019239306,-0.030165672,0.3631869,-0.8351214,0.2823204,-0.12772837,0.5094408,0.08231971,0.69011927,-0.14688155,0.14885971,1.0218023,-1.0880939,-0.42917532,-0.2690466
KOPN-8,0.49908853,-0.024418682,-0.042355374,0.5197638,-0.48006356,0.1979927,0.21329597,0.16752362,0.1280048,0.29672414,-0.05581747,0.21599351,0.5628916,-0.53215116,-0.17943996,-0.03165543
NCI-H1155,0.4525541,-0.10813667,-0.2646571,0.3838797,-0.4187135,0.8489557,-0.28768924,0.44682425,0.529829,1.011069,-0.5821839,0.31520876,0.4480686,-0.6604205,-0.10907704,-0.25788116
SNU-489,-0.17869905,-0.40470564,-0.28753975,0.60276735,-0.16648893,0.66498953,0.38756213,-0.20902659,0.25319383,0.72853243,-0.84592193,0.47700992,-0.2725314,0.32024777,0.3508853,-0.065683156
Sq-1,-0.05016883,0.3676934,-0.68084806,1.0932419,-0.1451573,0.4242009,0.039651364,0.7691269,-0.5141056,0.62413496,0.7655829,0.18830825,0.56271565,-0.501801,0.41666138,-0.10782698
