target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,MSH6,0.003962818288037694,IntegratedGradients
Erlotinib,0,,all,KRAS,0.011088179913007142,IntegratedGradients
Erlotinib,0,,all,APC,0.002515364048697135,IntegratedGradients
Erlotinib,0,,all,BRAF,0.002218540813195279,IntegratedGradients
Erlotinib,0,,all,TP53,0.008985190380806718,IntegratedGradients
Erlotinib,0,,all,BRCA2,0.003123434053443464,IntegratedGradients
Erlotinib,0,,all,CDKN2A,0.0025699223423879284,IntegratedGradients
Erlotinib,0,,all,TSC1,0.0026659671383976596,IntegratedGradients
Erlotinib,0,,all,NF1,0.0067145201662181875,IntegratedGradients
Erlotinib,0,,all,SMARCA4,0.0023426226556146406,IntegratedGradients
Erlotinib,0,,all,PTEN,0.005488503022589779,IntegratedGradients
Erlotinib,0,,all,FBXW7,0.0036111886039554906,IntegratedGradients
Erlotinib,0,,all,GNAS,0.0028047065146544056,IntegratedGradients
Erlotinib,0,,all,JAK2,0.0018586340361608634,IntegratedGradients
Erlotinib,0,,all,RB1,0.005010087688314175,IntegratedGradients
Erlotinib,0,,all,TET2,0.000774241341746992,IntegratedGradients
Erlotinib,0,,all,PIK3CA,0.002926774206879978,IntegratedGradients
