sample_id,variable,class_label,probability,known_label,predicted_label,split
SK-N-BE(2),Erlotinib,,,0.0084039392609817,0.08115027844905853,train
SNU-719,Erlotinib,,,,0.04424039274454117,train
A-172,Erlotinib,,,0.0200026578656478,0.02526446431875229,train
NCI-H1437,Erlotinib,,,,0.08115027844905853,train
NCI-H522,Erlotinib,,,0.0403443205178365,0.08038464188575745,train
SNU-1077,Erlotinib,,,,0.08115027844905853,train
NCI-H1341,Erlotinib,,,0.103012744278107,0.021172670647501945,train
HEC-50B,Erlotinib,,,,0.06510528922080994,train
Hs 274.T,Erlotinib,,,,0.0355713926255703,train
KOPN-8,Erlotinib,,,,0.030171701684594154,train
NCI-H1155,Erlotinib,,,0.0644206799838463,0.028984863311052322,train
SNU-489,Erlotinib,,,,0.05903111398220062,train
Sq-1,Erlotinib,,,0.0680186397544565,0.059719786047935486,train
TE 441.T,Erlotinib,,,,0.07379396259784698,train
EB2,Erlotinib,,,0.0512378600325254,0.08115027844905853,train
TYK-nu,Erlotinib,,,7.598553230877321e-15,0.08052319288253784,train
PaTu 8988t,Erlotinib,,,,0.0355713926255703,train
KCI-MOH1,Erlotinib,,,0.163729617773422,0.0355713926255703,train
MKN45,Erlotinib,,,0.027027568716618,0.08115027844905853,train
SKM-1,Erlotinib,,,,0.08643494546413422,train
CJM [Human melanoma],Erlotinib,,,,0.08115027844905853,train
WM88,Erlotinib,,,0.0046589396475744,0.05318640172481537,train
IST-Mes1,Erlotinib,,,0.0301124999999999,0.07379396259784698,train
HCC4006,Erlotinib,,,0.492663395066886,0.07379396259784698,train
L-363,Erlotinib,,,0.0300418768691312,0.08706609904766083,train
PANC-1,Erlotinib,,,,0.030171701684594154,train
8505C,Erlotinib,,,0.0308762725344076,0.07422369718551636,train
AMO1,Erlotinib,,,0.0405618113899816,0.020363423973321915,train
HCC1419,Erlotinib,,,,0.08115027844905853,train
HT-1197,Erlotinib,,,0.0581736015518673,0.04305437579751015,train
ABC-1,Erlotinib,,,,0.05882605165243149,train
LN-215,Erlotinib,,,,0.08115027844905853,train
SK-N-FI,Erlotinib,,,0.0,0.08115027844905853,train
SK-MEL-5,Erlotinib,,,0.0558275988840162,0.06432411819696426,train
