,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123
Hs 852.T,0.4735636,-0.13668762,0.003527373,-0.5951774,0.4603886,-0.3533096,0.3049107,0.389193,-0.3673872,0.02683872,-0.017581858,0.25493684,0.19620731,-0.09551015,0.000843402,-0.5947528,-0.19510648,0.22961983,0.3679492,-0.1627821,0.5792239,0.36605322,0.1664213,-0.29110092,-0.34643647,-0.3867349,-0.13310012,-0.46873358,-0.3825034,-0.5962758,-0.033729374,0.22157118,0.43959627,0.3482023,-0.024834126,0.21249102,0.3691404,0.09027062,-0.4341672,-0.19827288,0.12792462,-0.2959997,0.5010793,-0.6977215,-0.045689568,-0.37817872,0.20871651,0.2086887,-0.44458768,0.041761015,-0.0878283,-0.12878421,-0.3446337,0.18585397,0.41261816,-0.35604876,-0.30172312,-0.3168764,0.1677011,-0.5338092,-0.5868749,-0.31753367,-0.12372451,0.23229583,-0.44890168,0.19835165,0.19642565,-0.23295715,0.66067195,-0.06786282,-0.14919516,-0.012486935,0.17337671,-0.12283191,0.48486134,-0.088356465,-0.52992666,-0.3467005,0.20548955,0.18231297,0.07014282,0.42458963,0.17184594,-0.08813396,-0.28835997,-0.5136162,-0.17465375,-0.18992507,0.21338004,-0.027032137,-0.39567152,-0.52584684,0.04603035,-0.31837314,0.37971744,0.15761665,-0.3955274,-0.41581818,0.46903634,0.20903167,0.50501114,-0.25281,0.11391525,-0.44427553,-0.56459504,-0.609386,-0.28798229,0.13419098,-0.33481967,0.22844793,0.20384261,0.32930994,0.18186453,-0.3790074,0.043047998,-0.01609379,-0.33280846,-0.38070515,-0.23110683,0.25061953,-0.008983374,-0.27732107,-0.1258395,-0.23534027
SALE,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
PE/CA-PJ15,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
BHT-101,1.6275265,0.3734299,0.7379619,-1.2314732,1.6298028,-0.38094515,1.1567286,0.9739634,-0.5015651,-0.86644256,-0.5321327,0.038959682,-0.71946603,-0.9780018,-0.69788045,-0.6717828,-0.73890567,-0.21897149,0.58379173,0.027080275,0.37000853,0.32207823,-1.0273228,-1.0691538,-1.0491648,-1.2404971,-1.2731266,-0.55715644,-1.5143577,-0.8674506,1.0265796,-0.57857144,0.6342341,0.27779073,0.93494487,0.099512726,0.46443343,0.037131175,-0.7839661,-0.7773892,-0.26858342,-0.60288316,0.2931567,-1.5307008,0.043360546,-1.4225477,-1.2899078,0.52698034,-1.0226997,0.19638692,0.18289831,-0.12112371,-0.45792598,-0.6419746,0.18940935,0.8107194,-0.32410303,-0.28956926,-0.25133985,-1.5343165,-1.2663431,-0.6263625,-1.0348139,0.40761274,-0.30784598,0.29391634,0.6194663,-0.2957335,1.097833,0.48254535,-0.25007406,0.54696524,0.33986336,0.18824896,1.6639278,0.18913761,-0.19311342,-1.1709751,-0.03353417,-0.42432505,0.55357695,0.61613476,-0.10947704,-0.11533118,-0.41555148,-1.0494803,-0.28771564,-0.584166,0.5275526,-0.45763958,0.050590545,-0.05500251,0.9891653,-0.39550817,-0.64700943,0.24593538,-0.085829824,-0.060548306,0.80775654,-0.22043332,0.8397776,-0.26190132,0.57508755,-0.7086786,-1.5840664,-0.06769055,0.54630786,0.54920757,-0.6784221,-0.22179824,1.0077434,1.0013709,-0.53452283,0.2011846,0.015711997,0.9059872,-0.61901397,0.5059755,-1.0990713,0.9692563,-0.03071785,-1.4261163,0.7351684,0.057993487
OELE,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
Hs 604.T,0.4735636,-0.13668762,0.003527373,-0.5951774,0.4603886,-0.3533096,0.3049107,0.389193,-0.3673872,0.02683872,-0.017581858,0.25493684,0.19620731,-0.09551015,0.000843402,-0.5947528,-0.19510648,0.22961983,0.3679492,-0.1627821,0.5792239,0.36605322,0.1664213,-0.29110092,-0.34643647,-0.3867349,-0.13310012,-0.46873358,-0.3825034,-0.5962758,-0.033729374,0.22157118,0.43959627,0.3482023,-0.024834126,0.21249102,0.3691404,0.09027062,-0.4341672,-0.19827288,0.12792462,-0.2959997,0.5010793,-0.6977215,-0.045689568,-0.37817872,0.20871651,0.2086887,-0.44458768,0.041761015,-0.0878283,-0.12878421,-0.3446337,0.18585397,0.41261816,-0.35604876,-0.30172312,-0.3168764,0.1677011,-0.5338092,-0.5868749,-0.31753367,-0.12372451,0.23229583,-0.44890168,0.19835165,0.19642565,-0.23295715,0.66067195,-0.06786282,-0.14919516,-0.012486935,0.17337671,-0.12283191,0.48486134,-0.088356465,-0.52992666,-0.3467005,0.20548955,0.18231297,0.07014282,0.42458963,0.17184594,-0.08813396,-0.28835997,-0.5136162,-0.17465375,-0.18992507,0.21338004,-0.027032137,-0.39567152,-0.52584684,0.04603035,-0.31837314,0.37971744,0.15761665,-0.3955274,-0.41581818,0.46903634,0.20903167,0.50501114,-0.25281,0.11391525,-0.44427553,-0.56459504,-0.609386,-0.28798229,0.13419098,-0.33481967,0.22844793,0.20384261,0.32930994,0.18186453,-0.3790074,0.043047998,-0.01609379,-0.33280846,-0.38070515,-0.23110683,0.25061953,-0.008983374,-0.27732107,-0.1258395,-0.23534027
JM-1,0.4735636,-0.13668762,0.003527373,-0.5951774,0.4603886,-0.3533096,0.3049107,0.389193,-0.3673872,0.02683872,-0.017581858,0.25493684,0.19620731,-0.09551015,0.000843402,-0.5947528,-0.19510648,0.22961983,0.3679492,-0.1627821,0.5792239,0.36605322,0.1664213,-0.29110092,-0.34643647,-0.3867349,-0.13310012,-0.46873358,-0.3825034,-0.5962758,-0.033729374,0.22157118,0.43959627,0.3482023,-0.024834126,0.21249102,0.3691404,0.09027062,-0.4341672,-0.19827288,0.12792462,-0.2959997,0.5010793,-0.6977215,-0.045689568,-0.37817872,0.20871651,0.2086887,-0.44458768,0.041761015,-0.0878283,-0.12878421,-0.3446337,0.18585397,0.41261816,-0.35604876,-0.30172312,-0.3168764,0.1677011,-0.5338092,-0.5868749,-0.31753367,-0.12372451,0.23229583,-0.44890168,0.19835165,0.19642565,-0.23295715,0.66067195,-0.06786282,-0.14919516,-0.012486935,0.17337671,-0.12283191,0.48486134,-0.088356465,-0.52992666,-0.3467005,0.20548955,0.18231297,0.07014282,0.42458963,0.17184594,-0.08813396,-0.28835997,-0.5136162,-0.17465375,-0.18992507,0.21338004,-0.027032137,-0.39567152,-0.52584684,0.04603035,-0.31837314,0.37971744,0.15761665,-0.3955274,-0.41581818,0.46903634,0.20903167,0.50501114,-0.25281,0.11391525,-0.44427553,-0.56459504,-0.609386,-0.28798229,0.13419098,-0.33481967,0.22844793,0.20384261,0.32930994,0.18186453,-0.3790074,0.043047998,-0.01609379,-0.33280846,-0.38070515,-0.23110683,0.25061953,-0.008983374,-0.27732107,-0.1258395,-0.23534027
P12-Ichikawa,0.66183823,0.23884766,0.058483735,-0.51462936,0.58408076,-0.563273,0.802835,0.18553028,-0.03679782,0.21055481,-0.28427413,-0.042105317,0.18674111,-0.238734,-0.28434044,-0.29787135,-0.12731974,0.36237025,0.41132596,0.009008087,0.14953312,0.2538089,0.13493162,-0.32548654,-0.5211539,-0.3250649,-0.34124514,-0.4109279,-0.70970243,-0.49245158,-0.018331885,0.45040855,0.55789363,0.24256113,0.26704824,0.1687957,0.30856025,-0.32339588,-0.31671098,-0.51109815,-0.02867306,0.02182091,0.25586632,-0.6744094,-0.1190065,-0.25140464,-0.027953207,-0.2003563,-0.43335798,0.08153346,0.10827889,-0.13812986,0.11110656,-0.24367683,0.24720919,0.13068938,-0.40613747,-0.23508632,0.014626488,-0.85863245,-0.735428,-0.21164864,-0.17281502,0.33336347,-0.2710226,0.3741061,0.61523134,-0.51496935,0.40326336,-0.3313138,0.25739178,0.2537412,0.30955648,-0.4065633,0.74603856,-0.047262564,-0.29038915,-0.49947748,0.35253304,0.036004096,0.33164814,0.86604846,0.36869663,0.071687035,-0.4715352,-0.051350445,0.16497192,0.247154,0.46906638,-0.24220195,-0.28181863,-0.28663605,0.5098795,0.014337003,-0.19579858,0.028573506,-0.3429625,-0.13663554,0.44975114,0.12688744,0.5844472,0.106680974,0.20505159,-0.51665676,-0.61065173,-0.055644214,0.276501,0.038191468,-0.07575292,0.051739752,0.18758646,0.6547657,0.15789711,-0.39916202,-0.08150169,0.13941145,-0.48524788,-0.117414385,-0.084242955,0.56890124,-0.3056691,-0.47849783,0.024997085,0.29124442
PC-14,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
RD,0.7023185,0.08349188,0.3392654,0.08923823,0.3690168,-0.22110373,0.7823733,-0.17365274,-0.0010874271,0.6307695,-0.25629747,-0.33137086,0.34240633,0.7221566,-0.50327367,-0.36575073,0.13868934,0.37070906,0.9319426,-0.47175315,0.28899044,-0.2207278,0.38635185,0.023113027,-0.7364476,0.2491458,0.03573545,0.038939685,-0.6449394,-0.41450262,-0.77049106,0.9339007,0.9363991,0.5024429,0.3145529,0.45473143,-0.19634603,-0.39104286,-0.15546489,0.064435065,0.30290747,-0.22614247,0.19593325,-0.2715709,-0.28929967,0.5032364,0.31071842,-0.02955357,-0.9992739,-0.08892885,-0.055257075,-0.26687232,0.27576107,0.40877348,0.4082406,-0.29708147,0.24064821,0.2849124,0.012436643,-0.5862944,0.04018724,0.5874017,0.27508736,0.14649041,-0.21628943,0.34660393,0.27135172,-0.9460177,0.6030978,-0.9209931,0.6146379,-0.03904482,0.88963735,-0.6318716,0.57792753,-0.24902204,-0.7063476,0.28700736,0.40420914,0.22913891,0.44053644,1.1066936,0.034846425,0.1462895,-0.71042335,0.31579056,0.7070302,0.36703688,-0.34051964,0.06671572,-0.7650806,-1.0638261,0.058770485,-0.14438765,-0.07570571,0.24167633,-1.035223,-0.82713616,0.7020258,0.8152461,0.74741817,-0.026092127,-0.23979713,-0.6938298,0.24055696,0.09686929,-0.1049463,0.59005475,-0.13987042,0.42431653,0.61113465,0.66424364,0.70587355,-1.0622308,-0.72225857,0.08438462,-0.6642375,-0.97512126,0.5163252,0.4129164,0.41655862,-0.26760855,-0.24028629,0.22867912
