feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.001884683615278952,True
AATK,,,,0.01758614076781804,False
ABCA3,,,,0.007863279647564777,True
ABCC3,,,,0.009269504225990485,True
ABCC4,,,,0.0024578897407555233,True
ABI1,,,,0.026638095303625275,False
ABL1,,,,0.016534331803320413,False
ABL2,,,,0.015020471024146987,False
ACACA,,,,0.0011155236057034993,True
ACACB,,,,4.904849074960126e-05,True
ACOXL,,,,0.009595527432756948,True
ACSL6,,,,0.011246943382342648,True
ACVR1,,,,0.028443276504071323,False
ACVR1B,,,,0.012557367384472707,False
ACVR1C,,,,0.029295791322659925,False
ACVR2A,,,,0.015537094625436386,False
ACVR2B,,,,0.03780347704758515,False
ACVRL1,,,,0.011232384047683255,True
ADAM10,,,,0.027240340848433225,False
ADAM12,,,,0.0023135805361717537,True
ADAM17,,,,0.019473287254129997,False
ADAM18,,,,0.020397030471024032,False
ADAM22,,,,0.021307054580125242,False
ADAM28,,,,0.011717747219850217,True
ADAM29,,,,0.01114337479772137,True
ADAM32,,,,0.024694617851040802,False
ADAMTS18,,,,0.001211077165735817,True
ADAMTS19,,,,0.010038227448045048,True
ADAMTS2,,,,0.017796525378622908,False
ADAMTS20,,,,0.008351857549009382,True
ADAMTSL3,,,,0.0009723362214453104,True
ADARB2,,,,0.03689259437887688,False
ADCK1,,,,0.022479498517786436,False
ADCK2,,,,0.03673062220982416,False
ADCK4,,,,0.004977869702409392,True
ADCK5,,,,0.01579628448832104,False
ADHFE1,,,,0.024556384478914187,False
ADK,,,,0.04492444941040679,False
ADRBK1,,,,0.012144353537002323,True
ADRBK2,,,,0.02292080288110127,False
AFF1,,,,0.025101420219270764,False
AFF3,,,,0.0023596037260126507,True
AFF4,,,,0.008815863410763885,True
AGAP2,,,,0.01344300850027265,False
AIFM1,,,,0.04346892449847312,False
AIFM3,,,,0.05350062923332815,False
AIM1,,,,0.022143822871506368,False
AKAP12,,,,-0.008150154711605679,True
AKAP4,,,,0.022572750276369243,False
AKAP6,,,,-0.00019994269002850573,True
AKAP9,,,,0.007718056882848984,True
AKT1,,,,0.014899837290374453,False
AKT2,1.0,,False,0.015923243864364965,False
AKT3,,,,0.03169414626228247,False
ALDH7A1,,,,0.0481764599572542,False
ALK,0.0,0.0042312608436076305,True,0.01414457880507508,False
ALPK1,,,,0.023338714415685483,False
ALPK2,,,,0.010753865572707598,True
ALPK3,,,,0.033556957875405205,False
ALS2,,,,0.0018821519384041223,True
AMHR2,,,,0.013280006778166981,False
AMZ2,,,,0.0476758426646016,False
ANAPC5,,,,0.01931414534148897,False
ANGPTL4,,,,0.020375580525612606,False
ANKK1,,,,0.025257646632861515,False
APAF1,,,,0.034144959652370944,False
APBB1IP,,,,0.027483233953879027,False
APC,0.0,0.04584266601488154,True,0.003695754712194862,True
AR,,,,0.018553249451523382,False
ARAF,,,,0.016434764784188084,False
ARFGEF1,,,,0.018100063166860955,False
ARHGAP26,,,,0.017811245758373898,False
ARHGAP29,,,,0.023813975696101983,False
ARHGDIB,,,,0.04464026494547594,False
ARHGEF10,,,,0.005048181379353091,True
ARHGEF12,,,,0.016053836084109,False
ARHGEF7,,,,0.032072883712498744,False
ARID1A,,,,0.009048040310348133,True
ARNT,,,,0.020550103620808016,False
ASH2L,,,,0.04385164603940021,False
ASPH,,,,0.013473251985640644,False
ASPSCR1,,,,0.013978500292597567,False
ASTN1,,,,0.010331196137162872,True
ATF1,,,,0.04666772961668185,False
ATF2,,,,0.011816033121918514,True
ATIC,,,,0.01131408291243862,True
ATM,,,,0.005827528788770611,True
ATP10A,,,,0.009445242116480328,True
ATP11A,,,,0.013834138270204124,False
ATP13A5,,,,0.013094295791625138,False
ATP5S,,,,3.8788804214940475e-06,True
ATP8B1,,,,0.017446329162312608,False
ATR,,,,0.008587592447358083,True
ATRX,,,,0.014601311278397068,False
AURKA,,,,0.012782415667331619,False
AURKB,,,,0.03710441996671632,False
AURKC,,,,0.058329247451661244,False
AXIN1,,,,0.03555643243837939,False
AXIN2,,,,0.02167636660807707,False
AXL,,,,0.013546769482560167,False
B3GALT6,,,,0.029061382394108538,False
BAD,,,,0.06697933260490976,False
BAG4,,,,0.015321457362439282,False
BAI1,,,,0.01830076971807183,False
BAI3,,,,0.013843083084487113,False
BAK1,,,,0.00026969920768472964,True
BAP1,,,,0.010264334876653755,True
BAT3,,,,0.008152188775970454,True
BAX,,,,0.01749754447840687,False
BCAR1,,,,0.04394334356898015,False
BCKDK,,,,0.03840617696989935,False
BCL10,,,,0.029453203053632148,False
BCL11A,,,,0.007375818017342514,True
BCL11B,,,,0.016342963317098502,False
BCL2,,,,2.0967772504567087e-05,True
BCL2A1,,,,0.10040074945133848,False
BCL2L1,,,,0.04035338881864344,False
BCL2L11,,,,0.03717616999638683,False
BCL2L2,,,,4.6511827876396335e-06,True
BCL3,,,,0.031431302273481954,False
BCL6,,,,0.012800040968343663,False
BCL7A,,,,7.760422471822617e-06,True
BCL9,,,,0.012804676609817399,False
BCR,,,,0.02446515315667853,False
BGLAP,,,,3.878880421494045e-06,True
BID,,,,0.000259781513134583,True
BIK,,,,0.028635647031943788,False
BIRC2,,,,0.014068523884637243,False
BIRC3,,,,0.03103477690390286,False
BIRC5,,,,0.04060613945313558,False
BIRC6,,,,0.016724868648047453,False
BLK,,,,0.028681445124655643,False
BLM,,,,0.010450928279822235,True
BLNK,,,,0.02994225059613736,False
BMF,,,,0.045092578435421915,False
BMI1,,,,0.0315883218195553,False
BMP2K,,,,0.024163743933267562,False
BMP4,,,,0.047118455110311194,False
BMPR1A,,,,0.014376880478925592,False
BMPR1B,,,,0.03203642639493961,False
BMPR2,,,,0.012884799654585022,False
BMX,,,,0.002889746683971696,True
BNIP3,,,,0.08644164772295733,False
BOK,,,,3.878880421494045e-06,True
BRAF,0.0,0.0801174815984229,True,0.006354375043103125,True
BRCA1,0.0,0.0028248474382039576,True,0.019574789072444285,False
BRCA2,0.0,0.008426459805025422,True,0.007251651994920783,True
BRCC3,,,,0.04044438689678488,False
BRD2,,,,0.016121250551396068,False
BRD3,,,,0.025016610580129023,False
BRD4,,,,0.02794033872970097,False
BRDT,,,,0.023439039449270435,False
BRF2,,,,0.15047370315935707,False
BRIP1,,,,0.008016579348517594,True
BRSK1,,,,0.02850958265425517,False
BRSK2,,,,0.03531937205788621,False
BTG1,,,,0.03358310703508705,False
BTK,,,,0.026396681399623832,False
BTRC,,,,0.03173684230682508,False
BUB1,,,,0.030241013129116867,False
BUB1B,,,,0.017996601136934867,False
C15orf2,,,,0.009109077492563946,True
C15orf55,,,,0.01666911636341566,False
C17orf37,,,,0.1002050084265562,False
C6orf97,,,,0.03118849700369779,False
C9orf96,,,,0.01825263119288215,False
CABC1,,,,0.018451761013795656,False
CACNA1F,,,,0.017730597356449076,False
CACNB2,,,,0.01718568365679895,False
CAD,,,,0.013677467461691387,False
CAMK1,,,,0.016224294594168655,False
CAMK1D,,,,0.04369901412632202,False
CAMK1G,,,,0.0005630734037767131,True
CAMK2A,,,,0.00034251410785622653,True
CAMK2B,,,,0.04065393421741531,False
CAMK2D,,,,0.040500445511261605,False
CAMK2G,,,,0.0006773306161885378,True
CAMK4,,,,0.02313447684885803,False
CAMKK1,,,,0.05785961551422452,False
CAMKK2,,,,0.036324257683122974,False
CAMKV,,,,0.015064578228159622,False
CARD10,,,,0.006495141148991869,True
CARD11,,,,0.020921488581246026,False
CARD14,,,,0.010739307936050074,True
CARD9,,,,0.020137373576270625,False
CARS,,,,0.00731296684331955,True
CASC5,,,,-0.00010756060263727456,True
CASK,,,,0.020699347976838103,False
CASP1,,,,0.04083004124345252,False
CASP10,,,,0.04776669531238735,False
CASP2,,,,0.01147086277651153,True
CASP3,,,,0.00038456389589824354,True
