sample_id,variable,class_label,probability,known_label,predicted_label,split
Hs 852.T,Erlotinib,,,0.0606494731196107,0.044422976672649384,train
SALE,Erlotinib,,,,0.07000906765460968,train
PE/CA-PJ15,Erlotinib,,,,0.07000906765460968,train
BHT-101,Erlotinib,,,,0.03776031732559204,train
OELE,Erlotinib,,,,0.07000906765460968,train
Hs 604.T,Erlotinib,,,,0.044422976672649384,train
JM-1,Erlotinib,,,0.0363750000000003,0.044422976672649384,train
P12-Ichikawa,Erlotinib,,,0.0423395601743679,0.019359350204467773,train
PC-14,Erlotinib,,,0.540454830321444,0.07000906765460968,train
RD,Erlotinib,,,0.0021772616522563,0.06888258457183838,train
NCI-H1568,Erlotinib,,,0.192524369049532,0.07000906765460968,train
786-O,Erlotinib,,,0.0173998808952982,0.06335017085075378,train
U-138MG,Erlotinib,,,,0.06335017085075378,train
SNU-1197,Erlotinib,,,,0.035276442766189575,train
EN,Erlotinib,,,0.0081970826955626,0.02052038349211216,train
647V,Erlotinib,,,,0.07000906765460968,train
CCF-STTG1,Erlotinib,,,,0.01814103126525879,train
Loucy,Erlotinib,,,,0.07000906765460968,train
SNU-761,Erlotinib,,,,0.044422976672649384,train
NCI-H1563,Erlotinib,,,0.0216638206811162,0.07453001290559769,train
BDCM,Erlotinib,,,0.0132267808987782,0.044422976672649384,train
SNB-19,Erlotinib,,,,0.07000906765460968,train
DLD-1,Erlotinib,,,,0.00638154149055481,train
IGR-1,Erlotinib,,,,0.03776031732559204,train
ST486,Erlotinib,,,,0.07000906765460968,train
SU-DHL-10,Erlotinib,,,0.0,0.03457317501306534,train
PaTu 8988s,Erlotinib,,,,0.03194282576441765,train
ES-2,Erlotinib,,,0.0207823472235324,0.023121505975723267,train
SW1783,Erlotinib,,,,0.007092584390193224,train
HCC1806,Erlotinib,,,0.202094054607404,0.044422976672649384,train
KP-N-RT-BM-1,Erlotinib,,,,0.07453001290559769,train
MHH-CALL-2,Erlotinib,,,,0.06381326168775558,train
NCI-H1836,Erlotinib,,,,0.06206890568137169,train
NCI-H292,Erlotinib,,,,0.07000906765460968,train
SHP-77,Erlotinib,,,0.0,0.03194282576441765,train
C32 [Human melanoma],Erlotinib,,,0.0396979745149343,0.03776031732559204,train
NCI-H2172,Erlotinib,,,,0.07615900039672852,train
NCI-H747,Erlotinib,,,0.0854438275693443,0.03940247744321823,train
SNU-1066,Erlotinib,,,,0.06206890568137169,train
NCI-H510A,Erlotinib,,,,0.06889339536428452,train
NUGC-4,Erlotinib,,,0.354495435721132,0.06381326168775558,train
A-704,Erlotinib,,,,0.044422976672649384,train
Panc 08.13,Erlotinib,,,,0.03194282576441765,train
KYSE-270,Erlotinib,,,,0.02373313345015049,train
SU-DHL-4,Erlotinib,,,0.0581571366210038,0.07000906765460968,train
YD-8,Erlotinib,,,,0.06931661814451218,train
253J-BV,Erlotinib,,,,0.026167653501033783,train
ABC-1,Erlotinib,,,,0.06888258457183838,train
K029AX,Erlotinib,,,0.0,0.03776031732559204,train
SNU-324,Erlotinib,,,,0.0657162293791771,train
KYSE-140,Erlotinib,,,0.290069558925785,0.07000906765460968,train
A3/Kawakami,Erlotinib,,,,0.044422976672649384,train
K-562,Erlotinib,,,,0.07000906765460968,train
SNU-626,Erlotinib,,,,0.06335017085075378,train
Sq-1,Erlotinib,,,0.0680186397544565,0.06381326168775558,train
RS4;11,Erlotinib,,,,0.044422976672649384,train
Peer,Erlotinib,,,,0.07000906765460968,train
HCC1937,Erlotinib,,,,0.07000906765460968,train
SNU-5,Erlotinib,,,,0.060990110039711,train
Panc 05.04,Erlotinib,,,,0.03194282576441765,train
HT-1376,Erlotinib,,,0.11419338041038,0.07000906765460968,train
RD-ES,Erlotinib,,,,0.07000906765460968,train
HCC2279,Erlotinib,,,,0.06206890568137169,train
ACHN,Erlotinib,,,0.181831477887917,0.044422976672649384,train
OC 316,Erlotinib,,,0.0341578512748455,0.21974802017211914,train
A-673,Erlotinib,,,0.0132935443628987,0.03776031732559204,train
HuP-T3,Erlotinib,,,0.0448855558355754,0.07496216893196106,train
HEC-6,Erlotinib,,,0.0,0.05358627438545227,train
NCI-H1341,Erlotinib,,,0.103012744278107,0.001222024206072092,train
ESS-1,Erlotinib,,,0.0676722356100884,0.06551215052604675,train
BT-549,Erlotinib,,,0.0195656376392978,0.044422976672649384,train
BFTC-905,Erlotinib,,,,0.07000906765460968,train
WM88,Erlotinib,,,0.0046589396475744,0.12166592478752136,train
KYM-1,Erlotinib,,,0.0,0.044422976672649384,train
ChaGo-K-1,Erlotinib,,,,0.03787670284509659,train
NCI-H2444,Erlotinib,,,0.0568650212005285,0.03457317501306534,train
TE-5,Erlotinib,,,0.026737511299685,0.02454688400030136,train
DMS 79,Erlotinib,,,,0.06206890568137169,train
BL-41,Erlotinib,,,0.0095987380447434,0.07000906765460968,train
PL45,Erlotinib,,,0.0629719252063515,0.03194282576441765,train
SK-N-SH,Erlotinib,,,0.0330358225676597,0.07000906765460968,train
PL-21,Erlotinib,,,,0.06703709810972214,train
SNU-1040,Erlotinib,,,,0.0701608657836914,train
ECC10,Erlotinib,,,,0.06206890568137169,train
TM-31,Erlotinib,,,,0.06888258457183838,train
JHH-2,Erlotinib,,,0.0764561426940383,0.09852144122123718,train
OUMS-27,Erlotinib,,,,0.044422976672649384,train
SH-SY5Y,Erlotinib,,,,0.07000906765460968,train
UM-RC-6,Erlotinib,,,,0.07000906765460968,train
SNU-1196,Erlotinib,,,,0.07000906765460968,train
SNU-1041,Erlotinib,,,,0.0657162293791771,train
KMS-26,Erlotinib,,,0.011861918754795,0.06188572943210602,train
Ku812,Erlotinib,,,0.0324607245661844,0.07000906765460968,train
SK-CO-1,Erlotinib,,,0.135089516259724,0.044188469648361206,train
F5,Erlotinib,,,,0.07000906765460968,train
RMG-I,Erlotinib,,,,0.044422976672649384,train
COLO 201,Erlotinib,,,0.0207212995375924,0.10605821013450623,train
TYK-nu,Erlotinib,,,7.598553230877321e-15,0.06188572943210602,train
HCC1171,Erlotinib,,,,0.0661846250295639,train
SNU-8,Erlotinib,,,,0.06703709810972214,train
CAL-78,Erlotinib,,,0.0301368569813702,0.07000906765460968,train
HuG1-N,Erlotinib,,,,0.031738582998514175,train
CL-11,Erlotinib,,,,0.09552860260009766,train
SK-MEL-28,Erlotinib,,,,0.040010541677474976,train
S-117,Erlotinib,,,,0.06888258457183838,train
KMS-20,Erlotinib,,,,0.06703709810972214,train
OAW42,Erlotinib,,,,0.026167653501033783,train
COLO 699,Erlotinib,,,0.0150247110276725,0.07000906765460968,train
MSTO-211H,Erlotinib,,,0.0468232661050798,0.07615900039672852,train
L-1236,Erlotinib,,,,0.04000169038772583,train
AsPC-1,Erlotinib,,,0.0560623329164002,0.033808596432209015,train
HMEL,Erlotinib,,,,0.07000906765460968,train
HEC-108,Erlotinib,,,,0.0701608657836914,train
VMRC-RCW,Erlotinib,,,0.009323782911607,0.044422976672649384,train
Ki-JK,Erlotinib,,,,0.044422976672649384,train
SNU-620,Erlotinib,,,,0.044422976672649384,train
Hs 606.T,Erlotinib,,,,0.07000906765460968,train
NCI-H2228,Erlotinib,,,0.111220297000768,0.07000906765460968,train
SCC-15,Erlotinib,,,,0.07000906765460968,train
SNU-C2B,Erlotinib,,,0.0494898194582823,0.07000906765460968,train
NCI-H2347,Erlotinib,,,,0.06941448152065277,train
CFPAC-1,Erlotinib,,,,0.06703709810972214,train
NCI-H460,Erlotinib,,,0.0156850277955704,0.00638154149055481,train
Hs 746.T,Erlotinib,,,0.0282985266311347,0.06206890568137169,train
