,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
CL-40,-2.0128644,4.9795604,-0.3077519,2.4471006,-3.8271701,-0.6271286,-1.5249238,5.2020955,1.4168832,-4.895204,1.4251955,-1.7368702,-0.3834514,5.9750524,-0.45368764,5.5295596
Namalwa,-4.526015,-12.697467,2.9579613,5.099612,-4.718899,-12.91944,-9.119901,14.77107,-3.5437884,-1.345291,0.115334034,1.4324533,-8.455503,16.658037,-10.050874,22.19285
EBC-1,-2.8343816,0.3374248,0.9530999,1.0574493,1.8364389,-2.112407,-0.5042531,2.499786,0.057300534,0.50746304,0.42375228,-0.3568192,-3.6272323,0.2102974,-1.5682911,3.5153549
Ri-1,-4.9558196,-11.998375,1.5548574,3.8893416,-4.2111983,-11.688258,-8.71225,12.062878,-4.373177,-1.8053311,0.00078082085,-0.74148524,-8.609707,16.295897,-9.789582,19.60366
COR-L47,1.4982619,4.739834,5.24825,13.12287,-9.648757,3.8505278,10.372571,10.013485,2.589669,-13.430031,5.276323,12.929252,5.1706967,6.245618,2.8225968,12.453681
MOLM-13,-2.800635,-12.65973,1.2074335,1.2078899,-3.4602041,-11.938333,-13.267326,10.93051,-1.2762643,-0.07552366,-3.281712,-3.8285818,-7.7275653,15.117942,-7.3878794,21.807535
Hs 706.T,-1.9038658,-2.3134086,3.9157128,2.0268838,5.8814225,0.46118757,4.5852833,1.2948197,-2.0680795,4.329154,-1.3414589,8.078242,-5.1485534,-9.074697,-0.27226073,-0.03178436
NCI-H446,2.0102437,1.3327566,5.3098745,8.324102,-4.604227,1.6196805,6.827216,6.945114,1.886905,-6.1217594,2.8417912,10.893749,2.814054,1.7865956,1.7224175,8.707774
SiMa,3.6559467,2.529775,7.901236,12.332971,-7.972013,2.7652922,10.083831,11.052338,3.3293438,-10.364677,4.4963946,15.977555,5.358341,3.7064857,3.2642496,12.909744
NCI-H1836,1.3466504,4.9926944,4.2943573,11.781027,-9.078118,3.5593276,8.950543,8.849805,2.451709,-12.548133,4.6441975,10.702504,5.1918607,6.4503517,2.699661,11.214131
SK-ES-1,1.4981596,-0.40668792,3.6602402,4.623019,-2.2700973,0.32862777,2.7879136,4.716275,0.66522056,-2.9869552,2.0505543,6.35388,1.665264,1.5020638,0.13425647,5.4749866
SK-RC-31,-1.9070985,-0.28944266,1.8420452,2.2617147,2.3062787,0.15932661,3.303944,-0.08543725,1.005827,0.8332629,-0.7945397,4.016624,-3.120902,-4.184791,-0.018583026,1.332594
SW1783,-1.6742224,-1.9574462,4.318409,2.5642147,5.1793156,-0.04940155,4.6912985,2.321668,-1.162636,4.739952,-1.53362,8.621981,-4.752324,-8.656872,-0.17180073,0.6562335
SNU-175,-0.7491546,4.1673603,-0.66693383,4.0119443,-4.723854,2.4152482,0.99620825,3.0884764,0.20431906,-6.360202,2.9196076,-0.76550007,2.3584712,4.8549657,0.44614607,3.6040556
HH [Human lymphoma],-3.8286378,-9.721076,2.4588346,4.3958974,-3.3448777,-10.142609,-6.169622,11.513478,-3.6031995,-0.48174864,-0.26498172,1.9680966,-7.0815473,12.33564,-7.80751,17.703884
GDM-1,-3.2382567,-13.056198,1.7769674,2.4591763,-3.773366,-12.420273,-11.686055,11.845399,-2.1011932,0.3882134,-2.5917783,-1.8460567,-7.550124,15.516528,-8.208872,22.06527
LN-235,-1.1876594,-1.9479287,3.5918014,1.8525147,4.7331386,0.8314853,4.3706503,0.9402833,-1.9651455,3.6427379,-0.6452176,7.1679997,-3.8532643,-7.8858542,-0.19275206,-0.75453126
COR-L105,-1.7060252,0.43476087,0.17740414,0.052916877,1.8231851,0.67645395,1.2939423,-0.5176805,-0.53882974,-0.7654857,0.9008033,-0.53696704,-2.109843,-1.2556852,-0.32874465,-0.12522894
NCI-H1734,-1.1030284,0.657577,0.7752189,0.5940239,0.8888832,0.37645188,1.1752802,0.52640617,0.00835186,-0.3376277,0.06507394,0.43803996,-1.3609855,-0.9955768,0.19510773,0.7833542
BT-474,-0.32916424,4.1296277,-0.4775403,2.8323548,-3.2646024,-0.257038,-1.2779794,2.9605598,1.2067803,-4.0647545,2.3721046,-0.4904588,1.7109034,5.9817753,-0.18095207,3.2916093
Hs 688(A).T,-2.1281142,-2.4914675,4.5826,2.3314471,8.0052805,1.9919802,6.6462393,0.93694866,-3.7317176,4.426113,-1.2619035,10.248525,-7.132079,-12.0730505,-0.08893674,-1.3299005
PaTu 8988s,-1.3739407,4.183203,-0.6921639,2.8570685,-3.8693843,1.3709482,-0.3102688,3.0085413,0.2978813,-5.1599197,2.3866997,-1.7690854,1.1433303,4.513668,0.06862482,3.3730114
SK-UT-1,0.15746237,-0.315706,2.1057475,1.5915328,0.83591706,0.0616035,1.48022,1.2537404,0.67470723,1.3916519,-0.53453195,3.5037878,-0.51287466,-2.2260225,0.06428505,0.9739938
IST-Mes2,-1.4595193,-0.45632792,2.4182186,1.7471112,2.3236263,-0.70092535,2.2898133,1.4558295,0.64680815,2.2266214,-1.2957634,4.10224,-2.7506442,-3.8722415,-0.22194698,1.508042
Fu97,-0.91710943,0.89880896,1.673863,1.4206873,-2.712024,0.10131982,-0.73685104,1.897153,0.03321308,-1.9566436,0.9080404,-0.7238959,1.1412859,1.0565153,0.5640494,3.4903452
Hep-G2/C3A,-1.6743581,1.403193,1.4557167,1.6506705,-3.2132092,-0.3231458,-1.2204123,2.5471318,0.4750722,-2.589649,0.98565346,-1.388426,0.934621,2.3546832,0.42259622,4.5706425
SK-MEL-31,-2.870301,-4.023279,3.1440692,2.2849782,3.0428765,-0.7597736,2.8445427,1.8637624,-2.0377634,4.235608,0.4208974,6.003542,-3.27157,-6.3293104,-1.9539742,0.39026493
SW837,-0.78084147,3.3823228,-0.23394549,1.422046,-1.7119569,1.1520125,0.31241438,1.5237151,1.0620067,-3.4786627,1.4034083,-1.2303487,0.5393048,2.0099208,0.2926979,0.9622691
ES-2,-1.2790424,-1.402763,2.686155,1.9516363,3.0580533,-0.6464926,1.6629853,2.4834197,-0.45618284,3.0474384,-0.95241165,5.117119,-3.058486,-5.15607,-0.8100918,1.271608
UM-RC-6,-0.76048464,1.6031343,0.36396232,2.426993,-0.4260159,2.2026858,3.0837715,-1.6564192,1.4448626,-2.6529942,0.38548928,1.4543397,0.25399053,-1.008474,0.7221863,0.3449896
NCI-H889,2.011342,4.275012,5.9658,13.238334,-9.336799,3.2992764,10.5404215,10.457789,3.0640156,-12.792244,4.983949,13.896656,5.3491645,5.5787582,2.972668,12.977291
RCH-ACV,-2.8896194,-11.31746,3.586372,4.705827,-4.2370996,-11.810371,-8.559901,14.342865,-1.7436268,-0.6562728,-0.07955983,2.332388,-6.872076,14.655023,-8.343028,21.040789
CCF-STTG1,-1.3363848,-2.0702286,4.9544115,2.8670464,5.136511,-0.9229418,4.1865797,3.8878088,-1.4980066,5.876254,-1.8618205,9.877844,-4.825146,-8.5936365,-0.2452004,1.5324783
DBTRG-05MG,-1.4768672,-1.4195641,3.6111667,2.5675008,3.98733,0.4809768,4.4979744,1.680809,-0.661489,3.475444,-1.1636524,7.3687806,-3.8519073,-7.468785,-0.044580545,0.53348476
NCI-H2009,-2.160339,0.22381,0.80008525,-0.11942923,2.5207334,-0.6356107,0.56619817,0.39869267,-0.38923955,-0.43174216,0.8627324,-0.963896,-3.1766431,-0.7546058,-0.8572874,1.4167875
Kuramochi,-0.77531826,0.73480135,1.2526338,0.86111116,0.7612377,1.2404205,2.1584508,-0.91239357,0.388389,-0.6095352,0.24039266,0.93402743,-0.78669226,-2.0772374,0.60365963,-0.5561238
KYSE-410,-1.6395544,0.65981925,1.275536,0.26122546,1.2291335,-1.3480248,0.30645633,1.1156386,0.70050424,-0.065183625,0.34381273,-0.25555593,-2.145678,-0.37088102,-0.350379,2.1095185
