target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,TNFRSF17,0.00024126015820521852,IntegratedGradients
Erlotinib,0,,all,SOX10,8.781436700214079e-05,IntegratedGradients
Erlotinib,0,,all,IKZF1,7.09266228621412e-05,IntegratedGradients
Erlotinib,0,,all,BTK,0.0004238268437421827,IntegratedGradients
Erlotinib,0,,all,VPREB3,0.00019660696053119402,IntegratedGradients
Erlotinib,0,,all,YAP1,0.0002627736350018158,IntegratedGradients
Erlotinib,0,,all,MLANA,0.00010693448590395832,IntegratedGradients
Erlotinib,0,,all,MZB1,0.0002055135779600907,IntegratedGradients
Erlotinib,0,,all,KLF1,0.00014765570331120627,IntegratedGradients
Erlotinib,0,,all,GRHL2,0.0004943741862544479,IntegratedGradients
Erlotinib,0,,all,SPIB,8.848950271511557e-05,IntegratedGradients
Erlotinib,0,,all,PHOX2A,5.7698867240316326e-05,IntegratedGradients
Erlotinib,0,,all,FXYD3,0.0008816723225765287,IntegratedGradients
Erlotinib,0,,all,CCN1,0.0006931029993633906,IntegratedGradients
Erlotinib,0,,all,MYB,0.00038157630838416473,IntegratedGradients
Erlotinib,0,,all,RHOH,8.215511523222211e-05,IntegratedGradients
Erlotinib,0,,all,LGALS4,0.00018574007535317159,IntegratedGradients
Erlotinib,0,,all,GNG12,0.00014063738381340645,IntegratedGradients
Erlotinib,0,,all,CD52,0.0002868071667382896,IntegratedGradients
Erlotinib,0,,all,INSM1,0.0002083485883104632,IntegratedGradients
Erlotinib,0,,all,GJB3,0.0006539476045481362,IntegratedGradients
Erlotinib,0,,all,CXorf21,8.190101174733103e-05,IntegratedGradients
Erlotinib,0,,all,AZU1,4.644277792117636e-05,IntegratedGradients
Erlotinib,0,,all,CHGA,0.0003068581426830668,IntegratedGradients
Erlotinib,0,,all,ASCL1,0.00043930091459572684,IntegratedGradients
Erlotinib,0,,all,AXL,0.0013354992128613912,IntegratedGradients
Erlotinib,0,,all,LYZ,0.0002730755027295341,IntegratedGradients
Erlotinib,0,,all,ITGA3,0.00022197855989393577,IntegratedGradients
Erlotinib,0,,all,WWTR1,0.000438723516586701,IntegratedGradients
Erlotinib,0,,all,TPM1,0.0005679466274040459,IntegratedGradients
Erlotinib,0,,all,LLGL2,0.0004017253726637371,IntegratedGradients
Erlotinib,0,,all,IFFO1,9.606877555133638e-05,IntegratedGradients
Erlotinib,0,,all,SDC4,0.00016721970993910083,IntegratedGradients
Erlotinib,0,,all,MST1R,0.0001660256156081156,IntegratedGradients
Erlotinib,0,,all,MAP7,0.0003258521472331021,IntegratedGradients
Erlotinib,0,,all,PRR15L,0.00018277388926809935,IntegratedGradients
Erlotinib,0,,all,MPZL2,0.0006676440023923411,IntegratedGradients
Erlotinib,0,,all,ELAVL3,8.90051312510443e-05,IntegratedGradients
Erlotinib,0,,all,HOOK1,0.00022068494170231486,IntegratedGradients
Erlotinib,0,,all,AGR2,0.0004444934860938845,IntegratedGradients
Erlotinib,0,,all,WIPF1,0.0002468916778898521,IntegratedGradients
Erlotinib,0,,all,ZEB1,0.00011490780088689851,IntegratedGradients
Erlotinib,0,,all,GFI1B,0.00011410778019443026,IntegratedGradients
Erlotinib,0,,all,CAV1,0.00020810183894002772,IntegratedGradients
Erlotinib,0,,all,VPREB1,0.0002816652316081627,IntegratedGradients
Erlotinib,0,,all,SYDE1,0.00048639138364562446,IntegratedGradients
Erlotinib,0,,all,KLF5,0.0006183507549282645,IntegratedGradients
Erlotinib,0,,all,LAD1,0.00010960606806102507,IntegratedGradients
Erlotinib,0,,all,RASGRP2,0.00033244989356290825,IntegratedGradients
Erlotinib,0,,all,DNTT,0.0002687509735613389,IntegratedGradients
Erlotinib,0,,all,FOSL1,0.00020587165227546047,IntegratedGradients
Erlotinib,0,,all,LCP2,0.00010454833088015044,IntegratedGradients
Erlotinib,0,,all,DDR1,0.000417074265971094,IntegratedGradients
Erlotinib,0,,all,RND3,0.0001370646089809285,IntegratedGradients
Erlotinib,0,,all,LAIR1,0.0003114976588073655,IntegratedGradients
Erlotinib,0,,all,PIM2,0.0005421419989264631,IntegratedGradients
Erlotinib,0,,all,GPX2,0.00033250276372959506,IntegratedGradients
