feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.0018983643587985976,True
AATK,,,,0.020873834951437346,False
ABCA3,,,,0.004140766861815387,True
ABCC3,,,,0.009371719819710462,True
ABCC4,,,,0.002436662570812594,True
ABI1,,,,0.027538744506254917,False
ABL1,,,,0.01657209169195738,False
ABL2,,,,0.010187706231136778,True
ACACA,,,,0.00612580484394024,True
ACACB,,,,0.001144409584059891,True
ACOXL,,,,0.009585091075915642,True
ACSL6,,,,0.011250327170825828,False
ACVR1,,,,0.028558106419158773,False
ACVR1B,,,,0.0130739466372381,False
ACVR1C,,,,0.029274660682212687,False
ACVR2A,,,,0.015631063457611886,False
ACVR2B,,,,0.020145181889047042,False
ACVRL1,,,,0.011243003349183446,False
ADAM10,,,,0.018681405491381625,False
ADAM12,,,,0.0022438360317709903,True
ADAM17,,,,0.019492839004458726,False
ADAM18,,,,0.018953652944487673,False
ADAM22,,,,0.021348588008472322,False
ADAM28,,,,0.013330796134237974,False
ADAM29,,,,0.008677440259492452,True
ADAM32,,,,0.022974017670986027,False
ADAMTS18,,,,0.00033236395051071513,True
ADAMTS19,,,,0.010019043493311473,True
ADAMTS2,,,,0.009836555473997106,True
ADAMTS20,,,,0.00823215094938385,True
ADAMTSL3,,,,-0.00035561483952635027,True
ADARB2,,,,0.03687276839375708,False
ADCK1,,,,0.022481810893505334,False
ADCK2,,,,0.036719546962688615,False
ADCK4,,,,0.004978732933752741,True
ADCK5,,,,0.01578473429098481,False
ADHFE1,,,,0.024499201198920247,False
ADK,,,,0.025239489049320978,False
ADRBK1,,,,0.012147724383011269,False
ADRBK2,,,,0.022899207408565138,False
AFF1,,,,0.025120903673350455,False
AFF3,,,,0.007077418984958351,True
AFF4,,,,0.008810706243225738,True
AGAP2,,,,0.01370434749785607,False
AIFM1,,,,0.03646960558367256,False
AIFM3,,,,0.038556333640994145,False
AIM1,,,,0.014038651107384012,False
AKAP12,,,,-0.007987983101471658,True
AKAP4,,,,0.023248778606046648,False
AKAP6,,,,-0.0004992620827827266,True
AKAP9,,,,0.007913170570653286,True
AKT1,,,,0.015992384732710876,False
AKT2,1.0,,False,0.031390352961015326,False
AKT3,,,,0.033696288912454415,False
ALDH7A1,,,,0.03609890632838158,False
ALK,0.0,0.0042312608436076305,True,0.018109159925680667,False
ALPK1,,,,0.019177184245998236,False
ALPK2,,,,0.011080246590773812,False
ALPK3,,,,0.024261270956463587,False
ALS2,,,,0.0025642156185421198,True
AMHR2,,,,0.0013764168012477202,True
AMZ2,,,,0.047694171932613445,False
ANAPC5,,,,0.010248093521807519,True
ANGPTL4,,,,0.02038399917159254,False
ANKK1,,,,0.017687869724599067,False
APAF1,,,,0.04184426529469923,False
APBB1IP,,,,0.02005731681194285,False
APC,0.0,0.04584266601488154,True,0.0030779952363036954,True
AR,,,,0.009456650566030468,True
ARAF,,,,0.016469007478043956,False
ARFGEF1,,,,0.01906587197484848,False
ARHGAP26,,,,0.008761950389250428,True
ARHGAP29,,,,0.01850384959982304,False
ARHGDIB,,,,0.0312537402101272,False
ARHGEF10,,,,0.005031326101071672,True
ARHGEF12,,,,0.01647562878596569,False
ARHGEF7,,,,0.022344038254732215,False
ARID1A,,,,0.005704123549197749,True
ARNT,,,,0.01860534812653911,False
ASH2L,,,,0.04388522027305949,False
ASPH,,,,0.013398762412148707,False
ASPSCR1,,,,0.01399868259507533,False
ASTN1,,,,0.013210749504695408,False
ATF1,,,,0.03365299092055279,False
ATF2,,,,0.011829836993036906,False
ATIC,,,,0.021950457469956268,False
ATM,,,,0.0038430064935062757,True
ATP10A,,,,0.010589103123824148,False
ATP11A,,,,0.01769935557134519,False
ATP13A5,,,,0.013380257681256797,False
ATP5S,,,,4.2873433800705534e-06,True
ATP8B1,,,,0.013383498959677918,False
ATR,,,,0.008463892494835609,True
ATRX,,,,0.01635324552438224,False
AURKA,,,,0.000967415410121482,True
AURKB,,,,0.03711659907915306,False
AURKC,,,,0.03927517158698411,False
AXIN1,,,,0.032186065320002635,False
AXIN2,,,,0.021736343216864174,False
AXL,,,,0.01380908515116642,False
B3GALT6,,,,0.029086222933207603,False
BAD,,,,0.06699319936662891,False
BAG4,,,,0.015331100891430376,False
BAI1,,,,0.013454480091886994,False
BAI3,,,,0.011716971992677579,False
BAK1,,,,0.00027494332498632744,True
BAP1,,,,0.008126980705530435,True
BAT3,,,,0.008197657368999002,True
BAX,,,,0.02361406525976659,False
BCAR1,,,,0.04392312711980102,False
BCKDK,,,,0.027314910419604127,False
BCL10,,,,0.029476316613159033,False
BCL11A,,,,0.007358517839992397,True
BCL11B,,,,0.008606660524620882,True
BCL2,,,,2.1573388818467787e-05,True
BCL2A1,,,,0.10041447709443313,False
BCL2L1,,,,0.04035099066747169,False
BCL2L11,,,,0.037185284705490006,False
BCL2L2,,,,4.311454228481431e-06,True
BCL3,,,,0.03148543434911409,False
BCL6,,,,0.012816675541154446,False
BCL7A,,,,8.606882186988721e-06,True
BCL9,,,,0.012914566537002363,False
BCR,,,,0.022930188568441902,False
BGLAP,,,,4.311454228481427e-06,True
BID,,,,0.0002699442158248689,True
BIK,,,,0.028638595965027318,False
BIRC2,,,,0.01441877779646312,False
BIRC3,,,,0.022011169957317906,False
BIRC5,,,,0.040637901686472105,False
BIRC6,,,,0.01612293460207334,False
BLK,,,,0.02020357997199854,False
BLM,,,,0.0067869448541345,True
BLNK,,,,0.03832829948760293,False
BMF,,,,0.045066314310533526,False
BMI1,,,,0.01725303073728186,False
BMP2K,,,,0.02201110588603152,False
BMP4,,,,0.04254572248166777,False
BMPR1A,,,,0.014400215266770326,False
BMPR1B,,,,0.03539897709742706,False
BMPR2,,,,0.014341682796195286,False
BMX,,,,0.002736985319779853,True
BNIP3,,,,0.06717684196891485,False
BOK,,,,4.311454228481427e-06,True
BRAF,0.0,0.0801174815984229,True,0.001100197110662198,True
BRCA1,0.0,0.0028248474382039576,True,0.015432011608601299,False
BRCA2,0.0,0.008426459805025422,True,0.005276126615914918,True
BRCC3,,,,0.04040029862145495,False
BRD2,,,,0.021186350901893677,False
BRD3,,,,0.025330566198237963,False
BRD4,,,,0.02192421264847304,False
BRDT,,,,0.01824232098386775,False
BRF2,,,,0.13354813794356787,False
BRIP1,,,,0.008946133263124972,True
BRSK1,,,,0.04205369488740364,False
BRSK2,,,,0.026789076426411474,False
BTG1,,,,0.03358823760631793,False
BTK,,,,0.028341361800303135,False
BTRC,,,,0.031764698007416596,False
BUB1,,,,0.016319060649976354,False
BUB1B,,,,0.0219535167299681,False
C15orf2,,,,0.006455337411793508,True
C15orf55,,,,0.016841081811249912,False
C17orf37,,,,0.10020756251654574,False
C6orf97,,,,0.025500665180480834,False
C9orf96,,,,0.02694572615987647,False
CABC1,,,,0.019290295865500854,False
CACNA1F,,,,0.014867369635105987,False
CACNB2,,,,0.01721371759621746,False
CAD,,,,0.011650381508970565,False
CAMK1,,,,0.01733501340187884,False
CAMK1D,,,,0.03137186995162802,False
CAMK1G,,,,0.0005850059663016687,True
CAMK2A,,,,0.0003484361126551626,True
CAMK2B,,,,0.040646968327838866,False
CAMK2D,,,,0.040479893045704055,False
CAMK2G,,,,0.0006890576226423798,True
CAMK4,,,,0.016200157731399545,False
CAMKK1,,,,0.05788599143780169,False
CAMKK2,,,,0.03633927605020612,False
CAMKV,,,,0.01601393357718563,False
CARD10,,,,0.0055931397588720065,True
CARD11,,,,0.020985257031172266,False
CARD14,,,,0.01071965223213333,False
CARD9,,,,0.020979683446884737,False
CARS,,,,0.0076877412716893695,True
CASC5,,,,-0.000448482562323321,True
CASK,,,,0.01287154156882015,False
CASP1,,,,0.029104397383986545,False
CASP10,,,,0.03171642692855259,False
CASP2,,,,0.011462396033023826,False
CASP3,,,,0.0004005908820513063,True
CASP4,,,,0.016723873202972427,False
CASP6,,,,0.028757735022665133,False
CASP7,,,,0.015130909597752259,False
CASP8,,,,0.024206343895490152,False
CASP9,,,,0.0010707226440379667,True
CATSPERB,,,,0.011244900040929345,False
CBFA2T3,,,,0.032242825215614904,False
CBFB,,,,0.05015383667230674,False
CBL,,,,0.026687034497493912,False
CCDC50,,,,0.04519429588788108,False
CCDC56,,,,0.00014217151367230604,True
CCDC6,,,,0.002199883711242425,True
CCL3,,,,4.316541169842149e-06,True
CCL4,,,,0.00014653400331078603,True
CCNA1,,,,0.016841237304795014,False
CCNA2,,,,0.033918653720615,False
CCNB1,,,,0.00033249770697090994,True
CCNB1IP1,,,,0.0006616325909891717,True
CCND1,1.0,,False,0.057430420057753145,False
CCND2,1.0,,False,0.03142009567377304,False
CCND3,1.0,,False,3.906441576167223e-05,True
CCNE1,,,,0.0002024811717468585,True
CCNG1,,,,0.04054130872811611,False
CCNT1,,,,0.030828086921803003,False
CCR1,,,,0.02875244619396276,False
CCR4,,,,0.02272181319667145,False
CCR5,,,,0.027026115319618137,False
CD160,,,,0.00024349142372025634,True
CD40,,,,0.05033231304422651,False
CD40LG,,,,0.02257934374941046,False
CD44,,,,0.009288010390895645,True
CD79A,,,,0.06729878651413951,False
CD79B,,,,0.025541788051884937,False
CDC25A,,,,0.00935514098724153,True
CDC25C,,,,0.028049378969401063,False
CDC34,,,,0.08633138148928478,False
CDC42,,,,0.02872794530775535,False
CDC42BPA,,,,0.01588746927306392,False
CDC42BPB,,,,0.015145154780876994,False
CDC42BPG,,,,0.01616109072586441,False
CDC5L,,,,0.028550211474731566,False
CDC7,,,,0.009622125624770576,True
CDC73,,,,0.024844858984452947,False
CDH1,0.0,0.016708672081291495,True,0.01387667906555361,False
CDH11,,,,0.012597149340374742,False
CDH2,,,,0.01912060277065615,False
CDH3,,,,0.018713035242412072,False
CDK1,,,,0.05044833229852452,False
CDK10,,,,0.0005193463307977143,True
CDK11A,,,,0.029153491780151364,False
CDK11B,,,,0.03883210539594138,False
CDK12,,,,0.013657393438029587,False
CDK13,,,,0.024209811769237317,False
CDK14,,,,0.017574056294915787,False
CDK15,,,,0.04700594494692784,False
CDK16,,,,0.00015085127852592086,True
CDK17,,,,0.02505502139305256,False
CDK18,,,,0.039026949923045604,False
CDK19,,,,0.05697344195753933,False
CDK2,,,,0.017412263333575467,False
CDK20,,,,0.037055288332878675,False
CDK3,,,,0.031222908654577726,False
CDK4,1.0,,False,0.00018608339053298665,True
CDK5,,,,0.00039166773697767865,True
CDK6,1.0,,False,0.022451225835871957,False
CDK7,,,,0.0575474858246561,False
CDK8,,,,0.010973083425084736,False
CDK9,,,,4.767204650828318e-05,True
CDKL1,,,,0.03702797541386174,False
CDKL2,,,,0.024885510415776878,False
