feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
A1BG-AS1,,,,0.08331584636763804,False
A1CF,0.0,0.7507956694974248,True,-0.0018517002239343016,True
A2M,0.0,2.4705045816430578,True,0.04024795702348762,False
A2M-AS1,,,,0.09147436085900691,False
A2ML1,,,,0.09279124063324957,False
A4GALT,0.0,0.11285058754178492,True,0.06522639902624573,False
A4GNT,0.0,0.027380002006847953,True,0.11123826440170864,False
AAAS,0.0,0.2568226031216448,True,0.08599147252661092,False
AACS,0.0,0.6493180914498895,True,0.06632299786862478,False
AACSP1,,,,0.11047035333786318,False
AADAC,0.0,0.5009152319981586,True,0.05385688657940223,False
AADACL2,,,,0.1540784380499508,False
AADACP1,,,,0.06602578132088809,False
AADAT,,,,0.0665615642392045,False
AAGAB,0.0,0.14581537996735777,True,0.0951804942315031,False
AAK1,0.0,0.05012612279752732,True,0.07726309642513329,False
AAMDC,0.0,0.3765882636005902,True,0.08101443772907858,False
AAMP,0.0,0.25182138692296413,True,0.08950015498445506,False
AANAT,0.0,0.05457020650915999,True,0.06730821179691676,False
AAR2,0.0,0.2450439815987984,True,0.10339137647419315,False
AARS1,0.0,0.6422566951265695,True,0.07878196829490072,False
AARS2,,,,0.06720322824419715,False
AASDH,,,,0.10729475744252437,False
AASDHPPT,0.0,0.45533915383442536,True,0.07278611791579337,False
AASS,0.0,0.3774777603735969,True,0.05996551676980278,False
AATBC,,,,0.0894416722081872,False
AATF,0.0,0.299535981033834,True,0.06629295415019923,False
AATK,0.0,0.1796825020482131,True,0.07394472452556776,False
ABAT,0.0,1.1286420660554057,True,0.06400168922965062,False
ABCA1,0.0,1.4962653159124981,True,0.06752999876912232,False
ABCA11P,0.0,0.24745351030917917,True,0.10359785611140625,False
ABCA12,0.0,0.3116672963878397,True,0.056833960870187994,False
ABCA13,,,,0.06860116626852168,False
ABCA17P,,,,0.10910618217360009,False
ABCA2,0.0,0.11745013343474875,True,0.07318574612398612,False
ABCA3,0.0,1.0818125046584748,True,0.028810629985350104,False
ABCA4,0.0,0.277260503765033,True,0.07833651416710649,False
ABCA5,0.0,0.7663931491758981,True,0.057564979532385915,False
ABCA6,0.0,0.08148724568939503,True,0.05154745806602334,False
ABCA7,0.0,0.2861632690045332,True,0.05366035266425307,False
ABCA8,0.0,0.8600155422709612,True,0.07467172560333311,False
ABCA9,,,,0.0582189031372723,False
ABCB1,0.0,1.6325294015311735,True,0.06300186969562563,False
ABCB10,,,,0.06563974628660334,False
ABCB11,0.0,0.01475845182081039,False,0.15158563638982903,False
ABCB4,0.0,0.5972437983312137,True,0.0430456174851524,False
ABCB5,,,,0.033448966577731234,False
ABCB7,0.0,0.4781007216100158,True,0.06109125085939298,False
ABCB8,0.0,0.07281075794946978,True,0.08346092698521163,False
ABCB9,0.0,0.11827669529664099,True,0.08382847228500546,False
ABCC1,0.0,0.6100520577041445,True,0.07326381314739958,False
ABCC10,0.0,0.6050571898731203,True,0.07214497161206099,False
ABCC11,,,,0.0590306138264398,False
