sample_id,variable,class_label,probability,known_label,predicted_label,split
CL-40,Erlotinib,,,,0.03381028771400452,train
Namalwa,Erlotinib,,,,0.003166584298014641,train
EBC-1,Erlotinib,,,0.0454726012161155,0.022690774872899055,train
Ri-1,Erlotinib,,,,0.0232057087123394,train
COR-L47,Erlotinib,,,,0.002261882647871971,train
MOLM-13,Erlotinib,,,,0.04665844887495041,train
Hs 706.T,Erlotinib,,,,0.07353813946247101,train
NCI-H446,Erlotinib,,,,0.0072770994156599045,train
SiMa,Erlotinib,,,0.0,-0.003765304572880268,train
NCI-H1836,Erlotinib,,,,0.006094562821090221,train
SK-ES-1,Erlotinib,,,0.0683218629110332,0.010337324813008308,train
SK-RC-31,Erlotinib,,,,0.04276522994041443,train
SW1783,Erlotinib,,,,0.05169045925140381,train
SNU-175,Erlotinib,,,,0.0758289098739624,train
HH [Human lymphoma],Erlotinib,,,0.0,0.0005638785660266876,train
GDM-1,Erlotinib,,,,0.028644543141126633,train
LN-235,Erlotinib,,,,0.07441118359565735,train
COR-L105,Erlotinib,,,0.184419137598666,0.1363583505153656,train
NCI-H1734,Erlotinib,,,,0.07055836170911789,train
BT-474,Erlotinib,,,0.0537926082643491,0.041485510766506195,train
Hs 688(A).T,Erlotinib,,,,0.1083785891532898,train
PaTu 8988s,Erlotinib,,,,0.07253599166870117,train
SK-UT-1,Erlotinib,,,,0.03388974815607071,train
IST-Mes2,Erlotinib,,,0.0253521215403125,0.026960067451000214,train
Fu97,Erlotinib,,,0.0544409555382595,0.037462957203388214,train
Hep-G2/C3A,Erlotinib,,,0.0202058023583914,0.03109036013484001,train
SK-MEL-31,Erlotinib,,,0.0229383589159689,0.04888244718313217,train
SW837,Erlotinib,,,,0.08121712505817413,train
ES-2,Erlotinib,,,0.0207823472235324,0.035060733556747437,train
UM-RC-6,Erlotinib,,,,0.0958578884601593,train
NCI-H889,Erlotinib,,,,-6.797537207603455e-05,train
RCH-ACV,Erlotinib,,,,0.0019632335752248764,train
CCF-STTG1,Erlotinib,,,,0.03506578877568245,train
DBTRG-05MG,Erlotinib,,,0.0295293703939529,0.04964604601264,train
NCI-H2009,Erlotinib,,,0.0812374464357929,0.09726959466934204,train
Kuramochi,Erlotinib,,,0.0934454016671447,0.10273712873458862,train
KYSE-410,Erlotinib,,,0.0661153584914752,0.045066140592098236,train
JHOM-1,Erlotinib,,,,0.05801273137331009,train
UACC-893,Erlotinib,,,,0.10387925803661346,train
NCI-H2081,Erlotinib,,,,0.005505082197487354,train
