target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,TNFRSF17,9.574630658931577e-05,IntegratedGradients
Erlotinib,0,,rna,SOX10,0.0002703398156850059,IntegratedGradients
Erlotinib,0,,rna,IKZF1,0.00011623795832306445,IntegratedGradients
Erlotinib,0,,rna,BTK,0.00024893450179143157,IntegratedGradients
Erlotinib,0,,rna,VPREB3,0.00011714055750020076,IntegratedGradients
Erlotinib,0,,rna,YAP1,0.00010951781100618382,IntegratedGradients
Erlotinib,0,,rna,MLANA,7.854708434688505e-05,IntegratedGradients
Erlotinib,0,,rna,MZB1,0.00027590874290327167,IntegratedGradients
Erlotinib,0,,rna,KLF1,9.609119254537141e-05,IntegratedGradients
Erlotinib,0,,rna,GRHL2,0.0005669207728496445,IntegratedGradients
Erlotinib,0,,rna,SPIB,5.890047865237772e-05,IntegratedGradients
Erlotinib,0,,rna,PHOX2A,0.00031048012481413713,IntegratedGradients
Erlotinib,0,,rna,FXYD3,0.0005525480911334836,IntegratedGradients
Erlotinib,0,,rna,CCN1,0.00026081526344225164,IntegratedGradients
Erlotinib,0,,rna,MYB,0.00036962868059225485,IntegratedGradients
Erlotinib,0,,rna,RHOH,0.0001772297730975378,IntegratedGradients
Erlotinib,0,,rna,LGALS4,0.0002230106175000938,IntegratedGradients
Erlotinib,0,,rna,GNG12,0.00025831041552789495,IntegratedGradients
Erlotinib,0,,rna,CD52,0.0001278525317341413,IntegratedGradients
Erlotinib,0,,rna,INSM1,0.00023276677635087682,IntegratedGradients
Erlotinib,0,,rna,GJB3,0.0007119879699563917,IntegratedGradients
Erlotinib,0,,rna,CXorf21,0.00010865275174287772,IntegratedGradients
Erlotinib,0,,rna,AZU1,0.00011879814875053966,IntegratedGradients
Erlotinib,0,,rna,CHGA,0.00030106891993958717,IntegratedGradients
Erlotinib,0,,rna,ASCL1,0.00022228242545060112,IntegratedGradients
Erlotinib,0,,rna,AXL,0.0010792904835223694,IntegratedGradients
Erlotinib,0,,rna,LYZ,0.00013253188093653124,IntegratedGradients
Erlotinib,0,,rna,ITGA3,0.0008458020379719754,IntegratedGradients
Erlotinib,0,,rna,WWTR1,0.00010824326906055407,IntegratedGradients
Erlotinib,0,,rna,TPM1,0.0004914223325145286,IntegratedGradients
Erlotinib,0,,rna,LLGL2,0.000200903114652936,IntegratedGradients
Erlotinib,0,,rna,IFFO1,0.0007037714117754279,IntegratedGradients
Erlotinib,0,,rna,SDC4,0.00020183304026916314,IntegratedGradients
Erlotinib,0,,rna,MST1R,0.00036395030886094044,IntegratedGradients
Erlotinib,0,,rna,MAP7,0.00048923623643919,IntegratedGradients
Erlotinib,0,,rna,PRR15L,0.000434452074952522,IntegratedGradients
Erlotinib,0,,rna,MPZL2,0.000946275987687877,IntegratedGradients
Erlotinib,0,,rna,ELAVL3,0.000434163518867367,IntegratedGradients
Erlotinib,0,,rna,HOOK1,0.0006509909311677585,IntegratedGradients
Erlotinib,0,,rna,AGR2,0.000127789257880252,IntegratedGradients
Erlotinib,0,,rna,WIPF1,0.0001035037552101785,IntegratedGradients
Erlotinib,0,,rna,ZEB1,0.00014988946712339045,IntegratedGradients
Erlotinib,0,,rna,GFI1B,0.00031937445612015416,IntegratedGradients
Erlotinib,0,,rna,CAV1,0.0003158848914585637,IntegratedGradients
Erlotinib,0,,rna,VPREB1,0.0001742872126235058,IntegratedGradients
Erlotinib,0,,rna,SYDE1,0.0005568868266703571,IntegratedGradients
Erlotinib,0,,rna,KLF5,0.0009006009330927003,IntegratedGradients
Erlotinib,0,,rna,LAD1,0.00021803819665871155,IntegratedGradients
Erlotinib,0,,rna,RASGRP2,0.00038060741056758013,IntegratedGradients
Erlotinib,0,,rna,DNTT,0.00012377523852665054,IntegratedGradients
Erlotinib,0,,rna,FOSL1,0.00014402022762095967,IntegratedGradients
Erlotinib,0,,rna,LCP2,8.31054603839695e-05,IntegratedGradients
Erlotinib,0,,rna,DDR1,0.0002235437323896302,IntegratedGradients
Erlotinib,0,,rna,RND3,9.826844330970961e-05,IntegratedGradients
Erlotinib,0,,rna,LAIR1,0.0001358091269581861,IntegratedGradients
Erlotinib,0,,rna,PIM2,9.163446293757067e-05,IntegratedGradients
Erlotinib,0,,rna,GPX2,0.00013529152823135444,IntegratedGradients
Erlotinib,0,,rna,ELF3,0.0005357219351839878,IntegratedGradients
Erlotinib,0,,rna,ARHGAP25,0.0001492970171992833,IntegratedGradients
Erlotinib,0,,rna,TEAD1,0.000777821033877215,IntegratedGradients
Erlotinib,0,,rna,SFN,0.0006473706172165885,IntegratedGradients
Erlotinib,0,,rna,DSP,0.00014502132752497316,IntegratedGradients
Erlotinib,0,,rna,FLI1,0.0001832371830259699,IntegratedGradients
Erlotinib,0,,rna,S100A2,0.002013423449500502,IntegratedGradients
Erlotinib,0,,rna,LMNA,0.00012895456532255887,IntegratedGradients
Erlotinib,0,,rna,F11R,0.00019911791159782298,IntegratedGradients
Erlotinib,0,,rna,CALD1,0.00021823989292222616,IntegratedGradients
Erlotinib,0,,rna,TSPAN6,0.0006666505429524338,IntegratedGradients
Erlotinib,0,,rna,CYTIP,0.0004957309879749361,IntegratedGradients
Erlotinib,0,,rna,BLNK,9.416084663471278e-05,IntegratedGradients
Erlotinib,0,,rna,LOXL2,0.0007880252182916855,IntegratedGradients
Erlotinib,0,,rna,TSPAN1,0.0005321047582268879,IntegratedGradients
Erlotinib,0,,rna,CTBP2,0.0005862212460475521,IntegratedGradients
Erlotinib,0,,rna,APBB1IP,0.00022501244204167732,IntegratedGradients
Erlotinib,0,,rna,SH2D3A,0.0001799597336535981,IntegratedGradients
Erlotinib,0,,rna,PDGFRB,0.00016211931974881503,IntegratedGradients
Erlotinib,0,,rna,ATP1B1,0.00017727038811622827,IntegratedGradients
Erlotinib,0,,rna,CTSL,0.00023643245920730864,IntegratedGradients
Erlotinib,0,,rna,GPR87,0.0014167530936036068,IntegratedGradients
Erlotinib,0,,rna,ATP2A3,0.0003234701577192254,IntegratedGradients
Erlotinib,0,,rna,LY86,0.0003846936254612389,IntegratedGradients
Erlotinib,0,,rna,ANXA1,0.0007007665396878442,IntegratedGradients
Erlotinib,0,,rna,OSMR,0.00065880902990812,IntegratedGradients
Erlotinib,0,,rna,PPL,0.0005564345003925187,IntegratedGradients
Erlotinib,0,,rna,LSR,0.00025179184361329523,IntegratedGradients
Erlotinib,0,,rna,EMP3,0.0003257903671234132,IntegratedGradients
Erlotinib,0,,rna,POU2F2,0.00039609612025952204,IntegratedGradients
Erlotinib,0,,rna,S100P,0.0004641040447483153,IntegratedGradients
Erlotinib,0,,rna,LAMB1,0.0005862727224385187,IntegratedGradients
Erlotinib,0,,rna,CAP2,0.00028057102700031493,IntegratedGradients
Erlotinib,0,,rna,PARVA,0.0001702116562616888,IntegratedGradients
Erlotinib,0,,rna,GPRC5A,0.00017654482652571391,IntegratedGradients
Erlotinib,0,,rna,ZEB2,0.0003276064240112776,IntegratedGradients
Erlotinib,0,,rna,SAMSN1,0.0003267280291307103,IntegratedGradients
Erlotinib,0,,rna,PLCG2,0.0003035635638548239,IntegratedGradients
Erlotinib,0,,rna,CD3E,0.00036132339084827647,IntegratedGradients
Erlotinib,0,,rna,TFF3,0.00015957206916555295,IntegratedGradients
Erlotinib,0,,rna,RBM47,0.0004924138761122047,IntegratedGradients
Erlotinib,0,,rna,LAPTM5,0.00022361126732285398,IntegratedGradients
Erlotinib,0,,rna,CCDC69,0.0008594418238633987,IntegratedGradients
Erlotinib,0,,rna,DDR2,0.0004609761987320188,IntegratedGradients
Erlotinib,0,,rna,CDH3,0.0007469841440132776,IntegratedGradients
Erlotinib,0,,rna,B3GNT3,0.0001900479840255651,IntegratedGradients
Erlotinib,0,,rna,PAX8,0.00016059545400785134,IntegratedGradients
Erlotinib,0,,rna,KRT19,0.00017911662598117138,IntegratedGradients
Erlotinib,0,,rna,VIL1,0.0008351570199922824,IntegratedGradients
Erlotinib,0,,rna,ANTXR1,0.0004411805578116928,IntegratedGradients
Erlotinib,0,,rna,IL2RG,0.0005132428190996784,IntegratedGradients
Erlotinib,0,,rna,PRKCB,0.000342860873653748,IntegratedGradients
Erlotinib,0,,rna,SH3BP4,0.0004946021292364339,IntegratedGradients
Erlotinib,0,,rna,DDC,0.00018101565889879393,IntegratedGradients
Erlotinib,0,,rna,RAG2,0.00015634465742836386,IntegratedGradients
Erlotinib,0,,rna,KIRREL1,0.00033085337081722283,IntegratedGradients
Erlotinib,0,,rna,EHD2,0.00012956134338978507,IntegratedGradients
Erlotinib,0,,rna,CD3D,0.00035288466891654973,IntegratedGradients
Erlotinib,0,,rna,JUP,0.0002989651913737927,IntegratedGradients
Erlotinib,0,,rna,GPR35,0.0009550146437292711,IntegratedGradients
Erlotinib,0,,rna,FAM114A1,0.00013766528565587363,IntegratedGradients
Erlotinib,0,,rna,EGFR,0.0024577982574188945,IntegratedGradients
Erlotinib,0,,rna,PERP,0.00033603435154969753,IntegratedGradients
Erlotinib,0,,rna,PRSS23,0.0002751971862726055,IntegratedGradients
Erlotinib,0,,rna,TGFBI,0.00028043975676172463,IntegratedGradients
Erlotinib,0,,rna,SEPTIN10,0.0007049977334631312,IntegratedGradients
Erlotinib,0,,rna,KRT6A,0.0010544650652370114,IntegratedGradients
Erlotinib,0,,rna,DAPP1,0.0004753534352086876,IntegratedGradients
Erlotinib,0,,rna,SPDEF,0.0008751343261965219,IntegratedGradients
Erlotinib,0,,rna,TNFRSF1A,0.0004294650012265519,IntegratedGradients
Erlotinib,0,,rna,FHL2,0.0002503857940182217,IntegratedGradients
Erlotinib,0,,rna,HNF4A,6.66576091934497e-05,IntegratedGradients
Erlotinib,0,,rna,FERMT2,0.00037233219559491473,IntegratedGradients
Erlotinib,0,,rna,APOA1,0.00015388296648065076,IntegratedGradients
Erlotinib,0,,rna,IGLL3P,0.00011816096565140502,IntegratedGradients
Erlotinib,0,,rna,VIM,0.0001934961230181078,IntegratedGradients
Erlotinib,0,,rna,ITGB4,0.0001455389812035726,IntegratedGradients
Erlotinib,0,,rna,ELMO1,0.0003608926625121703,IntegratedGradients
Erlotinib,0,,rna,ZAP70,7.942278489820138e-05,IntegratedGradients
Erlotinib,0,,rna,CTNND1,0.0006577377306357169,IntegratedGradients
Erlotinib,0,,rna,RTL8C,0.0003463464812448282,IntegratedGradients
Erlotinib,0,,rna,GYPC,0.00017765875829579123,IntegratedGradients
Erlotinib,0,,rna,PLEKHA1,0.00039398392076011354,IntegratedGradients
Erlotinib,0,,rna,TM4SF5,5.9569969696226926e-05,IntegratedGradients
Erlotinib,0,,rna,EHF,0.00039821330719308837,IntegratedGradients
Erlotinib,0,,rna,CLDN3,0.0007000960966937231,IntegratedGradients
Erlotinib,0,,rna,LAPTM4B,0.0002852362920053926,IntegratedGradients
Erlotinib,0,,rna,ARHGEF6,0.00038223624493356675,IntegratedGradients
Erlotinib,0,,rna,LST1,0.00011475697178685803,IntegratedGradients
Erlotinib,0,,rna,KCNC1,6.667503775657648e-05,IntegratedGradients
Erlotinib,0,,rna,PTPN6,0.00015212290490752427,IntegratedGradients
Erlotinib,0,,rna,PPP1R16B,0.00023290116739527628,IntegratedGradients
Erlotinib,0,,rna,ASAP2,0.0001914066653346185,IntegratedGradients
Erlotinib,0,,rna,PTPRF,0.00017157412647976803,IntegratedGradients
Erlotinib,0,,rna,TESPA1,7.16690558806806e-05,IntegratedGradients
Erlotinib,0,,rna,TACSTD2,0.00025507043088743124,IntegratedGradients
Erlotinib,0,,rna,IRF8,0.00012578065774618473,IntegratedGradients
Erlotinib,0,,rna,PLS1,0.00040242592499353607,IntegratedGradients
Erlotinib,0,,rna,GJB5,0.0010303464225241104,IntegratedGradients
Erlotinib,0,,rna,BSPRY,0.0002574693179888879,IntegratedGradients
Erlotinib,0,,rna,PPIC,0.0001246048275570054,IntegratedGradients
Erlotinib,0,,rna,FBN1,0.0001429691623074103,IntegratedGradients
Erlotinib,0,,rna,CCR7,5.941529307314741e-05,IntegratedGradients
Erlotinib,0,,rna,TJP3,0.001450193091844878,IntegratedGradients
Erlotinib,0,,rna,DCBLD2,0.00024176082465354919,IntegratedGradients
Erlotinib,0,,rna,CAPN2,0.000579938531440289,IntegratedGradients
Erlotinib,0,,rna,ACTN1,0.0001586510163187109,IntegratedGradients
Erlotinib,0,,rna,CD38,0.0005787873099071782,IntegratedGradients
Erlotinib,0,,rna,TINAGL1,0.00021721719027349161,IntegratedGradients
Erlotinib,0,,rna,CNKSR1,0.0002759610300725608,IntegratedGradients
Erlotinib,0,,rna,RRAS,0.0001745250745519344,IntegratedGradients
Erlotinib,0,,rna,EPHA1,0.0006669869498266557,IntegratedGradients
Erlotinib,0,,rna,LARP6,0.00033408797319245593,IntegratedGradients
Erlotinib,0,,rna,VAV1,0.0003739291236930057,IntegratedGradients
Erlotinib,0,,rna,COL6A2,0.0004284121383087911,IntegratedGradients
Erlotinib,0,,rna,SPARC,0.0019993059514415578,IntegratedGradients
Erlotinib,0,,rna,SERPINE1,0.0010237042624181348,IntegratedGradients
Erlotinib,0,,rna,SELPLG,0.00013994470549653118,IntegratedGradients
Erlotinib,0,,rna,SGCD,0.0002693393549040427,IntegratedGradients
Erlotinib,0,,rna,TSPAN8,0.0012502951960115328,IntegratedGradients
Erlotinib,0,,rna,GPM6B,0.0004215012474403102,IntegratedGradients
Erlotinib,0,,rna,COL1A1,0.00017465694907478084,IntegratedGradients
Erlotinib,0,,rna,GALNT3,0.0003445700749072445,IntegratedGradients
Erlotinib,0,,rna,IGLL1,7.043787764452181e-05,IntegratedGradients
Erlotinib,0,,rna,CD28,8.012086127764767e-05,IntegratedGradients
Erlotinib,0,,rna,CD86,5.020773110751618e-05,IntegratedGradients
Erlotinib,0,,rna,MNDA,0.00023415153149963428,IntegratedGradients
Erlotinib,0,,rna,LAMB3,0.00017531810919841885,IntegratedGradients
Erlotinib,0,,rna,ITGAL,0.0002837877317451964,IntegratedGradients
Erlotinib,0,,rna,SNX7,0.0001994897405147464,IntegratedGradients
Erlotinib,0,,rna,SIT1,0.00013089655425544907,IntegratedGradients
Erlotinib,0,,rna,SERPINB5,0.0002807592383415475,IntegratedGradients
Erlotinib,0,,rna,MUC13,0.00021030958185745886,IntegratedGradients
Erlotinib,0,,rna,TMPRSS4,0.0010987820579686455,IntegratedGradients
Erlotinib,0,,rna,GALNT11,0.0002570316892177619,IntegratedGradients
Erlotinib,0,,rna,ITGB5,0.0006666156299520484,IntegratedGradients
Erlotinib,0,,rna,PCSK1,0.0002641640198560433,IntegratedGradients
Erlotinib,0,,rna,EPS8L2,0.000324478071390953,IntegratedGradients
Erlotinib,0,,rna,LCN2,0.0006672352092355796,IntegratedGradients
Erlotinib,0,,rna,ATP2C2,0.0010857157456582735,IntegratedGradients
Erlotinib,0,,rna,ADAP1,0.00045476255381889157,IntegratedGradients
Erlotinib,0,,rna,IFI16,0.00013813723974271216,IntegratedGradients
Erlotinib,0,,rna,VAMP8,0.0007526192896287311,IntegratedGradients
Erlotinib,0,,rna,GATA3,0.0004970427000569255,IntegratedGradients
Erlotinib,0,,rna,POU4F3,0.001587940433792067,IntegratedGradients
Erlotinib,0,,rna,SNAI2,0.00010427025838219276,IntegratedGradients
Erlotinib,0,,rna,TCF4,0.0004618505501962758,IntegratedGradients
Erlotinib,0,,rna,FERMT1,0.0005647991171943203,IntegratedGradients
Erlotinib,0,,rna,SSH3,0.0002997930847207109,IntegratedGradients
Erlotinib,0,,rna,ANXA3,0.00036988703449958044,IntegratedGradients
Erlotinib,0,,rna,HCLS1,0.0008254601180439161,IntegratedGradients
Erlotinib,0,,rna,LSP1,0.00024273354045447354,IntegratedGradients
Erlotinib,0,,rna,TOM1L1,0.00023954659623093863,IntegratedGradients
Erlotinib,0,,rna,DKK3,0.0001775208734729639,IntegratedGradients
Erlotinib,0,,rna,ITGA5,0.00018936126572840023,IntegratedGradients
Erlotinib,0,,rna,EPPK1,0.00024082199870355473,IntegratedGradients
Erlotinib,0,,rna,ANXA2P3,0.00020537700093870744,IntegratedGradients
Erlotinib,0,,rna,HNF1B,0.0006925596290879033,IntegratedGradients
Erlotinib,0,,rna,PLEK2,0.0003382766757390058,IntegratedGradients
Erlotinib,0,,rna,ARHGEF5,0.0004973339668851284,IntegratedGradients
Erlotinib,0,,rna,FOXA1,0.0004492208949533245,IntegratedGradients
Erlotinib,0,,rna,LAMB2,0.00021720779574104177,IntegratedGradients
Erlotinib,0,,rna,AP1M2,0.000119079224435797,IntegratedGradients
Erlotinib,0,,rna,ELMO3,0.0014049931037474143,IntegratedGradients
Erlotinib,0,,rna,DEF6,0.0010353815795032194,IntegratedGradients
Erlotinib,0,,rna,DOCK2,0.0001690429390352089,IntegratedGradients
Erlotinib,0,,rna,TIMP2,0.0002892423859035175,IntegratedGradients
Erlotinib,0,,rna,FAT2,0.00012220646638611395,IntegratedGradients
Erlotinib,0,,rna,COL5A1,0.0003216235787918457,IntegratedGradients
Erlotinib,0,,rna,NUAK1,0.0006419706097071711,IntegratedGradients
Erlotinib,0,,rna,SLC35D2,0.000413576253932099,IntegratedGradients
Erlotinib,0,,rna,RIN2,0.0012249723983331672,IntegratedGradients
Erlotinib,0,,rna,ITGA2,0.0004564104382244183,IntegratedGradients
Erlotinib,0,,rna,EXPH5,0.000114918225370353,IntegratedGradients
Erlotinib,0,,rna,PTPN22,0.0003295580645428579,IntegratedGradients
Erlotinib,0,,rna,PLS3,9.248878052889973e-05,IntegratedGradients
Erlotinib,0,,rna,FGFBP1,0.000769049148834589,IntegratedGradients
Erlotinib,0,,rna,NR3C1,0.00019196892044228775,IntegratedGradients
Erlotinib,0,,rna,APOB,0.00010943454001592465,IntegratedGradients
Erlotinib,0,,rna,SHTN1,0.0002697226753780704,IntegratedGradients
Erlotinib,0,,rna,ARHGEF16,0.0018113495806465622,IntegratedGradients
