feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.0009833482118159985,True
AATK,,,,0.020872738272456982,False
ABCA3,,,,0.005016665790021945,True
ABCC3,,,,0.009398125067128976,True
ABCC4,,,,0.0024827730653743238,True
ABI1,,,,0.02751012022815163,False
ABL1,,,,0.010455353255971597,True
ABL2,,,,0.010210572870758232,True
ACACA,,,,0.00482515639766558,True
ACACB,,,,0.0011696693356083158,True
ACOXL,,,,0.009607213558156866,True
ACSL6,,,,0.01129441826678227,False
ACVR1,,,,0.028474379359160376,False
ACVR1B,,,,0.013053233512201482,False
ACVR1C,,,,0.029278037015121237,False
ACVR2A,,,,0.015618668011346521,False
ACVR2B,,,,0.02013923879151129,False
ACVRL1,,,,0.011257804953336368,False
ADAM10,,,,0.018693198004448967,False
ADAM12,,,,0.002248998955531153,True
ADAM17,,,,0.01949274796191214,False
ADAM18,,,,0.020412834086904627,False
ADAM22,,,,0.02134480630306598,False
ADAM28,,,,0.013358778379406668,False
ADAM29,,,,0.00867856855915238,True
ADAM32,,,,0.02472058316429679,False
ADAMTS18,,,,0.0003799369432119255,True
ADAMTS19,,,,0.010049430840237017,True
ADAMTS2,,,,0.009912861018066044,True
ADAMTS20,,,,0.008212535097332156,True
ADAMTSL3,,,,-0.00035278286415681425,True
ADARB2,,,,0.03695616618351807,False
ADCK1,,,,0.02253529610292241,False
ADCK2,,,,0.03672045342421852,False
ADCK4,,,,0.004990798011709769,True
ADCK5,,,,0.01578416569950693,False
ADHFE1,,,,0.024498639855667408,False
ADK,,,,0.025249823194286616,False
ADRBK1,,,,0.012147328072873399,False
ADRBK2,,,,0.022910227990517958,False
AFF1,,,,0.025147805395925062,False
AFF3,,,,0.0032524697457695464,True
AFF4,,,,0.008856436555341844,True
AGAP2,,,,0.01376554783719272,False
AIFM1,,,,0.036515449276544494,False
AIFM3,,,,0.038563236415342324,False
AIM1,,,,0.014033604400683512,False
AKAP12,,,,-0.008552883485915435,True
