sample_id,variable,class_label,probability,known_label,predicted_label,split
KYM-1,Erlotinib,,,0.0,0.017032941803336143,train
T84,Erlotinib,,,0.0637663383324368,0.0652376264333725,train
MOLT-4,Erlotinib,,,,0.04212344437837601,train
GDM-1,Erlotinib,,,,0.0726107656955719,train
HCC202,Erlotinib,,,,0.17034882307052612,train
SNU-475,Erlotinib,,,0.0611929252113123,0.033276572823524475,train
TGBC11TKB,Erlotinib,,,,0.16019964218139648,train
TE-5,Erlotinib,,,0.026737511299685,0.04014458879828453,train
Mino,Erlotinib,,,0.123214185346362,0.06633169203996658,train
OVTOKO,Erlotinib,,,0.105820028525121,0.10760873556137085,train
JHUEM-3,Erlotinib,,,,0.1985776275396347,train
SK-MEL-31,Erlotinib,,,0.0229383589159689,0.0355866476893425,train
BT-20,Erlotinib,,,0.135831213554948,0.11752917617559433,train
COV504,Erlotinib,,,0.0711984611306931,0.0637899860739708,train
DLD-1,Erlotinib,,,,0.035478003323078156,train
JHH-5,Erlotinib,,,0.22465609505044,0.04851032793521881,train
T3M-4,Erlotinib,,,,0.09795462340116501,train
SNU-878,Erlotinib,,,,0.04484705999493599,train
Li-7,Erlotinib,,,,0.0759778618812561,train
SCC-9,Erlotinib,,,0.209352556276592,0.224602609872818,train
MOLM-13,Erlotinib,,,,0.0953199490904808,train
NU-DUL-1,Erlotinib,,,,0.02458517625927925,train
Hep-G2,Erlotinib,,,0.028461952671853,0.008403056301176548,train
SNU-C4,Erlotinib,,,,0.12748999893665314,train
U-343MGa,Erlotinib,,,,0.0752485990524292,train
Granta-519,Erlotinib,,,0.0327026256903496,0.03185967355966568,train
KMM-1,Erlotinib,,,0.0068735760231036,0.015403670258820057,train
MDA-MB-361,Erlotinib,,,,0.07097126543521881,train
NCI-H2030,Erlotinib,,,0.153550545307145,0.05475907027721405,train
5637,Erlotinib,,,0.202139462625986,0.2023879736661911,train
RERF-LC-Sq1,Erlotinib,,,,0.04328050836920738,train
SK-MEL-5,Erlotinib,,,0.0558275988840162,0.048409998416900635,train
8305C,Erlotinib,,,0.0298521375705681,0.057104483246803284,train
RERF-LC-KJ,Erlotinib,,,,0.16222774982452393,train
U-251MG,Erlotinib,,,,0.05734087526798248,train
FaDu,Erlotinib,,,0.202366269449161,0.19314847886562347,train
