,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31
Calu-1,-0.26559657,0.11477575,0.18799636,0.24817699,0.6177827,-0.22720999,0.53860134,-1.0883746,0.43913898,0.6608707,0.48752442,-0.103169814,-0.35695833,0.32920682,-0.9689612,0.4851118,-0.13026835,0.30154797,-0.98083544,0.19177195,-0.28806025,-0.17849836,0.78680813,0.33262247,-1.1772611,-0.16398583,-0.33954257,0.551315,-0.3127686,0.41829792,-0.4368823,-1.6021724
L-1236,-0.7821242,-0.3292798,-0.08620326,1.900077,0.2492306,-0.49248275,-0.2775686,3.1938324,0.56396955,0.66294664,1.4755228,0.18838796,-0.22713493,-0.8283393,-1.5578289,-1.4170554,-0.5495001,0.30584005,1.6883998,0.1387811,0.11166088,-0.008187778,0.9877615,1.003994,0.35979286,0.51397574,1.363674,-0.595689,-0.25614896,-0.24173102,0.96522874,0.52675366
IST-Mes1,-0.031311184,0.10882711,0.12731297,0.22958678,0.87894046,-0.085452214,0.7190828,-1.2412851,0.32999188,0.83731264,0.5717917,-0.20507401,-0.021868173,0.5405241,-1.1162701,0.82247007,-0.064206585,0.1747615,-1.1253817,0.20876266,-0.19250338,-0.23265898,1.0511178,0.18233758,-1.507427,-0.24237856,-0.47404614,0.64604574,-0.4956508,0.4910061,-0.55794317,-2.0705552
SK-LU-1,-0.2245433,-0.12684327,0.2008427,0.17526355,0.16114417,-0.1966233,0.36566055,-0.20607488,0.27550352,0.5283066,0.38553974,-0.058336414,-0.20607658,0.14887731,-0.6956249,-0.0860994,-0.043664232,0.30956092,-0.5226675,0.14474803,-0.04450659,0.05018334,0.6216099,0.24088651,-0.6563938,-0.10410262,-0.10325401,0.27166224,-0.17311944,-0.017149674,-0.06243544,-0.92159235
HT-1197,0.07212998,-0.24738196,0.3603496,-0.41689378,0.5262471,0.7762571,0.04712732,-1.25427,0.41456056,-0.7090828,0.6119602,-0.49403766,0.90817463,0.29858723,0.2831621,0.50104815,-0.33246148,-0.03500792,-0.06584409,0.6229656,0.17607974,0.24433994,0.22905973,0.26061594,-0.287376,-0.4590605,-0.48812506,0.62164366,0.06188123,0.40981197,-0.389656,-0.37492546
LP-1,-0.8549959,-0.18659204,-0.04141062,1.7922064,0.093013145,-0.65746784,-0.42083907,3.3131747,0.87328887,0.98236907,1.5262582,0.21593654,-0.0049950145,-1.015162,-1.9156191,-1.4650335,-0.52621424,0.37461653,1.6941859,-0.006224772,0.07846567,0.19704443,1.5046346,1.1832275,0.08277312,0.13551469,1.5321289,-0.5280529,-0.49305466,-0.3394777,1.2795368,0.13026345
HuT 102,-0.40272164,-0.16619405,0.1579591,2.8778858,0.4451781,-0.914119,-0.6479691,4.5303087,0.9005555,2.2066247,2.1696477,0.61904716,-0.25128403,-1.2683326,-2.4724412,-2.6244628,-0.5730591,0.06100739,1.915287,0.3503869,0.41653696,-0.27071917,1.7028178,1.8113589,-0.0047440045,0.69819343,2.269538,-0.8738772,-0.16657574,-0.141562,1.3436371,-0.05281611
GI-1,-0.5533292,0.052296944,0.029121958,0.12633905,0.3084129,-0.5006108,0.8607811,-0.9817683,0.20266068,0.5014852,0.55595505,-0.10806931,-0.051296394,0.26106837,-0.84419256,0.13017666,-0.058687434,0.58599645,-0.6249563,0.15676981,-0.11480947,0.028406275,0.9980327,0.2999858,-1.1819949,-0.2723648,-0.22444627,0.4647972,-0.3150452,0.07636366,-0.04808123,-1.5252678
COR-L51,-1.7464712,-0.60410887,0.64967585,-1.6855881,-1.0115108,1.6581609,-0.7475138,-1.1927328,-0.9281689,-3.3918445,0.6898722,-1.5116106,2.1119602,0.58295137,1.4539933,1.7237294,0.23095039,0.6860169,0.8365009,-1.3166891,-0.16306293,0.7623752,-1.1452335,-2.4125361,1.7794186,-1.0154312,-1.2878169,0.38264018,-1.3098236,-0.23890191,-0.48886627,2.3811128
NCI-H2081,-1.5475396,-0.5597965,0.70865655,-1.4380351,-0.89258516,1.3168986,-0.70225185,-0.91412044,-0.5730072,-3.089362,0.6071127,-1.3131233,1.7082593,0.46226436,1.2494636,1.357299,0.13613829,0.77534413,0.74788696,-1.3041123,-0.14553876,0.7499654,-1.0925549,-2.0963304,1.6221657,-0.81540364,-1.0765315,0.31995565,-1.3343858,-0.26044333,-0.45683122,2.3592107
