target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,TNFRSF17,6.762991008779233e-05,IntegratedGradients
Erlotinib,0,,all,SOX10,7.53271383105155e-05,IntegratedGradients
Erlotinib,0,,all,IKZF1,0.00012260460279002718,IntegratedGradients
Erlotinib,0,,all,BTK,0.00022227858472616155,IntegratedGradients
Erlotinib,0,,all,VPREB3,0.00010483687379409358,IntegratedGradients
Erlotinib,0,,all,YAP1,0.00010020554770567703,IntegratedGradients
Erlotinib,0,,all,MLANA,5.262304009133088e-05,IntegratedGradients
Erlotinib,0,,all,MZB1,0.0001056753819370967,IntegratedGradients
Erlotinib,0,,all,KLF1,0.00010456255150872685,IntegratedGradients
Erlotinib,0,,all,GRHL2,0.00037512233756777216,IntegratedGradients
Erlotinib,0,,all,SPIB,0.00010870878534530458,IntegratedGradients
Erlotinib,0,,all,PHOX2A,0.00015246835474490102,IntegratedGradients
Erlotinib,0,,all,FXYD3,0.0003587187856750168,IntegratedGradients
Erlotinib,0,,all,CCN1,0.00017100452508552505,IntegratedGradients
Erlotinib,0,,all,MYB,0.0002250889131781621,IntegratedGradients
Erlotinib,0,,all,RHOH,0.00011951822521025685,IntegratedGradients
Erlotinib,0,,all,LGALS4,8.057407594889452e-05,IntegratedGradients
Erlotinib,0,,all,GNG12,0.00018164423148023007,IntegratedGradients
Erlotinib,0,,all,CD52,0.00010927646010590573,IntegratedGradients
Erlotinib,0,,all,INSM1,0.00019431112725447398,IntegratedGradients
Erlotinib,0,,all,GJB3,0.00016926648672144855,IntegratedGradients
Erlotinib,0,,all,CXorf21,9.061884653610922e-05,IntegratedGradients
Erlotinib,0,,all,AZU1,6.333897314714901e-05,IntegratedGradients
Erlotinib,0,,all,CHGA,0.00020398805134219864,IntegratedGradients
Erlotinib,0,,all,ASCL1,6.853443701864374e-05,IntegratedGradients
Erlotinib,0,,all,AXL,0.0006122013215046166,IntegratedGradients
Erlotinib,0,,all,LYZ,0.00015910686736213159,IntegratedGradients
Erlotinib,0,,all,ITGA3,0.00016113923772127257,IntegratedGradients
Erlotinib,0,,all,WWTR1,0.000199178817381685,IntegratedGradients
Erlotinib,0,,all,TPM1,0.0001607554482254177,IntegratedGradients
Erlotinib,0,,all,LLGL2,0.00014330138338753486,IntegratedGradients
Erlotinib,0,,all,IFFO1,0.0004485477685924801,IntegratedGradients
Erlotinib,0,,all,SDC4,0.00023024080152650773,IntegratedGradients
Erlotinib,0,,all,MST1R,0.00028462403583562107,IntegratedGradients
Erlotinib,0,,all,MAP7,0.00024098521797581978,IntegratedGradients
Erlotinib,0,,all,PRR15L,0.0003082219702764722,IntegratedGradients
Erlotinib,0,,all,MPZL2,0.0005115439114325745,IntegratedGradients
Erlotinib,0,,all,ELAVL3,0.00015433629992461786,IntegratedGradients
Erlotinib,0,,all,HOOK1,0.0003564349199831008,IntegratedGradients
Erlotinib,0,,all,AGR2,0.000308153053450908,IntegratedGradients
Erlotinib,0,,all,WIPF1,0.00010419799328081616,IntegratedGradients
Erlotinib,0,,all,ZEB1,0.0002777584105956033,IntegratedGradients
Erlotinib,0,,all,GFI1B,0.00016259284830776456,IntegratedGradients
Erlotinib,0,,all,CAV1,0.00011030432500852435,IntegratedGradients
Erlotinib,0,,all,VPREB1,0.00011020514521649007,IntegratedGradients
Erlotinib,0,,all,SYDE1,0.0003417697025548146,IntegratedGradients
Erlotinib,0,,all,KLF5,0.0002832034845582623,IntegratedGradients
Erlotinib,0,,all,LAD1,0.00034730006256536027,IntegratedGradients
Erlotinib,0,,all,RASGRP2,0.0001745137301383916,IntegratedGradients
Erlotinib,0,,all,DNTT,0.00017278318318308256,IntegratedGradients
Erlotinib,0,,all,FOSL1,0.00026478880879188987,IntegratedGradients
Erlotinib,0,,all,LCP2,0.00013589506415507668,IntegratedGradients
Erlotinib,0,,all,DDR1,0.00025793020745166963,IntegratedGradients
Erlotinib,0,,all,RND3,0.00014075893398511963,IntegratedGradients
Erlotinib,0,,all,LAIR1,0.00010499202670196784,IntegratedGradients
Erlotinib,0,,all,PIM2,0.00025788904751890154,IntegratedGradients
Erlotinib,0,,all,GPX2,0.00024377774311871945,IntegratedGradients
Erlotinib,0,,all,ELF3,0.00011942006855672616,IntegratedGradients
Erlotinib,0,,all,ARHGAP25,0.00014395625222161847,IntegratedGradients
Erlotinib,0,,all,TEAD1,0.0004404565918425179,IntegratedGradients
Erlotinib,0,,all,SFN,0.0002627233924976086,IntegratedGradients
Erlotinib,0,,all,DSP,0.0003382672986462204,IntegratedGradients
Erlotinib,0,,all,FLI1,0.00012519350897873083,IntegratedGradients
Erlotinib,0,,all,S100A2,0.0008762349198479524,IntegratedGradients
Erlotinib,0,,all,LMNA,9.960070579329028e-05,IntegratedGradients
Erlotinib,0,,all,F11R,0.0002248444918591686,IntegratedGradients
Erlotinib,0,,all,CALD1,0.00015766113335763192,IntegratedGradients
Erlotinib,0,,all,TSPAN6,0.0003315766538885926,IntegratedGradients
Erlotinib,0,,all,CYTIP,0.00027539833045387845,IntegratedGradients
Erlotinib,0,,all,BLNK,0.0003212249781476013,IntegratedGradients
Erlotinib,0,,all,LOXL2,0.0003959408521944408,IntegratedGradients
Erlotinib,0,,all,TSPAN1,0.00021621126512256356,IntegratedGradients
Erlotinib,0,,all,CTBP2,0.0002323043315066555,IntegratedGradients
Erlotinib,0,,all,APBB1IP,0.00015033744520038766,IntegratedGradients
Erlotinib,0,,all,SH2D3A,0.00024137695879464333,IntegratedGradients
Erlotinib,0,,all,PDGFRB,0.00018531726485832348,IntegratedGradients
Erlotinib,0,,all,ATP1B1,0.00034761631385103216,IntegratedGradients
Erlotinib,0,,all,CTSL,0.00020928712259172494,IntegratedGradients
Erlotinib,0,,all,GPR87,0.00062771605777484,IntegratedGradients
Erlotinib,0,,all,ATP2A3,0.00036038445208884905,IntegratedGradients
Erlotinib,0,,all,LY86,9.88995404911804e-05,IntegratedGradients
Erlotinib,0,,all,ANXA1,0.00027640073322342175,IntegratedGradients
Erlotinib,0,,all,OSMR,0.00028720994760410875,IntegratedGradients
Erlotinib,0,,all,PPL,0.00037978888287371895,IntegratedGradients
Erlotinib,0,,all,LSR,0.0002789532156682553,IntegratedGradients
Erlotinib,0,,all,EMP3,0.0003353208857796783,IntegratedGradients
Erlotinib,0,,all,POU2F2,0.00018472285377761763,IntegratedGradients
Erlotinib,0,,all,S100P,0.00015159218217186446,IntegratedGradients
Erlotinib,0,,all,LAMB1,0.00024238998428340587,IntegratedGradients
Erlotinib,0,,all,CAP2,0.00030463261084801534,IntegratedGradients
Erlotinib,0,,all,PARVA,0.00041241395587154054,IntegratedGradients
Erlotinib,0,,all,GPRC5A,0.00019400675992066918,IntegratedGradients
Erlotinib,0,,all,ZEB2,0.0003703942560966683,IntegratedGradients
Erlotinib,0,,all,SAMSN1,0.00023487708874165168,IntegratedGradients
Erlotinib,0,,all,PLCG2,0.00019661657376200415,IntegratedGradients
Erlotinib,0,,all,CD3E,0.00011873218404715065,IntegratedGradients
Erlotinib,0,,all,TFF3,7.340517302707066e-05,IntegratedGradients
Erlotinib,0,,all,RBM47,0.0001408941707535802,IntegratedGradients
Erlotinib,0,,all,LAPTM5,0.00015818410787374427,IntegratedGradients
Erlotinib,0,,all,CCDC69,0.0004170175743279502,IntegratedGradients
Erlotinib,0,,all,DDR2,0.00019998324097391399,IntegratedGradients
Erlotinib,0,,all,CDH3,0.00043229694521829777,IntegratedGradients
Erlotinib,0,,all,B3GNT3,0.00021653505019448928,IntegratedGradients
Erlotinib,0,,all,PAX8,0.0004615250811755208,IntegratedGradients
