sample_id,variable,class_label,probability,known_label,predicted_label,split
Calu-1,Erlotinib,,,0.0088052462003865,0.03982505574822426,train
L-1236,Erlotinib,,,,0.003919642418622971,train
IST-Mes1,Erlotinib,,,0.0301124999999999,0.025667564943432808,train
SK-LU-1,Erlotinib,,,0.0401425137728223,0.02010626159608364,train
HT-1197,Erlotinib,,,0.0581736015518673,0.09056206792593002,train
LP-1,Erlotinib,,,0.0,0.011339761316776276,train
HuT 102,Erlotinib,,,,-0.012700773775577545,train
GI-1,Erlotinib,,,0.0218896481720671,0.011963395401835442,train
COR-L51,Erlotinib,,,,0.11291295289993286,train
NCI-H2081,Erlotinib,,,,0.10883414000272751,train
GDM-1,Erlotinib,,,,0.006629526615142822,train
SLR21,Erlotinib,,,,0.16996602714061737,train
MHH-ES-1,Erlotinib,,,0.0877176325400873,0.06365957856178284,train
YMB-1,Erlotinib,,,,0.11393563449382782,train
SNU-324,Erlotinib,,,,0.1696791648864746,train
EFM-192A,Erlotinib,,,,0.06895071268081665,train
NCI-H1395,Erlotinib,,,,0.13728585839271545,train
F5,Erlotinib,,,,0.03800318017601967,train
JL-1,Erlotinib,,,,0.06889288127422333,train
J82,Erlotinib,,,0.0431609284809773,0.03645862638950348,train
LCLC-103H,Erlotinib,,,0.0185216437044789,0.03788356855511665,train
AML-193,Erlotinib,,,,0.013959549367427826,train
MDA-MB-175-VII,Erlotinib,,,0.157212631566185,0.12471143901348114,train
CL-40,Erlotinib,,,,0.13649186491966248,train
SNU-1105,Erlotinib,,,,0.03504509478807449,train
LN-464,Erlotinib,,,,0.014040082693099976,train
SK-N-BE(2),Erlotinib,,,0.0084039392609817,-0.02319491282105446,train
WM793,Erlotinib,,,0.0280512493673766,0.03461841121315956,train
CL-11,Erlotinib,,,,0.05187823995947838,train
SK-MEL-31,Erlotinib,,,0.0229383589159689,0.01117173582315445,train
LAMA-84,Erlotinib,,,,0.036703966557979584,train
U2OS,Erlotinib,,,0.0449365561233068,0.04307122901082039,train
NCI-H1339,Erlotinib,,,0.0038380460953742,0.018709342926740646,train
LN-18,Erlotinib,,,0.0657183372035689,0.019408386200666428,train
Ri-1,Erlotinib,,,,0.007792335003614426,train
A-1207,Erlotinib,,,,0.045425672084093094,train
BC-3C,Erlotinib,,,,0.13422979414463043,train
JHH-7,Erlotinib,,,0.064003193556415,0.060699526220560074,train
HCC1599,Erlotinib,,,,0.11374764144420624,train
NCI-H1436,Erlotinib,,,,0.0949440449476242,train
CFPAC-1,Erlotinib,,,,0.09070083498954773,train
MPP 89,Erlotinib,,,0.0190493875298152,0.011611925438046455,train
HLE,Erlotinib,,,0.0274767936306091,0.027654465287923813,train
Hs 729.T,Erlotinib,,,0.0124696952980024,0.046266742050647736,train
BL-41,Erlotinib,,,0.0095987380447434,-0.014909971505403519,train
NCI-H2291,Erlotinib,,,,0.18664568662643433,train
NCI-H810,Erlotinib,,,0.0,0.05280925706028938,train
HCC1195,Erlotinib,,,,0.06380876898765564,train
RERF-LC-A1,Erlotinib,,,0.039469144135859,0.03942762315273285,train
NCI-H1876,Erlotinib,,,,0.06652197986841202,train
L-363,Erlotinib,,,0.0300418768691312,0.0077402424067258835,train
CHP-212,Erlotinib,,,0.0168024579872777,0.011488684453070164,train
SNU-601,Erlotinib,,,,0.12792916595935822,train
NUGC-2,Erlotinib,,,,0.14274108409881592,train
Calu-6,Erlotinib,,,0.0232435160923001,0.028966283425688744,train
COR-L279,Erlotinib,,,,0.05650441348552704,train
SF767,Erlotinib,,,,0.17248252034187317,train
LN-443,Erlotinib,,,,0.03916651010513306,train
SIG-M5,Erlotinib,,,0.126180404243534,0.009119013324379921,train
Kelly,Erlotinib,,,0.0,-0.039240576326847076,train
Hep-G2/C3A,Erlotinib,,,0.0202058023583914,-0.012039339169859886,train
NCC-StC-K140,Erlotinib,,,,0.1581743210554123,train
MOG-G-CCM,Erlotinib,,,0.0,0.03526332601904869,train
MM1.S,Erlotinib,,,,0.007647905498743057,train
SW1990,Erlotinib,,,0.0523590286694586,0.039600174874067307,train
Hs 870.T,Erlotinib,,,,0.0835665762424469,train
HEC-1-A,Erlotinib,,,0.0027045288218543,0.01705462485551834,train
HARA [Human squamous cell lung carcinoma],Erlotinib,,,0.1139355773964,0.07856012135744095,train
CAL-29,Erlotinib,,,,0.13962945342063904,train
DND-41,Erlotinib,,,,-0.001132238656282425,train
MEC-2,Erlotinib,,,,-0.022527948021888733,train
DMS 53,Erlotinib,,,,0.06352700293064117,train
KP-N-RT-BM-1,Erlotinib,,,,-0.038765743374824524,train
MOLP-8,Erlotinib,,,0.0087589415680787,0.007399067282676697,train
IM95,Erlotinib,,,,0.13671138882637024,train
CAL-12T,Erlotinib,,,0.282588685784174,0.2659842073917389,train
GR-M,Erlotinib,,,,0.03740597143769264,train
SK-ES-1,Erlotinib,,,0.0683218629110332,0.059610992670059204,train
HDLM-2,Erlotinib,,,,-0.009949655272066593,train
NALM-1,Erlotinib,,,,0.008221250027418137,train
BxPC-3,Erlotinib,,,0.11221767317599,0.084896519780159,train
NH-6,Erlotinib,,,,-0.06430163979530334,train
