,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25
OC 316,0.26501456,0.051674064,-0.14044344,0.55866635,-0.16473657,0.2739873,0.35123217,0.08265887,0.34658876,0.028807275,0.11990906,-0.22330442,-0.23838106,-0.40951765,-0.18365219,-0.24311638,0.14549546,-0.12309024,0.6781447,-0.22288172,0.04537812,-0.29940084,-0.21151613,0.21264243,-0.35620573,0.14203775
SK-BR-3,-0.1838399,0.44088066,-0.41351214,0.44225314,0.039248213,0.82810235,-1.4039987,0.11358239,-1.0362502,-0.55913955,-0.07551612,-0.10238227,0.0972625,-0.07075013,0.5545128,-0.14294796,0.6891673,0.21049443,0.65845346,-0.9827606,-0.3579021,1.3911233,-0.76598275,0.25726056,0.2811564,-0.1987144
AM-38,0.21897286,-0.86434364,-0.5374361,-0.05979692,0.26802605,-0.74861324,1.1958826,0.23465154,1.3241304,1.2023374,0.58475053,-0.35807273,-0.7619382,-0.41473132,-0.24112576,-0.29722437,-1.0274321,-0.19582617,0.37574625,1.5432507,0.53209424,-1.3109853,0.8941382,0.439847,-0.8386034,0.13443589
DMS 153,0.72086126,-0.6066022,3.9407542,0.6882889,-3.6968842,0.76055586,-2.7961752,-3.2310925,-3.0916,-5.235192,-0.4179561,-0.5196857,-0.8268453,-1.2024324,-1.9519849,0.44839847,2.5418818,2.0231247,0.95765626,-2.564057,0.04372382,4.358561,-4.051441,-1.9580954,-1.4226468,-2.8958611
NCI-H2171,0.6856888,-0.12806746,3.5975356,0.4520946,-3.6187105,0.6314223,-1.6817511,-2.9469848,-2.6967394,-4.433434,-0.6877661,-0.45914382,-0.76304984,-1.5499173,-1.165836,0.35847306,2.027287,1.8501779,0.910431,-2.2494798,0.093579024,3.311504,-3.9242604,-1.7109618,-2.2499022,-2.85323
SNU-1272,0.15877052,-0.40380418,-0.17429641,0.30956727,0.55296737,-0.62050784,1.1630099,0.23497844,1.3810693,0.9765338,1.1303177,-0.47097826,-0.5413036,0.47142512,-0.517936,-0.43115073,-1.1224892,-0.5003241,0.82838976,0.88430065,-0.3406201,-1.734172,1.8416297,-0.11113797,-0.29803023,0.65118945
HuT 102,0.06572534,-0.118728474,-1.1399087,0.0310104,1.1793146,1.2987621,-0.9225304,0.4459109,-1.6261827,0.12789732,-0.8932211,1.715184,2.1767957,-1.6011573,2.27186,1.5928386,0.23263413,0.556424,-1.0422297,-0.441271,-0.7042031,0.26638138,-1.799777,2.902852,-1.8091325,0.98541707
MJ,0.16891855,-0.008614145,-1.0091544,-0.061673854,0.71789944,1.1593626,-0.7779024,0.18959887,-1.6575758,-0.18057655,-0.8024035,1.2574395,1.5931919,-1.445525,2.1113174,1.4213251,0.32515994,0.39198917,-1.0478871,-0.64782715,-0.62829334,0.8082484,-1.856628,2.8089194,-1.9102417,0.72585887
KCL-22,-0.4124741,0.3908183,-1.2705272,0.1129863,1.4814559,1.3792734,-0.3722525,0.34016678,-1.3671424,0.09378047,-0.57776725,1.3878924,2.76527,-1.1848966,2.2000525,2.3746557,0.4634884,0.039772004,-0.92250866,-0.8103112,-0.88127214,0.49784753,-1.3842932,2.2331233,-1.8362463,1.1968418
SLR21,0.24170549,-0.13426848,0.096730486,0.55073106,0.84303796,-0.16725528,0.3835856,0.4015939,0.67277116,0.26067692,0.72827166,-0.41959175,-0.039378766,0.7180817,-0.32342872,-0.26659635,-0.91739964,-0.3855666,0.5515771,0.32499793,-0.55989397,-1.3565304,1.5242656,-0.32754615,0.38943794,0.287145
LS513,-1.222338,1.1117669,0.060594022,1.0817403,0.61733526,0.7810583,-3.5356581,-0.1727377,-2.0560887,-1.8529077,-0.24865995,-0.056792606,0.0010028458,0.397049,0.8692702,0.33432913,0.58406305,0.40758124,-0.7323623,-2.5035992,-1.5321134,1.9835365,-0.56120324,0.07213707,1.4479066,-0.6991164
LC-1/sq-SF,0.38673395,-0.18112656,0.73099685,0.007958597,-0.5063841,0.25565422,-0.17132373,-0.3778692,-0.009805137,-0.32993233,0.11846925,-0.4611285,-0.20782709,0.14870471,-0.2420376,-0.13033834,0.016561933,0.08421491,0.33106408,-0.2848733,0.06798822,-0.1871035,0.05218087,-0.14557855,-0.35491967,-0.32581535
NCI-H1693,-0.53268313,0.18456225,-0.015290916,0.34134302,-0.4220227,-0.056127056,0.9074787,0.44732818,0.5275601,0.49609044,0.40758386,-0.9090864,0.29831195,-0.15841052,0.01746498,0.17846155,0.53986865,0.17229587,0.73712623,-0.6435981,-0.14334813,-0.034879576,-0.12734422,0.39249578,-1.1416051,0.45133772
8505C,0.37331226,-0.7023666,-0.6986898,-0.040277865,0.5347536,-0.8106251,1.3944628,0.57402736,1.83731,1.4283942,1.2613919,-0.66631955,-0.74084854,-0.092603415,-0.1778668,-0.48819554,-1.303943,-0.3807632,0.92878544,1.7642175,0.5606774,-1.850928,1.3799571,0.4960595,-0.58270025,0.607652
