target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,TNFRSF17,0.00023209860407441926,IntegratedGradients
Erlotinib,0,,rna,SOX10,0.00013970275590223432,IntegratedGradients
Erlotinib,0,,rna,IKZF1,0.0002725157165981664,IntegratedGradients
Erlotinib,0,,rna,BTK,0.0002445550482688455,IntegratedGradients
Erlotinib,0,,rna,VPREB3,0.0002819059030951877,IntegratedGradients
Erlotinib,0,,rna,YAP1,0.00026323856243607374,IntegratedGradients
Erlotinib,0,,rna,MLANA,0.0001042640624397673,IntegratedGradients
Erlotinib,0,,rna,MZB1,0.00029240372713718185,IntegratedGradients
Erlotinib,0,,rna,KLF1,0.00025334101830087245,IntegratedGradients
Erlotinib,0,,rna,GRHL2,0.00042642740463311526,IntegratedGradients
Erlotinib,0,,rna,SPIB,0.00019050253379088283,IntegratedGradients
Erlotinib,0,,rna,PHOX2A,0.00016237245320091883,IntegratedGradients
Erlotinib,0,,rna,FXYD3,0.0004629527060904659,IntegratedGradients
Erlotinib,0,,rna,CCN1,0.0002968435821343221,IntegratedGradients
Erlotinib,0,,rna,MYB,0.0003371668678620499,IntegratedGradients
Erlotinib,0,,rna,RHOH,0.0003351818813718067,IntegratedGradients
Erlotinib,0,,rna,LGALS4,0.00018031861366379762,IntegratedGradients
Erlotinib,0,,rna,GNG12,0.0002760805497082614,IntegratedGradients
Erlotinib,0,,rna,CD52,0.00016341309970775594,IntegratedGradients
Erlotinib,0,,rna,INSM1,0.00037701237124238186,IntegratedGradients
Erlotinib,0,,rna,GJB3,0.0007102600473219864,IntegratedGradients
Erlotinib,0,,rna,CXorf21,0.0001868199048826225,IntegratedGradients
Erlotinib,0,,rna,AZU1,0.00025668463206117306,IntegratedGradients
Erlotinib,0,,rna,CHGA,0.0006042963662598958,IntegratedGradients
Erlotinib,0,,rna,ASCL1,0.00012367736058079113,IntegratedGradients
Erlotinib,0,,rna,AXL,0.0005254911881292258,IntegratedGradients
Erlotinib,0,,rna,LYZ,0.0002321622136403917,IntegratedGradients
Erlotinib,0,,rna,ITGA3,0.0003846352873738289,IntegratedGradients
Erlotinib,0,,rna,WWTR1,0.0003511326983993269,IntegratedGradients
Erlotinib,0,,rna,TPM1,0.0003827433096148066,IntegratedGradients
Erlotinib,0,,rna,LLGL2,0.0002546851524767271,IntegratedGradients
Erlotinib,0,,rna,IFFO1,0.0009725914565176576,IntegratedGradients
Erlotinib,0,,rna,SDC4,0.0006018235800466156,IntegratedGradients
Erlotinib,0,,rna,MST1R,0.0006073828800866099,IntegratedGradients
Erlotinib,0,,rna,MAP7,0.00042950413256584045,IntegratedGradients
Erlotinib,0,,rna,PRR15L,0.0005663093136329989,IntegratedGradients
Erlotinib,0,,rna,MPZL2,0.0006244112093787612,IntegratedGradients
Erlotinib,0,,rna,ELAVL3,0.00013452466445855698,IntegratedGradients
Erlotinib,0,,rna,HOOK1,0.0009608461115580566,IntegratedGradients
Erlotinib,0,,rna,AGR2,0.0003247579999221544,IntegratedGradients
Erlotinib,0,,rna,WIPF1,0.0005008514050489071,IntegratedGradients
Erlotinib,0,,rna,ZEB1,0.0005190116783827189,IntegratedGradients
Erlotinib,0,,rna,GFI1B,0.0005776859544398087,IntegratedGradients
Erlotinib,0,,rna,CAV1,0.0002710574272740642,IntegratedGradients
Erlotinib,0,,rna,VPREB1,9.092429489326516e-05,IntegratedGradients
Erlotinib,0,,rna,SYDE1,0.00043838938503255393,IntegratedGradients
Erlotinib,0,,rna,KLF5,0.00038201996449654897,IntegratedGradients
Erlotinib,0,,rna,LAD1,0.00045179491794154866,IntegratedGradients
Erlotinib,0,,rna,RASGRP2,0.00019074566964305125,IntegratedGradients
Erlotinib,0,,rna,DNTT,0.00020998615344977432,IntegratedGradients
Erlotinib,0,,rna,FOSL1,0.0004425792851542409,IntegratedGradients
Erlotinib,0,,rna,LCP2,0.0001486177905319534,IntegratedGradients
Erlotinib,0,,rna,DDR1,0.0003502086617553165,IntegratedGradients
Erlotinib,0,,rna,RND3,0.0005529750465271756,IntegratedGradients
Erlotinib,0,,rna,LAIR1,0.0002300761158396041,IntegratedGradients
Erlotinib,0,,rna,PIM2,0.00045330820720697096,IntegratedGradients
Erlotinib,0,,rna,GPX2,0.00046108099397992376,IntegratedGradients
Erlotinib,0,,rna,ELF3,0.0005960603494664661,IntegratedGradients
Erlotinib,0,,rna,ARHGAP25,0.00024325140658097702,IntegratedGradients
Erlotinib,0,,rna,TEAD1,0.000741357129839815,IntegratedGradients
Erlotinib,0,,rna,SFN,0.0003878844814974906,IntegratedGradients
Erlotinib,0,,rna,DSP,0.000330278580757827,IntegratedGradients
Erlotinib,0,,rna,FLI1,0.0002188360081387593,IntegratedGradients
Erlotinib,0,,rna,S100A2,0.000410042686225997,IntegratedGradients
Erlotinib,0,,rna,LMNA,0.0003622441412961889,IntegratedGradients
Erlotinib,0,,rna,F11R,0.0005461809276220293,IntegratedGradients
Erlotinib,0,,rna,CALD1,0.00042096190586470315,IntegratedGradients
Erlotinib,0,,rna,TSPAN6,0.00038216331640760593,IntegratedGradients
Erlotinib,0,,rna,CYTIP,0.000333154669334059,IntegratedGradients
Erlotinib,0,,rna,BLNK,0.0005587978235920324,IntegratedGradients
Erlotinib,0,,rna,LOXL2,0.0007304456617162866,IntegratedGradients
Erlotinib,0,,rna,TSPAN1,0.00026642672213771806,IntegratedGradients
Erlotinib,0,,rna,CTBP2,0.0001945152938903248,IntegratedGradients
Erlotinib,0,,rna,APBB1IP,0.00021097860203339412,IntegratedGradients
Erlotinib,0,,rna,SH2D3A,0.00029154225609709144,IntegratedGradients
Erlotinib,0,,rna,PDGFRB,0.0006141774063505743,IntegratedGradients
Erlotinib,0,,rna,ATP1B1,0.0008415013158912763,IntegratedGradients
Erlotinib,0,,rna,CTSL,0.0002907116979025557,IntegratedGradients
Erlotinib,0,,rna,GPR87,0.0004836247987639247,IntegratedGradients
Erlotinib,0,,rna,ATP2A3,0.0006096936335487882,IntegratedGradients
Erlotinib,0,,rna,LY86,0.00018085910957549309,IntegratedGradients
Erlotinib,0,,rna,ANXA1,0.000295863840283081,IntegratedGradients
Erlotinib,0,,rna,OSMR,0.0003890362332687389,IntegratedGradients
Erlotinib,0,,rna,PPL,0.0005942853965777623,IntegratedGradients
Erlotinib,0,,rna,LSR,0.0007777759316336157,IntegratedGradients
Erlotinib,0,,rna,EMP3,0.00033837257196700217,IntegratedGradients
Erlotinib,0,,rna,POU2F2,0.00017233419264420005,IntegratedGradients
Erlotinib,0,,rna,S100P,0.0004517625039225922,IntegratedGradients
Erlotinib,0,,rna,LAMB1,0.0006806229676858873,IntegratedGradients
Erlotinib,0,,rna,CAP2,0.0005115742914639408,IntegratedGradients
Erlotinib,0,,rna,PARVA,0.00042055842268032577,IntegratedGradients
Erlotinib,0,,rna,GPRC5A,0.0004661011289237636,IntegratedGradients
Erlotinib,0,,rna,ZEB2,0.00040561739635269653,IntegratedGradients
Erlotinib,0,,rna,SAMSN1,0.00024867682037344916,IntegratedGradients
Erlotinib,0,,rna,PLCG2,0.00017662278950153094,IntegratedGradients
Erlotinib,0,,rna,CD3E,0.0003085315812576157,IntegratedGradients
Erlotinib,0,,rna,TFF3,0.0004689890483565494,IntegratedGradients
Erlotinib,0,,rna,RBM47,0.000514608449747026,IntegratedGradients
Erlotinib,0,,rna,LAPTM5,0.00027908214990122327,IntegratedGradients
Erlotinib,0,,rna,CCDC69,0.0003671494907591838,IntegratedGradients
Erlotinib,0,,rna,DDR2,0.00040398151297217177,IntegratedGradients
Erlotinib,0,,rna,CDH3,0.0015853708959712679,IntegratedGradients
Erlotinib,0,,rna,B3GNT3,0.00032845940544324156,IntegratedGradients
Erlotinib,0,,rna,PAX8,0.0003680002342325226,IntegratedGradients
Erlotinib,0,,rna,KRT19,0.00045107278563813187,IntegratedGradients
Erlotinib,0,,rna,VIL1,0.0002843708819640082,IntegratedGradients
Erlotinib,0,,rna,ANTXR1,0.0003758027903004378,IntegratedGradients
Erlotinib,0,,rna,IL2RG,0.00032426155200573133,IntegratedGradients
Erlotinib,0,,rna,PRKCB,0.00018447565937361796,IntegratedGradients
Erlotinib,0,,rna,SH3BP4,0.0006614305342633101,IntegratedGradients
Erlotinib,0,,rna,DDC,0.0005240093114044355,IntegratedGradients
