sample_id,variable,class_label,probability,known_label,predicted_label,split
OC 316,Erlotinib,,,0.0341578512748455,0.030246704816818237,train
SK-BR-3,Erlotinib,,,0.0598540720517569,0.060726724565029144,train
AM-38,Erlotinib,,,,0.031001657247543335,train
DMS 153,Erlotinib,,,,0.08771461248397827,train
NCI-H2171,Erlotinib,,,,0.08387312293052673,train
SNU-1272,Erlotinib,,,,0.15109622478485107,train
HuT 102,Erlotinib,,,,-0.019961416721343994,train
MJ,Erlotinib,,,0.0,-0.01082940399646759,train
KCL-22,Erlotinib,,,0.045496630596638,-0.0047849565744400024,train
SLR21,Erlotinib,,,,0.13153591752052307,train
LS513,Erlotinib,,,,0.09798488020896912,train
LC-1/sq-SF,Erlotinib,,,0.115469678393687,0.11803572624921799,train
NCI-H1693,Erlotinib,,,0.196446584599643,0.17589789628982544,train
8505C,Erlotinib,,,0.0308762725344076,0.034825004637241364,train
RL95-2,Erlotinib,,,0.217167068821168,0.153834268450737,train
OE33,Erlotinib,,,0.0994217425891791,0.05902566760778427,train
LNCaP clone FGC,Erlotinib,,,,0.10391471534967422,train
RMUG-S,Erlotinib,,,,0.14890030026435852,train
RL,Erlotinib,,,,0.000670507550239563,train
YKG-1,Erlotinib,,,0.0378246556038961,0.020369883626699448,train
CCK-81,Erlotinib,,,0.207388862765003,0.17356184124946594,train
NU-DHL-1,Erlotinib,,,,0.06939411163330078,train
MOLM-16,Erlotinib,,,,-0.011690318584442139,train
Hs 840.T,Erlotinib,,,0.0148024543136501,0.03479620814323425,train
KYSE-410,Erlotinib,,,0.0661153584914752,0.03859971836209297,train
22Rv1,Erlotinib,,,0.0050320973958801,0.09297911077737808,train
BICR 31,Erlotinib,,,,0.14749474823474884,train
IGR-37,Erlotinib,,,0.0326273087860175,0.02035890519618988,train
HCC202,Erlotinib,,,,0.09982824325561523,train
SNU-175,Erlotinib,,,,0.11374267935752869,train
NCI-H929,Erlotinib,,,,0.0011550039052963257,train
KMS-18,Erlotinib,,,,0.07505707442760468,train
LAMA-84,Erlotinib,,,,-0.03206491470336914,train
Hs 746.T,Erlotinib,,,0.0282985266311347,0.03619180619716644,train
TE-11,Erlotinib,,,0.256996908787732,0.22105637192726135,train
MOLM-6,Erlotinib,,,,-0.002462059259414673,train
HCC38,Erlotinib,,,,0.15116147696971893,train
TE-15,Erlotinib,,,0.237841669361768,0.20104779303073883,train
SNU-719,Erlotinib,,,,0.1020052507519722,train
MEC-1,Erlotinib,,,0.0084801269519308,0.04706589877605438,train
HCC2935,Erlotinib,,,0.364494181716601,0.3324768841266632,train
BHT-101,Erlotinib,,,,0.01354922354221344,train
G-361,Erlotinib,,,0.078325331356097,0.05874403193593025,train
