,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53
PLC/PRF/5,-1.3247392,1.4752469,-1.1855596,0.35777682,1.0249355,0.47501302,-1.3596448,0.4986196,-0.6128533,-0.17580067,-0.5170607,1.9557849,0.6938901,0.5542709,0.70793635,-0.030710727,-0.82202935,0.7281958,-0.08951938,0.3136036,1.3666594,0.12804094,-1.0572932,0.60536385,-0.07235505,-0.97855866,-0.2431852,-0.14715391,-1.4886695,1.4132477,0.5912618,-0.021632472,-0.46048063,-0.7239237,-0.2403939,0.90272695,-1.4805572,-0.7867713,1.3173561,1.504312,0.49606538,-1.9151853,-0.35221896,-0.1111879,-0.03919726,0.9749185,1.2586383,-1.7696923,0.23719418,-0.7775429,0.029286303,0.028945342,-1.1201152,-0.62278634
HEC-151,0.7919546,-0.34842128,0.50739264,-0.46004236,-0.7564797,0.33721447,-0.79369074,-0.12924173,0.38892546,-0.018335365,-1.1505538,0.063573465,1.0178338,0.3286732,0.6624516,-0.07685937,0.9643003,0.27050114,0.52747285,0.37808013,-0.019910648,0.946145,1.1564182,0.3840176,0.43611738,-0.1450669,0.40781152,0.5444335,0.1941212,0.21941951,0.26571688,0.3341778,-0.010129832,-0.5236531,0.24718088,1.1567975,-1.0700316,-0.03717956,-0.4006319,-0.73531735,-0.40303823,0.30687562,0.71218497,0.5926405,-1.1953981,-1.557857,0.76225805,-0.82207143,0.06934425,-0.37353614,0.31895733,-0.31313777,0.069753036,0.039559957
SK-N-SH,-0.22240981,-0.30038556,0.21566573,-0.15847515,-0.850729,1.351588,-0.58942646,0.91340405,0.82025474,-0.8851201,-1.0065873,-0.5009805,0.91255605,0.88978595,0.010864437,0.18787383,0.10713898,-0.072565965,0.3951635,0.30202746,0.8000695,-0.26893166,1.7536088,1.437747,0.5458976,-0.5136702,0.60745734,0.010816023,0.70755124,0.07328376,1.0672159,0.06924221,-1.3788983,0.07198397,-0.022362377,0.76452285,0.7817533,-0.24477902,-0.22184849,-0.94546777,-0.6350008,0.77812237,1.1011944,1.0919399,-0.43900353,-1.4307842,0.43807906,-0.7228661,0.13468948,-0.50929296,-0.58413064,-0.3551097,0.010988834,-0.95142066
NCI-H28,1.1456548,-0.29759178,0.34633216,-0.47658437,-0.9106349,0.19859949,-0.26415026,-0.18044682,0.28489918,0.16279738,-1.3057032,0.0009863223,1.1114165,0.19207993,0.45706037,0.34214616,1.4587966,0.25929275,0.85338473,0.5929243,-0.19860914,1.1281099,1.2527388,0.43814483,0.49061677,-0.78179973,0.7084128,0.8506969,-0.45355994,0.26400164,0.11118726,-0.18693407,0.06698312,-0.5829619,-0.10626739,0.45928174,-1.3146462,-0.01889553,-0.69418335,-0.8521326,-0.36633086,-0.2073887,0.9650457,0.5616415,-1.0998,-1.7668349,0.47390568,-0.7989666,-0.0060853604,-0.29046413,0.27684063,-0.41981494,0.04503718,0.15223928
HCC-56,-0.95785445,1.5679913,-0.23674473,-0.6978422,0.8685079,0.4778184,-0.27066183,0.3160391,0.23531073,-3.2177365,0.70861083,-0.78317827,-0.23980305,0.09478926,0.43097135,-0.26982075,-1.924908,0.9416747,-0.28977624,0.3004077,-1.6535664,-0.32845417,-1.7737625,0.4460565,-2.1303518,0.4397874,1.2964767,2.0486114,-1.7639207,0.07899266,1.2482243,0.607896,-2.1390238,0.22111969,-0.23910749,-2.418879,-0.048209593,-0.06897543,0.39914444,2.6707659,2.9733152,-0.6398767,-2.0147758,0.9171067,-0.034453817,2.924204,-0.14951856,-0.16077256,-1.8416643,0.23549572,0.84305006,1.5731146,0.035363786,0.039228212
AM-38,-2.4313943,0.58740854,-0.0007548928,0.79815924,-0.102090925,1.1719134,0.26741183,0.6718807,-0.5168372,-0.8253339,-0.18064387,1.4096433,0.153807,0.9671926,1.9946697,2.194349,-3.4499736,-0.018287525,-1.8231075,-1.1775565,2.905788,-0.78348845,-1.42177,1.0645262,0.3468412,0.2916828,-1.1355382,-1.2440859,-1.0064082,-0.8939861,0.66916317,-0.76918495,-0.8170384,-1.9854653,-0.54568017,1.2559897,0.49660993,-1.74798,1.4132195,-0.07790359,-0.85646474,-1.0336379,0.43860954,0.06588358,-0.7641141,2.3465667,1.6556036,0.31446993,0.9504053,-0.9505206,-0.15499015,-0.80074847,-0.41304958,-0.6214952
Hs 751.T,0.8893314,-0.11981839,0.27826813,-0.4159701,-0.7771707,0.39386106,-0.37173936,-0.13661537,0.45950806,0.29538178,-1.0778308,0.026101733,0.84335566,0.008387879,0.27777615,0.06656734,1.2020293,0.19339299,0.17929491,0.61641634,-0.13634862,0.96638626,1.1342653,0.41696876,0.43768728,-0.45369086,0.40435416,0.46741116,0.44358754,0.2406688,0.16226466,0.3071586,-0.10751224,-0.42849246,0.11839008,0.2434989,-1.1699138,0.062654674,-0.50316185,-0.7770064,-0.40488142,-0.0009586476,0.8771139,0.47964728,-1.0301683,-1.6219981,0.79575515,-1.3412545,-0.0036285215,-0.31905577,0.27658206,-0.24377596,0.05838619,0.11000328
MDA-MB-415,-2.750172,0.06124723,-0.3355052,1.7206466,1.2770265,2.7299588,0.9525749,-1.1627102,0.12731865,-0.81183994,0.6083198,-0.6223695,-0.630252,2.4653602,-0.63169134,1.4700091,-2.0238976,-0.570691,-1.3104692,-1.2907034,0.95794934,-0.89578724,-1.5281655,-0.08513208,-0.84307677,0.77306795,-1.7416064,-0.999243,-2.876562,-1.6543386,1.1254605,-1.1598033,-2.4577613,1.0835693,0.27973932,-0.7254572,1.8163236,-1.0104859,0.76110065,0.16048332,-0.080498755,-1.1997144,-0.14510663,-0.19885358,-2.1237218,2.2701213,-1.0720032,1.306318,-1.7731539,-0.0056605935,-1.2424065,0.18950783,1.2284702,-0.48541844
ML-1 [Human thyroid carcinoma],0.15429074,-0.3262409,1.3845283,-0.30838835,-0.666017,0.18726452,0.07051001,-0.43278012,-0.13629366,-0.19208169,-0.7029232,-1.1428044,1.0507019,-1.0585926,0.7913821,-0.7910926,2.0165827,-0.6395893,0.25407392,-0.9228785,-0.6534629,1.3175141,1.1701807,-0.040238813,0.2690693,0.64230275,1.5282066,1.0950593,0.43922064,0.26128054,0.39581135,1.6087954,0.3768155,0.45192158,-0.17955916,0.69670695,0.6150782,0.35639137,-1.2019825,-1.9184994,-0.81726867,2.2070627,0.6405774,0.83859307,0.40938994,-2.4922967,0.7097178,0.35391447,-0.8784231,0.98880655,0.7863255,-0.6199481,0.2241943,-0.22194716
Hs 729.T,1.2768332,-1.9181693,-1.1619359,-1.1591527,-1.7318506,0.8349025,-2.4593384,-0.23588032,1.0503917,0.70787597,1.673786,2.3735328,-1.7537011,3.7580757,-0.51292956,0.8277385,-1.5134425,2.6056173,0.6373828,1.2857475,-0.9350386,-1.0061623,-1.104901,-0.33413744,-1.3057402,-0.5092935,-0.7308902,1.233047,-3.3534439,-0.55073404,-2.1466777,-0.9049923,0.019428872,-2.7400107,-1.1301875,-1.2317141,-4.3385344,-1.0223289,0.6126564,1.6314749,-1.5237148,-2.8066728,-0.25504252,0.09999768,-3.5292149,-0.35338527,1.2797626,-1.5231061,1.0125813,-1.8257787,1.4405202,0.67822576,0.83739793,-0.3073499
