target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,ACTR3BP2,0.0009568671216522612,IntegratedGradients
Erlotinib,0,,all,SLC22A11,0.0009360452797382717,IntegratedGradients
Erlotinib,0,,all,ACVR1B,0.00034956533040915775,IntegratedGradients
Erlotinib,0,,all,ATF5,0.00010810541524462606,IntegratedGradients
Erlotinib,0,,all,KDM3B,0.0009691311273508344,IntegratedGradients
Erlotinib,0,,all,HCK,0.0004740126091096144,IntegratedGradients
Erlotinib,0,,all,LGR6,0.0004998374482383291,IntegratedGradients
Erlotinib,0,,all,GIP,0.00045815953613266504,IntegratedGradients
Erlotinib,0,,all,LGALS9,0.00017781446158461365,IntegratedGradients
Erlotinib,0,,all,PLXNA4,0.0013605582806111944,IntegratedGradients
Erlotinib,0,,all,NR4A2,0.0006727984551974273,IntegratedGradients
Erlotinib,0,,all,KIAA0586,0.0006833246157423169,IntegratedGradients
Erlotinib,0,,all,NPY,0.00025573299056912705,IntegratedGradients
Erlotinib,0,,all,GUSBP4,0.0005684603133616601,IntegratedGradients
Erlotinib,0,,all,ZNF385D,0.0004114091298144676,IntegratedGradients
Erlotinib,0,,all,CYP4A11,0.0002546323059808964,IntegratedGradients
Erlotinib,0,,all,TRIM65,0.0005573575148171768,IntegratedGradients
Erlotinib,0,,all,TIA1,0.0003024772217495435,IntegratedGradients
Erlotinib,0,,all,SNRPG,0.00027725187743597924,IntegratedGradients
Erlotinib,0,,all,PCYOX1,0.00013652749333036566,IntegratedGradients
Erlotinib,0,,all,FAM136A,0.0004740256228275854,IntegratedGradients
Erlotinib,0,,all,CYP26B1,0.00015110253014184797,IntegratedGradients
Erlotinib,0,,all,GGT8P,0.00167793654329896,IntegratedGradients
Erlotinib,0,,all,ADD2,0.00018786127573387125,IntegratedGradients
Erlotinib,0,,all,MXD1,0.0007314894165859714,IntegratedGradients
Erlotinib,0,,all,SNRNP27,0.0008060591345297864,IntegratedGradients
Erlotinib,0,,all,C2orf42,0.0001663538707480145,IntegratedGradients
Erlotinib,0,,all,AAK1,0.0010825250946153058,IntegratedGradients
Erlotinib,0,,all,NFU1,0.0008787515051779333,IntegratedGradients
Erlotinib,0,,all,HK2,0.0004154173720816317,IntegratedGradients
Erlotinib,0,,all,GMCL1,0.00019562837968215184,IntegratedGradients
Erlotinib,0,,all,LINC01816,0.000507631010739385,IntegratedGradients
Erlotinib,0,,all,PCBP1,0.00013423685396595235,IntegratedGradients
Erlotinib,0,,all,ASPRV1,0.0002976296114422312,IntegratedGradients
Erlotinib,0,,all,PCBP1-AS1,0.0001247987072533391,IntegratedGradients
Erlotinib,0,,all,MIR5000,0.0005190718123365208,IntegratedGradients
Erlotinib,0,,all,TACR1,0.0003836719429165532,IntegratedGradients
Erlotinib,0,,all,EVA1A,0.00014225632906017803,IntegratedGradients
Erlotinib,0,,all,DHFRP3,0.0003354392206651513,IntegratedGradients
Erlotinib,0,,all,ANAPC1P1,0.0002736357002495493,IntegratedGradients
Erlotinib,0,,all,MEIS1,0.0010106890086181775,IntegratedGradients
Erlotinib,0,,all,MEIS1-AS3,0.0011252575326360361,IntegratedGradients
Erlotinib,0,,all,SEMA4F,0.0005036101940046017,IntegratedGradients
Erlotinib,0,,all,PROKR1,0.0004168393754732369,IntegratedGradients
Erlotinib,0,,all,NAT8,0.0004706847213512746,IntegratedGradients
Erlotinib,0,,all,ALMS1P1,0.0004898939434443142,IntegratedGradients
Erlotinib,0,,all,AUP1,0.0005439958877787723,IntegratedGradients
Erlotinib,0,,all,LOXL3,0.0004879938648208222,IntegratedGradients
Erlotinib,0,,all,HTRA2,0.0004143321308712089,IntegratedGradients
Erlotinib,0,,all,M1AP,0.00039012579612780285,IntegratedGradients
Erlotinib,0,,all,DOK1,0.0005560946458589337,IntegratedGradients
Erlotinib,0,,all,ARHGAP25,0.0003117830665862695,IntegratedGradients
Erlotinib,0,,all,CNRIP1,0.000429210483465629,IntegratedGradients
Erlotinib,0,,all,APLF,0.0003111520843750638,IntegratedGradients
Erlotinib,0,,all,PPP3R1,0.0004186076203553365,IntegratedGradients
Erlotinib,0,,all,PNO1,0.0005396624593214386,IntegratedGradients
Erlotinib,0,,all,FBXO48,0.0004848149727326245,IntegratedGradients
Erlotinib,0,,all,PLEK,0.0004990910609889637,IntegratedGradients
Erlotinib,0,,all,C1D,0.0005260011710172168,IntegratedGradients
Erlotinib,0,,all,WDR92,0.0006335092536791125,IntegratedGradients
Erlotinib,0,,all,BMP10,0.00023316115397341986,IntegratedGradients
Erlotinib,0,,all,LOC285074,0.0003704944626917898,IntegratedGradients
Erlotinib,0,,all,LSP1P4,0.000907591006264717,IntegratedGradients
Erlotinib,0,,all,GCFC2,0.0006912896602331693,IntegratedGradients
Erlotinib,0,,all,MRPL19,0.00036028099677305964,IntegratedGradients
Erlotinib,0,,all,GFPT1,0.0006175015422835134,IntegratedGradients
Erlotinib,0,,all,MIR4267,0.0008433455511374042,IntegratedGradients
Erlotinib,0,,all,CCDC138,0.0002782655740458044,IntegratedGradients
Erlotinib,0,,all,LRRTM4,0.00018760954253598525,IntegratedGradients
Erlotinib,0,,all,NR4A1,0.00014685576426142695,IntegratedGradients
Erlotinib,0,,all,GRASP,9.61718880727848e-05,IntegratedGradients
Erlotinib,0,,all,EDAR,0.0002537619131641436,IntegratedGradients
Erlotinib,0,,all,SCGB1D2,0.0005936577956874989,IntegratedGradients
Erlotinib,0,,all,SCGB2A2,0.0006545948525853067,IntegratedGradients
Erlotinib,0,,all,CHRM1,0.0005907737343599042,IntegratedGradients
Erlotinib,0,,all,MIR4265,8.361835958116957e-05,IntegratedGradients
Erlotinib,0,,all,SH3RF3-AS1,0.000280377203906464,IntegratedGradients
Erlotinib,0,,all,SH3RF3,0.000405702762170846,IntegratedGradients
Erlotinib,0,,all,SLC22A12,0.0011244625756147843,IntegratedGradients
Erlotinib,0,,all,NRXN2,0.0008387040809130287,IntegratedGradients
Erlotinib,0,,all,SOWAHC,0.0001862435097791225,IntegratedGradients
Erlotinib,0,,all,SLC22A8,0.0005547036369059513,IntegratedGradients
Erlotinib,0,,all,SCGB2A1,0.00090057947216322,IntegratedGradients
Erlotinib,0,,all,SCGB1D1,0.0006486849484641253,IntegratedGradients
Erlotinib,0,,all,ATG101,0.00023947516184053816,IntegratedGradients
Erlotinib,0,,all,EHBP1,0.0011651102612637101,IntegratedGradients
Erlotinib,0,,all,ANKRD33,0.00015148038285000211,IntegratedGradients
Erlotinib,0,,all,TMEM138,0.00045372355435627064,IntegratedGradients
Erlotinib,0,,all,TKFC,0.0005203070522335659,IntegratedGradients
Erlotinib,0,,all,CYB561A3,0.0004455806727857202,IntegratedGradients
Erlotinib,0,,all,TMEM216,0.0005106536432621847,IntegratedGradients
Erlotinib,0,,all,CPSF7,0.0004970124124145571,IntegratedGradients
Erlotinib,0,,all,SDHAF2,0.0005419008252483452,IntegratedGradients
Erlotinib,0,,all,NEAT1,0.0010569059266817699,IntegratedGradients
Erlotinib,0,,all,INCENP,0.0008267291882033995,IntegratedGradients
