sample_id,variable,class_label,probability,known_label,predicted_label,split
PLC/PRF/5,Erlotinib,,,0.0886662101862819,0.10073071718215942,train
HEC-151,Erlotinib,,,0.243795907921615,0.0717940479516983,train
SK-N-SH,Erlotinib,,,0.0330358225676597,0.06503163278102875,train
NCI-H28,Erlotinib,,,0.269475623753143,0.07641991972923279,train
HCC-56,Erlotinib,,,0.0570985978077439,0.077108234167099,train
AM-38,Erlotinib,,,,0.08648023009300232,train
Hs 751.T,Erlotinib,,,,0.06117609143257141,train
MDA-MB-415,Erlotinib,,,0.0159285291185951,0.05723673850297928,train
ML-1 [Human thyroid carcinoma],Erlotinib,,,,0.07952696084976196,train
Hs 729.T,Erlotinib,,,0.0124696952980024,0.04367661476135254,train
SW1271,Erlotinib,,,0.0170029385810013,0.027734294533729553,train
MOG-G-CCM,Erlotinib,,,0.0,0.02528994157910347,train
HuH-1,Erlotinib,,,0.0410050329319411,0.036831505596637726,train
Hs 683,Erlotinib,,,0.0118898423501595,0.07328851521015167,train
NCI-H647,Erlotinib,,,0.0064603721947235,0.03461214900016785,train
YD-38,Erlotinib,,,,0.05111796408891678,train
COR-L47,Erlotinib,,,,0.01861773431301117,train
QGP-1,Erlotinib,,,0.0604716766752486,0.0931440219283104,train
8-MG-BA,Erlotinib,,,0.0742306712571944,0.06208211928606033,train
HT,Erlotinib,,,0.0,-0.013084450736641884,train
Hs 578T,Erlotinib,,,0.0132344841789967,0.02983032912015915,train
ST486,Erlotinib,,,,0.06236203387379646,train
HRT-18,Erlotinib,,,,0.06469593942165375,train
SNU-601,Erlotinib,,,,0.14616672694683075,train
SW403,Erlotinib,,,0.122852776007857,0.09913133084774017,train
TE-10,Erlotinib,,,,0.1683131456375122,train
WSU-DLCL2,Erlotinib,,,,0.29610708355903625,train
UM-RC-2,Erlotinib,,,,0.06581201404333115,train
59M,Erlotinib,,,,0.05840515345335007,train
SK-LU-1,Erlotinib,,,0.0401425137728223,0.05979794263839722,train
Karpas-299,Erlotinib,,,0.0265723504029587,0.05652492493391037,train
GMS-10,Erlotinib,,,0.0190540934281724,0.007410885766148567,train
HCC1500,Erlotinib,,,,0.019016876816749573,train
SK-MEL-5,Erlotinib,,,0.0558275988840162,0.0222892165184021,train
U-87MG ATCC,Erlotinib,,,0.0,-0.0014933198690414429,train
HuG1-N,Erlotinib,,,,0.1064535528421402,train
KYM-1,Erlotinib,,,0.0,0.06631167232990265,train
Panc 04.03,Erlotinib,,,0.111468825066676,0.12222692370414734,train
Hs 739.T,Erlotinib,,,0.0,0.04677227512001991,train
MKN1,Erlotinib,,,,0.06002269312739372,train
ZR-75-30,Erlotinib,,,0.0,-0.009279287420213223,train
NCI-H2106,Erlotinib,,,,0.05317703261971474,train
CAL-51,Erlotinib,,,,0.011899570934474468,train
HCC70,Erlotinib,,,0.0882811990466099,0.10013841837644577,train
EFO-27,Erlotinib,,,0.161534838593571,0.04958910867571831,train
NCI-H1963,Erlotinib,,,,0.02439814992249012,train
Hs 852.T,Erlotinib,,,0.0606494731196107,0.053607307374477386,train
COV504,Erlotinib,,,0.0711984611306931,0.06777846068143845,train
SNU-1077,Erlotinib,,,,0.06834538280963898,train
