,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66
MPP 89,0.14507642,-0.38860822,1.4784986,1.0710473,0.40768313,0.47152627,-0.7511125,2.217771,1.3854336,-0.062178332,1.4999328,-0.84104526,-1.4308267,0.6178741,-0.34723678,3.0572896,0.9387796,0.047371656,0.51103795,0.16159643,-1.2174151,-0.75433767,1.1884601,-1.5087204,1.3128967,-1.0370146,1.618437,0.50171155,0.010865394,0.13567577,-0.072173566,0.9343146,2.3250844,-0.8374762,2.187758,1.1085525,-0.696502,0.5463131,0.74937826,0.09937882,-0.4901377,1.5780228,0.5495282,0.4020411,0.919157,-0.07512808,-0.9660142,0.110093474,1.0928057,0.37214485,0.07782328,-0.31295446,-1.7328069,1.4373772,1.3839021,-0.38944173,-0.6188208,0.93032455,-0.11274651,-0.27584738,-0.060073957,-1.2997556,0.2297458,-2.74819,-0.9096228,1.3550005,0.7312119
NCI-H460,0.20641634,0.16298412,-1.3060904,0.9514788,1.5071224,-0.8336397,1.9500082,0.020098872,0.84372604,0.5543778,-0.52191895,1.4097153,-0.8863551,0.2729061,0.08967723,0.9701688,-1.4234192,0.66101176,-0.87883097,1.330865,-1.6690916,2.0894501,-0.1024123,-1.0911882,-0.17521141,-1.390233,1.1221786,1.4227355,-0.5745483,0.06426609,0.36648762,-0.0032421947,1.4689382,-1.0024388,-0.76164126,-0.79168653,-1.3238276,-2.3061593,0.118148565,-1.261365,-0.42077652,1.5001379,0.24284214,-0.8220856,-0.44360748,1.7185873,-1.056148,-0.2026923,-1.5672401,-0.27336818,0.16287549,-0.28156966,0.5031053,-0.8247236,1.1829069,0.59538007,-0.47400224,1.356358,-0.21362723,0.5498989,-0.55659235,-1.156057,-1.0022109,0.7965799,-0.33630592,0.17090929,-0.74055505
JHUEM-3,-1.0519699,0.7942706,-0.26274583,-0.96028215,-1.2835866,-0.74825394,-0.5677812,-0.62511253,-0.40656003,0.63014776,0.32295954,-0.24845128,0.5936788,0.45432487,-0.011040255,-0.20788026,0.033565585,1.1084359,0.34026396,-0.58502257,-0.15044038,-0.44743207,-0.6057712,0.58112377,-0.14872202,1.2957548,0.27212018,-0.6200166,-1.0951091,-0.17481273,0.3468714,-0.60372114,-0.32474998,0.68754554,-0.18662795,0.48087072,-0.12253837,-1.1752107,0.5890319,-0.15832262,1.3228581,-0.61355805,-0.75062144,0.06653932,-0.350502,0.84761935,-0.7904883,-0.31282833,-0.33864233,0.27589804,0.034551803,0.39644814,0.18239492,-0.8596672,-0.55139935,0.5865061,0.6249171,-0.5896086,-0.23962885,0.18125257,-0.018001568,-0.17812207,-0.8386637,0.09232791,0.23293895,-0.21175666,0.45746377
A-253,0.04884308,0.00228047,0.89848864,1.026621,0.4568803,1.4795074,-1.6047097,-0.08892454,1.4300694,-0.63166565,-1.312174,1.7590915,-0.031696975,-1.7264228,-0.09425287,-0.36402917,1.3040359,0.43407828,0.10642383,-0.68919694,2.327771,0.5554735,-0.02548238,1.0081191,-1.2822317,0.14411592,-1.9025042,-0.10386118,0.15322734,0.8456712,1.0917487,-0.6899385,1.4574065,1.0475228,0.9976156,-1.6223052,0.50367177,1.5302619,-3.2760394,0.7998241,-3.3208652,-1.2793672,-0.010712169,0.75348365,-0.99074686,-1.2644266,0.4850833,3.8664708,0.47090498,-1.8863236,-0.33961976,0.6065707,-0.3583386,0.33628252,-1.0297645,1.0511446,-0.7325529,-0.48763788,1.0607059,-0.10130099,-0.56990314,1.3149865,-0.12341197,-0.24347936,-1.2232461,-0.6219381,-2.2086377
BHY,1.0139151,-0.32075244,1.1577569,0.05106314,1.4628189,2.3807063,0.75618714,1.637711,0.7443251,-0.9857623,-1.353966,0.15525188,-0.23401365,-0.23824663,-0.8532655,0.5751798,1.285758,-1.4005291,-0.50931734,0.6210162,-0.08194283,1.2272046,-0.306878,0.17147632,-2.139988,0.7773175,-0.69668,-0.73902667,-0.08246169,-0.07799329,0.122537136,-0.23523925,1.2008213,-1.6874633,2.148293,-0.16632634,-0.014145013,0.5455981,-0.014151869,1.4228477,-3.3614907,1.3134729,1.9904578,0.19004788,-1.268723,-0.13396703,-0.39177194,0.85781986,0.2648383,-1.9293572,0.4134636,1.4146981,-0.7770171,1.5369835,-1.6889297,-0.08134527,-1.3049178,0.93237364,2.622325,0.47994703,-1.4970077,-1.1432048,-0.6874325,-0.07560584,-2.0822272,0.70416635,0.90507495
UT-7,-0.70368004,-2.7246778,1.8825214,0.9446978,1.4887885,2.2143197,0.007863802,2.2690916,1.6827543,0.7849679,-1.1761835,0.28437442,-0.4136017,-0.046231844,1.2635553,-0.41314062,2.0614293,-0.20841038,-0.8271166,-0.18015349,-0.04299487,-1.0024017,-0.09237863,-1.7866762,1.6319007,-0.23147623,0.89070934,-0.34232932,2.1587408,0.23695132,-1.8098023,0.82971066,-0.30612296,-1.6332197,1.5705985,0.11549659,-2.3822663,1.7856808,-0.32358688,0.41032362,-0.7509217,0.84002125,0.5687444,0.16874292,-0.3048868,0.17186236,2.4377923,2.5500643,0.6905138,0.853955,0.873505,0.33366966,-0.47976303,2.1280055,-0.5551954,-1.2334557,-2.2777972,0.48696086,1.495689,-2.2515926,1.2434864,0.54589283,1.7570852,-0.05591452,-0.38034642,-0.27146012,-1.7661133
NCI-H1930,-1.1199436,0.67498696,-0.45377877,-0.9451527,-1.2508755,-0.96077454,-0.68015325,-0.5861982,-0.4279595,0.85292435,0.36224672,0.029176623,0.4732532,0.41439754,0.12053605,-0.18974423,-0.02896584,1.1321837,0.33124813,-0.5539684,-0.056174338,-0.39493182,-0.50747347,0.47576523,-0.00028925762,1.2392894,0.27674404,-0.6452379,-1.1162058,0.12045729,0.26159596,-0.6090089,-0.3178227,0.82486635,-0.71067595,0.369833,-0.14676394,-1.4513721,0.5622532,-0.033503123,1.0743855,-0.24115223,-0.72462,-0.19806051,-0.12713732,1.0070863,-0.34639972,-0.33630306,-0.317293,-0.08499804,-0.20668454,0.07853034,0.17664765,-0.89091504,-0.40503162,0.55943036,0.63126457,-0.5750384,-0.5282037,0.16419253,-0.06312182,-0.15030183,-0.48944187,0.12227708,0.8247314,0.48041677,0.34457147
SW1463,1.5714414,1.1406621,0.41640174,0.119986475,-0.4033143,0.8034086,0.7508743,0.03432864,-0.014702857,-2.3460739,-0.13246226,0.7393556,-2.1292348,-1.6387964,0.17976415,0.6816505,0.6982119,-1.2526871,-1.2535608,1.5102899,2.2997756,-1.2049617,-0.76319605,0.22496492,0.35732153,-1.227747,-1.7610403,0.57318366,1.5271628,-1.9212095,0.75470173,0.578623,0.62439233,-0.567536,1.4503517,-1.4894146,0.42942464,2.0901694,-1.9750305,-0.17839514,-1.3241407,0.23992376,0.034170497,1.6040019,2.071333,-3.045456,-0.8394433,1.5791992,-0.22242703,-0.8750416,0.10659138,1.960988,-0.1320207,-0.93781036,0.52322114,-2.3345795,-0.25882918,1.1165044,0.4971928,0.6839786,0.7005718,0.56463814,0.7047789,0.94134957,0.82784367,-0.053809762,0.78380424
MHH-CALL-2,-0.98454016,0.76676655,-0.51232976,-1.0039977,-1.3708689,-1.0094277,-0.58992845,-0.56387573,-0.3911151,0.7305653,0.24043664,-0.2178764,0.5442723,0.4383021,0.14129786,-0.027553663,-0.018186305,1.0326543,0.38310933,-0.5936319,-0.09155759,-0.4477313,-0.33084923,0.516588,-0.16195805,1.2696762,0.07238354,-0.6933725,-1.1045103,-0.23533897,0.31599936,-0.6028918,-0.37088668,0.45896232,-0.2922929,0.5066797,0.0018173456,-1.4430919,0.59364474,-0.09823235,1.0472522,-0.5092644,-0.7520088,-0.20263058,0.28277093,1.012447,-0.5080364,-0.33574024,-0.31875843,-0.13939624,-0.29949787,0.28662387,0.35070023,-0.9088689,-0.54511976,0.6085211,0.6385903,-0.6642925,-0.33111188,0.17461137,-0.058249086,-0.18053941,-0.12412664,-0.22772273,0.91983485,0.20785283,0.4337514
EFE-184,1.4030557,1.0787973,-0.3002435,-0.08245099,0.09165815,0.10602516,-2.0203316,-0.37189493,1.6516426,-0.19786009,-1.02831,-0.1807146,-0.18021375,0.39674455,-1.8804567,0.8056108,-0.27470443,1.0892043,-0.9526872,0.74301076,-1.689081,-2.2054305,0.27123916,1.6246154,-0.8691276,-0.2254965,0.053454667,-1.0745848,-0.4549178,-0.9822436,1.053699,-0.07054424,1.3107287,0.7436607,2.9708085,0.23957941,0.17155518,-0.8045136,-1.8997111,1.9130545,-2.9277618,-0.8354058,1.1426659,-0.13065287,1.1307925,-0.6182413,0.07148826,1.7030419,1.6212187,1.3911831,-1.6507354,0.53213465,-0.35112682,-1.503655,-0.9128966,1.6494621,-0.20901863,0.2386284,0.7171138,0.7145264,0.034503818,0.42311183,-0.29999405,-1.1134435,-2.6927993,1.9837536,-0.33122143
