target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,cnv,ACTR3BP2,0.0008774592201273371,IntegratedGradients
Erlotinib,0,,cnv,SLC22A11,0.0002963544434797578,IntegratedGradients
Erlotinib,0,,cnv,ACVR1B,0.00037410642668013054,IntegratedGradients
Erlotinib,0,,cnv,ATF5,0.00044191901961536796,IntegratedGradients
Erlotinib,0,,cnv,KDM3B,0.0016537627525012794,IntegratedGradients
Erlotinib,0,,cnv,HCK,0.00025285272812201735,IntegratedGradients
Erlotinib,0,,cnv,LGR6,0.0003567451353138181,IntegratedGradients
Erlotinib,0,,cnv,GIP,0.0004782998206191235,IntegratedGradients
Erlotinib,0,,cnv,LGALS9,0.002640759459540387,IntegratedGradients
Erlotinib,0,,cnv,PLXNA4,0.0007623277681579738,IntegratedGradients
Erlotinib,0,,cnv,NR4A2,0.0013343477621940373,IntegratedGradients
Erlotinib,0,,cnv,KIAA0586,0.0005903493596514024,IntegratedGradients
Erlotinib,0,,cnv,NPY,0.0009095065747201794,IntegratedGradients
Erlotinib,0,,cnv,GUSBP4,0.0012810367764301011,IntegratedGradients
Erlotinib,0,,cnv,ZNF385D,0.0008224954781656293,IntegratedGradients
Erlotinib,0,,cnv,CYP4A11,0.0012744209373186323,IntegratedGradients
Erlotinib,0,,cnv,TRIM65,0.0011128102775091095,IntegratedGradients
Erlotinib,0,,cnv,TIA1,0.0010165509989709704,IntegratedGradients
Erlotinib,0,,cnv,SNRPG,0.000720744974195291,IntegratedGradients
Erlotinib,0,,cnv,PCYOX1,0.0003193396664733138,IntegratedGradients
Erlotinib,0,,cnv,FAM136A,0.0008610783124645819,IntegratedGradients
Erlotinib,0,,cnv,CYP26B1,0.0002279305134076813,IntegratedGradients
Erlotinib,0,,cnv,GGT8P,0.0009628342078176256,IntegratedGradients
Erlotinib,0,,cnv,ADD2,0.0006567368721806571,IntegratedGradients
Erlotinib,0,,cnv,MXD1,0.0004313160116842633,IntegratedGradients
Erlotinib,0,,cnv,SNRNP27,0.0008342172987505327,IntegratedGradients
Erlotinib,0,,cnv,C2orf42,0.0006212226499732054,IntegratedGradients
Erlotinib,0,,cnv,AAK1,0.00043760324345304186,IntegratedGradients
Erlotinib,0,,cnv,NFU1,0.0009694389717606845,IntegratedGradients
Erlotinib,0,,cnv,HK2,0.0010503717213077965,IntegratedGradients
Erlotinib,0,,cnv,GMCL1,0.0006967750888005874,IntegratedGradients
Erlotinib,0,,cnv,LINC01816,0.0005074518476294519,IntegratedGradients
Erlotinib,0,,cnv,PCBP1,0.00029401113676205085,IntegratedGradients
Erlotinib,0,,cnv,ASPRV1,0.0004032020687855837,IntegratedGradients
Erlotinib,0,,cnv,PCBP1-AS1,0.0006899152988194632,IntegratedGradients
Erlotinib,0,,cnv,MIR5000,0.00039988037546840276,IntegratedGradients
Erlotinib,0,,cnv,TACR1,0.00040948059733098436,IntegratedGradients
Erlotinib,0,,cnv,EVA1A,0.0008707044802751555,IntegratedGradients
Erlotinib,0,,cnv,DHFRP3,0.0002859968654223979,IntegratedGradients
Erlotinib,0,,cnv,ANAPC1P1,0.0007466703004367614,IntegratedGradients
Erlotinib,0,,cnv,MEIS1,0.00047284526889356936,IntegratedGradients
Erlotinib,0,,cnv,MEIS1-AS3,0.0003206001132101355,IntegratedGradients
Erlotinib,0,,cnv,SEMA4F,0.001457625144582623,IntegratedGradients
Erlotinib,0,,cnv,PROKR1,0.00037682582141505177,IntegratedGradients
Erlotinib,0,,cnv,NAT8,0.0010768889781551697,IntegratedGradients
Erlotinib,0,,cnv,ALMS1P1,0.0017956403400000251,IntegratedGradients
Erlotinib,0,,cnv,AUP1,0.0007826755743603881,IntegratedGradients
Erlotinib,0,,cnv,LOXL3,0.000890201732617996,IntegratedGradients
Erlotinib,0,,cnv,HTRA2,0.0013900790552461744,IntegratedGradients
Erlotinib,0,,cnv,M1AP,0.0010358036625049084,IntegratedGradients
Erlotinib,0,,cnv,DOK1,0.0008692692069548451,IntegratedGradients
Erlotinib,0,,cnv,ARHGAP25,0.000472692068757054,IntegratedGradients
Erlotinib,0,,cnv,CNRIP1,0.0003498639470054129,IntegratedGradients
Erlotinib,0,,cnv,APLF,0.0003907717704388573,IntegratedGradients
Erlotinib,0,,cnv,PPP3R1,0.00034001475313123834,IntegratedGradients
Erlotinib,0,,cnv,PNO1,0.0004577146957288888,IntegratedGradients
Erlotinib,0,,cnv,FBXO48,0.0009571312331584891,IntegratedGradients
Erlotinib,0,,cnv,PLEK,0.0019912778634488654,IntegratedGradients
Erlotinib,0,,cnv,C1D,0.00029559304150920555,IntegratedGradients
Erlotinib,0,,cnv,WDR92,0.000578753896834922,IntegratedGradients
Erlotinib,0,,cnv,BMP10,0.0005745158854195785,IntegratedGradients
Erlotinib,0,,cnv,LOC285074,0.00047466134401494183,IntegratedGradients
Erlotinib,0,,cnv,LSP1P4,0.002507397030139386,IntegratedGradients
Erlotinib,0,,cnv,GCFC2,0.000440015147048466,IntegratedGradients
Erlotinib,0,,cnv,MRPL19,0.0006152099232632077,IntegratedGradients
Erlotinib,0,,cnv,GFPT1,0.0006312058287394627,IntegratedGradients
Erlotinib,0,,cnv,MIR4267,0.001090203622933214,IntegratedGradients
Erlotinib,0,,cnv,CCDC138,0.0003370217660536905,IntegratedGradients
Erlotinib,0,,cnv,LRRTM4,0.0006111321432977031,IntegratedGradients
Erlotinib,0,,cnv,NR4A1,0.00029662143760949243,IntegratedGradients
Erlotinib,0,,cnv,GRASP,0.0007548190007187318,IntegratedGradients
Erlotinib,0,,cnv,EDAR,0.0009253768195685759,IntegratedGradients
Erlotinib,0,,cnv,SCGB1D2,0.0014996417334939322,IntegratedGradients
Erlotinib,0,,cnv,SCGB2A2,0.0005661492901877176,IntegratedGradients
Erlotinib,0,,cnv,CHRM1,0.0009713003950320218,IntegratedGradients
Erlotinib,0,,cnv,MIR4265,0.0004591752726712366,IntegratedGradients
Erlotinib,0,,cnv,SH3RF3-AS1,0.0015273059143665307,IntegratedGradients
Erlotinib,0,,cnv,SH3RF3,0.0012693752800151214,IntegratedGradients
Erlotinib,0,,cnv,SLC22A12,0.00035323263356196996,IntegratedGradients
Erlotinib,0,,cnv,NRXN2,0.000546337066820304,IntegratedGradients
Erlotinib,0,,cnv,SOWAHC,0.0007912378843577156,IntegratedGradients
Erlotinib,0,,cnv,SLC22A8,0.0011913717038376987,IntegratedGradients
Erlotinib,0,,cnv,SCGB2A1,0.001407738528159033,IntegratedGradients
Erlotinib,0,,cnv,SCGB1D1,0.0014676790809292418,IntegratedGradients
Erlotinib,0,,cnv,ATG101,0.0012969887100451373,IntegratedGradients
Erlotinib,0,,cnv,EHBP1,0.0006686347767712818,IntegratedGradients
Erlotinib,0,,cnv,ANKRD33,0.0009264835172109703,IntegratedGradients
Erlotinib,0,,cnv,TMEM138,0.0009285266461169332,IntegratedGradients
Erlotinib,0,,cnv,TKFC,0.00041269367716770223,IntegratedGradients
Erlotinib,0,,cnv,CYB561A3,0.0008881903919748966,IntegratedGradients
Erlotinib,0,,cnv,TMEM216,0.0007126119941865212,IntegratedGradients
Erlotinib,0,,cnv,CPSF7,0.0005717396224719549,IntegratedGradients
Erlotinib,0,,cnv,SDHAF2,0.0006565952482616495,IntegratedGradients
Erlotinib,0,,cnv,NEAT1,0.001436533337134546,IntegratedGradients
Erlotinib,0,,cnv,INCENP,0.0008895906104753338,IntegratedGradients
Erlotinib,0,,cnv,SLC3A2,0.0016684639820583873,IntegratedGradients
Erlotinib,0,,cnv,SNHG1,0.0016717509220376375,IntegratedGradients
Erlotinib,0,,cnv,SNORD22,0.0009699812657025155,IntegratedGradients
Erlotinib,0,,cnv,STX5,0.0018022493128975019,IntegratedGradients
Erlotinib,0,,cnv,WDR74,0.001043332399097275,IntegratedGradients
Erlotinib,0,,cnv,MIR4266,0.0010371840564918375,IntegratedGradients
Erlotinib,0,,cnv,ACVRL1,0.00023244026835980133,IntegratedGradients
Erlotinib,0,,cnv,NXF1,0.002034153485597813,IntegratedGradients
Erlotinib,0,,cnv,INTS5,0.0006271702284456103,IntegratedGradients
Erlotinib,0,,cnv,UBXN1,0.0011954393413215368,IntegratedGradients
Erlotinib,0,,cnv,SNORA57,0.001583995628809226,IntegratedGradients
Erlotinib,0,,cnv,GANAB,0.0006159589124209492,IntegratedGradients
Erlotinib,0,,cnv,B3GAT3,0.000708269234677009,IntegratedGradients
Erlotinib,0,,cnv,ROM1,0.0015283128695975992,IntegratedGradients
Erlotinib,0,,cnv,CSKMT,0.0012021855062053777,IntegratedGradients
Erlotinib,0,,cnv,UQCC3,0.0012852473803066347,IntegratedGradients
Erlotinib,0,,cnv,LBHD1,0.0014739623201955614,IntegratedGradients
Erlotinib,0,,cnv,SCGB1D4,0.0013238544498826027,IntegratedGradients
Erlotinib,0,,cnv,LRRTM1,0.0017900033785856733,IntegratedGradients
Erlotinib,0,,cnv,SLC22A6,0.0006113233026300252,IntegratedGradients
Erlotinib,0,,cnv,RGPD4-AS1,0.0008555674291261339,IntegratedGradients
Erlotinib,0,,cnv,LTBP3,0.0002580262137280047,IntegratedGradients
Erlotinib,0,,cnv,GKN1,0.00042310057878523587,IntegratedGradients
Erlotinib,0,,cnv,RGPD4,0.0006374821065111225,IntegratedGradients
Erlotinib,0,,cnv,SCYL1,0.0009033099133794029,IntegratedGradients
Erlotinib,0,,cnv,IL37,0.0010629225521090605,IntegratedGradients
Erlotinib,0,,cnv,POLR1A,0.000957137439894325,IntegratedGradients
Erlotinib,0,,cnv,EML3,0.0005519836568413366,IntegratedGradients
Erlotinib,0,,cnv,IL1A,0.0015378059010689258,IntegratedGradients
Erlotinib,0,,cnv,IL1B,0.0013471167940641942,IntegratedGradients
Erlotinib,0,,cnv,LIMS1,0.0011773551083806629,IntegratedGradients
Erlotinib,0,,cnv,TRABD2A,0.00045499054109556555,IntegratedGradients
Erlotinib,0,,cnv,SCGB1A1,0.00043148177684066124,IntegratedGradients
Erlotinib,0,,cnv,CKAP2L,0.0019620390363385867,IntegratedGradients
Erlotinib,0,,cnv,ACOXL,0.0012183555044861115,IntegratedGradients
Erlotinib,0,,cnv,POLR2G,0.0008109563806542836,IntegratedGradients
Erlotinib,0,,cnv,TAF6L,0.0017602919422288665,IntegratedGradients
Erlotinib,0,,cnv,EEF1G,0.0011543388807231732,IntegratedGradients
Erlotinib,0,,cnv,SCN8A,0.000394603437497275,IntegratedGradients
Erlotinib,0,,cnv,MTA2,0.0017296162424259574,IntegratedGradients
Erlotinib,0,,cnv,TUT1,0.0009518668162051088,IntegratedGradients
Erlotinib,0,,cnv,TMEM179B,0.001301373165448261,IntegratedGradients
Erlotinib,0,,cnv,TMEM223,0.002141946634753375,IntegratedGradients
Erlotinib,0,,cnv,LOC100996455,0.0004274933902870741,IntegratedGradients
Erlotinib,0,,cnv,HNRNPUL2-BSCL2,0.0015341655392517675,IntegratedGradients
Erlotinib,0,,cnv,LRRN4CL,0.0006006441339239247,IntegratedGradients
Erlotinib,0,,cnv,BSCL2,0.0016024386396737134,IntegratedGradients
Erlotinib,0,,cnv,ASRGL1,0.0010750888962512179,IntegratedGradients
Erlotinib,0,,cnv,C2orf40,0.0004508314648715431,IntegratedGradients
Erlotinib,0,,cnv,TTC9C,0.00047919560447414925,IntegratedGradients
Erlotinib,0,,cnv,HNRNPUL2,0.0015719876325514606,IntegratedGradients
Erlotinib,0,,cnv,IL36G,0.001060230223544577,IntegratedGradients
Erlotinib,0,,cnv,C11orf68,0.0012684427747066416,IntegratedGradients
Erlotinib,0,,cnv,DRAP1,0.0004331590731577089,IntegratedGradients
Erlotinib,0,,cnv,FIGNL2,0.00041070323966359735,IntegratedGradients
Erlotinib,0,,cnv,SMYD1,0.000541418936920402,IntegratedGradients
Erlotinib,0,,cnv,NUP62,0.0004890143945148769,IntegratedGradients
Erlotinib,0,,cnv,IL4I1,0.0003680390589067945,IntegratedGradients
Erlotinib,0,,cnv,IL36A,0.0006489417472434177,IntegratedGradients
Erlotinib,0,,cnv,IL36B,0.0004672418939523006,IntegratedGradients
Erlotinib,0,,cnv,KRCC1,0.0012560506478688745,IntegratedGradients
Erlotinib,0,,cnv,PCNX3,0.00043684020939753823,IntegratedGradients
Erlotinib,0,,cnv,MAP3K11,0.0011000048284228081,IntegratedGradients
Erlotinib,0,,cnv,TSGA10IP,0.00036069874737444446,IntegratedGradients
Erlotinib,0,,cnv,AHNAK,0.000470008833498236,IntegratedGradients
Erlotinib,0,,cnv,ANAPC1,0.0005890531396858481,IntegratedGradients
Erlotinib,0,,cnv,SLC22A10,0.0012830279900634112,IntegratedGradients
Erlotinib,0,,cnv,SART1,0.0006042027421658301,IntegratedGradients
Erlotinib,0,,cnv,FABP1,0.001057754263586245,IntegratedGradients
Erlotinib,0,,cnv,KCNK7,0.0006493431484072107,IntegratedGradients
Erlotinib,0,,cnv,SLC22A24,0.0014344001741151391,IntegratedGradients
Erlotinib,0,,cnv,MALL,0.0009761838879765415,IntegratedGradients
Erlotinib,0,,cnv,UXS1,0.0008243755445503472,IntegratedGradients
Erlotinib,0,,cnv,SEPT10,0.0005271935487078723,IntegratedGradients
Erlotinib,0,,cnv,SF1,0.0006958515004145939,IntegratedGradients
Erlotinib,0,,cnv,PYGM,0.0009803873582969694,IntegratedGradients
Erlotinib,0,,cnv,RASGRP2,0.0010567076159138091,IntegratedGradients
Erlotinib,0,,cnv,ZC3H8,0.0006845447828895933,IntegratedGradients
Erlotinib,0,,cnv,IL36RN,0.0008501928770592444,IntegratedGradients
Erlotinib,0,,cnv,IL1F10,0.0008248069505706581,IntegratedGradients
Erlotinib,0,,cnv,RANBP2,0.0004715429468883815,IntegratedGradients
Erlotinib,0,,cnv,NAPSA,0.000294014750726447,IntegratedGradients
