sample_id,variable,class_label,probability,known_label,predicted_label,split
MPP 89,Erlotinib,,,0.0190493875298152,0.01817166991531849,train
NCI-H460,Erlotinib,,,0.0156850277955704,0.03081301972270012,train
JHUEM-3,Erlotinib,,,,0.051581092178821564,train
A-253,Erlotinib,,,0.111939413475256,0.10569587349891663,train
BHY,Erlotinib,,,,-0.0015216553583741188,train
UT-7,Erlotinib,,,,0.09775916486978531,train
NCI-H1930,Erlotinib,,,,0.050040002912282944,train
SW1463,Erlotinib,,,,0.0545666366815567,train
MHH-CALL-2,Erlotinib,,,,0.03200330585241318,train
EFE-184,Erlotinib,,,0.103552446743147,0.0845157653093338,train
143B,Erlotinib,,,,0.08734626322984695,train
HCC1171,Erlotinib,,,,0.05312717705965042,train
COLO 849,Erlotinib,,,,0.09781277179718018,train
PL45,Erlotinib,,,0.0629719252063515,0.07476165890693665,train
Hs 606.T,Erlotinib,,,,0.040590960532426834,train
SNU-182,Erlotinib,,,0.126462530716505,0.021172069013118744,train
KMS-21-BM,Erlotinib,,,,0.052149586379528046,train
JHUEM-7,Erlotinib,,,,0.243559330701828,train
Hs 751.T,Erlotinib,,,,0.03816274553537369,train
NCO2,Erlotinib,,,0.105692436087806,0.022485725581645966,train
RERF-LC-Sq1,Erlotinib,,,,0.08912783861160278,train
TE-11,Erlotinib,,,0.256996908787732,0.3147505521774292,train
IST-Mes1,Erlotinib,,,0.0301124999999999,0.01149999350309372,train
NCI-H2227,Erlotinib,,,,0.0423397533595562,train
RMUG-S,Erlotinib,,,,0.06547030061483383,train
SW837,Erlotinib,,,,-0.018680699169635773,train
SF295,Erlotinib,,,0.0548661332673498,0.029981350526213646,train
WM115,Erlotinib,,,0.0093040083597805,0.013191437348723412,train
KYO-1,Erlotinib,,,,0.10487625747919083,train
RS4;11,Erlotinib,,,,0.012732002884149551,train
NCI-H1385,Erlotinib,,,,0.14178632199764252,train
DMS 273,Erlotinib,,,,0.023697320371866226,train
SK-MEL-28,Erlotinib,,,,0.05228561535477638,train
A101D,Erlotinib,,,,0.04568569362163544,train
CW-2,Erlotinib,,,,0.047651536762714386,train
CAL-27,Erlotinib,,,0.331155066635375,0.2510915994644165,train
NCI-H2444,Erlotinib,,,0.0568650212005285,0.003257252275943756,train
SK-MM-2,Erlotinib,,,0.174156172063407,0.11032092571258545,train
NCI-H1092,Erlotinib,,,0.0,0.02710375376045704,train
COLO 783,Erlotinib,,,,-0.001214548945426941,train
SUP-T1,Erlotinib,,,0.0,-0.03782935440540314,train
8-MG-BA,Erlotinib,,,0.0742306712571944,0.05551307275891304,train
SNU-489,Erlotinib,,,,0.01625494286417961,train
BxPC-3,Erlotinib,,,0.11221767317599,0.07276622951030731,train
M-07e,Erlotinib,,,,0.029479965567588806,train
Capan-2,Erlotinib,,,0.0555885170622082,0.07557438313961029,train
NCI-H146,Erlotinib,,,,0.10022331029176712,train
NCI-H1435,Erlotinib,,,,0.035509735345840454,train
OCI-AML-3,Erlotinib,,,,0.0739603340625763,train
NCI-H841,Erlotinib,,,,0.045488595962524414,train
NCI-H1436,Erlotinib,,,,0.24129517376422882,train
Caov-3,Erlotinib,,,,0.03127229958772659,train
SNU-410,Erlotinib,,,,0.02122381329536438,train
T84,Erlotinib,,,0.0637663383324368,0.0902634710073471,train
OCI-Ly3,Erlotinib,,,,0.03886916860938072,train
KMS-34,Erlotinib,,,0.0064564022136489,0.017915790900588036,train
Panc 03.27,Erlotinib,,,0.0627539316471438,0.07345788180828094,train
OS-RC-2,Erlotinib,,,,0.05361629277467728,train
IMR-32,Erlotinib,,,0.0,0.022155778482556343,train
NCI-H1666,Erlotinib,,,0.379534141507989,0.32383278012275696,train
Hs 172.T,Erlotinib,,,,0.03314802795648575,train
NCI-H1793,Erlotinib,,,0.142220559643126,0.031645480543375015,train
TGBC11TKB,Erlotinib,,,,0.06565339118242264,train
KNS-42,Erlotinib,,,0.0,0.07054294645786285,train
NCI-H1155,Erlotinib,,,0.0644206799838463,0.04149998724460602,train
NUGC-2,Erlotinib,,,,0.14128999412059784,train
KG-1,Erlotinib,,,0.0368547649599705,0.03162473440170288,train
MHH-ES-1,Erlotinib,,,0.0877176325400873,0.03599300980567932,train
Mono-Mac-6,Erlotinib,,,,0.08770782500505447,train
SK-MEL-30,Erlotinib,,,0.0053500624689049,0.031814441084861755,train
NCI-H522,Erlotinib,,,0.0403443205178365,0.12212984263896942,train
Hs 729.T,Erlotinib,,,0.0124696952980024,0.11356651782989502,train
RERF-LC-A1,Erlotinib,,,0.039469144135859,0.07929417490959167,train
MOG-G-CCM,Erlotinib,,,0.0,0.015134979039430618,train
COR-L88,Erlotinib,,,,0.03212810680270195,train
RKO,Erlotinib,,,0.0046315843924956,-0.000992652028799057,train
Hs 944.T,Erlotinib,,,0.0221635619877788,0.015855103731155396,train
CL-40,Erlotinib,,,,0.060211457312107086,train
SK-ES-1,Erlotinib,,,0.0683218629110332,0.03504091501235962,train
RT-112,Erlotinib,,,0.0563652566288176,0.0700211375951767,train
NCI-H2172,Erlotinib,,,,0.09029341489076614,train
KLM-1,Erlotinib,,,,0.20313093066215515,train
Hs 821.T,Erlotinib,,,,-0.005468495190143585,train
JHUEM-2,Erlotinib,,,0.0258694737726735,0.06599334627389908,train
SNU-1040,Erlotinib,,,,0.062944695353508,train
DM-3,Erlotinib,,,,0.056972436606884,train
SW620,Erlotinib,,,0.0032287547729638,0.006542876362800598,train
MSTO-211H,Erlotinib,,,0.0468232661050798,0.012805737555027008,train
PaTu 8902,Erlotinib,,,0.0142065488811397,0.045778922736644745,train
LN-18,Erlotinib,,,0.0657183372035689,-0.002672329545021057,train
MM1.S,Erlotinib,,,,0.063435398042202,train
769-P,Erlotinib,,,0.25329984948657,0.14887060225009918,train
CMK-11-5,Erlotinib,,,,0.0988733172416687,train
HD-MY-Z,Erlotinib,,,0.0841427877270507,0.05176861956715584,train
NCI-H650,Erlotinib,,,0.0050111947642401,0.02732061967253685,train
NCI-H810,Erlotinib,,,0.0,0.02376505360007286,train
SNU-478,Erlotinib,,,,0.070177361369133,train
HuT 78,Erlotinib,,,0.0,-0.029048869386315346,train
LXF 289,Erlotinib,,,,0.1041746512055397,train
HT-55,Erlotinib,,,,0.042710259556770325,train
SF172,Erlotinib,,,,0.027796044945716858,train
ONS-76,Erlotinib,,,0.0214716122271844,0.04215051978826523,train
HPAF-II,Erlotinib,,,0.0623307309772142,0.059731416404247284,train
NMC-G1,Erlotinib,,,,-0.009333123452961445,train
SLR26,Erlotinib,,,,0.03399401530623436,train
MOR/CPR,Erlotinib,,,0.0502375665599399,0.04777718335390091,train
HuH-28,Erlotinib,,,,0.15822480618953705,train
NCI-H1944,Erlotinib,,,0.105103912944344,0.03067031130194664,train
TIG-3 TD,Erlotinib,,,,0.04921431094408035,train
NCI-H508,Erlotinib,,,,0.049693625420331955,train
DoHH2,Erlotinib,,,0.0,0.04922450706362724,train
OVCAR-3,Erlotinib,,,0.144301376051329,0.11135976016521454,train
HCC15,Erlotinib,,,0.027726216792311,0.05376078188419342,train
SNU-685,Erlotinib,,,,0.10510703921318054,train
COR-L24,Erlotinib,,,,0.026743128895759583,train
HOS,Erlotinib,,,0.0,0.011012994684278965,train
L3.3,Erlotinib,,,0.128358214225068,0.11631090939044952,train
JHH-4,Erlotinib,,,0.0546806254132545,0.054220497608184814,train
Hep 3B2.1-7,Erlotinib,,,0.0,0.10795332491397858,train
