,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94
T.T,0.33671284,7.7823124,-3.183155,0.8236301,-5.226759,-5.4247785,-6.2287564,-0.5764322,2.2435105,4.4566903,11.283478,-3.3207488,-0.12776682,0.6374709,-3.9548693,0.6701227,-5.9797244,1.8685507,3.0678744,-0.70839596,5.9987464,4.686533,2.5218813,-4.3054595,-0.16930366,1.9857868,-3.8271186,5.3547955,2.5925481,0.4004133,1.1905457,-4.8737736,-3.4231837,-0.7307417,-3.4535758,2.841142,-0.35201183,-1.4401131,1.205349,-2.1793673,6.5648675,2.795818,3.9052618,2.311976,0.9988222,-2.1536667,1.7562712,-0.5798711,-3.7074134,-2.6774752,8.932568,-1.3896015,5.2105794,1.3721367,-5.147375,3.8909955,-3.2887063,0.029827392,-1.4777128,-4.2147746,2.951307,1.0900562,2.3128839,4.6068525,3.4362197,0.7227237,0.19822228,0.43489614,-2.9512649,4.8920813,0.8650055,-1.71698,-0.9132989,-4.940292,0.5903599,-0.20717855,-4.124567,2.7674334,4.6372657,-6.02619,-5.482419,5.2166533,-4.6714797,2.371486,-3.182906,-4.991511,-1.6759853,4.841453,-0.6812681,2.6261914,-7.952015,-0.3482861,-0.76295155,-0.2218922,3.4784894
SNU-466,-2.7853487,-4.0587277,-2.1795635,4.1810646,1.104915,-1.3591353,-1.7452267,-4.2736344,2.3002915,0.89766824,2.401004,2.7982364,3.455365,2.2240314,0.2333698,1.3795886,-1.9576012,2.0475824,-1.3285011,3.3325505,1.39011,-1.0621648,4.577691,2.183521,0.2644093,0.20931202,0.46103895,-0.87834466,2.2867677,-0.43277213,-0.8390857,-0.99626654,-1.5693057,1.3253775,-2.2245665,-2.8331928,-0.6010683,2.334859,4.1907635,0.9784957,0.30382788,-4.838865,-0.061088935,3.3315327,-3.6718369,-3.8227563,0.11363362,-2.4551136,2.8679357,-0.6619678,-0.7091197,-0.97807765,3.193496,-2.7258925,-0.6260283,-1.5146103,0.7195682,3.7631962,2.2509358,2.1093855,-0.6054656,2.8930104,3.4842188,0.5123609,2.3068137,-2.2692442,-0.25818795,-1.1464309,3.371826,1.6714572,0.44501483,3.2617087,0.12790684,-0.8633625,-0.5643269,-0.41867852,-0.6974845,0.3448183,2.1182015,-1.0211507,-2.32117,2.1334805,3.0512803,-2.8811398,-0.035892606,0.35850525,1.0933988,-2.2228436,1.5214472,0.8761165,1.9618232,-2.1512198,-4.245344,-3.3087842,-1.0966965
NCI-H524,0.57835495,0.30581158,0.3984536,-1.8386086,0.7902854,-0.758218,-0.5202565,0.6268197,0.07596499,-1.4824343,-0.23539418,-1.5243999,-1.0607412,0.16530934,-0.38541502,0.39264947,0.25218046,-2.030897,-2.1248174,-1.1729571,-3.0864832,-1.148002,-1.442437,1.7571961,-0.537641,0.286044,-0.9534213,1.0797521,0.581215,0.3354708,0.29085195,-0.26777261,-0.855588,0.0306109,-0.10975802,0.5791985,-0.2823278,0.11695312,-1.2469745,-2.1970809,0.651108,0.5484787,0.20979622,0.979897,0.91217923,-0.28139293,0.21446878,3.3714442,0.26363832,-0.5500736,2.188057,0.40476754,-0.2979631,-0.20645264,-0.22462931,1.0092931,0.50742906,1.1207721,1.2704895,-2.45393,2.7623858,-0.48030666,0.049071997,0.5927171,-2.051618,1.1313493,0.41527638,0.7295308,0.7317828,0.6643796,-0.38465214,1.493759,-0.91705704,-0.101341896,-0.18067671,-0.53732777,-0.13757202,-0.5722468,0.41605332,-0.10614128,1.1469871,-0.42336994,-3.019209,-0.9594542,-1.1167986,-1.975977,1.7974164,0.5369281,-1.2220031,-1.178871,-0.6696367,2.1135957,0.79375094,-0.06989017,-0.73833686
SW780,-0.19140157,0.6509376,-0.36224127,-0.68924487,-0.554953,5.0794683,-0.06400697,-0.18814288,1.1282637,-1.1539614,1.0415064,6.180001,1.4580489,0.644904,2.1767561,-4.4064403,-1.0345687,0.08247942,4.3648233,1.5420281,3.3110116,-4.1514325,-1.3227183,-0.6767384,2.3950496,1.9297881,-1.0757641,-1.6325778,-3.608584,1.4572711,0.8849563,-0.9929494,3.2564168,-1.3913504,1.013794,1.5225242,-0.017839327,-4.5050235,-0.5101464,-0.3525527,-0.87092686,6.256087,2.805504,-1.8839539,0.29509246,-3.3885288,7.445682,0.12563908,0.12028872,0.45671478,-0.10167128,0.15211481,-2.5446496,-1.6162968,-1.5857476,-0.26246914,0.80230284,-0.6338721,-4.2253184,6.1261168,-4.136159,-4.368629,-3.7000778,-0.49100503,-1.6227298,-1.4828897,-1.3791649,-0.22912729,3.3019128,-2.0060222,-6.7661204,-1.5759447,-1.2330883,1.2346157,-1.8298248,-2.042336,0.64451796,-1.1983252,1.4793149,1.4464641,-2.2553337,-3.574519,1.2224429,3.3788621,-0.66004264,1.0093418,-2.1294696,0.93457925,-1.0364299,2.2122688,-1.2156092,-3.8028002,-1.3591717,-1.8567879,4.7979097
HCT 15,0.17165554,-1.3766783,0.056942806,-0.25957367,1.1338025,-1.1319457,0.07142531,0.6281621,0.48064885,0.5950765,0.27511027,-1.159587,0.43479356,0.57289577,-0.72637284,0.332002,1.1590716,-0.78392166,-1.6231258,-1.0246005,-1.0271082,0.9637741,-0.29947218,0.81171805,-1.7969157,-0.4344681,1.250484,0.5922526,0.17521575,-1.8722928,0.94891274,-0.11198293,-0.8313743,2.046129,-0.022375092,-0.04956919,-0.22556143,0.05001381,0.016600955,0.42875165,-0.1181687,-0.23461157,-1.4381984,1.1568506,-0.60550994,0.04122407,0.12697604,1.1526871,0.07929496,0.5693882,-0.17572904,-0.40586835,0.510129,0.4912471,-0.43657902,-0.19199334,-0.6408543,1.419342,0.30409685,-1.3982747,2.117831,-0.008667946,1.8622651,-0.9547229,0.007204622,0.09041708,-0.7379709,-0.21323529,0.4359308,0.7835248,1.1298562,-0.20100033,1.2125467,0.68074393,0.25315765,-0.11879539,0.6055147,-0.6019302,-0.26700926,0.052250367,0.46875846,-0.7785556,-0.16420114,0.6734066,-0.7939018,-0.31298673,1.9790494,0.09005472,-0.22350223,-0.725664,0.26981583,-0.018404434,-0.27117625,-1.2815562,-1.0647264
NCI-H520,-1.0408721,0.74626523,-2.1370368,3.1099439,-1.077806,-1.6620942,-1.6552093,1.5857477,-0.056626752,0.31639954,1.2049568,-1.4073317,1.1628064,0.3858822,1.5855689,1.302379,-1.8834682,-3.5219514,-0.21363631,0.17416838,-0.42442444,1.786264,2.7314727,-1.5721314,-3.242624,1.8704737,0.39374068,0.6542073,2.5890417,0.9124434,-0.5707037,-0.8320433,1.4839089,2.5342076,0.24021512,-0.49176767,-0.32015806,-0.22247654,0.8655017,1.2522999,1.4190062,0.9656663,-1.8859761,1.7223359,-1.4430065,-0.023079388,1.5952997,-1.853944,1.9722472,0.08025223,0.32379776,-0.5369146,-1.0830214,-2.1978884,-1.4339201,-0.41159838,0.3632711,-0.5358754,1.8632598,-1.0685391,-0.38919187,3.5688472,2.2284756,1.460877,-0.28024477,1.5507908,1.6972187,0.05827584,-2.1013975,0.7027514,2.3768964,-0.0378158,-0.9341808,-1.5945356,-0.4978855,-1.1541892,-1.0850511,-3.2532973,-1.4012647,0.081733555,-0.76711226,2.7879076,0.3346916,-0.6272204,1.2246318,-1.1887368,0.61463857,2.3809998,-0.5165564,-0.45796227,-1.1571499,-2.1959436,0.26705003,-1.4914796,-1.6832958
COLO 320,-0.6555948,-0.7046028,-1.7969508,-0.82969517,1.0241206,-0.21664888,0.4231169,2.2735236,2.813929,0.8309907,0.25460646,-1.3176095,0.21698502,-0.5979037,-0.039934203,-0.49839675,-1.1022813,-0.60166895,-1.981674,1.7182574,-0.51752555,-0.67650616,-0.4931895,0.14327323,0.10901742,-1.386171,2.5422177,2.7027416,2.6043546,0.06263968,3.033661,2.5752788,-0.07853662,-0.22512534,0.17634565,-1.4690526,-1.2663167,0.33025104,0.48577067,-0.63867056,-0.7362284,0.5168814,-0.79265994,0.37615556,-0.5119197,0.11408884,-2.3534598,-0.9879596,0.32817036,1.0702208,0.38060647,0.8998692,0.9650372,2.0912392,0.20263025,-1.0052655,0.24593745,1.122037,0.91366744,-1.0217748,1.0542431,1.3690919,3.5213296,1.3902596,1.2739649,-0.05754742,0.6472226,0.37076026,1.0705837,0.7968393,3.3183432,0.3145938,-0.8236226,-1.3723781,1.3673285,0.74968547,0.5673569,-4.358501,-0.18003167,-0.5318212,-1.5963755,2.1630983,1.1802404,-0.35211647,1.9494462,1.2489325,-0.36192858,-1.1556358,-0.84995055,-0.68657887,-1.6885909,1.0547969,-2.0451243,2.1235194,-0.011634171
CAL-12T,0.60418534,-0.44805565,0.97573185,-1.5464699,0.82611203,-0.74825823,-0.50374025,0.29404727,1.0202084,-1.384344,0.040405963,0.58790714,0.47457057,0.46459734,-1.1632211,-0.4795795,-1.7704948,-2.7142332,-3.5336008,-0.81643146,-0.14546983,-0.7030617,0.35723782,1.7774812,1.9242212,-2.8750963,0.09431535,2.7613351,1.6160872,-0.114797466,2.0716443,3.1242607,-0.11205968,-2.5988402,0.48299947,-0.30850974,-0.4305458,-0.19075213,-0.018199448,-3.1227136,1.6935483,-0.8798249,-3.066189,-2.7678537,1.6559576,-0.79996216,1.5481325,-0.30362985,-4.0985804,-1.6710821,-1.8702428,-1.0708718,0.7733596,1.7179034,-0.8684833,0.25380558,3.4643028,0.96405303,0.5737993,-0.025236014,2.4052536,0.32009453,2.833149,-0.08352175,-0.89097774,0.9382585,1.2278557,1.3751982,-1.3605777,0.050063394,0.20712386,0.1325548,-1.7128419,2.0463498,-1.6998817,-1.8334879,-0.15066284,1.1806828,2.5666423,1.6266545,-0.27193454,0.14893693,-0.100588165,0.16258287,2.1930637,2.791373,-0.16210133,-0.4149005,-3.1086657,-2.5570917,-0.83193034,2.3072677,-0.7220824,-1.4974676,0.8336339
IGR-1,-0.325202,-0.49580246,0.060523137,0.38902456,0.10716474,-0.807167,0.50409585,0.61378586,-0.4252075,0.5540589,0.11359378,-1.1654524,0.089637406,0.34741473,0.06895373,1.0788108,1.7718257,-0.270092,-0.66608727,-0.36616895,-1.1039504,0.48653468,0.5807081,2.4446492,-0.9464687,0.512967,0.18253332,0.20777404,1.0289562,-0.031004574,-0.84663486,0.03469183,-0.092486426,0.7866278,0.14002432,-0.02286917,-0.12537679,-0.26814562,0.091331996,0.936813,0.93244946,-0.001661472,-1.2514747,0.39444083,-0.66751266,-0.026876405,-0.45562202,1.2974634,0.24629499,0.48416936,0.9187306,0.78774,-0.54264504,-1.7070328,0.22992712,-0.69232976,0.4597151,0.025694191,0.93192846,-1.257978,0.14545532,0.2781793,-1.0197529,-0.32901138,0.2652759,0.5982237,0.042389896,0.32464746,0.0009749234,0.8345002,1.5055518,-0.23847081,0.27374408,0.35410884,0.4390749,-1.0252178,-0.17593935,-0.9492732,-1.2135708,0.05938826,0.08816802,0.0645115,-1.3471646,-0.12953386,0.13382322,-0.9044058,1.1454415,1.6321771,0.42483228,-0.016327664,0.045966998,-0.38082796,-0.41543362,-0.49654737,-1.2931143
NCI-H2196,0.49546623,0.32982793,2.273975,0.3605735,0.05697736,-0.3313366,-0.038221523,-0.28760728,-2.3130054,1.1092389,-1.2550406,-0.21385363,-2.5016067,-1.5990742,3.1035643,0.7424553,2.7087882,-3.01963,1.3217539,0.028271481,-4.315837,3.2124057,0.084683456,-0.49371305,-0.7725328,0.85259104,1.6529938,-0.6174557,2.2747009,1.3639044,1.1355914,-0.021822952,-0.19844204,0.37482452,-0.75153285,2.1311884,0.96068835,0.052400354,-1.9791822,-0.6021688,0.36119464,-0.882961,-0.02052167,-1.6573974,2.5876184,1.1240828,0.14097661,5.177261,1.9365999,0.316238,2.113692,1.1048661,-0.69159245,-2.4063473,-0.4751354,0.77875435,0.24309629,0.92356414,1.4570429,-0.4285084,1.7420899,-1.6252731,-3.2712698,-0.1900081,0.4677333,1.0197147,-1.1993698,1.4834865,0.75669855,-0.057937294,-0.019754663,0.47771823,-1.0433521,1.4771805,0.98123986,0.5731988,-1.7114613,-0.7749901,-4.089319,-0.9234071,1.0035421,-2.4165776,-2.279052,1.388253,-0.834224,-2.981203,3.82841,-0.73747355,1.1716564,-0.5260675,1.2251538,-2.1434026,-1.3283509,-0.4444428,-3.473574
