target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,KRAS,0.005564530286354067,IntegratedGradients
Erlotinib,0,,all,MSH6,0.0019816956541389577,IntegratedGradients
Erlotinib,0,,all,APC,0.002239029731522351,IntegratedGradients
Erlotinib,0,,all,BRAF,0.002738255099023002,IntegratedGradients
Erlotinib,0,,all,TP53,0.004718461199509178,IntegratedGradients
Erlotinib,0,,all,SMARCA4,0.0016924814421742692,IntegratedGradients
Erlotinib,0,,all,CDKN2A,0.0003598315501102597,IntegratedGradients
Erlotinib,0,,all,NF1,0.004449985583095909,IntegratedGradients
Erlotinib,0,,all,PTEN,0.0012807919992313063,IntegratedGradients
Erlotinib,0,,all,TSC1,0.0010512719046604838,IntegratedGradients
Erlotinib,0,,all,FBXW7,0.0011254873137362712,IntegratedGradients
Erlotinib,0,,all,BRCA2,0.0016474523261365793,IntegratedGradients
Erlotinib,0,,all,GNAS,0.0029767868784864294,IntegratedGradients
Erlotinib,0,,all,ALK,0.00072608488763404,IntegratedGradients
Erlotinib,0,,all,TET2,0.0011590250504392872,IntegratedGradients
Erlotinib,0,,all,PIK3R1,0.0008846968517870166,IntegratedGradients
Erlotinib,0,,all,JAK2,0.001341481049061077,IntegratedGradients
Erlotinib,0,,all,ACTR3BP2,0.0009892776565202201,IntegratedGradients
Erlotinib,0,,all,SLC22A11,0.0018988400330456237,IntegratedGradients
Erlotinib,0,,all,ACVR1B,0.00015812128164907068,IntegratedGradients
Erlotinib,0,,all,ATF5,0.00021796278178627733,IntegratedGradients
Erlotinib,0,,all,KDM3B,0.0006762228169297887,IntegratedGradients
Erlotinib,0,,all,HCK,0.000406766118315687,IntegratedGradients
Erlotinib,0,,all,LGR6,0.00040741882935296065,IntegratedGradients
Erlotinib,0,,all,GIP,0.0003360205462631222,IntegratedGradients
Erlotinib,0,,all,LGALS9,0.0005304649356456483,IntegratedGradients
Erlotinib,0,,all,PLXNA4,0.0010718836991036585,IntegratedGradients
Erlotinib,0,,all,NR4A2,0.0014179305120497955,IntegratedGradients
Erlotinib,0,,all,KIAA0586,0.0007010420719102513,IntegratedGradients
Erlotinib,0,,all,NPY,0.0003211334179015518,IntegratedGradients
Erlotinib,0,,all,GUSBP4,0.000695648950223898,IntegratedGradients
Erlotinib,0,,all,ZNF385D,0.00036595540913268205,IntegratedGradients
Erlotinib,0,,all,CYP4A11,0.0007705358347762895,IntegratedGradients
Erlotinib,0,,all,TRIM65,0.001176794274918729,IntegratedGradients
Erlotinib,0,,all,TIA1,0.00039717852906273116,IntegratedGradients
Erlotinib,0,,all,SNRPG,0.00040222188127127093,IntegratedGradients
Erlotinib,0,,all,PCYOX1,0.0002456194700519649,IntegratedGradients
Erlotinib,0,,all,FAM136A,0.0004759375570545535,IntegratedGradients
Erlotinib,0,,all,CYP26B1,0.0005808731970778843,IntegratedGradients
Erlotinib,0,,all,GGT8P,0.00201791067116517,IntegratedGradients
Erlotinib,0,,all,ADD2,0.0005241957895464442,IntegratedGradients
Erlotinib,0,,all,MXD1,0.0003018884767045157,IntegratedGradients
Erlotinib,0,,all,SNRNP27,0.0002437800609108704,IntegratedGradients
Erlotinib,0,,all,C2orf42,0.00022037513861862057,IntegratedGradients
Erlotinib,0,,all,AAK1,0.0004985342125208824,IntegratedGradients
Erlotinib,0,,all,NFU1,0.0002229304957762743,IntegratedGradients
Erlotinib,0,,all,HK2,0.0008828654356822921,IntegratedGradients
Erlotinib,0,,all,GMCL1,0.0010026699257078824,IntegratedGradients
Erlotinib,0,,all,LINC01816,0.0003664746851746797,IntegratedGradients
Erlotinib,0,,all,PCBP1,0.00010459067032520696,IntegratedGradients
Erlotinib,0,,all,ASPRV1,0.00013922190898721303,IntegratedGradients
Erlotinib,0,,all,PCBP1-AS1,0.0001137239681265685,IntegratedGradients
Erlotinib,0,,all,MIR5000,0.0008144270531383624,IntegratedGradients
Erlotinib,0,,all,TACR1,0.0009709131175236389,IntegratedGradients
Erlotinib,0,,all,EVA1A,0.0006035616632959512,IntegratedGradients
Erlotinib,0,,all,DHFRP3,0.0010907043728112659,IntegratedGradients
Erlotinib,0,,all,ANAPC1P1,0.0008127341169660168,IntegratedGradients
Erlotinib,0,,all,MEIS1,0.0014202209063089624,IntegratedGradients
Erlotinib,0,,all,MEIS1-AS3,0.0012076094961073903,IntegratedGradients
Erlotinib,0,,all,SEMA4F,0.0008276206450029223,IntegratedGradients
Erlotinib,0,,all,PROKR1,0.00047018882116704584,IntegratedGradients
Erlotinib,0,,all,NAT8,0.0006000864075025868,IntegratedGradients
Erlotinib,0,,all,ALMS1P1,0.0005785379805163264,IntegratedGradients
Erlotinib,0,,all,AUP1,0.0007907850870934278,IntegratedGradients
Erlotinib,0,,all,LOXL3,0.0009918293453277448,IntegratedGradients
Erlotinib,0,,all,HTRA2,0.0009698273495379186,IntegratedGradients
Erlotinib,0,,all,M1AP,0.0009420674990208045,IntegratedGradients
Erlotinib,0,,all,DOK1,0.0009665000673523528,IntegratedGradients
Erlotinib,0,,all,ARHGAP25,0.0001102470759730505,IntegratedGradients
Erlotinib,0,,all,CNRIP1,0.0009250962385433712,IntegratedGradients
Erlotinib,0,,all,APLF,0.0005934278885847384,IntegratedGradients
Erlotinib,0,,all,PPP3R1,0.0007161785831422351,IntegratedGradients
Erlotinib,0,,all,PNO1,0.00072496097206344,IntegratedGradients
Erlotinib,0,,all,FBXO48,0.0004458417700935046,IntegratedGradients
Erlotinib,0,,all,PLEK,0.00046307154483747533,IntegratedGradients
Erlotinib,0,,all,C1D,0.0008746451663387591,IntegratedGradients
Erlotinib,0,,all,WDR92,0.0007978175302684133,IntegratedGradients
Erlotinib,0,,all,BMP10,0.00019171765755967882,IntegratedGradients
Erlotinib,0,,all,LOC285074,0.001638387453039608,IntegratedGradients
