sample_id,variable,class_label,probability,known_label,predicted_label,split
T.T,Erlotinib,,,,-0.0051106661558151245,train
SNU-466,Erlotinib,,,,-0.011992672458291054,train
NCI-H524,Erlotinib,,,,0.148554265499115,train
SW780,Erlotinib,,,0.122386456001102,0.14378270506858826,train
HCT 15,Erlotinib,,,0.0513580719604864,0.07293551415205002,train
NCI-H520,Erlotinib,,,0.0,0.019453000277280807,train
COLO 320,Erlotinib,,,0.0656630100878447,0.0648081824183464,train
CAL-12T,Erlotinib,,,0.282588685784174,0.14384417235851288,train
IGR-1,Erlotinib,,,,0.049657441675662994,train
NCI-H2196,Erlotinib,,,,0.12749254703521729,train
TUHR4TKB,Erlotinib,,,,0.054480746388435364,train
U-251MG,Erlotinib,,,,0.12200526148080826,train
Hs 751.T,Erlotinib,,,,0.04871096462011337,train
HCC1195,Erlotinib,,,,0.08747762441635132,train
HDLM-2,Erlotinib,,,,0.06251105666160583,train
MOLP-2,Erlotinib,,,,0.0038848482072353363,train
HEC-1-A,Erlotinib,,,0.0027045288218543,0.04091593995690346,train
PaTu 8988t,Erlotinib,,,,0.009206295013427734,train
WM266-4,Erlotinib,,,0.013118494741462,0.01612633839249611,train
YD-10B,Erlotinib,,,,0.027684267610311508,train
NCI-H1793,Erlotinib,,,0.142220559643126,0.0929548591375351,train
RKN,Erlotinib,,,0.0210373946360292,0.036724455654621124,train
AMO1,Erlotinib,,,0.0405618113899816,0.08843676745891571,train
BJ1-hTERT,Erlotinib,,,,0.06616995483636856,train
Hs 940.T,Erlotinib,,,,-0.003953774459660053,train
GA-10,Erlotinib,,,,0.047787562012672424,train
SNU-349,Erlotinib,,,,0.1615578532218933,train
Hs 819.T,Erlotinib,,,,0.08936028927564621,train
TE-9,Erlotinib,,,0.0809057812802422,0.11039456725120544,train
M-07e,Erlotinib,,,,0.04577730596065521,train
GR-M,Erlotinib,,,,0.06588821113109589,train
MJ,Erlotinib,,,0.0,0.019503111019730568,train
RERF-LC-KJ,Erlotinib,,,,0.06626175343990326,train
RERF-LC-Ad2,Erlotinib,,,,0.12170130759477615,train
H4,Erlotinib,,,0.0303917922741951,0.019493425264954567,train
A-704,Erlotinib,,,,0.05056391656398773,train
Pfeiffer,Erlotinib,,,0.128442704007119,0.11459150165319443,train
SNU-201,Erlotinib,,,,0.16131162643432617,train
LAMA-84,Erlotinib,,,,0.06580361723899841,train
C32 [Human melanoma],Erlotinib,,,0.0396979745149343,0.033765338361263275,train
SNU-1,Erlotinib,,,0.0857185734417132,0.006863015238195658,train
COV362,Erlotinib,,,,0.09481500089168549,train
SNU-738,Erlotinib,,,,0.08875633776187897,train
SNU-308,Erlotinib,,,,0.016627512872219086,train
RKO,Erlotinib,,,0.0046315843924956,0.029636001214385033,train
OCI-Ly3,Erlotinib,,,,0.04642294719815254,train
JL-1,Erlotinib,,,,-0.005213163793087006,train
YD-15,Erlotinib,,,,0.11977912485599518,train
OAW42,Erlotinib,,,,0.031912580132484436,train
PrEC LH,Erlotinib,,,,0.056741464883089066,train
COLO 792,Erlotinib,,,,0.061392515897750854,train
D341 Med,Erlotinib,,,,0.05293983593583107,train
UM-UC-3,Erlotinib,,,0.0,0.017332693561911583,train
Kasumi-6,Erlotinib,,,,0.07066050171852112,train
MDA-MB-468,Erlotinib,,,0.218491474374488,0.17385196685791016,train
NCI-H1876,Erlotinib,,,,0.07961702346801758,train
NCI-H2141,Erlotinib,,,,0.06592674553394318,train
DMS 454,Erlotinib,,,,0.04073940962553024,train
MFE-280,Erlotinib,,,0.122081595813216,0.10413894802331924,train
LOU-NH91,Erlotinib,,,0.146030125411316,0.06982093304395676,train
NCI-H28,Erlotinib,,,0.269475623753143,0.06233527138829231,train
SU-DHL-5,Erlotinib,,,,0.0707819014787674,train
SCC-9,Erlotinib,,,0.209352556276592,0.08840598165988922,train
NCI-H446,Erlotinib,,,,0.18583552539348602,train
NCI-H441,Erlotinib,,,0.0361416593151064,0.05925525724887848,train
DBTRG-05MG,Erlotinib,,,0.0295293703939529,0.03333539515733719,train
JVM-3,Erlotinib,,,0.112902060411961,0.05701787397265434,train
Namalwa,Erlotinib,,,,0.0730273425579071,train
HCC4006,Erlotinib,,,0.492663395066886,0.026517167687416077,train
NCI-H460,Erlotinib,,,0.0156850277955704,0.006556394509971142,train
SNU-81,Erlotinib,,,,0.08355419337749481,train
A-172,Erlotinib,,,0.0200026578656478,0.024728406220674515,train
COR-L311,Erlotinib,,,,0.04667835682630539,train
JK-1,Erlotinib,,,,0.059127382934093475,train
BEN,Erlotinib,,,,0.07868628948926926,train
HEC-151,Erlotinib,,,0.243795907921615,0.13773870468139648,train
NALM-19,Erlotinib,,,,0.055345721542835236,train
SNU-1197,Erlotinib,,,,0.03691984713077545,train
JHH-2,Erlotinib,,,0.0764561426940383,0.04882538318634033,train
DMS 79,Erlotinib,,,,0.030019570142030716,train
SK-HEP-1,Erlotinib,,,0.0225654593824648,0.051881931722164154,train
PF-382,Erlotinib,,,,0.14401933550834656,train
KYSE-150,Erlotinib,,,0.0819979299467457,0.057944245636463165,train
SK-BR-3,Erlotinib,,,0.0598540720517569,0.048744529485702515,train
CPC-N,Erlotinib,,,,0.03442668914794922,train
KNS-81-FD,Erlotinib,,,0.0065135250637065,0.02093053050339222,train
Hs 675.T,Erlotinib,,,,0.04871609807014465,train
MOTN-1,Erlotinib,,,,0.019558044150471687,train
HCC1428,Erlotinib,,,,0.07108775526285172,train
MEG-01,Erlotinib,,,0.0118702428342499,0.017837725579738617,train
