,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106
RERF-LC-KJ,-1.8281028,0.2919718,-0.9407944,1.0014083,-0.09718859,-1.3586186,0.031303138,0.010378614,-2.234699,1.2588689,-1.7798592,-1.8037752,-1.4426012,-1.5479783,-0.8138152,-0.854795,-0.51840234,1.8230826,0.5070095,1.1209671,2.2961757,1.7292454,0.75885046,1.1771188,-0.35412604,-0.7954308,1.9822466,-0.10843927,2.6752062,0.40844214,-0.7130286,0.5119136,-0.5573734,-0.5598819,-0.38530433,1.8204896,-1.5597783,-0.13939738,0.5080149,-0.8596128,0.18088964,-1.1618706,-2.154451,1.2252942,4.7829494,-0.50315064,0.100473635,-1.7328429,-0.13442063,1.0074333,-0.01742725,0.1592654,-0.4820109,1.3061551,1.5739354,-1.451175,0.97433126,0.5340073,1.3404202,-0.51123756,-3.1650138,2.6083834,1.3485359,-0.15530662,1.7809622,-0.06624142,0.69666106,0.13193464,1.7633224,3.6968107,1.575157,-1.9616723,0.8342875,-0.9250688,0.8219209,-1.0303638,0.002208218,-1.0356066,0.4459084,-3.3265443,-0.84065974,1.5124226,0.19534689,-0.6030133,1.9004735,2.9271111,2.1503954,0.688311,-2.2071736,-1.3671545,0.62897307,-1.2839025,-1.3227396,0.7893797,1.2658043,-0.95400894,1.7765834,-1.4038662,-0.59881157,-1.6485364,0.5329536,0.1770682,0.6720091,-0.9685236,1.0676509,-0.8988877,-1.0293258
KMS-11,-1.6229084,-1.517732,-1.1571126,0.287992,1.2436614,-0.0132581,0.028720975,0.08437383,1.3608273,3.010404,1.0391082,-4.5321817,0.296812,-3.1371827,3.0925639,2.2035356,3.8367414,0.21543533,3.0007167,-1.016968,1.8517478,4.1045647,1.0354009,0.9404565,2.0514002,0.5230086,3.4532406,-4.155409,0.7796698,0.43339744,-5.8114944,0.97855055,-2.1945918,-4.8832717,1.6424272,3.2758832,0.3018472,-2.1748738,2.2359362,-1.8906744,1.4460135,-2.6613467,-0.29178524,2.2753596,5.379037,2.4877806,1.4230646,-1.5725709,2.3210073,-1.7893138,0.46161637,2.355593,-2.0217147,2.4574234,3.3764238,-2.2400537,-0.9598481,3.4749115,-1.3851471,1.339159,0.23909342,1.7238799,-0.5470693,-0.29623044,-0.3633692,1.3764243,0.53385776,-0.53647125,-0.0723722,5.4305086,4.4731336,2.172806,0.43933943,0.7716441,3.6119733,-3.6639729,-0.071009226,-0.63188666,-0.45727584,-1.1251558,1.3469666,2.788919,-3.6443954,5.157386,-0.57286745,4.73819,2.739877,-2.7814975,-2.2466817,-3.3310475,-0.74397755,-0.7377255,-1.7315784,2.5145898,2.9537396,0.56552815,-3.3650312,-0.61351526,5.1193585,-1.6186734,-1.2463586,1.8248926,2.1359754,1.4875817,-2.6948638,-1.0526117,1.054893
NCI-H2126,1.267831,0.5297805,4.1593337,1.783263,-1.053372,-0.31511283,3.6376739,5.6383576,1.4251825,0.12104991,-1.1043915,-2.9353142,0.8217583,-0.5582402,-2.2966812,-1.1191719,-0.8755132,-4.9849963,0.447675,-0.7754427,-1.762592,1.0924109,-3.052344,-2.42668,-0.80424356,1.0225074,-1.6381608,2.1454778,-2.2324579,-0.3814245,-0.58398783,2.6177897,-2.0319607,2.7687094,0.44394958,-2.9139156,2.8396432,0.96444476,-2.4248054,5.2873497,3.6637554,3.2670102,5.564911,-0.7545209,-3.3444622,0.8945793,-1.5551491,0.6627372,5.3996754,-0.25286928,4.3030214,-1.6581118,-0.022861518,-5.54548,-0.581909,-0.14241084,-3.9906693,-4.4657016,4.8654127,1.9245424,3.5328815,0.1873936,0.21706253,-1.2742796,-2.2564273,0.055099625,-0.24072659,-0.11230327,-0.4702878,-6.9929447,-1.9525666,1.7122331,-1.3874993,-5.859424,-0.018258303,2.6174247,-1.3431054,0.37352824,-0.25538993,2.823267,-2.5797563,-1.5196509,0.72215295,1.8684864,-2.7311149,-0.8237339,-6.605049,1.7842313,3.0431306,4.7362366,-3.3915725,4.697329,1.1938825,-2.7191205,2.5439727,-1.1748918,-0.86074793,-0.25823486,2.7009785,-0.7669566,2.2525136,2.5331657,5.9223356,1.3106054,0.777462,4.062662,-0.66310215
YD-10B,-1.071598,-1.9381015,-2.170478,0.7314269,-1.3701334,-0.30079702,-1.1340203,-3.32965,-3.7609692,2.6893768,1.1446885,-1.8376311,0.0018728357,-2.3133936,0.14740035,2.4760833,-3.9625938,1.93908,-0.37089592,0.09149261,0.2884563,-0.7900143,0.24280396,0.07909283,2.8231807,0.566845,-0.48361862,-0.3655948,2.272101,1.1735611,1.3537076,-1.8339714,-3.3398798,-4.7593803,1.8624426,0.3748018,-0.09129053,-1.173696,-0.7346636,-1.3891127,0.28889632,-1.9916382,-2.5410533,1.2816788,2.528963,0.005458668,-1.465528,-2.5951004,1.5257084,0.62586194,-0.05647576,3.022161,0.3593826,2.697578,0.98329437,0.9306945,0.49363768,-0.9999227,0.56322515,-0.15595111,0.18487036,-1.3270965,4.182724,2.3685403,-2.8063526,-0.3523689,3.562705,1.7263477,-2.5846722,-0.505949,1.3607233,-1.60093,0.57430804,1.5317767,-0.21122673,-0.60797155,1.5291476,-3.9087503,0.78494,-2.2563014,-0.053257138,0.97028756,-1.5995198,1.1759334,-1.7098767,1.5812471,0.6818223,0.12256372,-1.8775342,-5.232253,4.4193816,0.23093438,0.61603624,-1.1285661,0.22295894,-0.22252628,-0.24005812,0.22781946,-0.9939947,1.3143868,1.3415371,-0.743997,-3.2260087,0.04145664,-0.52124506,-0.46250257,-0.1810645
Namalwa,-0.64794314,2.0850458,0.78417426,-2.296153,0.6628715,-1.8373874,-0.55636024,1.2659763,0.6972419,-1.072638,0.16593455,0.49591663,-0.90014386,-0.14093268,0.3728007,-1.1674404,-0.542953,0.39470717,-1.6384895,0.7073016,-0.6353936,-0.48027983,-0.067374595,0.4572974,-0.03519409,1.1281154,-0.81199646,1.0265374,-1.2217737,-2.5100136,0.8780962,-0.9113928,0.33133242,0.5034213,0.10889146,-0.15353036,-0.69350404,0.15210412,-0.14100778,-1.3673863,-1.519384,1.1045394,0.24971905,-0.161773,-2.2856958,1.5326388,0.9434377,0.7714704,0.2293036,0.17863703,0.62602925,-0.791757,-0.9600038,-1.6504858,-1.338707,-0.46992123,-0.22603095,0.7963737,0.77022576,-1.540694,0.63768035,-1.1422609,-0.00043445826,0.71219087,2.0153463,0.026035104,0.052604973,-0.3621092,-2.6444788,-0.47004664,-1.8797106,0.16213273,0.099973544,0.8720785,0.6744752,1.5751657,-0.8204519,0.20309407,-0.113429755,-0.7373216,-1.0814803,-2.47547,2.294267,-0.7408159,-0.82745796,-1.8430793,-1.4803354,-0.25120568,0.21238898,0.36258548,-0.77969897,0.41375956,-0.02917128,-0.6486884,1.1033379,1.9321512,-0.3666265,2.0078669,-1.6698079,0.57000107,0.042302947,0.20190537,-2.015479,0.11815524,-1.4071562,0.6228485,-1.957226
WM793,-0.32876444,3.472716,-2.784586,-0.8606874,1.3334975,-0.42358467,-2.1467373,1.3040966,0.6204184,-1.7078668,0.38026667,-4.168364,-3.4058888,-0.086880326,-0.121943176,1.0184667,0.40212205,-2.1402829,-0.2041421,1.8147075,4.938305,2.1570213,1.6115876,-0.64560807,0.5107354,1.9050698,1.4657456,1.8568176,1.8087435,0.29979178,-3.4667804,2.8412719,-3.461196,-4.579088,-0.4608211,2.681305,-2.0173228,-2.7616906,2.8711436,1.3664203,1.6209292,-3.940254,-0.7733776,-2.032477,5.7316117,0.6374421,-0.5690051,-1.5577955,1.9666044,1.8552053,-0.07222712,1.9798169,2.506138,2.778475,0.55768454,-0.9929036,1.7595372,0.09111241,1.9973645,-0.279493,-1.4825407,-0.47496796,3.2062097,0.59117997,0.541968,0.09310931,2.575496,2.4505317,0.28027952,2.5136757,1.0387623,1.4329431,1.47152,-2.7380462,2.8263712,-4.1839075,1.6827083,0.759413,0.047481924,-1.4233013,-0.9233385,2.8758845,-3.078174,-1.0729368,4.3994765,6.525194,2.3919916,-1.1650172,-1.7985643,-3.2228746,1.0855309,-1.0774341,-1.5405924,-1.2771068,1.5277796,0.6515933,-3.1525528,1.5410199,2.3459072,-0.1236648,3.3193219,2.0180159,2.9795187,-0.60663265,-4.395534,0.72791475,0.034267783
IGR-37,-1.3082681,4.5733414,2.3290937,2.1845436,-0.31490993,-3.2792757,0.3304445,3.8228745,-2.3006375,-1.1367881,0.112304516,-1.5397887,-3.0338385,1.4096246,1.7910157,-0.21044129,-1.5325217,-0.19858208,-1.9732547,0.9153025,-1.1698061,-0.8810811,-1.3454909,1.6753767,-0.013630062,0.20686933,-1.1114734,-0.471287,-1.2470541,-1.7990078,-2.7628732,0.9012552,-1.0367479,-0.6126579,-1.7140143,1.048344,-1.3513796,-0.7674019,0.4099342,0.19136147,0.25152147,0.62556565,-0.1015811,0.16904545,-0.7741216,1.6172035,1.3176147,0.16909876,1.6898314,-0.36917055,2.4676447,0.69982433,-1.4921571,-0.3709403,-0.06370616,-2.5511749,-1.0900141,-3.2466993,1.2445084,-3.7987547,-0.116265155,0.3567267,1.4770126,0.36031896,-0.6401068,0.62693846,0.35379744,-0.36855823,-1.1641024,-1.8264853,-3.4150133,-0.642257,1.5809057,1.6789775,1.3408194,2.7960024,0.3520327,-1.384143,-0.15261053,-3.270566,-0.8621751,0.06613138,0.01946789,-1.0791806,0.3800333,1.0802045,-1.2598238,0.34659708,1.1909983,-2.7420442,-0.69859254,0.97665006,-0.3013005,-2.3893101,2.6541998,-0.67250955,-5.5247583,0.62955993,-1.5517049,-0.25129825,0.9764416,-1.0796338,0.9084542,0.74973536,-2.1244724,0.97277224,-0.07631838
SBC-5,2.2300267,1.9091283,4.076198,-4.771184,-1.2609543,0.40942928,4.4372663,1.3801872,-2.249567,3.0921197,-1.481019,3.6003036,5.2008767,1.9667213,1.5688753,2.4335039,2.330445,0.36651632,5.2837553,-3.9410443,-4.002466,-1.0200955,-1.9371742,1.8206255,-1.9212301,-0.2302103,2.7832496,-1.1030244,1.1298838,5.374852,-3.2900128,-3.165248,3.747228,6.1777706,2.4287634,3.14969,0.51590115,-0.9014366,-2.2789338,2.0758193,3.1922834,1.3357761,2.096859,1.6816744,3.7532237,-1.1266243,-0.86208045,2.406468,1.749381,-2.1154027,-0.12702274,-1.97732,1.9657686,-3.600078,1.0788813,4.7876487,-3.5588894,-5.257214,-1.8422627,3.9060242,3.426519,1.8096597,-7.333253,2.3415327,-0.94325304,1.3821272,-1.5992984,0.77277285,3.7834148,-0.7673683,1.5164526,2.9849954,1.0027782,-0.7364164,-2.014557,-1.782665,-2.9930396,-1.5234998,-1.489365,-0.1376751,5.9178195,-0.88792807,1.5258038,2.466755,-2.1045759,-0.4906159,2.6369445,0.7684547,1.3165125,1.6438012,-4.6242867,0.6367201,-6.0386996,0.36598307,2.190968,-4.282246,-0.95664144,-4.8751273,-1.0267725,-1.6140443,-1.9610963,1.4074309,3.5054252,-2.0825305,3.149004,0.55408716,-2.5669734
J82,0.1889869,-2.2353694,1.8954352,1.2653135,-5.827376,1.0170479,-1.7585925,1.952155,-0.7128238,-2.1270263,-0.7426152,3.7021372,-6.107608,1.0353818,-3.1072922,-1.7297281,-2.073108,-5.0621147,-1.137697,-1.884701,1.3618029,-3.3657763,-3.0594604,-0.97787774,0.4391095,-2.9101677,-2.922975,0.3667978,-0.2520404,2.2848442,0.5817494,-3.7228374,4.097293,8.799432,-3.1583238,0.2509792,0.94608915,3.1843565,-5.286864,2.9819076,2.9241247,-2.2281852,5.274448,-5.5270185,-9.099801,3.1593184,-1.8932563,-4.2069826,0.8590472,5.9980392,-3.7405808,3.6530905,-0.7599665,0.72454506,2.404166,0.9321239,-1.3814874,0.8340358,-4.3711386,-0.83881557,0.6198782,-0.84087926,-1.1471486,-5.9634476,-0.46509504,2.5318992,-2.7328427,-1.0778902,0.33422244,-1.1301091,-5.5995803,0.81190467,6.381512,-3.5224545,-1.809335,-1.2799292,-0.39600888,1.2808871,-1.4674172,2.4992204,-1.6282063,0.8765302,-3.415974,-5.1249876,2.8806896,-3.8200798,-0.90678537,6.216734,7.5723467,3.3747635,1.686347,0.26641667,-0.3429659,2.6714299,0.1044451,-1.4424921,-0.51792866,-0.9293051,-2.9187717,4.1388226,-2.2726502,-2.6110916,0.3930691,-5.475393,6.832135,-3.0451636,0.041962802
Kelly,-0.5665011,-1.6994162,0.2696411,-0.7787267,-2.6311698,1.7533427,-1.3114635,-1.2022,5.856944,-0.16315213,0.18160145,-0.8979687,1.5162835,6.069778,-0.16396803,0.198645,0.11449671,-4.9367394,3.7706528,-0.5669921,1.7620687,2.9096541,0.5144764,-1.0630878,0.5536349,-0.7043924,4.43654,-2.4982395,4.78955,4.760311,-2.5536764,1.0293914,3.4102895,6.7830067,0.4523685,1.2869848,1.2256861,-1.4988123,-0.67571586,4.099453,2.0913286,-4.8309655,1.8406838,-2.032425,2.7786427,1.7517015,1.32689,-0.054122917,-1.8165855,0.4261152,1.8362844,2.4952688,0.37482414,0.9791403,-1.102576,1.5036043,-2.8449593,0.33548334,0.5933829,3.3157706,3.3558943,4.553117,-9.971515,-1.9681869,-0.99729836,-1.0545819,-1.1177492,1.7343534,2.8132203,0.30551285,6.0016384,4.2091045,2.2659962,-3.3565502,0.21563235,-4.614006,-3.3956692,4.2551894,1.0565324,5.038188,0.90509593,3.2214313,-1.6771513,6.3519573,1.9817743,0.069003105,4.9911504,0.5899193,-1.9349781,5.044668,-0.8810726,0.22324812,-0.7010082,3.0007956,-0.6060494,-0.5508556,3.6708524,-2.0407934,2.788665,-2.2817676,0.49846542,4.3925138,5.105155,-1.3670534,4.5890365,-0.3528695,-0.747097
