target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,mutation,MSH6,0.001725582439473165,IntegratedGradients
Erlotinib,0,,mutation,KRAS,0.0044388619599024575,IntegratedGradients
Erlotinib,0,,mutation,APC,0.0022097433140749927,IntegratedGradients
Erlotinib,0,,mutation,BRAF,0.0016438442776973122,IntegratedGradients
Erlotinib,0,,mutation,TP53,0.0021493482114175637,IntegratedGradients
Erlotinib,0,,mutation,SMARCA4,0.0016359951644609625,IntegratedGradients
Erlotinib,0,,mutation,NF1,0.0039342742715010506,IntegratedGradients
Erlotinib,0,,mutation,BRCA2,0.0021340540737416363,IntegratedGradients
Erlotinib,0,,mutation,TSC1,0.001850269026164649,IntegratedGradients
Erlotinib,0,,mutation,FBXW7,0.0017796218460559262,IntegratedGradients
Erlotinib,0,,mutation,PTEN,0.001408147035695344,IntegratedGradients
Erlotinib,0,,mutation,GNAS,0.0021785726706526416,IntegratedGradients
Erlotinib,0,,mutation,TET2,0.0013955209946773584,IntegratedGradients
Erlotinib,0,,mutation,PIK3R1,0.001279550299720002,IntegratedGradients
Erlotinib,0,,mutation,JAK2,0.0017891244318261773,IntegratedGradients
Erlotinib,0,,cnv,ACTR3BP2,0.0005789695005924958,IntegratedGradients
Erlotinib,0,,cnv,SLC22A11,0.0007915286912579318,IntegratedGradients
Erlotinib,0,,cnv,ACVR1B,0.00020713574925008968,IntegratedGradients
Erlotinib,0,,cnv,ATF5,0.0002410790526755696,IntegratedGradients
Erlotinib,0,,cnv,KDM3B,0.0010230901820971268,IntegratedGradients
Erlotinib,0,,cnv,HCK,0.0007880251727039293,IntegratedGradients
Erlotinib,0,,cnv,LGR6,0.000275583723762966,IntegratedGradients
Erlotinib,0,,cnv,GIP,0.0005808959857711836,IntegratedGradients
Erlotinib,0,,cnv,LGALS9,0.00045557681597102693,IntegratedGradients
Erlotinib,0,,cnv,PLXNA4,0.0010083613268726923,IntegratedGradients
Erlotinib,0,,cnv,NR4A2,0.000762754770912706,IntegratedGradients
Erlotinib,0,,cnv,KIAA0586,0.00019862611518556983,IntegratedGradients
Erlotinib,0,,cnv,NPY,0.00010060009391168188,IntegratedGradients
Erlotinib,0,,cnv,GUSBP4,0.0032845674556993346,IntegratedGradients
Erlotinib,0,,cnv,ZNF385D,0.000596970412051004,IntegratedGradients
Erlotinib,0,,cnv,CYP4A11,0.0007516378294231016,IntegratedGradients
Erlotinib,0,,cnv,TRIM65,0.000520967552794837,IntegratedGradients
Erlotinib,0,,cnv,TIA1,0.00013471388699781662,IntegratedGradients
Erlotinib,0,,cnv,SNRPG,0.00014237446518675076,IntegratedGradients
Erlotinib,0,,cnv,PCYOX1,0.0001226069084216695,IntegratedGradients
Erlotinib,0,,cnv,FAM136A,0.00013944608351787864,IntegratedGradients
Erlotinib,0,,cnv,CYP26B1,0.0009712456818801038,IntegratedGradients
Erlotinib,0,,cnv,GGT8P,0.00035858935623640835,IntegratedGradients
Erlotinib,0,,cnv,ADD2,0.00016013015769910638,IntegratedGradients
Erlotinib,0,,cnv,MXD1,0.000587802133365155,IntegratedGradients
Erlotinib,0,,cnv,SNRNP27,0.000605469767071018,IntegratedGradients
Erlotinib,0,,cnv,C2orf42,0.00014859204486546292,IntegratedGradients
Erlotinib,0,,cnv,AAK1,0.0006671296751128098,IntegratedGradients
Erlotinib,0,,cnv,NFU1,0.0006460497889879433,IntegratedGradients
Erlotinib,0,,cnv,HK2,0.00038282380002592394,IntegratedGradients
Erlotinib,0,,cnv,GMCL1,0.0001207881857603243,IntegratedGradients
Erlotinib,0,,cnv,LINC01816,0.0003928485295838758,IntegratedGradients
Erlotinib,0,,cnv,PCBP1,0.0002055964482174738,IntegratedGradients
Erlotinib,0,,cnv,ASPRV1,0.0003536616041893688,IntegratedGradients
Erlotinib,0,,cnv,PCBP1-AS1,0.00034960613757973686,IntegratedGradients
Erlotinib,0,,cnv,MIR5000,0.0003941764647223541,IntegratedGradients
Erlotinib,0,,cnv,TACR1,0.0003680730752401147,IntegratedGradients
Erlotinib,0,,cnv,EVA1A,0.0005148300698718794,IntegratedGradients
Erlotinib,0,,cnv,DHFRP3,0.001441414594337194,IntegratedGradients
Erlotinib,0,,cnv,ANAPC1P1,0.0008272140025545651,IntegratedGradients
Erlotinib,0,,cnv,MEIS1,0.0003250467180972948,IntegratedGradients
Erlotinib,0,,cnv,MEIS1-AS3,0.0003161926872605157,IntegratedGradients
Erlotinib,0,,cnv,SEMA4F,0.0004063805637756385,IntegratedGradients
Erlotinib,0,,cnv,PROKR1,0.0006795707810195561,IntegratedGradients
Erlotinib,0,,cnv,NAT8,0.00030247027441669607,IntegratedGradients
Erlotinib,0,,cnv,ALMS1P1,0.00030821679623009666,IntegratedGradients
Erlotinib,0,,cnv,AUP1,0.00038946409735056246,IntegratedGradients
Erlotinib,0,,cnv,LOXL3,0.00039393191264319976,IntegratedGradients
Erlotinib,0,,cnv,HTRA2,0.0004062538634538036,IntegratedGradients
Erlotinib,0,,cnv,M1AP,0.0004064494249812906,IntegratedGradients
Erlotinib,0,,cnv,DOK1,0.0003947848344380354,IntegratedGradients
Erlotinib,0,,cnv,ARHGAP25,0.00036888245916086196,IntegratedGradients
Erlotinib,0,,cnv,CNRIP1,0.00044644667432401105,IntegratedGradients
Erlotinib,0,,cnv,APLF,0.0006798202765418409,IntegratedGradients
Erlotinib,0,,cnv,PPP3R1,0.00038291517274558,IntegratedGradients
Erlotinib,0,,cnv,PNO1,0.0003787000326613281,IntegratedGradients
Erlotinib,0,,cnv,FBXO48,0.0006648332409433098,IntegratedGradients
Erlotinib,0,,cnv,PLEK,0.0006299976646066512,IntegratedGradients
Erlotinib,0,,cnv,C1D,0.0001912680775108525,IntegratedGradients
Erlotinib,0,,cnv,WDR92,0.0003053946221182347,IntegratedGradients
Erlotinib,0,,cnv,BMP10,0.0004306223720909977,IntegratedGradients
Erlotinib,0,,cnv,LOC285074,0.0013647489999680752,IntegratedGradients
Erlotinib,0,,cnv,LSP1P4,0.00016300639660332794,IntegratedGradients
Erlotinib,0,,cnv,GCFC2,0.0005085506084241186,IntegratedGradients
Erlotinib,0,,cnv,MRPL19,0.0004294665067034418,IntegratedGradients
Erlotinib,0,,cnv,GFPT1,0.0005901441440726566,IntegratedGradients
Erlotinib,0,,cnv,MIR4267,0.00016172802624730062,IntegratedGradients
Erlotinib,0,,cnv,CCDC138,0.0003046112902816513,IntegratedGradients
Erlotinib,0,,cnv,LRRTM4,0.0008028587989351178,IntegratedGradients
Erlotinib,0,,cnv,NR4A1,0.0001791454904524592,IntegratedGradients
Erlotinib,0,,cnv,GRASP,0.00020006220094708692,IntegratedGradients
Erlotinib,0,,cnv,EDAR,0.00025502927091533654,IntegratedGradients
Erlotinib,0,,cnv,SCGB1D2,0.0005126655947409077,IntegratedGradients
Erlotinib,0,,cnv,SCGB2A2,0.00048005140674802735,IntegratedGradients
Erlotinib,0,,cnv,CHRM1,0.00036157539210734013,IntegratedGradients
Erlotinib,0,,cnv,MIR4265,0.0006768673594276301,IntegratedGradients
Erlotinib,0,,cnv,SH3RF3-AS1,0.0006813940915620917,IntegratedGradients
Erlotinib,0,,cnv,SH3RF3,0.0006586966563877227,IntegratedGradients
Erlotinib,0,,cnv,SLC22A12,0.0007099466840586067,IntegratedGradients
Erlotinib,0,,cnv,NRXN2,0.0007190858282306792,IntegratedGradients
Erlotinib,0,,cnv,SOWAHC,0.00031045850262261947,IntegratedGradients
Erlotinib,0,,cnv,SLC22A8,0.0005698124002316617,IntegratedGradients
Erlotinib,0,,cnv,SCGB2A1,0.000423510900105926,IntegratedGradients
Erlotinib,0,,cnv,SCGB1D1,0.0004551035025504542,IntegratedGradients
Erlotinib,0,,cnv,ATG101,0.00039063235374257454,IntegratedGradients
Erlotinib,0,,cnv,EHBP1,0.0010364359585344812,IntegratedGradients
Erlotinib,0,,cnv,ANKRD33,0.0005224662183818646,IntegratedGradients
Erlotinib,0,,cnv,TMEM138,0.0013311438909722874,IntegratedGradients
Erlotinib,0,,cnv,TKFC,0.0013774893010395203,IntegratedGradients
Erlotinib,0,,cnv,CYB561A3,0.001319704711951372,IntegratedGradients
Erlotinib,0,,cnv,TMEM216,0.0013084263542145664,IntegratedGradients
Erlotinib,0,,cnv,CPSF7,0.0013237087944811161,IntegratedGradients
Erlotinib,0,,cnv,SDHAF2,0.001269600757154885,IntegratedGradients
Erlotinib,0,,cnv,NEAT1,0.0008860229800252127,IntegratedGradients
Erlotinib,0,,cnv,INCENP,0.0006011561878096893,IntegratedGradients
Erlotinib,0,,cnv,SLC3A2,0.0005511534350693038,IntegratedGradients
Erlotinib,0,,cnv,SNHG1,0.0005409833054667323,IntegratedGradients
Erlotinib,0,,cnv,SNORD22,0.0005540959804803829,IntegratedGradients
Erlotinib,0,,cnv,STX5,0.0005848927388327522,IntegratedGradients
Erlotinib,0,,cnv,WDR74,0.0005554938300830756,IntegratedGradients
Erlotinib,0,,cnv,MIR4266,0.0006135644454069319,IntegratedGradients
Erlotinib,0,,cnv,ACVRL1,7.93821978982881e-05,IntegratedGradients
Erlotinib,0,,cnv,NXF1,0.0005548261216372833,IntegratedGradients
Erlotinib,0,,cnv,INTS5,0.0003291202815549054,IntegratedGradients
Erlotinib,0,,cnv,UBXN1,0.0003414197525024054,IntegratedGradients
Erlotinib,0,,cnv,SNORA57,0.000267680291252429,IntegratedGradients
Erlotinib,0,,cnv,GANAB,0.00035056669842475473,IntegratedGradients
Erlotinib,0,,cnv,B3GAT3,0.0003113036747608406,IntegratedGradients
Erlotinib,0,,cnv,ROM1,0.00037879329207600053,IntegratedGradients
Erlotinib,0,,cnv,CSKMT,0.0003389832383964506,IntegratedGradients
Erlotinib,0,,cnv,UQCC3,0.00033625555196321996,IntegratedGradients
Erlotinib,0,,cnv,LBHD1,0.00029498530113049965,IntegratedGradients
Erlotinib,0,,cnv,SCGB1D4,7.030254553327298e-05,IntegratedGradients
Erlotinib,0,,cnv,LRRTM1,0.0020528929533255172,IntegratedGradients
Erlotinib,0,,cnv,SLC22A6,0.000499178154714862,IntegratedGradients
Erlotinib,0,,cnv,RGPD4-AS1,0.00022534169255690033,IntegratedGradients
Erlotinib,0,,cnv,LTBP3,0.0004334962530909226,IntegratedGradients
Erlotinib,0,,cnv,GKN1,0.0009107448730030912,IntegratedGradients
Erlotinib,0,,cnv,RGPD4,0.00016563293230369757,IntegratedGradients
Erlotinib,0,,cnv,SCYL1,0.0003655516800951919,IntegratedGradients
Erlotinib,0,,cnv,IL37,0.0012364394886936593,IntegratedGradients
Erlotinib,0,,cnv,POLR1A,0.00046299485388574476,IntegratedGradients
Erlotinib,0,,cnv,EML3,0.0003668003966922723,IntegratedGradients
Erlotinib,0,,cnv,IL1A,0.0013136778033806503,IntegratedGradients
Erlotinib,0,,cnv,IL1B,0.0012992010050494017,IntegratedGradients
Erlotinib,0,,cnv,LIMS1,0.0008777119554335492,IntegratedGradients
Erlotinib,0,,cnv,TRABD2A,0.0001511812903163822,IntegratedGradients
Erlotinib,0,,cnv,SCGB1A1,8.400103978422864e-05,IntegratedGradients
Erlotinib,0,,cnv,CKAP2L,0.0013061845422936565,IntegratedGradients
Erlotinib,0,,cnv,ACOXL,0.00016163417356629398,IntegratedGradients
Erlotinib,0,,cnv,POLR2G,0.000540230243674799,IntegratedGradients
Erlotinib,0,,cnv,TAF6L,0.0005178366862781806,IntegratedGradients
Erlotinib,0,,cnv,EEF1G,5.3318400457543286e-05,IntegratedGradients
Erlotinib,0,,cnv,SCN8A,0.0005290362394610976,IntegratedGradients
Erlotinib,0,,cnv,MTA2,0.0001918271310824089,IntegratedGradients
Erlotinib,0,,cnv,TUT1,0.0001833649729941407,IntegratedGradients
Erlotinib,0,,cnv,TMEM179B,0.00043169718647011705,IntegratedGradients
Erlotinib,0,,cnv,TMEM223,0.0004777032069928173,IntegratedGradients
Erlotinib,0,,cnv,LOC100996455,0.0005358159711638204,IntegratedGradients
Erlotinib,0,,cnv,HNRNPUL2-BSCL2,0.0004916476828732558,IntegratedGradients
Erlotinib,0,,cnv,LRRN4CL,0.0005154326974787836,IntegratedGradients
Erlotinib,0,,cnv,BSCL2,0.000520834195640705,IntegratedGradients
Erlotinib,0,,cnv,ASRGL1,0.0002173919626233639,IntegratedGradients
Erlotinib,0,,cnv,C2orf40,0.0003063986367852449,IntegratedGradients
Erlotinib,0,,cnv,TTC9C,0.00035128676989065863,IntegratedGradients
Erlotinib,0,,cnv,HNRNPUL2,0.00033051098904223093,IntegratedGradients
Erlotinib,0,,cnv,IL36G,0.0010409197494681173,IntegratedGradients
Erlotinib,0,,cnv,C11orf68,8.017655156513296e-05,IntegratedGradients
Erlotinib,0,,cnv,DRAP1,8.084536893080537e-05,IntegratedGradients
Erlotinib,0,,cnv,FIGNL2,0.0005181441184852693,IntegratedGradients
Erlotinib,0,,cnv,SMYD1,0.00028677215634285384,IntegratedGradients
Erlotinib,0,,cnv,NUP62,0.00023634925149523217,IntegratedGradients
Erlotinib,0,,cnv,IL4I1,0.000295087027260325,IntegratedGradients
Erlotinib,0,,cnv,IL36A,0.0009536960671881604,IntegratedGradients
Erlotinib,0,,cnv,IL36B,0.0009465784466689241,IntegratedGradients
Erlotinib,0,,cnv,KRCC1,0.0003541892274638879,IntegratedGradients
Erlotinib,0,,cnv,PCNX3,0.0005217379899282801,IntegratedGradients
Erlotinib,0,,cnv,MAP3K11,0.0005356430067943826,IntegratedGradients
Erlotinib,0,,cnv,TSGA10IP,0.0001806120733879883,IntegratedGradients
Erlotinib,0,,cnv,AHNAK,0.00017243412814330547,IntegratedGradients
Erlotinib,0,,cnv,ANAPC1,0.0005453344741974817,IntegratedGradients
Erlotinib,0,,cnv,SLC22A10,0.000408957544813335,IntegratedGradients
Erlotinib,0,,cnv,SART1,0.00013638115507584803,IntegratedGradients
Erlotinib,0,,cnv,FABP1,0.00030671032820332825,IntegratedGradients
Erlotinib,0,,cnv,KCNK7,0.0005352171298455291,IntegratedGradients
Erlotinib,0,,cnv,SLC22A24,0.0004320144383231149,IntegratedGradients
Erlotinib,0,,cnv,MALL,0.000210727172681102,IntegratedGradients
Erlotinib,0,,cnv,UXS1,0.00014587759132535323,IntegratedGradients
Erlotinib,0,,cnv,SEPT10,0.0001812014714911258,IntegratedGradients
Erlotinib,0,,cnv,SF1,0.0007740610083589123,IntegratedGradients
Erlotinib,0,,cnv,PYGM,0.0007895834175831467,IntegratedGradients
Erlotinib,0,,cnv,RASGRP2,0.0007724459433251465,IntegratedGradients
Erlotinib,0,,cnv,ZC3H8,0.000766648835087032,IntegratedGradients
Erlotinib,0,,cnv,IL36RN,0.0008808194959873749,IntegratedGradients
Erlotinib,0,,cnv,IL1F10,0.0008530178965631199,IntegratedGradients
Erlotinib,0,,cnv,RANBP2,0.00014102322891774502,IntegratedGradients
Erlotinib,0,,cnv,NAPSA,9.317262270797727e-05,IntegratedGradients
Erlotinib,0,,cnv,DDB1,0.0014107907371125581,IntegratedGradients
Erlotinib,0,,cnv,C19orf81,0.00035769199934208536,IntegratedGradients
Erlotinib,0,,cnv,MERTK,0.000729720472853301,IntegratedGradients
Erlotinib,0,,cnv,EFEMP2,9.856004831547515e-05,IntegratedGradients
Erlotinib,0,,cnv,MUS81,0.00010393518414722556,IntegratedGradients
Erlotinib,0,,cnv,CFL1,9.278186767559781e-05,IntegratedGradients
Erlotinib,0,,cnv,FKBP2,0.0006093115225455633,IntegratedGradients
Erlotinib,0,,cnv,SPIB,8.56868482274666e-05,IntegratedGradients
Erlotinib,0,,cnv,MYBPC2,7.618064389220562e-05,IntegratedGradients
Erlotinib,0,,cnv,POLD1,8.830913304201654e-05,IntegratedGradients
Erlotinib,0,,cnv,SIPA1,0.0005037477198874037,IntegratedGradients
Erlotinib,0,,cnv,RELA,0.0005611672591528486,IntegratedGradients
Erlotinib,0,,cnv,MIR4690,0.0005592502015955495,IntegratedGradients
Erlotinib,0,,cnv,MIR4489,0.0005137098070732006,IntegratedGradients
Erlotinib,0,,cnv,SYT3,0.00030664112705678476,IntegratedGradients
Erlotinib,0,,cnv,SNAR-F,0.00028907133444546753,IntegratedGradients
Erlotinib,0,,cnv,SIGLEC16,0.0002138083370303363,IntegratedGradients
Erlotinib,0,,cnv,TBC1D17,0.0005371792047534862,IntegratedGradients
Erlotinib,0,,cnv,AKT1S1,0.000539688082478966,IntegratedGradients
Erlotinib,0,,cnv,PNKP,0.0005187879503040405,IntegratedGradients
Erlotinib,0,,cnv,CCDC85B,0.00011253159037555611,IntegratedGradients
Erlotinib,0,,cnv,FIBP,0.00011282514645211318,IntegratedGradients
Erlotinib,0,,cnv,CTSW,0.000109848366842779,IntegratedGradients
Erlotinib,0,,cnv,FOSL1,0.00010284031361031914,IntegratedGradients
Erlotinib,0,,cnv,REG1A,0.0009359440061362471,IntegratedGradients
Erlotinib,0,,cnv,DKFZP434K028,0.0005871164844305186,IntegratedGradients
Erlotinib,0,,cnv,MYRF,0.000605127298417945,IntegratedGradients
Erlotinib,0,,cnv,ANTXR1,0.00023913134141053253,IntegratedGradients
Erlotinib,0,,cnv,MIR3126,0.00020184909778401828,IntegratedGradients
Erlotinib,0,,cnv,FTH1,0.0002297029867356503,IntegratedGradients
Erlotinib,0,,cnv,GKN2,0.0008076920126543316,IntegratedGradients
Erlotinib,0,,cnv,MRPS5,0.001082975124314062,IntegratedGradients
Erlotinib,0,,cnv,BEST1,0.00026099450328851103,IntegratedGradients
Erlotinib,0,,cnv,PTOV1,0.0005248001778506058,IntegratedGradients
Erlotinib,0,,cnv,KAT5,0.00036071471769369456,IntegratedGradients
Erlotinib,0,,cnv,PPP1R32,0.0012630071509032372,IntegratedGradients
Erlotinib,0,,cnv,THNSL2,0.00024615790313958134,IntegratedGradients
Erlotinib,0,,cnv,RNASEH2C,0.00026421994163818116,IntegratedGradients
Erlotinib,0,,cnv,FAM71E1,9.287163921456316e-05,IntegratedGradients
Erlotinib,0,,cnv,CCDC86,0.00021449016354259487,IntegratedGradients
Erlotinib,0,,cnv,FUZ,0.0005743566668445671,IntegratedGradients
Erlotinib,0,,cnv,MALAT1,0.0006522453169311327,IntegratedGradients
Erlotinib,0,,cnv,LRRC4B,8.215257735024222e-05,IntegratedGradients
Erlotinib,0,,cnv,JOSD2,0.00013195352176070384,IntegratedGradients
Erlotinib,0,,cnv,ASPDH,0.00010786382935193589,IntegratedGradients
Erlotinib,0,,cnv,ST6GAL2,0.0005584030668348715,IntegratedGradients
Erlotinib,0,,cnv,REG3A,0.0009842064303450658,IntegratedGradients
Erlotinib,0,,cnv,CTNNA2,0.0009845999910238024,IntegratedGradients
Erlotinib,0,,cnv,REG1CP,0.00097755354317579,IntegratedGradients
Erlotinib,0,,cnv,PRPF19,0.00021942496532016472,IntegratedGradients
Erlotinib,0,,cnv,RGPD8,0.0002995493556840684,IntegratedGradients
Erlotinib,0,,cnv,PTGDR2,0.00018919478720815565,IntegratedGradients
Erlotinib,0,,cnv,BAD,0.000525769116755177,IntegratedGradients
Erlotinib,0,,cnv,CCDC88B,0.0005118887400012043,IntegratedGradients
Erlotinib,0,,cnv,KCNK4,0.0004896853814141193,IntegratedGradients
Erlotinib,0,,cnv,CATSPERZ,0.0004948032657937033,IntegratedGradients
Erlotinib,0,,cnv,GPR137,0.0005171589549661723,IntegratedGradients
Erlotinib,0,,cnv,RPS6KA4,0.0005157898185435834,IntegratedGradients
Erlotinib,0,,cnv,TRMT112,0.0005068479203151012,IntegratedGradients
Erlotinib,0,,cnv,MIR1237,0.0005059600705514326,IntegratedGradients
Erlotinib,0,,cnv,ESRRA,0.000506295851895066,IntegratedGradients
Erlotinib,0,,cnv,PRDX5,0.0005317618672126973,IntegratedGradients
Erlotinib,0,,cnv,CHCHD5,0.000128950372111969,IntegratedGradients
Erlotinib,0,,cnv,TTL,0.0001154817177164854,IntegratedGradients
Erlotinib,0,,cnv,POLR1B,0.00011272551059469236,IntegratedGradients
Erlotinib,0,,cnv,SIGLEC11,0.00032844776395523446,IntegratedGradients
Erlotinib,0,,cnv,ZNF2,0.0011673178437295862,IntegratedGradients
Erlotinib,0,,cnv,ZNF514,0.0011634882951807996,IntegratedGradients
Erlotinib,0,,cnv,VRK3,0.00016947089658544794,IntegratedGradients
Erlotinib,0,,cnv,TMEM87B,0.0005419254350018857,IntegratedGradients
Erlotinib,0,,cnv,KCNIP3,0.0012078806898490606,IntegratedGradients
Erlotinib,0,,cnv,MIR4488,0.0013017198260323979,IntegratedGradients
Erlotinib,0,,cnv,SYT7,0.0013229578142794434,IntegratedGradients
Erlotinib,0,,cnv,LRRC10B,0.0013159351034545052,IntegratedGradients
Erlotinib,0,,cnv,RGPD3,0.000650699679276944,IntegratedGradients
