,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68
HDQ-P1,2.2537565,-0.5517962,-2.5163417,-0.48651627,-2.0532162,-0.32795826,0.52161735,0.35062796,-0.32073677,-0.26533264,-1.5942365,2.1139138,0.50007147,-0.04684377,-1.2787914,-0.62693626,-0.0061123148,-0.5018203,0.023958271,0.04723928,1.8514171,0.12316521,-2.333315,-0.6798443,2.4860752,0.05803365,0.04225646,1.0212336,1.433869,-0.22079694,0.4961878,0.4223971,1.2880967,-0.23651853,-0.18847467,0.10948662,-0.49881953,2.0389879,2.513126,-0.7279047,-0.712256,-0.5339711,0.065278485,-0.6639987,-0.0039994307,0.40875095,0.6766775,0.23264542,0.3614245,-2.334504,-0.5247962,0.35114712,-0.15009233,3.0926747,-1.1731741,0.43943742,2.2193594,-0.53096837,0.6186712,-1.1552078,0.7766991,-2.60288,1.0046011,-0.7142459,-0.71999276,-2.7146676,-1.0195704,0.7976511,2.5326104
HPB-ALL,-1.1486762,-2.794195,0.48559007,-0.13535553,-0.10144424,0.82542026,1.2406319,-0.3012781,0.60837233,-0.9233518,0.10677567,0.17411456,-1.048921,-0.6194974,-2.2476828,-1.045503,1.2021868,0.998209,0.11945999,-1.080297,-0.5468603,-0.76722324,0.9612409,0.11153301,-0.8616797,-2.1068447,-1.0688474,-1.6131053,0.35664487,0.7138512,0.30959532,-0.6769251,-1.0568665,0.11122927,-0.40011033,0.51582754,0.2038854,-1.7331319,1.1950803,0.8495421,-1.9909749,-1.8820702,-1.1560119,0.70021915,-2.9486911,0.3332074,-2.739102,-0.004124388,1.8990884,-0.6993424,0.7463897,0.66765076,0.03685516,-1.0460536,0.259286,-0.698718,-2.1617322,-2.2631712,0.6800783,-0.05370708,0.5275203,-0.097251534,1.3972943,-1.2503734,0.28904155,-1.3527405,1.4045819,0.9514549,1.0558387
CADO-ES1,-1.4544744,0.17061158,0.050652407,-2.0371456,-0.55627364,1.8502413,-0.8799266,3.3289568,0.49514198,-0.535078,-0.621661,2.240463,-0.07668579,1.5477388,-0.9715067,0.74730265,-0.12714972,-0.8629724,-0.8744372,-1.9402282,-0.32558843,0.51732713,2.175153,-0.86250746,-1.6480576,-1.1222501,-0.025618985,-2.2543314,-1.1389326,-1.6532683,0.55374014,-0.02850305,1.3784562,-1.7187154,-0.48000687,-1.1234754,0.41235393,-1.834832,-0.8712306,-1.3050458,-0.5657874,-0.44784883,0.23333302,0.15902711,-3.6685302,-0.72147113,0.47785312,0.64985317,0.850963,-0.5987159,-0.12581894,0.17600147,-0.40664935,0.74863327,-1.529352,1.6747626,-3.0052688,-1.8928082,-1.4562213,1.5660443,-0.7316737,-0.38365275,-1.102387,-0.4341556,-0.97058827,1.220406,-1.0430201,-0.1629421,-0.36362082
SK-ES-1,-1.5187981,1.8996053,-1.0847019,-1.3564385,-0.56998706,0.22096863,0.35459936,1.1686662,0.93554515,-0.3894879,0.2674339,1.4606785,0.9845456,0.4279539,-0.4174699,0.3450364,-1.1661836,0.4312053,1.0833025,-1.1016997,0.030775858,0.05919911,2.3427339,0.08840122,-2.1990817,-2.33999,0.46364328,0.8469804,-0.10664797,-0.17416619,1.4373403,-0.8560069,-0.26165637,-0.040338613,-0.859777,-0.5602557,0.6016467,-1.0870879,0.62516093,-1.9608152,-0.39162052,-1.7430999,-0.6021225,-0.17872067,-3.8780923,-0.7571769,0.52899885,-0.3418364,-0.22234668,0.8058796,1.1552838,0.80314445,-0.0037190933,0.129824,-1.9400525,0.3420158,-2.7396286,-0.24240033,-1.4464688,-0.19124945,0.4303489,-1.0062639,-0.954359,-1.0752327,-0.90405244,-2.2739813,0.9786319,1.6414286,-0.5530592
ONS-76,-3.3150737,2.3937194,1.7704961,-2.1316035,0.39645302,-0.22337808,1.9399388,0.12104043,-2.0124435,0.36410737,1.7309059,-4.6344705,0.85679513,-2.1819284,-0.7076089,-0.0037338696,3.6225882,-1.4608302,0.5006149,-0.0025157677,-1.6281226,0.42428866,-0.67572564,1.4781098,-0.21732444,1.6141821,2.8971462,-0.0035764873,0.26454467,-1.2063621,-4.1718593,-1.1389203,-2.741769,0.41884488,-0.93675566,1.5150787,-3.7662466,1.021431,-4.6086,0.27748534,1.4237038,1.2428129,2.3489285,0.6290047,4.666065,-0.203242,-0.6990017,0.9493445,4.8150697,0.1647948,-2.7749383,3.4957724,3.922422,-5.4098597,1.4002151,-3.049019,-2.0561652,0.01830057,-0.30070582,-0.43247676,-2.713122,-1.4963217,-0.29962552,2.4462206,-2.7680547,0.25693488,2.7556696,-0.32434168,-1.1453797
OVK18,-1.3653201,2.2968748,0.2325648,-0.92686576,1.4529736,0.062207207,-1.9928721,-0.315086,-0.7761168,0.049564064,-0.10630141,-0.28981817,-1.5256379,0.13813068,-0.9942186,1.3512783,-2.5217607,0.11389399,-1.777049,2.7060468,-2.231823,1.2851841,0.22733301,-0.5600218,-0.49003673,0.6835806,0.38622403,-2.8853807,0.04813899,1.6895363,0.82144123,0.63796055,0.30697036,1.4179102,-1.2063601,-0.34769464,1.2863758,-0.8523687,1.2944663,0.61005676,-0.53695655,-1.8969445,-0.062476687,0.104192235,-1.2784691,-2.244121,-1.0933063,0.49222696,-0.031357072,0.29196477,2.9655488,-2.402286,2.751264,1.0042366,-2.2089643,-0.047969554,-3.4369419,-1.1678069,0.02203048,0.09013681,-0.70933473,0.2534532,-0.49461225,-1.5162789,0.5490339,0.53882384,1.3541226,2.3835413,-2.8530407
PCM6,-0.19255558,-1.8509094,0.43623883,-0.36664283,-1.6001058,-1.2570713,0.90838206,-1.2500793,-0.32165477,1.4153525,-2.723775,1.6314257,-1.3986671,2.9232194,-0.48371485,-0.15208009,0.5501777,1.3490508,0.86697716,-1.4073191,-2.977611,0.1194428,0.7184517,-0.8026471,1.6933978,-1.23864,-0.17012413,1.5150006,-0.5769812,2.1178734,0.41502154,-2.9117904,1.8194976,0.24678764,-1.45504,-1.1217473,0.19091499,1.7162018,-2.174841,1.4215591,-2.4079423,2.0189073,-1.0422846,-1.2555436,-1.0928843,1.7438787,-2.4609866,-1.4770459,-0.7098658,-0.9102243,0.64589804,-2.2192683,-1.2187227,-1.9235108,-0.29579362,-0.20726201,-0.9592527,-1.6331265,0.3881465,1.1031754,-2.3254135,0.083886325,-2.4298618,1.031155,-0.51724285,0.09068386,-0.271442,-1.833415,1.6048695
Toledo,2.8695254,-1.583466,0.20815107,0.85217744,-0.2419887,0.064510114,5.6370378,-0.5392351,0.74513566,1.0282146,2.1778927,-0.14236106,0.109517984,-0.101538,4.1393867,-2.2482562,-0.84582853,0.08081767,3.0244818,-0.35903165,0.96124685,-2.5781355,-0.72677654,3.3247411,-0.3975471,-0.78925395,-0.8636636,4.661463,-2.6485844,3.1127872,0.96306473,-0.42599577,-2.02529,-3.425231,1.855148,0.17187801,1.7961998,-1.5360616,0.16128613,-1.6453648,1.2237201,-1.0964382,-1.8579673,0.26117224,-3.00652,-1.469571,1.5306991,-1.7913339,-1.5786573,0.59048784,1.6228783,-0.5144514,1.0130842,-0.02173621,0.75360006,-0.8747173,1.8226837,0.043992713,1.0244862,1.4250456,1.4173837,1.2055327,4.4141846,1.5476964,4.30449,-1.374055,-4.274859,-0.501528,5.097079
SK-N-FI,-1.0986991,-0.017674847,2.2528508,0.06545021,0.2492149,0.901038,-0.9668446,-0.69138527,2.0023353,1.8961043,-0.61582583,-0.7162808,1.258414,0.21658847,1.5414466,-1.3169016,-0.06391447,-2.148186,1.915693,0.63189965,-1.8997452,1.2817861,3.4502783,0.06301915,-2.487233,1.4519523,1.8619341,-1.8282282,-0.97323126,0.7493511,1.9322637,0.63049585,0.7492081,-3.9799826,1.503896,0.076943,-1.688875,-1.7213509,-0.05246573,-0.83304954,-1.2940068,0.4471842,0.33032876,2.650571,-1.4286197,0.09895703,0.78491724,0.82915336,-0.63828754,2.0060675,-1.076803,-1.6830254,-0.42486998,-0.077974066,2.0433886,-1.3201578,-3.3589594,0.53956115,-1.175255,-0.28908914,0.21184132,0.083781034,-0.8918551,0.91783094,0.36229846,-1.2642777,1.6883519,0.66784936,0.19045576
BHT-101,-2.8305802,-2.4569774,0.21471366,-0.81956315,-0.59618354,-0.7424231,-0.757176,-1.8847759,0.19324616,0.55488515,-0.87865376,-0.015811332,-1.8307911,0.030469945,-1.1064513,0.5800554,1.1909889,1.901467,4.099271,-0.2665545,1.4662715,0.56027555,1.5540053,-2.5813894,1.3186274,-2.146182,-1.5782297,4.1731715,-1.012082,2.9047797,-1.0361717,0.7858369,-0.5907744,2.2018652,0.17847213,-0.17118952,-0.8180799,0.6439465,-0.62534106,-1.1848403,-2.1188328,-1.6233376,0.9549656,-0.87679636,-2.212494,1.6383704,-0.6754221,-0.12193411,-0.36013043,-0.74899757,0.09933865,-1.2993981,-3.4911292,1.3839031,0.49491772,-1.9346383,1.2820157,-0.2242888,0.75330305,-0.8637318,-1.2446957,0.34095812,-2.27154,0.70824087,-2.0373037,-2.3689997,0.5810619,0.42929924,1.4503423
LS123,2.524478,1.0786923,0.26955122,1.2595415,0.20886695,-0.40483117,0.41420925,-0.70715386,-0.726357,0.21318422,-0.8543443,0.33139938,1.0082065,-0.9887811,-0.5504257,-1.1466906,0.65624493,-0.7253363,-2.3333647,0.08791971,2.2024963,-2.610024,-0.7048011,-0.6701801,1.0293266,0.5445946,-2.3556209,-0.71820295,2.6967056,-2.409995,1.1236628,1.2814512,1.3113267,1.1715437,0.028660934,-0.3967983,1.7126968,-0.96156186,3.753322,-0.41690284,0.027316062,1.7931899,0.5211253,0.21948478,2.036261,-0.57904613,-0.8310059,1.3539708,-1.7005103,-0.9190901,0.05673017,1.7764583,-1.9971181,1.5722134,-1.6110044,0.0110889245,3.1333828,3.1767492,0.75266016,0.054182276,0.35088742,-1.5013556,1.4736586,-0.89027405,1.1065772,0.34191748,-1.8051445,1.4387183,0.7662448
BL-70,4.841574,-0.52510035,-1.9209776,1.8989553,1.6792977,-0.9782865,3.9033785,-1.4929873,-1.1843615,0.22341989,1.881578,-1.49196,1.6096499,0.25997308,1.7443956,-2.181702,-1.4342586,-1.1474922,0.36204547,0.21252637,-0.97813785,-0.63070416,1.6509192,-0.31615335,0.59293115,0.53924274,-0.47449788,1.0158397,2.6394618,1.2392337,-1.2106124,0.3849554,-1.6964924,-0.1863701,-0.0066148415,1.2180938,2.4871583,-0.7003907,-0.31380713,1.1925876,-0.08876393,-1.3162831,-0.4381849,4.175075,-0.85298246,-0.8137156,-0.63559496,-0.9129872,-1.3963895,0.5183218,-0.8355694,2.6115127,-0.5320638,-0.34230784,-0.5814393,1.6517934,0.14742513,2.759984,-1.3665221,1.0688937,2.6896443,1.3565319,2.7939107,2.2507424,3.5845983,-0.5012947,-0.7811608,1.5848762,3.1629002
HuP-T4,3.3314347,-1.95657,-0.58687955,-2.793394,0.45248184,1.3340997,0.29875857,0.6508161,0.33535382,-0.04328923,-0.18219227,0.387227,1.365866,0.16843294,-1.5665674,-0.39507583,2.0829415,0.28700832,2.2850764,1.3075509,-0.3413835,-0.5636823,-2.1473694,1.357908,3.1092594,0.0933056,1.1269814,2.534143,3.1841645,-0.5965237,-2.285308,1.3184528,2.3624792,0.023795728,0.96647096,0.2035621,-2.3185387,0.17752206,0.43467978,0.3198185,0.31103536,1.5553983,-2.3994985,-0.46880442,2.2429345,2.8022716,-0.46328205,0.3956983,1.4342766,-2.413776,-0.52153665,2.719043,0.5636017,1.2530577,1.2932236,0.073977895,2.038779,-0.7308056,-0.10920878,1.8187923,2.1640952,-0.8680679,-2.0646677,-2.220856,-2.1323493,-0.4902996,-0.07475175,-1.9773334,1.9638692
G-292 clone A141B1,-0.11275442,0.14524011,-0.67157525,-0.48116416,-2.2008855,1.1440947,-0.21404105,1.7249529,0.53833264,0.51882625,2.0037224,0.3901215,-1.3183001,-0.939652,-0.69648993,0.6127384,-1.5637864,0.116395324,1.617522,-1.4439889,-0.2194608,-1.0887117,3.1901414,0.76732564,-1.4238966,-1.4610412,0.27809915,0.14549053,-1.1028447,-0.17553765,0.36383086,-0.60489553,-0.8829934,-1.4180971,-0.20798758,-0.2543789,-1.4277657,0.40072483,-0.73367834,-2.1641626,-1.9392178,-3.1234317,-0.20246895,0.025604943,-0.7923414,0.8804911,-0.056866426,0.15683138,1.3950241,2.910739,1.2029955,-0.69563764,-0.6744945,0.88189054,-0.29935178,-0.9804129,-0.40781808,0.2623045,-0.6893123,0.5266569,1.0718064,0.4296391,-0.4505799,-2.3652253,-0.51430565,-1.4425222,0.094484195,1.0383708,1.2146578
