target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,ACTR3BP2,0.00028276826404424835,IntegratedGradients
Erlotinib,0,,all,SCGB1D2,4.890056212765201e-05,IntegratedGradients
Erlotinib,0,,all,ACVR1B,7.376337050464119e-05,IntegratedGradients
Erlotinib,0,,all,ATF5,3.047173811656192e-05,IntegratedGradients
Erlotinib,0,,all,KDM3B,9.006322910287741e-05,IntegratedGradients
Erlotinib,0,,all,HCK,8.423034049977292e-05,IntegratedGradients
Erlotinib,0,,all,LGR6,6.225854571512688e-05,IntegratedGradients
Erlotinib,0,,all,GIP,0.00014938464237118664,IntegratedGradients
Erlotinib,0,,all,LGALS9,0.00011282765482832367,IntegratedGradients
Erlotinib,0,,all,KIAA0586,0.0001751654966479456,IntegratedGradients
Erlotinib,0,,all,GGCT,0.00012581159750382382,IntegratedGradients
Erlotinib,0,,all,NR4A2,0.00012727125182790636,IntegratedGradients
Erlotinib,0,,all,OR2F1,9.316175355327796e-05,IntegratedGradients
Erlotinib,0,,all,SATB1,0.00015967564277204294,IntegratedGradients
Erlotinib,0,,all,GUSBP4,0.00011296527916605158,IntegratedGradients
Erlotinib,0,,all,CRCP,0.00014497673226783803,IntegratedGradients
Erlotinib,0,,all,FBF1,7.458754899987382e-05,IntegratedGradients
Erlotinib,0,,all,CYP4A11,7.648529457991012e-05,IntegratedGradients
Erlotinib,0,,all,TIA1,8.322069916548066e-05,IntegratedGradients
Erlotinib,0,,all,SNRPG,0.00011303187531146168,IntegratedGradients
Erlotinib,0,,all,FAM136A,9.972015773107537e-05,IntegratedGradients
Erlotinib,0,,all,PCYOX1,7.814091146703277e-05,IntegratedGradients
Erlotinib,0,,all,CYP26B1,0.00010968880138128933,IntegratedGradients
Erlotinib,0,,all,ADD2,7.430329585599691e-05,IntegratedGradients
Erlotinib,0,,all,GGT8P,0.0002832536513266893,IntegratedGradients
Erlotinib,0,,all,MXD1,5.904587997662348e-05,IntegratedGradients
Erlotinib,0,,all,SNRNP27,0.0001210265232853873,IntegratedGradients
Erlotinib,0,,all,HK2,0.00010424036052404431,IntegratedGradients
Erlotinib,0,,all,C2orf42,0.00011042858101217557,IntegratedGradients
Erlotinib,0,,all,DHFRP3,5.911366699116999e-05,IntegratedGradients
Erlotinib,0,,all,MIR5000,0.00011749788940464843,IntegratedGradients
Erlotinib,0,,all,TACR1,8.756971525974419e-05,IntegratedGradients
Erlotinib,0,,all,EVA1A,9.351704826170341e-05,IntegratedGradients
Erlotinib,0,,all,AAK1,8.030183849306615e-05,IntegratedGradients
Erlotinib,0,,all,GMCL1,6.021383408658025e-05,IntegratedGradients
Erlotinib,0,,all,NFU1,0.00010198728101504127,IntegratedGradients
Erlotinib,0,,all,LINC01816,6.940836339955117e-05,IntegratedGradients
Erlotinib,0,,all,ANAPC1P1,0.00012149326733983497,IntegratedGradients
Erlotinib,0,,all,PCBP1,8.828154172251359e-05,IntegratedGradients
Erlotinib,0,,all,PCBP1-AS1,5.362795427936012e-05,IntegratedGradients
Erlotinib,0,,all,ASPRV1,5.978970113195784e-05,IntegratedGradients
Erlotinib,0,,all,SEMA4F,9.158566349196056e-05,IntegratedGradients
Erlotinib,0,,all,NAT8,0.00010414832188827139,IntegratedGradients
Erlotinib,0,,all,ALMS1P1,9.536475369669623e-05,IntegratedGradients
Erlotinib,0,,all,DOK1,8.908750684095665e-05,IntegratedGradients
Erlotinib,0,,all,AUP1,0.00013778832576112073,IntegratedGradients
Erlotinib,0,,all,LOXL3,9.009818422592351e-05,IntegratedGradients
Erlotinib,0,,all,M1AP,0.0001056608306234224,IntegratedGradients
Erlotinib,0,,all,HTRA2,0.00013806610836786078,IntegratedGradients
Erlotinib,0,,all,SCGB2A1,3.826036353445606e-05,IntegratedGradients
Erlotinib,0,,all,SCGB1D1,3.818850486526171e-05,IntegratedGradients
Erlotinib,0,,all,SCGB2A2,3.3569273769612635e-05,IntegratedGradients
Erlotinib,0,,all,CHRM1,9.07446710535687e-05,IntegratedGradients
Erlotinib,0,,all,SLC22A8,7.308458290350881e-05,IntegratedGradients
Erlotinib,0,,all,INCENP,5.6865495138671266e-05,IntegratedGradients
Erlotinib,0,,all,MEIS1-AS3,0.0002097779463735572,IntegratedGradients
