feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.0013922610094340533,True
AATK,,,,0.018616514695482617,False
ABCA3,,,,0.0034155523638086187,True
ABCC3,,,,0.014677175638632507,False
ABCC4,,,,0.002645852425776281,True
ABI1,,,,0.02876665575294286,False
ABL1,,,,0.010831301549675256,False
ABL2,,,,0.010869325456085283,False
ACACA,,,,0.005371495431601257,True
ACACB,,,,0.0013703504833201647,True
ACOXL,,,,0.010431684766638858,False
ACSL6,,,,0.003856007521532073,True
ACVR1,,,,0.031633830576072,False
ACVR1B,,,,0.013206770731709847,False
ACVR1C,,,,0.029327577171219782,False
ACVR2A,,,,0.012506697417108744,False
ACVR2B,,,,0.03104251015574303,False
ACVRL1,,,,0.011312250393604163,False
ADAM10,,,,0.010401586438700825,False
ADAM12,,,,0.0035141615094956727,True
ADAM17,,,,0.021044956009338627,False
ADAM18,,,,0.021955822262503012,False
ADAM22,,,,0.027568006061728063,False
ADAM28,,,,0.011304683924434705,False
ADAM29,,,,0.009034992348236764,True
ADAM32,,,,0.022952724549645795,False
ADAMTS18,,,,-0.002629659567756269,True
ADAMTS19,,,,0.010361514694041703,False
ADAMTS2,,,,0.015074893839327958,False
ADAMTS20,,,,0.00783724918623985,True
ADAMTSL3,,,,0.0024731559475782657,True
ADARB2,,,,0.042102878894954544,False
ADCK1,,,,0.03223332700045249,False
ADCK2,,,,0.0404002345823861,False
ADCK4,,,,0.005206322621467183,True
ADCK5,,,,0.015841354898547967,False
ADHFE1,,,,0.02460036148472506,False
ADK,,,,9.077937310051963e-05,True
ADRBK1,,,,0.012220852584603021,False
ADRBK2,,,,0.025165937209310776,False
AFF1,,,,0.028433311100407657,False
AFF3,,,,0.004110760116595719,True
AFF4,,,,0.0092804206852132,True
AGAP2,,,,0.015774554552193995,False
AIFM1,,,,0.036566280598652204,False
AIFM3,,,,0.05365507662228766,False
AIM1,,,,0.014994331654418474,False
AKAP12,,,,-0.012480420186969982,True
AKAP4,,,,0.01582636804972387,False
AKAP6,,,,0.0015373012129305417,True
AKAP9,,,,0.007241757215729627,True
AKT1,,,,0.016057356322119142,False
AKT2,1.0,,False,0.015941094266860703,False
AKT3,,,,0.0393169117348024,False
ALDH7A1,,,,0.03917912592612572,False
ALK,0.0,0.0042312608436076305,True,0.014755176478126712,False
ALPK1,,,,0.02382319305040596,False
ALPK2,,,,0.011553826035686963,False
ALPK3,,,,0.031112718200252874,False
ALS2,,,,0.0020071479847431225,True
AMHR2,,,,0.0016016384578010482,True
AMZ2,,,,0.03594467003359592,False
ANAPC5,,,,0.010555997173137911,False
ANGPTL4,,,,0.020425718349655037,False
ANKK1,,,,0.019304761551320253,False
APAF1,,,,0.02850917912618075,False
APBB1IP,,,,0.02317695049035497,False
APC,0.0,0.04584266601488154,True,0.003446500615444224,True
AR,,,,0.009533384240627501,True
ARAF,,,,0.018594442927589366,False
ARFGEF1,,,,0.021612247769239912,False
ARHGAP26,,,,0.004225231557001929,True
ARHGAP29,,,,0.019729369505216886,False
ARHGDIB,,,,0.02329547003708233,False
ARHGEF10,,,,0.005342541581393355,True
ARHGEF12,,,,0.019130734293374977,False
ARHGEF7,,,,0.025558370620430267,False
ARID1A,,,,0.008293087248979978,True
ARNT,,,,0.014015534793379919,False
ASH2L,,,,0.031767154591832325,False
ASPH,,,,0.011531679208390565,False
ASPSCR1,,,,0.029157335581038446,False
ASTN1,,,,0.014065983300993611,False
ATF1,,,,0.0184714726964996,False
ATF2,,,,0.010012202604107122,True
ATIC,,,,0.02318074185464387,False
ATM,,,,0.003976973154722376,True
ATP10A,,,,0.0102464447337089,True
ATP11A,,,,0.01510877783307067,False
ATP13A5,,,,0.012184767718021914,False
ATP5S,,,,5.442242659772862e-06,True
ATP8B1,,,,0.013854674665678603,False
ATR,,,,0.009825575256804862,True
ATRX,,,,0.013512827311327708,False
AURKA,,,,0.0010707686371271992,True
AURKB,,,,0.03720696741882083,False
AURKC,,,,0.04267018330698224,False
AXIN1,,,,0.032391471927818154,False
AXIN2,,,,0.0231303295121475,False
AXL,,,,0.00984961578011332,True
B3GALT6,,,,0.02911021835113749,False
BAD,,,,0.06703058260196972,False
BAG4,,,,0.017633544597683817,False
BAI1,,,,0.014837584564861278,False
BAI3,,,,0.011106857206259445,False
BAK1,,,,0.00015912494113336958,True
BAP1,,,,0.011419417914305332,False
BAT3,,,,0.008476297033177569,True
BAX,,,,0.024211399858724364,False
BCAR1,,,,0.04404893175254459,False
BCKDK,,,,0.040750880839747386,False
BCL10,,,,0.03429330345058384,False
BCL11A,,,,0.007530222592618333,True
BCL11B,,,,0.016399170348725806,False
BCL2,,,,2.4142888909435924e-05,True
BCL2A1,,,,0.10047540523800104,False
BCL2L1,,,,0.02874911429404983,False
BCL2L11,,,,0.04518123483220669,False
BCL2L2,,,,4.665892077317638e-06,True
BCL3,,,,0.036914685085894745,False
BCL6,,,,0.010597310572508947,False
BCL7A,,,,9.335368400853748e-06,True
BCL9,,,,0.013444265321139737,False
BCR,,,,0.030296573766417416,False
BGLAP,,,,4.665892077317637e-06,True
BID,,,,0.0002855174129470843,True
BIK,,,,0.033403754823162976,False
BIRC2,,,,0.015617273383555185,False
BIRC3,,,,0.02456676481999634,False
BIRC5,,,,0.04070289541163499,False
BIRC6,,,,0.01690433256233368,False
BLK,,,,0.013346527918256109,False
BLM,,,,0.007165059207755736,True
BLNK,,,,0.04295527320128889,False
BMF,,,,0.02541391852971154,False
BMI1,,,,0.0003863496102597854,True
BMP2K,,,,0.029868797737150076,False
BMP4,,,,0.04443252727057516,False
BMPR1A,,,,0.010226732009597355,True
BMPR1B,,,,0.04013239968838716,False
BMPR2,,,,0.013190096545912324,False
BMX,,,,0.0030001495904083447,True
BNIP3,,,,0.06722815259508967,False
BOK,,,,4.665892077317637e-06,True
BRAF,0.0,0.0801174815984229,True,0.00023723119050220734,True
BRCA1,0.0,0.0028248474382039576,True,0.01898673426926277,False
BRCA2,0.0,0.008426459805025422,True,0.006838462140353233,True
BRCC3,,,,0.044874135978819306,False
BRD2,,,,0.017704835909511423,False
BRD3,,,,0.028819230329566164,False
BRD4,,,,0.031735430749702365,False
