sample_id,variable,class_label,probability,known_label,predicted_label,split
HDQ-P1,Erlotinib,,,0.204718307811704,0.15565329790115356,train
HPB-ALL,Erlotinib,,,,0.08169449865818024,train
CADO-ES1,Erlotinib,,,,0.024203412234783173,train
SK-ES-1,Erlotinib,,,0.0683218629110332,0.03016633167862892,train
ONS-76,Erlotinib,,,0.0214716122271844,0.012061282992362976,train
OVK18,Erlotinib,,,,-0.0003209896385669708,train
PCM6,Erlotinib,,,,0.0672803670167923,train
Toledo,Erlotinib,,,0.0,0.005971342325210571,train
SK-N-FI,Erlotinib,,,0.0,0.0066116307862102985,train
BHT-101,Erlotinib,,,,0.02284521609544754,train
LS123,Erlotinib,,,0.0687453300998243,0.11173927783966064,train
BL-70,Erlotinib,,,0.0071939968305693,0.01547950878739357,train
HuP-T4,Erlotinib,,,0.167535443444042,0.1962094008922577,train
G-292 clone A141B1,Erlotinib,,,,0.019328109920024872,train
Loucy,Erlotinib,,,,0.06328456848859787,train
DU4475,Erlotinib,,,,-0.00026097893714904785,train
NCI-H1048,Erlotinib,,,0.031623024411141,0.027039803564548492,train
SHP-77,Erlotinib,,,0.0,-0.004867240786552429,train
5637,Erlotinib,,,0.202139462625986,0.17660458385944366,train
BC-3C,Erlotinib,,,,0.055708616971969604,train
SIG-M5,Erlotinib,,,0.126180404243534,0.11223579198122025,train
SNU-1105,Erlotinib,,,,0.01640421710908413,train
NCI-H1573,Erlotinib,,,0.154964829446517,0.10738964378833771,train
NCI-H1793,Erlotinib,,,0.142220559643126,0.18234801292419434,train
KLM-1,Erlotinib,,,,0.1380675882101059,train
A-549,Erlotinib,,,0.0812118077477125,0.0722912847995758,train
NMC-G1,Erlotinib,,,,0.022509820759296417,train
F5,Erlotinib,,,,0.010627569630742073,train
VM-CUB-1,Erlotinib,,,,0.16392478346824646,train
ES-2,Erlotinib,,,0.0207823472235324,0.031682953238487244,train
BCP-1,Erlotinib,,,,0.04417971521615982,train
ECC10,Erlotinib,,,,0.08837419748306274,train
SW780,Erlotinib,,,0.122386456001102,0.2034352421760559,train
Hs 934.T,Erlotinib,,,,0.03248948976397514,train
CAL-51,Erlotinib,,,,0.07271361351013184,train
SNU-216,Erlotinib,,,,0.052974581718444824,train
KM12,Erlotinib,,,,0.01096946932375431,train
PLC/PRF/5,Erlotinib,,,0.0886662101862819,0.0753699392080307,train
NCI-H716,Erlotinib,,,,0.024277379736304283,train
NCI-H661,Erlotinib,,,0.0029913890869735,0.007564097177237272,train
SNU-1079,Erlotinib,,,,0.09169873595237732,train
Hs 343.T,Erlotinib,,,,0.03804571554064751,train
MDA-PCa-2b,Erlotinib,,,,0.05385870486497879,train
OVCAR-8,Erlotinib,,,,0.023642264306545258,train
Hep-G2,Erlotinib,,,0.028461952671853,0.03136942535638809,train
Hs 281.T,Erlotinib,,,,0.001979522407054901,train
NCI-H524,Erlotinib,,,,0.019399374723434448,train
