,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21
A-375,-0.88739276,0.43246973,0.097660154,0.07425731,0.5577807,-1.9750929,-0.09032713,0.030287176,0.9836495,2.0923197,0.32233414,-1.8941396,-0.0061279624,0.42313534,-0.6592611,-0.8124219,-0.9994053,0.15980572,-2.1114855,-0.2938523,-1.0087409,0.16334414
MES-SA,-2.5731528,-1.4675869,0.8985808,2.2337582,-0.8174631,0.5220183,0.5154236,0.5809147,-0.653797,-1.372398,-0.8509042,-0.14994742,1.7775353,0.89331955,0.39881167,-1.2441444,-0.026536457,-1.7958848,-0.9167094,0.8885597,-1.2472063,0.5228398
RT-112,2.2733097,-0.15179534,-0.93474746,0.9495603,-0.27758765,1.7912235,0.4919965,-0.13706459,0.53638846,-0.39992046,-2.9322686,0.7927867,-2.1545348,-1.0038476,0.17237845,0.042762518,0.29571083,2.1436956,1.7869165,-0.24692808,0.27029672,0.5159587
RKO,-0.945039,1.0647657,0.63081396,0.39400947,-0.95142496,-1.3144363,-0.2610344,0.19479431,-0.97895217,-0.43570825,1.6678927,0.14650697,1.0708486,0.2745539,-0.37549928,0.5706459,1.2287068,-0.25181916,-0.4874738,-0.014752824,-0.0044375956,-1.1330782
COR-L23,-0.2214363,2.8085072,0.9516515,-1.2037814,0.5266495,-1.8091363,-1.0766605,1.5103084,0.7283182,0.86514044,0.9320457,0.827766,-0.52925354,0.50117576,0.2553961,1.5610746,-0.292483,-0.78874594,-0.44700378,-0.472927,-0.13445823,-0.8294577
SK-MEL-31,-1.337998,0.029034685,-3.5984607,1.3668916,-0.31218648,-0.82693267,1.3909445,-0.39065978,1.8797143,2.3328218,-1.2346065,-0.08243684,1.1230638,1.1124338,1.0657454,-1.7042469,-0.6725237,-1.4611509,-0.897079,-0.6164556,-0.330968,-0.232228
SNU-349,-2.0916352,-1.8091547,0.67469275,-2.997162,-0.3213446,-0.9077425,0.9290679,-0.664121,2.5754716,0.3878764,-2.4373932,-0.882976,0.68990386,0.9890535,2.711698,-1.9959513,-0.3877017,-2.881584,-2.8174644,-1.0413916,0.8728156,-0.5532883
SK-MEL-2,-4.033538,0.6867063,-2.5139,3.0510273,-0.3974581,-0.007705001,1.9725087,0.8809592,1.4447601,0.79251266,-1.7424845,-1.4647636,0.8953245,-0.21408424,-0.5739353,-0.72518134,1.1444162,-1.8862506,-1.3583747,-2.1917946,-2.0295885,-0.7308118
42-MG-BA,-2.7306194,-1.2230517,-0.006673485,-0.5675229,-0.35297638,1.1136312,2.8246205,-0.6218758,2.2677767,2.3511605,-2.0185487,-1.5780015,-0.29878813,0.7750355,-3.120461,-1.6998193,-0.19434619,-0.24828953,1.6168451,-0.5775876,-1.8724285,1.029458
GMS-10,-0.31702465,1.453008,0.9002277,-1.0264342,-1.5921574,1.6695132,1.4727186,1.9345216,-0.1466361,0.47953957,-0.4790368,-0.1957188,0.015106838,-0.6664397,-0.63561636,1.3650974,-1.5399767,-1.11247,0.09270911,-0.036926463,-1.9196237,0.15341437
CAL-51,0.34755608,1.3542235,1.3969553,-0.89894634,1.670964,0.42158195,-0.82688373,0.25949848,1.4812077,-1.8806872,-0.80288124,-2.1713297,1.1545776,-0.3504868,0.42494777,-1.0530604,-1.2664635,-0.012158841,0.2000044,2.1205337,-1.669841,1.1413884
CMK-11-5,-2.5095038,0.6125082,1.1525878,1.2481139,0.8634599,-4.8397655,0.31098482,-1.0123819,-0.5164076,-1.8220787,0.8755375,0.39565235,-0.57396555,-0.5559236,-1.9759755,0.9389169,-0.72457045,-1.168395,-1.349942,0.7974802,0.9608236,0.22352943
NCI-H1915,-0.5099411,0.8996562,0.7120953,-0.18440898,-0.62751096,-1.3628322,1.299558,0.86495346,-0.78468156,0.72215223,1.408437,1.9697772,1.2962244,-1.7074417,0.6493103,1.175297,0.1094735,0.671494,-0.8320662,0.13351497,-2.0348835,-0.7213796
DV-90,2.354362,-1.1936921,0.23198491,-0.32289815,0.99192125,0.6064823,-1.0153236,0.8821964,-0.6126053,-0.94202524,0.5162967,-1.665545,-3.493379,0.6231545,-1.6389368,-0.22111776,0.39302686,0.1440711,2.0646238,0.64202607,2.8715155,-0.51114815
Hs 940.T,0.122650236,-0.6512078,0.95777434,0.1068938,-1.0792117,0.48849094,1.7414111,1.0321264,-0.020511612,1.0509514,-0.39325464,-0.21054894,-0.41306436,1.4523376,-0.6706885,2.159954,-1.0152196,-0.43531507,-2.3721619,1.0967109,-0.585454,-1.1970663
143B,-1.2029104,-0.29860094,0.7334445,0.123520754,1.2636364,-1.6096303,0.32558194,0.38446355,0.06819684,0.9127267,0.46966794,0.48199898,1.2334973,-0.14592358,-0.43020216,-1.03179,1.0894156,-0.55430496,-2.1306856,-0.29827,-1.4102349,-1.1019722
LCLC-103H,-1.674957,-0.60083646,0.07599167,0.091249645,1.8080816,1.7222605,0.49358737,-0.87093836,1.7824976,1.8186537,-2.555196,0.8560693,1.6831744,-1.441968,1.327139,-0.15270674,-0.17740454,-0.22606972,-1.8965353,0.5017891,-0.842957,1.62082
NCI-H1930,3.0232687,0.74666536,1.4814928,-0.90065515,-0.14903648,-0.757885,0.021307804,-0.7807649,-0.32344192,-1.5324342,2.5948744,-2.6118004,-0.194802,0.81844306,0.075924955,-0.2943927,0.7653421,-0.6569976,1.9617668,0.21979375,0.21978086,-0.18833667
WSU-DLCL2,-3.0143335,1.6499532,-0.07741245,1.8315626,0.832832,-1.3360868,-2.1073456,0.83204126,-1.1453693,3.8394122,0.30693123,2.2088447,1.8448677,-1.6110679,0.73679554,-0.5663671,-0.841586,1.1983237,-1.4169561,-0.29337233,-4.7717366,2.1757214
Hs 934.T,-0.073406294,-0.70230603,0.6012355,-1.9273862,0.34691373,-1.6871592,1.7093154,-0.6968273,-1.0638115,1.8915547,-2.7309017,-1.2800366,1.125631,0.76613134,-1.1783949,1.0690298,-1.7080876,1.1965618,-2.660199,2.6697133,-0.5891355,0.03531968
KNS-42,-1.0346518,-0.48385137,0.45411748,-1.2778624,-0.6776984,-0.30397972,1.1418742,0.20398124,0.4644056,0.705584,1.1240017,-2.5855258,0.6914109,1.9894977,0.7354202,-0.42913067,-0.008662164,-1.6154218,-0.47857064,-0.35025188,0.95738375,0.88069534
CADO-ES1,0.33616108,0.36913732,0.7690088,2.002854,-2.1731677,-1.667811,-0.79480684,-0.6417823,-1.0495721,-0.77663356,2.1610417,-1.8015046,1.6718867,2.3904486,0.27158025,1.1511604,0.7920264,-0.5033025,-1.423526,1.0658243,-0.42922062,-1.2689177
AsPC-1,-1.0071502,-2.3487704,-0.97397983,1.2273535,0.012870053,1.1079501,-0.9805274,2.7337832,0.61677957,2.2604647,0.12251963,0.6081982,-0.11822359,-0.0114901615,-1.1074411,1.7910864,0.7397878,-1.0896548,-0.6601761,0.39126486,2.608569,-1.6999975
SK-N-MC,1.554427,1.1869386,-0.34752226,1.6835343,-1.0910053,-0.44624165,-0.58322245,-0.8534696,-1.1671999,-1.318373,1.6588418,-1.1865036,-0.0074405773,1.163684,-0.35460562,-0.1520178,0.2230649,0.013361902,-0.56918406,1.9696336,-2.5662198,-0.1553055
SUIT-2,-1.2438204,-2.7123463,-1.0285857,1.3182192,-0.38767603,-0.6890856,1.575781,-1.4597412,0.9222613,-0.35001177,-2.5151858,-1.5115893,0.11444777,-1.11158,-0.5634333,-2.107925,2.6155622,1.1382616,0.12968375,0.50205,4.015453,-0.6301804
KMS-26,-3.7332463,0.6234896,-0.12648313,0.09488117,-1.8661463,-0.2904182,-1.6432981,-1.8916227,-0.18355466,0.37463096,0.87766784,0.7990052,4.263633,-0.64748555,0.1297662,-0.4481883,-0.41035432,0.13820855,-1.4325088,-2.2494533,-0.3773066,1.1068766
TO 175.T,0.9286604,-1.0862285,0.41552198,-0.05605263,-1.1506618,0.71363616,1.867146,0.16112846,-0.275462,0.2202793,-0.21366398,-0.39302555,-1.0543082,1.5715148,-1.543256,1.6782504,-0.52802855,0.78785473,-1.5631442,1.1381634,0.14667848,-1.604864
YH-13,0.13235901,-0.52397716,-0.5151837,-0.7374741,-0.66309375,0.27011052,2.4032342,0.097781114,-0.71356595,0.9021783,0.10186635,0.113574,0.43719316,1.6762074,-0.6241048,0.8519912,-1.1332111,0.29939616,0.42043307,0.63374877,-1.1045398,-1.409091
