target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,TNFRSF17,4.31140970938844e-05,IntegratedGradients
Erlotinib,0,,rna,SPIB,9.121072074274148e-05,IntegratedGradients
Erlotinib,0,,rna,CD53,0.00011194058159957993,IntegratedGradients
Erlotinib,0,,rna,LGALS4,7.00577392822111e-05,IntegratedGradients
Erlotinib,0,,rna,SOX10,0.000159540103467636,IntegratedGradients
Erlotinib,0,,rna,CD19,0.0001009370283239857,IntegratedGradients
Erlotinib,0,,rna,YAP1,0.00017834538237454782,IntegratedGradients
Erlotinib,0,,rna,MZB1,0.0003890501794373027,IntegratedGradients
Erlotinib,0,,rna,MLANA,2.2776513340357784e-05,IntegratedGradients
Erlotinib,0,,rna,FXYD3,0.00042386955073737205,IntegratedGradients
Erlotinib,0,,rna,GRHL2,0.00016761486936772157,IntegratedGradients
Erlotinib,0,,rna,CCN1,0.00048809993923489155,IntegratedGradients
Erlotinib,0,,rna,SPI1,0.00039368843278085906,IntegratedGradients
Erlotinib,0,,rna,GATA1,6.019425188656874e-05,IntegratedGradients
Erlotinib,0,,rna,GNG12,0.0002731270120814596,IntegratedGradients
Erlotinib,0,,rna,PHOX2A,0.00022804813852298324,IntegratedGradients
Erlotinib,0,,rna,MYB,8.553801608092425e-05,IntegratedGradients
Erlotinib,0,,rna,CD52,0.0004371587330883731,IntegratedGradients
Erlotinib,0,,rna,GJB3,0.0008091863654329649,IntegratedGradients
Erlotinib,0,,rna,LYZ,0.0004232096194491359,IntegratedGradients
Erlotinib,0,,rna,LLGL2,6.808660226923913e-05,IntegratedGradients
Erlotinib,0,,rna,INSM1,0.0003464482756758509,IntegratedGradients
Erlotinib,0,,rna,POU2F2,0.000509984560682661,IntegratedGradients
Erlotinib,0,,rna,ITGA3,0.00015899175547007347,IntegratedGradients
Erlotinib,0,,rna,AXL,0.00044924669690164104,IntegratedGradients
Erlotinib,0,,rna,PRR15L,0.0001887252830845135,IntegratedGradients
Erlotinib,0,,rna,AGR2,0.0006798928805179563,IntegratedGradients
Erlotinib,0,,rna,SDC4,0.0001981622821794307,IntegratedGradients
Erlotinib,0,,rna,CHGA,0.0004068852014838228,IntegratedGradients
Erlotinib,0,,rna,LAD1,0.0005101823387790995,IntegratedGradients
Erlotinib,0,,rna,MST1R,0.0004513651939102157,IntegratedGradients
Erlotinib,0,,rna,WIPF1,0.00028125928169498305,IntegratedGradients
Erlotinib,0,,rna,MPZL2,0.0007462654735257446,IntegratedGradients
Erlotinib,0,,rna,KLF5,0.0007246070152025642,IntegratedGradients
Erlotinib,0,,rna,HOOK1,0.0005556612347759639,IntegratedGradients
Erlotinib,0,,rna,TPM1,0.00011253341936329183,IntegratedGradients
Erlotinib,0,,rna,WWTR1,0.001127246996341916,IntegratedGradients
Erlotinib,0,,rna,MAP7,0.00028781787047945745,IntegratedGradients
