sample_id,variable,class_label,probability,known_label,predicted_label,split
A-375,Erlotinib,,,0.0345979103829177,0.02595137432217598,train
MES-SA,Erlotinib,,,0.0021052305869831,0.009743309579789639,train
RT-112,Erlotinib,,,0.0563652566288176,0.10423794388771057,train
RKO,Erlotinib,,,0.0046315843924956,0.0014049099991098046,train
COR-L23,Erlotinib,,,0.0096508432450326,0.006046437192708254,train
SK-MEL-31,Erlotinib,,,0.0229383589159689,0.0363229438662529,train
SNU-349,Erlotinib,,,,0.07414945960044861,train
SK-MEL-2,Erlotinib,,,0.0,0.03902929276227951,train
42-MG-BA,Erlotinib,,,0.0910999117227594,0.07137681543827057,train
GMS-10,Erlotinib,,,0.0190540934281724,0.014521297998726368,train
CAL-51,Erlotinib,,,,0.05421115458011627,train
CMK-11-5,Erlotinib,,,,0.04639603570103645,train
NCI-H1915,Erlotinib,,,0.0466802928699457,0.0038580058608204126,train
DV-90,Erlotinib,,,0.145650783489382,0.15461799502372742,train
Hs 940.T,Erlotinib,,,,0.01923346519470215,train
143B,Erlotinib,,,,0.011703088879585266,train
LCLC-103H,Erlotinib,,,0.0185216437044789,0.012337872758507729,train
NCI-H1930,Erlotinib,,,,0.09444593638181686,train
WSU-DLCL2,Erlotinib,,,,0.017266422510147095,train
Hs 934.T,Erlotinib,,,,0.03828335180878639,train
KNS-42,Erlotinib,,,0.0,0.008701096288859844,train
CADO-ES1,Erlotinib,,,,0.02086440846323967,train
AsPC-1,Erlotinib,,,0.0560623329164002,0.046195898205041885,train
SK-N-MC,Erlotinib,,,,0.04397339001297951,train
SUIT-2,Erlotinib,,,0.12975502270627,0.13448086380958557,train
KMS-26,Erlotinib,,,0.011861918754795,0.007580578327178955,train
TO 175.T,Erlotinib,,,,0.044017091393470764,train
YH-13,Erlotinib,,,,0.017086710780858994,train
Hs 737.T,Erlotinib,,,,0.038180239498615265,train
RERF-LC-A1,Erlotinib,,,0.039469144135859,0.03571169078350067,train
Panc 02.03,Erlotinib,,,0.126721659151957,0.043051380664110184,train
NCI-H2171,Erlotinib,,,,0.05107666552066803,train
U266B1,Erlotinib,,,,0.012303207069635391,train
HCC1954,Erlotinib,,,0.10922294838185,0.07948482036590576,train
A-704,Erlotinib,,,,0.06187945604324341,train
EB1,Erlotinib,,,0.0057546626057488,0.0012577895540744066,train
SUP-B15,Erlotinib,,,,0.04459494352340698,train
SH-SY5Y,Erlotinib,,,,0.002147575607523322,train
PL-21,Erlotinib,,,,0.05066269636154175,train
NCI-H23,Erlotinib,,,0.0122367471885851,0.0019834560807794333,train
Ku812,Erlotinib,,,0.0324607245661844,0.04999653622508049,train
Calu-3,Erlotinib,,,0.139699599142118,0.16314588487148285,train
Ki-JK,Erlotinib,,,,0.0011764838127419353,train
SNU-216,Erlotinib,,,,0.06427644938230515,train
RD-ES,Erlotinib,,,,0.015939529985189438,train
Hs 746.T,Erlotinib,,,0.0282985266311347,0.03160286694765091,train
