,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115
FaDu,-0.41591832,-0.30326957,0.625649,0.69096136,-1.8677552,-0.5116026,0.81119734,-1.6339346,-1.0387198,-0.9603493,0.4315229,1.4609023,-0.15806949,-0.58816254,-1.0800726,-0.84099656,2.1775913,1.0725151,2.8965008,-1.1955256,2.1367624,1.1433535,0.17518288,0.21810484,-0.59824014,-1.2472495,0.35895786,-0.8265607,-1.0903636,-0.09680735,0.05413442,0.6187916,-0.90675896,-0.029371962,0.9425353,-0.4568467,-1.8483088,-1.7138848,0.5754953,0.5306054,-1.6371975,1.1244775,1.8674833,0.6728791,0.63625723,0.47363615,-1.9291948,-2.3382473,-0.57567215,0.14774618,-0.016169421,-1.6482457,0.80377436,2.1922092,1.5044932,-0.71594846,-0.3759888,1.4645395,-0.75399846,1.4451894,0.3620288,-0.6419726,-0.4939857,-1.5941672,0.1643229,-0.8405547,0.5730657,-0.15305564,0.9843836,-0.6727637,-1.5342818,-1.1747388,-0.35599956,0.14122261,0.6593873,0.5019332,-2.2805164,-0.5284861,0.06900767,-2.010639,-0.2806939,-0.43994576,-1.5059563,-0.27390683,-0.25197592,-2.4480858,-0.8363038,1.0423133,-0.39858666,1.6868623,0.53217304,-0.07728559,1.9209398,-0.14685525,-0.30787823,0.5643628,-0.041075744,-0.6515416,0.79735774,0.258709,0.84462994,-2.5170748,-1.4288919,-0.20094284,0.7584285,-2.511415,0.29700527,-0.9780171,-0.07905957,-0.076158084,-0.69690514,1.4689031,-0.6223152,-0.24286702,0.023343746,-0.73158395
DMS 454,-2.9729621,0.21319716,-1.1696677,-1.1255357,0.90746236,-2.332526,-0.33055466,0.58267057,0.6392593,0.5936222,1.1560708,-1.7655567,0.43120596,-0.691773,-0.34766197,-1.49835,-0.16615424,1.5544215,-0.47455227,0.68914294,-0.10523973,-0.19020462,-2.2740834,-1.7588142,-0.817435,4.6047025,-1.1238663,1.1366963,-0.1821818,-1.2805606,1.033691,-2.7093203,0.66649383,-2.2967799,-0.062618084,-2.795245,0.2249392,2.2131147,-2.0063925,-1.6736248,0.5627666,1.7379031,-2.8961568,1.9408728,0.6171458,-0.8785249,2.3107624,1.1631207,-0.31552285,3.259485,-2.1032195,1.1565324,-1.9957825,-2.605759,-3.3064246,0.37053102,-1.0157123,-0.3461664,1.5698295,0.18661594,-1.6275944,1.6879239,-1.5827647,1.1653775,1.0828606,0.7815008,0.27423012,0.9831385,-0.19899069,-0.31307906,0.004552819,2.3586628,-1.2402936,-2.1737406,-2.960206,-0.0735036,3.6461265,-2.196476,-0.038585756,0.014978424,0.9443436,3.6411295,0.9282371,-0.84448874,2.080787,0.053409666,2.1775072,-0.45185018,3.1223376,-0.89792824,1.5934036,-0.34405065,-3.4318738,-0.1626457,1.2029185,-0.520053,-0.8661175,0.4981048,-3.875087,-3.413773,-0.96098244,0.6419744,4.326685,-0.6724761,1.0603982,1.9903523,3.47011,1.4986919,0.69510615,1.6699383,1.3454467,-2.292555,0.41777214,2.5321124,1.720195,1.0716252
NCI-H1385,-2.066495,-0.32861102,-2.5774264,0.23800366,0.10552042,-4.568034,1.3403188,-1.0567143,1.8476417,-0.2800048,-1.6589353,1.3841627,3.4121802,0.9739375,-1.2963839,-0.30616605,-1.680792,0.69389045,-2.1310475,-2.1735826,-2.5197976,0.27617598,-2.0527732,-2.1346102,2.932289,4.279928,-1.0286382,-3.0476081,0.42976296,-0.19846997,0.5072167,-3.8607879,0.93082273,0.9598541,-0.4219709,-7.6874776,2.7747128,3.0442245,-5.026652,-1.2499883,2.4929976,3.0426219,-0.911842,1.5851996,2.0118299,-2.8228698,1.338091,0.119063094,1.6487653,0.030261902,-1.550673,0.6648217,-3.5753865,-3.0040674,1.7025868,0.6612396,-2.3825345,-3.782192,2.4565482,-3.5497344,-5.425139,-2.517638,-1.8764253,-0.9303737,-1.0935303,2.1787965,-2.5860586,-0.32988387,-2.216091,3.441335,0.61437523,4.381662,-0.39772215,-1.9484137,-4.667777,-0.7944822,4.231765,-2.048994,-0.10815914,-0.8610808,1.6617886,2.9378483,1.593664,-5.866521,-1.0072558,-1.619498,3.0602565,0.8425358,1.8566985,-1.9422268,-0.7174423,1.1327074,-2.1813436,-0.5158287,0.41806415,-0.4717858,-3.706798,1.0340462,-3.6193144,0.33489496,-2.3233843,0.6171408,5.4936366,1.8335974,0.01275596,2.5150585,3.9400988,4.8038526,-0.47092298,1.4861046,0.15863739,1.7270467,0.8056397,1.5073937,-0.37917322,-1.4135318
RCH-ACV,1.323691,0.85681874,-0.73611516,-0.7960277,0.16139312,0.49021342,1.9777963,-0.23797753,1.6828113,2.13804,1.4335475,-0.025444295,-0.38267463,0.020210937,0.5660043,2.1955893,0.44857627,1.9216481,-1.1434535,0.771795,-1.4206818,-1.246904,-0.7347762,-0.013269395,-1.6423384,0.64385444,-2.0724432,2.5164073,1.1038927,-0.14935288,-0.8324113,-0.05595372,-0.29606816,-1.3920351,-0.35382685,-0.43774858,-0.65724987,0.07736069,-1.5733622,0.7342982,-0.31039652,-1.8128347,-0.41484416,1.271719,-1.3695399,-0.96315414,0.10021177,-0.08760302,-1.5195987,1.209926,0.54989916,0.062750116,0.87317985,0.11157367,-1.9493425,0.29304528,0.8881949,0.28404617,0.85382307,-2.8223197,2.01338,-0.40371868,-0.35975596,1.6802776,-0.7470722,0.57424575,-1.6945218,-1.2130777,-0.65116596,-0.9601406,-0.17163126,1.4532716,1.4113089,-0.14017898,-1.4142332,-1.5913808,-2.178101,-0.34217033,-1.1876643,1.4009413,-1.218844,1.2627119,-0.93428445,-1.0578958,1.5135883,-1.4257852,1.4078902,-1.2791204,-0.68832344,0.7442284,-0.17574899,-0.8744732,-0.40065262,0.6283909,0.5237612,-2.2114701,1.6747137,-1.2477437,-1.13605,0.6684725,0.20257826,2.6543632,-0.039214797,-0.89591384,-1.6650118,2.1395447,0.0781751,-0.42116964,-1.7729805,0.84130937,-0.04101945,0.3991798,0.2693869,2.0594091,-0.26952586,-1.2794311
NCI-H520,2.1045654,3.012537,-0.9751368,-2.7461302,0.45254332,0.7989666,1.7734286,-0.35754108,1.6581748,0.39683834,0.81750846,1.1279947,1.2258615,-1.715042,-2.345516,0.5501956,0.4524958,0.3256143,0.10308611,-2.083392,1.6462373,0.5305632,0.31620067,-1.2840164,-1.1941587,0.53933686,2.1128747,2.0253754,-2.650126,1.1992322,1.0695233,1.1512266,0.2136379,-1.0774294,0.4226154,-1.4898366,-1.5921957,-0.5035035,-0.6918318,-1.4672734,-1.1354288,-2.0104632,1.4476576,-0.6518769,1.3638567,1.2276077,-0.5606005,0.9562181,1.7518406,1.5883254,0.50211513,0.28711778,0.85469794,0.5250521,0.8831229,1.6482764,0.5289402,-1.5597931,2.48868,0.6391898,-0.12578647,0.76905894,0.57847196,-1.2031143,1.7861476,-0.96435153,0.7820417,1.5463903,-0.9049516,0.11200868,0.22058523,-0.12274565,-0.88502437,-1.676802,-0.6752348,-0.061662197,-1.1027496,0.529264,-1.0968502,1.1781132,-0.37460694,2.6170735,-1.3905001,0.34646785,-0.3746784,-1.4885181,0.22578332,-1.0088875,-0.7444545,-1.1468362,0.63890874,0.062965065,-1.4789042,0.6510295,1.260806,0.12082279,-0.23039915,1.1692401,-0.83662915,0.47776702,0.8769101,0.78122956,0.7876003,-0.028229136,0.512159,1.168429,-1.9286201,-0.5572683,0.19453204,1.9994673,1.0459352,-2.3461628,-0.3648345,-0.020011008,0.37112173,-0.9088355
SNU-398,1.4355185,0.8212962,-0.28850687,-3.2011507,-1.2716326,0.42862234,1.0836548,-0.5071273,-1.2169662,1.8759131,-1.1035024,2.2823198,-0.63846934,-0.8800756,-1.9825205,0.75084454,2.914719,-1.5424373,-0.32831585,0.81140697,-1.7622589,0.7516958,3.9212525,-1.2415323,0.56131405,0.45021906,-0.16668056,1.5230726,-0.9621609,-1.1297379,-0.28355676,2.930893,-2.6486223,2.9646423,-1.3711778,-1.7695507,-2.6583948,-2.630984,1.395634,-3.5893764,-0.888483,-3.5001903,-0.09195128,-0.7637495,-0.60662293,1.8963462,-3.3113503,1.1167331,1.8268682,-0.18894231,-2.4160612,-2.6094966,2.0071723,-2.0412025,1.4658189,-0.32046404,-1.4663384,-0.2226397,0.3287765,1.3130463,-0.28410304,-1.3318613,0.97634566,-1.7843167,1.3613896,-1.6141565,0.43269247,2.3088021,0.65647286,1.397193,0.8169679,-1.5965307,0.93593323,-2.1507595,1.0233908,0.6718394,-3.1881766,2.4903057,-0.73467815,-1.6319058,-2.6573813,1.0235382,0.30010355,0.7534999,0.5572266,1.4249048,1.0138974,1.8732219,1.4526109,-0.97673535,-2.333575,-1.5999485,-2.7393944,-1.675039,-0.7118723,0.56698084,1.1989558,0.17867877,-1.458359,-0.8566962,0.792192,-0.5628457,1.1524036,-1.8541012,2.4326952,-3.0611944,-2.236843,-0.14221022,-2.03781,-1.8176608,-0.45280474,-0.17024639,-0.29668432,-2.1291695,0.6345622,-0.45435667
Hs 852.T,1.8072704,0.17197703,-0.010121763,-1.8220881,0.287264,1.5397142,0.39259133,0.5315675,-1.0295334,-1.9133012,0.49923575,-0.66422546,-0.053838797,-0.21021385,1.3756841,1.0832596,-0.7629798,-0.2877564,-0.99511695,-1.1546621,-0.17463802,1.1081009,0.4489674,1.1283467,-0.050594322,-0.7831125,1.2132283,1.5944585,0.5050895,0.219799,1.655685,0.17406426,2.1768403,-0.3250531,-0.20384619,1.579819,-0.36741844,-0.25405228,0.61245996,-0.44261742,-0.44693902,-0.6450592,1.4049886,0.2757629,-0.021961689,1.8972807,0.24265651,-0.52246237,1.3364342,0.051504195,-0.9804637,0.93462616,-0.25230733,0.50783885,-1.3358853,0.90669197,1.9786143,0.2309351,-1.3996733,-1.9069085,0.08806276,1.8069172,-0.57738984,-0.594258,-0.2197586,0.77015984,-0.20904411,-2.1779084,0.7331766,-1.6616336,1.319183,0.8068758,0.5474413,-1.0888495,-0.48468027,0.84768766,0.18773718,1.9485936,0.76603323,1.6249155,0.27027673,-1.3829157,-1.3267277,1.0140219,-0.2937425,1.6105949,-0.18161608,-1.3516773,-2.666472,-1.1603318,-0.21946701,1.886853,-0.4270689,-0.92582834,1.3876116,-1.8583142,1.0765042,1.7151741,0.53688866,-0.41623464,2.449671,1.7359033,-0.9209002,0.36527157,0.07643309,-0.6397885,-0.19274709,-0.27626374,0.18624604,-0.7523242,-0.36082664,0.5749417,0.80259067,0.04355885,0.31793594,-0.088054076
KMS-12-BM,0.55259717,-0.054659367,-0.21216339,-1.3309765,-1.1776028,1.9998574,0.033967756,0.7705635,0.34021765,0.17532481,-0.5381686,2.133871,-1.6037943,0.33350703,0.07701921,1.0973397,-0.9800473,-1.4327085,-0.43989924,-0.84408826,-1.234336,-1.1233939,0.49233723,1.137264,-1.3423904,-0.44793192,0.5148009,2.4514534,1.8852936,-0.011521198,-1.9879062,0.3986768,-1.341275,0.084706776,0.8035323,-0.14214338,0.34788057,-1.3791332,-0.34965545,0.030888382,-2.2139792,-0.3672146,0.8095138,1.6018429,-1.4987816,-0.117244616,-0.20536369,-0.58694583,0.67025304,0.58765274,-0.49924567,0.5761397,2.3123353,-0.13343707,-1.9776257,0.46299395,1.7977259,0.5541399,-1.8735859,-1.8359375,2.2324278,-0.20486772,-0.13871297,1.1553999,0.75838596,-0.7965528,0.0096332915,0.20253977,-1.3433851,-0.10012005,-0.029064968,-0.41967794,0.9138273,-0.9459915,2.370569,-0.87304914,-1.888567,-0.9824809,0.8651565,0.13237146,-1.5908997,-0.5131227,1.3772134,0.074208975,-0.5952785,1.2117127,-0.035317272,-0.25861904,0.36985815,0.6536058,0.50751853,-0.688889,-1.4559138,2.0920994,-0.30980265,-0.69482887,2.2551124,-0.38715142,-0.24554166,0.68928266,1.0355387,0.17314267,-0.28585958,-0.4784329,-0.98622924,-0.112979285,-2.5975745,-0.64636576,-0.11266748,-0.026597414,0.37938535,0.13687128,-0.33326706,1.8147067,-0.63833284,0.33627194
CCF-STTG1,2.2008457,2.3458264,-1.3378912,0.96974367,1.2842573,0.49837935,-0.22693177,0.8998161,-1.8463498,-0.56661904,-0.86052704,-1.7850232,-0.4624766,-0.73717546,0.45751536,0.7502129,0.28689167,-0.6035767,-0.8554588,-0.33287385,0.92397,0.4630634,2.1212482,1.3567325,0.66758406,-0.9514852,1.0440754,0.19031864,1.3922884,1.0458039,-0.1670722,0.03535513,1.6093719,0.11016982,-1.4500364,1.5102513,-0.61294734,1.3317077,1.1393832,0.44121835,-1.4334034,-0.83434075,0.3087537,-0.79225874,-0.06249416,0.9819422,0.96061575,-0.3084228,0.58988494,-1.1295944,0.48271075,1.8223122,-0.5417815,-0.25612238,-0.43346265,0.9562744,1.933346,-1.6238511,-1.6543306,-0.3803114,0.2999375,0.6319983,0.50602347,-0.30035073,-0.72193366,-0.9975902,-0.84699667,0.7599052,0.37818265,0.5219944,-0.4650717,-0.96858996,-0.98123795,0.3110596,2.0537176,1.4212319,0.21278483,1.0968205,-1.2924169,2.7949743,0.7460351,0.30500734,-1.0207921,0.6458555,-1.2057726,1.6323956,-0.22030851,0.17727657,-1.4465045,-1.7580913,0.43760887,1.5446594,1.242816,-0.45129335,2.110378,1.0115178,2.340017,1.7553287,0.92396843,-1.5267934,-0.26992282,2.967988,-0.51875514,-0.011030793,-1.0266956,-1.4628248,-1.1669809,-1.0937337,-0.08213937,-2.0718963,1.3948313,-0.659441,-0.18154603,-0.60289955,-0.45519978,2.336417
PANC-1,-0.012103081,1.0359008,0.6422663,-1.2497188,0.566511,0.5591472,-1.1876674,0.63689804,1.1322812,0.13172951,-0.94133496,-0.36477205,-0.894122,0.29039887,-0.42603642,0.009834418,-0.84626627,0.2153977,0.036004897,-1.3753041,0.904524,1.0254337,0.085387915,-0.96843594,-1.0391393,-0.41437504,0.36607376,-0.67173094,-3.5215485,0.54132706,0.33903828,0.23376817,0.42036396,0.010952849,-1.5632094,1.4190338,-0.7935733,-0.084257826,1.0294635,-0.39640933,-0.25143993,-0.059551105,-2.0887783,0.052551284,1.852912,0.43003064,0.31746805,-1.2787939,-1.3696915,-1.5990641,-0.03752681,1.4978496,0.2634122,0.7899461,1.4629434,-1.1000407,-1.9957772,-0.96898687,1.4768881,0.97405285,-0.3216624,2.142407,0.8532499,1.5483557,1.7967044,0.95399445,1.1727114,-0.33813086,-0.03249877,0.39514682,0.4614592,-0.6756823,1.3529706,-1.5302416,0.62348497,1.0067925,-1.6047086,-0.5648607,0.51023275,0.7704214,-0.38669017,0.04095487,0.042361274,0.03642284,-2.003832,1.6078727,-0.8052839,0.75550824,-0.39712307,-0.018130422,-0.18487568,0.8003359,0.59753144,-0.9605297,1.2585802,2.3963456,2.2156164e-06,1.1011604,0.2878105,-0.3543568,0.20901708,-0.26279995,-0.3327037,-0.077646434,1.2208954,-1.0588783,0.11828982,-0.78995574,0.043191418,-0.33398855,0.64265895,-2.01186,-0.3655932,-1.5423621,-0.26962766,-2.2500956
