target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,ACTR3BP2,0.00013917780669419626,IntegratedGradients
Erlotinib,0,,all,SCGB1D2,0.00015819584083265876,IntegratedGradients
Erlotinib,0,,all,ACVR1B,0.0003795449979871689,IntegratedGradients
Erlotinib,0,,all,ATF5,0.00025625309128244613,IntegratedGradients
Erlotinib,0,,all,KDM3B,0.0002931584159064909,IntegratedGradients
Erlotinib,0,,all,HCK,0.000408930966660498,IntegratedGradients
Erlotinib,0,,all,LGR6,0.00015129318382688358,IntegratedGradients
Erlotinib,0,,all,GIP,0.0003393980078327317,IntegratedGradients
Erlotinib,0,,all,LGALS9,0.0004079600820633658,IntegratedGradients
Erlotinib,0,,all,KIAA0586,0.00021281462820830265,IntegratedGradients
Erlotinib,0,,all,GGCT,0.00012413017429695924,IntegratedGradients
Erlotinib,0,,all,NR4A2,0.00023910138514363462,IntegratedGradients
Erlotinib,0,,all,OR2F1,0.00043332798851916464,IntegratedGradients
Erlotinib,0,,all,SATB1,0.00022514916834240011,IntegratedGradients
Erlotinib,0,,all,GUSBP4,0.00025539785115213313,IntegratedGradients
Erlotinib,0,,all,CRCP,0.0006497150476876453,IntegratedGradients
Erlotinib,0,,all,FBF1,0.0002937706043811592,IntegratedGradients
Erlotinib,0,,all,CYP4A11,0.0005032119495713538,IntegratedGradients
Erlotinib,0,,all,TIA1,0.0003612377270280806,IntegratedGradients
Erlotinib,0,,all,SNRPG,0.0004003093854807892,IntegratedGradients
Erlotinib,0,,all,FAM136A,0.00017262347807958767,IntegratedGradients
Erlotinib,0,,all,PCYOX1,0.0002263544463807762,IntegratedGradients
Erlotinib,0,,all,CYP26B1,0.00032809662373727493,IntegratedGradients
Erlotinib,0,,all,ADD2,0.0001833178585300919,IntegratedGradients
Erlotinib,0,,all,GGT8P,0.0005170841735608633,IntegratedGradients
Erlotinib,0,,all,MXD1,0.00019824597476141936,IntegratedGradients
Erlotinib,0,,all,SNRNP27,0.00014810545182048073,IntegratedGradients
Erlotinib,0,,all,HK2,0.00035084931615146094,IntegratedGradients
Erlotinib,0,,all,C2orf42,0.0005815756514629657,IntegratedGradients
Erlotinib,0,,all,DHFRP3,0.00038422280760607065,IntegratedGradients
Erlotinib,0,,all,MIR5000,0.00019039749317260424,IntegratedGradients
Erlotinib,0,,all,TACR1,0.0003082137537105426,IntegratedGradients
Erlotinib,0,,all,EVA1A,0.0004108431879117228,IntegratedGradients
Erlotinib,0,,all,AAK1,0.00015313008370451816,IntegratedGradients
Erlotinib,0,,all,GMCL1,0.00035002589730907146,IntegratedGradients
Erlotinib,0,,all,NFU1,0.00019826729571208152,IntegratedGradients
Erlotinib,0,,all,LINC01816,0.0005077046287297907,IntegratedGradients
Erlotinib,0,,all,ANAPC1P1,0.00022938115664753876,IntegratedGradients
Erlotinib,0,,all,PCBP1,0.0002904853566434007,IntegratedGradients
Erlotinib,0,,all,PCBP1-AS1,0.00020791207756231682,IntegratedGradients
Erlotinib,0,,all,ASPRV1,0.00015568755089129078,IntegratedGradients
Erlotinib,0,,all,SEMA4F,0.00030020802088849953,IntegratedGradients
Erlotinib,0,,all,NAT8,0.00036952103412255975,IntegratedGradients
Erlotinib,0,,all,ALMS1P1,0.00029713972194775725,IntegratedGradients
Erlotinib,0,,all,DOK1,0.0005049181201891791,IntegratedGradients
